"","site","date","YYYYMMDD","trans_type","trans_bin","trans_m","pit_bin","sed1_type","sed2_type","sed1_no","sed2_no","field_collector"
"49","2017_H_05","7/24/2013",20170725,"Inside",9,90,0,"Mud","Mud",1,1,"Wendel Raymond, Cathy Mattson, Tiff Stephens"
"50","2017_H_05","7/24/2013",20170725,"Inside",10,100,0,"Mud","Mud",1,1,"Wendel Raymond, Cathy Mattson, Tiff Stephens"
"51","2017_H_05","7/24/2013",20170725,"Outside",1,10,3,"Sand","Gravel",4,7,"Wendel Raymond, Cathy Mattson, Tiff Stephens"
"52","2017_H_05","7/24/2013",20170725,"Outside",2,20,6,"Sand","Gravel",4,7,"Wendel Raymond, Cathy Mattson, Tiff Stephens"
"53","2017_H_05","7/24/2013",20170725,"Outside",3,30,7,"Sand","Gravel",4,7,"Wendel Raymond, Cathy Mattson, Tiff Stephens"
"54","2017_H_05","7/24/2013",20170725,"Outside",4,40,7,"Sand","Gravel",4,7,"Wendel Raymond, Cathy Mattson, Tiff Stephens"
"55","2017_H_05","7/24/2013",20170725,"Outside",5,50,6,"Coarse Sand","Gravel",5,7,"Wendel Raymond, Cathy Mattson, Tiff Stephens"
"56","2017_H_05","7/24/2013",20170725,"Outside",6,60,5,"Coarse Sand","Gravel",5,7,"Wendel Raymond, Cathy Mattson, Tiff Stephens"
"57","2017_H_05","7/24/2013",20170725,"Outside",7,70,3,"Coarse Sand","Gravel",5,7,"Wendel Raymond, Cathy Mattson, Tiff Stephens"
"58","2017_H_05","7/24/2013",20170725,"Outside",8,80,14,"Coarse Sand","Gravel",5,7,"Wendel Raymond, Cathy Mattson, Tiff Stephens"
"59","2017_H_05","7/24/2013",20170725,"Outside",9,90,25,"Coarse Sand","Gravel",5,7,"Wendel Raymond, Cathy Mattson, Tiff Stephens"
"60","2017_H_05","7/24/2013",20170725,"Outside",10,100,5,"Gravel","Sand",7,4,"Wendel Raymond, Cathy Mattson, Tiff Stephens"
"61","2017_H_06","7/23/2013",20170724,"Edge",1,10,15,"Muddy Sand","Pebble",3,6,"Tiff Stephens, Wendel Raymond, Cathy Mattson"
"62","2017_H_06","7/23/2013",20170724,"Edge",2,20,8,"Sandy mud","Sand",2,4,"Tiff Stephens, Wendel Raymond, Cathy Mattson"
"63","2017_H_06","7/23/2013",20170724,"Edge",3,30,7,"Sandy mud","Sand",2,4,"Tiff Stephens, Wendel Raymond, Cathy Mattson"
"64","2017_H_06","7/23/2013",20170724,"Edge",4,40,9,"Mud","Sandy mud",1,2,"Tiff Stephens, Wendel Raymond, Cathy Mattson"
"65","2017_H_06","7/23/2013",20170724,"Edge",5,50,12,"Mud","Mud",1,1,"Tiff Stephens, Wendel Raymond, Cathy Mattson"
"66","2017_H_06","7/23/2013",20170724,"Edge",6,60,9,"Mud","Mud",1,1,"Tiff Stephens, Wendel Raymond, Cathy Mattson"
"67","2017_H_06","7/23/2013",20170724,"Edge",7,70,15,"Mud","Mud",1,1,"Tiff Stephens, Wendel Raymond, Cathy Mattson"
"68","2017_H_06","7/23/2013",20170724,"Edge",8,80,5,"Mud","Mud",1,1,"Tiff Stephens, Wendel Raymond, Cathy Mattson"
"69","2017_H_06","7/23/2013",20170724,"Edge",9,90,10,"Mud","Mud",1,1,"Tiff Stephens, Wendel Raymond, Cathy Mattson"
"70","2017_H_06","7/23/2013",20170724,"Edge",10,100,6,"Mud","Mud",1,1,"Tiff Stephens, Wendel Raymond, Cathy Mattson"
"71","2017_H_06","7/23/2013",20170724,"Inside",1,10,5,"Muddy Sand","Mud",3,1,"Tiff Stephens, Wendel Raymond, Cathy Mattson"
"72","2017_H_06","7/23/2013",20170724,"Inside",2,20,5,"Mud","Mud",1,1,"Tiff Stephens, Wendel Raymond, Cathy Mattson"
"73","2017_H_06","7/23/2013",20170724,"Inside",3,30,3,"Mud","Mud",1,1,"Tiff Stephens, Wendel Raymond, Cathy Mattson"
"74","2017_H_06","7/23/2013",20170724,"Inside",4,40,3,"Mud","Mud",1,1,"Tiff Stephens, Wendel Raymond, Cathy Mattson"
"75","2017_H_06","7/23/2013",20170724,"Inside",5,50,6,"Mud","Mud",1,1,"Tiff Stephens, Wendel Raymond, Cathy Mattson"
"76","2017_H_06","7/23/2013",20170724,"Inside",6,60,4,"Mud","Mud",1,1,"Tiff Stephens, Wendel Raymond, Cathy Mattson"
"77","2017_H_06","7/23/2013",20170724,"Inside",7,70,2,"Mud","Mud",1,1,"Tiff Stephens, Wendel Raymond, Cathy Mattson"
"78","2017_H_06","7/23/2013",20170724,"Inside",8,80,9,"Mud","Mud",1,1,"Tiff Stephens, Wendel Raymond, Cathy Mattson"
"79","2017_H_06","7/23/2013",20170724,"Inside",9,90,2,"Mud","Mud",1,1,"Tiff Stephens, Wendel Raymond, Cathy Mattson"
"80","2017_H_06","7/23/2013",20170724,"Inside",10,100,7,"Mud","Mud",1,1,"Tiff Stephens, Wendel Raymond, Cathy Mattson"
"81","2017_H_06","7/23/2013",20170724,"Outside",1,10,4,"Muddy Sand","Mud",3,1,"Tiff Stephens, Wendel Raymond, Cathy Mattson"
"82","2017_H_06","7/23/2013",20170724,"Outside",2,20,15,"Pebble","Sand",6,4,"Tiff Stephens, Wendel Raymond, Cathy Mattson"
