"ID","Batch","Species_common","Species_scientific","sp_code","sp_group","a.C17.0","a.C18.0","C14.0","C15.0","C16.0","C16.1w7","C16.2w3","C16.2w6","C16.3w3","C16.4w3","C17.0","C17.1w","C17.1w9","C18.0","C18.1w7","C18.1w9","C18.2w3","C18.2w6","C18.3w3","C18.3w6","C18.4w3","C20.0","C20.1w7","C20.1w9","C20.2w3","C20.2w6","C20.3w3","C20.3w6","C20.4w3","C20.4w6","C20.5w3","C22.0","C22.1w9","C22.2w6","C22.3w3","C22.4w3","C22.4w6","C22.5w3","C22.6w3","i.C15.0","i.C16.0","i.C17.0"
"B_025","5","Eelgrass","Zostera marina","EELGRS","PP",0,0,0.5743,0.0746,28.0544,3.4256,0,0.3303,9.4044,7e-04,0.1668,0.0012,0,4.013,0.4261,1.1181,0,11.4443,64.5015,0.0023,0.0285,2.7553,0.0394,0.273,0,0.1246,0.1561,0,0,0.0418,0.24,5.5423,0,0,0,0.0249,0,0,0.0899,1e-04,0,0
"B_030","1","Fucus","Fucus sp.","FUCUS","PP",0,0,53.0702,2.4448,80.7455,13.6652,0,3.3199,0,0,0.9897,0,2.1259,6.128,0.4701,159.2393,0,71.2435,22.7072,4.3927,7.0018,2.8955,0,0.461,0,1.729,0.6161,9.665,3.3975,34.7397,10.1528,3.0482,0.334,0,0,0,0.0393,0.0132,0.015,0.0243,0,1e-04
"B_031","1","Fucus","Fucus sp.","FUCUS","PP",0,0,55.189,2.4103,82.7648,15.341,0,3.6509,0,0,1.0106,0,2.1369,6.7442,0.5537,162.8868,0,73.8655,22.9644,4.0132,7.3335,3.1698,0,0.4579,0,2.1722,0.6699,11.0154,4.3127,38.9269,10.5406,3.2624,0.2315,0,0,0,0.0437,0.0256,0.0247,0.0258,0,0
"B_033","1","Sugar kelp","Saccharina lattisima","SUGKLP","PP",0,0,11.2485,0.415,17.8768,1.9379,0,1.0449,0,0,0.1094,0,0.0767,2.2758,0.2234,11.384,0,12.3904,5.1011,4.1379,11.9406,0.5039,0,0.0267,0,0.0415,0.0267,0.7172,1.3665,12.6812,9.443,0.0722,1e-04,0,0,0,0,0.0533,0.0915,0.0064,0,0
"B_034","1","Sugar kelp","Saccharina lattisima","SUGKLP","PP",0,0,12.6344,0.5001,19.7817,4.2426,0,1.8497,0,0,0.1403,0,0.1035,1.4174,0.134,13.5553,0,12.0234,3.2469,4.5374,7.4083,0.5144,0,0.037,0,0.0373,0.0197,0.553,0.4354,14.5262,7.7431,0.0534,4e-04,0,0,0,0,0.0132,0.026,0.0057,0,1e-04
"B_035","1","Ulva","Ulva sp.","ULVA","PP",0.006,0,1.6419,0.1375,42.6342,3.0604,0,6.5814,9.1716,0,0.0387,0,0.5923,1.194,24.9559,5.8108,0,28.2319,25.9068,2.969,11.3415,0.1313,0.9718,0.3962,0,0.1069,0.0571,0.4559,0.4201,1.169,1.1136,2.5501,0.1535,0.0209,0,0,0.535,4.2785,0.0899,0.0388,0,0
"B_036","1","Ulva","Ulva sp.","ULVA","PP",0.0092,0,2.4744,0.2436,54.3465,4.7832,0,3.7639,8.6304,0,0.0483,0,0.7089,1.405,21.3381,9.4284,0,31.2082,32.0012,3.2214,15.601,0.1958,0.7692,0.6879,0,0.1475,0.0779,0.6869,0.899,1.7762,1.9325,3.8752,0.2544,0.0512,0.0034,0,1.0439,7.6418,0.1,0.0643,0,0
"B_039","1","Eelgrass","Zostera marina","EELGRS","PP",0,0,0.4388,0.1006,31.1599,3.1676,0,1.2232,16.2487,0,0.2268,0,9e-04,4.3537,0.8176,2.5918,0,14.7778,74.75,1e-04,2e-04,3.1557,0,0.1723,0,0.1779,0.2548,3e-04,1e-04,0.0215,0.0604,16.4825,0,0,0,0,0,0,0.0759,0.0049,0,0
"B_040","1","Eelgrass","Zostera marina","EELGRS","PP",0,0,0.4679,0.0835,27.5,3.6081,0,0.9286,13.984,0,0.1882,0,0,2.939,0.6634,2.2486,0,12.6556,67.4524,0.005,0,2.6782,0,0.1465,0,0.1486,0.2249,1e-04,4e-04,0.029,0.1148,15.0479,6e-04,2e-04,0,0,1e-04,6e-04,0.1068,0.0047,0,1e-04
"B_042","1","Idotea","Idotea_rascata","IDORES","PC",0.1333,0.0018,0.5256,0.3321,18.0499,4.2254,0,0.223,0,0,0.2769,0,0.1922,9.9853,7.6944,14.7966,0,3.1879,2.8377,0.3024,0.8559,0.5434,0.1157,0.9797,0,1.4806,0.9908,0.2927,0.6893,7.5798,18.9706,5.7967,0.388,0.0041,0.0786,0,0.0809,1.6035,9.1554,0.0699,0.0965,0.1681
"B_044","8","Idotea","Idotea_rascata","IDORES","PC",0.0822,0.0211,0.3745,0.2644,17.2231,1.7885,0,0.0547,0,0,0.2189,0,0.0646,9.5934,3.1489,7.6756,0,2.4628,2.3649,0.173,0,0.3234,0.0603,0.6752,0,0.8572,0.7821,0.1773,0.3654,9.028,39.4048,1.6059,0.0483,0,0.0214,0.161,0.0446,1.0254,5.8245,0.0616,0.06,0.1254
"B_048","1","Butter clam","Saxidomus gigantea","CLMBUT","PC",1.7266,0.0389,1.1676,0.9257,34.11,4.8631,0,0.8362,0,0,2.033,0,0.0786,15.426,3.1322,4.6526,0,1.6338,0.361,0.064,0.7647,0.1514,7.7006,1.6687,0,1.0467,0.0752,0.235,0.704,6.0131,9.8435,0.2265,14.574,0.0323,0.3358,0,5.9661,15.7852,45.3951,0.1126,1.0404,4.4442
"B_049","5","Butter clam","Saxidomus gigantea","CLMBUT","PC",1.4706,0.1137,1.2433,1.0313,33.0507,2.8952,0,0,0,0,1.9324,0.0192,0.0574,14.6386,1.5261,2.2108,0,1.1244,0.2862,0.0471,0.6952,0.1298,7.5302,4.1658,0,1.0155,0.042,0.3181,0.5507,7.4073,19.4841,0.0449,0.1803,15.1121,0.3009,2.0353,6.999,15.7123,42.0825,0.1025,0.9053,3.5172
"B_050","1","Macoma sp.","Macoma sp.","CLMMAC","PC",1.0562,0.104,1.6496,2.2652,22.0386,6.6349,0,0.608,0,0,2.3972,0,1.9941,14.9913,0.6444,10.7864,0,0.8412,0.1633,0.2768,0.7624,0.1956,4.8739,1.4092,0,0.1301,0.0365,0.2676,0.4148,7.7547,9.4289,0.1908,0.4043,0,0.4187,0,2.1171,9.1625,16.5228,0.0777,0.7011,2.9901
"B_051","5","Macoma sp.","Macoma sp.","CLMMAC","PC",0.9263,0.2882,1.2976,2.2186,20.0661,2.9774,0,0,0,5e-04,2.4821,0.1577,1.6861,13.5156,0.2887,4.9718,0,0.6432,0.1955,0.2268,0.6214,0.1697,5.2104,12.1442,0,0.3235,0.0248,0.344,0.3617,9.0632,17.6384,0.0558,0.4164,0.7261,0.3512,1.3957,2.0655,8.7212,14.3081,0.0782,0.6072,2.7278
