"ID","Batch","Species_common","Species_scientific","sp_code","sp_group","a.C17.0","a.C18.0","C14.0","C15.0","C16.0","C16.1w7","C16.2w3","C16.2w6","C16.3w3","C16.4w3","C17.0","C17.1w","C17.1w9","C18.0","C18.1w7","C18.1w9","C18.2w3","C18.2w6","C18.3w3","C18.3w6","C18.4w3","C20.0","C20.1w7","C20.1w9","C20.2w3","C20.2w6","C20.3w3","C20.3w6","C20.4w3","C20.4w6","C20.5w3","C22.0","C22.1w9","C22.2w6","C22.3w3","C22.4w3","C22.4w6","C22.5w3","C22.6w3","i.C15.0","i.C16.0","i.C17.0"
"B_102","4","Ulva","Ulva sp.","ULVA","PP",0,0,1.69,0.1551,48.2809,1.0458,0,0.2059,2.6231,0,0.0832,0,5e-04,2.4287,8.1424,1.3534,0,13.6191,35.1893,1.3773,28.1789,0.6921,0.1649,0.2323,0,0.1117,0.2027,0.4419,2.6928,0.8849,5.7386,3.9362,0,0.0016,4e-04,5e-04,0.3593,0.3084,0.1638,0.033,0,0
"B_104","1","Eelgrass","Zostera marina","EELGRS","PP",0,0,0.3329,0.0388,18.5827,2.2635,0,0.3923,4.6921,0,0.1085,0,2e-04,2.5626,0.4148,1.815,0,7.6872,34.963,0,1e-04,2.0511,0,0.1379,0,0.108,0.122,1e-04,0,0.0246,0.1916,11.4451,0,0,0,0,0,1e-04,0.0686,0.008,0,1e-04
"B_105","4","Eelgrass","Zostera marina","EELGRS","PP",0,0,0.5323,0.0682,27.3814,0.6494,0,0.2617,9.6548,0,0.1028,0,0,2.7178,0.2434,1.3962,0,14.0078,58.7429,0,0.1204,2.4417,0.0198,0.2314,0,0.2076,0.2319,0.0121,0.0157,0.0658,0.4767,5.0666,0,0,0,0.0037,0,0,0.0739,0,0,0
"B_106","4","Eelgrass","Zostera marina","EELGRS","PP",0,0,1.0908,0.1413,30.277,1.4647,0,0.3003,9.7198,0,0.2193,0,0,3.9948,0.395,1.3755,0,10.855,60.5132,0,0.3455,3.0614,0.0268,0.2744,0,0.2305,0.2824,0.0203,0.0343,0.2033,1.4996,5.7042,0,0,0,6e-04,0,0,0.1283,0,0,0
"B_107","4","Fucus","Fucus sp.","FUCUS","PP",0,0,33.5375,1.4374,58.5993,4.8946,0,1.8353,2e-04,0,0.6674,0,0.5111,4.375,0.1853,57.4338,0,48.8381,19.3146,3.2555,8.6708,2.2129,0,1.8218,0,0.8918,0.3919,5.9095,2.2289,34.9433,19.5289,0.7552,1.8791,0,0,0,0,0,0,0.0068,0,0
"B_108","4","Fucus","Fucus sp.","FUCUS","PP",0,0,45.3787,2.088,75.6142,6.105,0,2.1584,4e-04,0,0.8966,0,0.7516,5.9475,0.2677,76.6706,0,62.7319,26.0988,3.5972,10.3729,2.4423,0,2.1413,0,1.0635,0.468,7.1945,3.0155,44.2915,22.6839,0.8016,1.932,2e-04,0,6e-04,0,0,0,0.0192,0,1e-04
"B_110","4","Sugar kelp","Saccharina lattisima","SUGKLP","PP",0,0,13.7922,0.8264,22.2168,2.6321,0,0.9449,0,0,0.3198,0,0.0671,2.3599,0.2817,7.9813,0,12.3634,3.5641,3.311,6.5263,1.0253,0.1917,0.6005,0,0.1872,0.047,0.8238,0.7277,13.5278,15.3135,0.1099,0.4402,0.028,0.0038,0.0016,0,0,0.0772,0.0183,0,4e-04
"B_111","4","Sugar kelp","Saccharina lattisima","SUGKLP","PP",0,0,14.4552,0.67,20.8115,2.1663,0,1.0782,0,0,0.3676,0,0.052,2.1654,0.2735,9.4291,0,12.9114,3.3125,6.3537,7.0856,1.091,0.2533,0.8562,0,0.2189,0.0496,1.1343,0.5582,18.4251,14.9006,0.1396,0.5396,0.0503,0.0057,0.0025,0,0,0.0368,0.0312,0,0.001
"B_113","4","Limpet","Lottia_sp","LIMPET","PC",0.5564,0,23.1906,1.9119,78.6146,37.8443,0,3.5849,2e-04,0,1.1608,0,0.0762,30.8644,38.0175,14.058,0,12.9571,3.8708,2.6582,9.3327,2.7963,22.2956,22.574,0,8.331,3.1146,2.7951,8.9361,22.539,117.0473,0.9807,2.3821,13.0825,0.2024,0.0095,1.1486,0.4176,8.73,2.3412,1.2415,0.872
"B_115","4","Limpet","Lottia_sp","LIMPET","PC",0.6205,0,23.1258,2.0147,77.0097,36.2053,0,3.8008,0.001,0,1.2243,0,0.0811,30.0902,36.0051,13.6902,0,13.3532,4.1987,2.7089,9.1057,2.8638,21.644,21.1036,0,8.5613,3.0753,2.661,8.7393,22.0944,114.9455,1.0495,2.3229,12.931,0.2024,0.0071,1.1459,0.3875,8.3397,2.5142,1.2977,1.0008
"B_116","4","Idotea","Idotea_rascata","IDORES","PC",0.2778,0,22.721,2.2869,74.388,33.9928,0,8.8414,0.0034,0,0.8288,0,0.4669,22.3632,13.1487,37.2675,0,12.73,10.9008,3.7495,14.6115,1.6122,1.2636,8.5554,0,2.5234,2.1851,1.4599,7.2896,11.9608,106.9884,1.5948,0.7912,1.0565,0.171,0.0103,0.1746,0.2023,22.4122,0.896,0.3714,0.5328
"B_117","4","Idotea","Idotea_rascata","IDORES","PC",0.1671,0,18.0912,1.8403,54.7236,25.982,0,6.8474,0.0027,0,0.7468,0,0.2841,17.9154,8.1681,20.6356,0,9.0285,5.9502,2.921,10.7211,1.1294,0.6002,2.3587,0,1.5791,0.8608,0.9224,4.0438,8.5231,84.2633,1.4594,0.7634,0,0.1082,0.0025,0.102,0.1006,17.2419,0.5053,0.2333,0.3631
"B_119","4","Bentnose Macoma","Macoma nasuta","CLMBEN","PC",0.8133,0,2.9299,1.852,22.2076,2.7139,0,0.0227,0,0,1.8067,0,0.6787,14.141,0.351,6.715,0,0.9568,0.258,0.5445,1.5133,0.6036,4.5994,11.2621,0,0.554,0.0499,0.5087,0.4153,9.5215,15.1877,0.1294,0.5507,0.3499,0.1879,8e-04,1.5515,0.0301,14.7779,0.0632,0.5459,2.803
"B_120","4","Bentnose Macoma","Macoma nasuta","CLMBEN","PC",0.7467,0,2.6589,2.0697,20.9202,2.3653,0,0.0171,1e-04,0,1.8825,0,0.8952,13.3315,0.3698,6.3271,0,0.9254,0.2362,0.5454,1.0204,0.6908,4.7981,11.0684,0,0.5552,0.0508,0.4832,0.331,8.8339,15.0443,0.1412,0.613,0.3397,0.2086,0.001,1.565,0.0326,14.3529,0.0683,0.4995,2.3719
"B_122","4","Butter clam","Saxidomus gigantea","CLMBUT","PC",0.9284,0,3.3093,0.9071,32.7132,3.0017,0,0.0531,1e-04,0,1.343,0,0.0725,10.9152,1.7811,2.9191,0,2.766,0.9752,0.1989,1.558,0.7005,7.5207,4.476,0,3.8253,0.461,0.296,1.4446,4.161,22.0119,0.1879,1.0182,10.43,0.1657,6e-04,1.1094,0.1197,35.7843,0.1064,0.8622,3.1018
"B_130","4","Eelgrass","Zostera marina","EELGRS","PP",0,0,3.5119,0.5925,31.1319,5.4626,0,0.3514,10.6802,0,0.49,0,0,5.1554,0.6311,2.0129,0,9.7905,60.1665,0.1699,0.8118,3.783,0.244,0.7872,0,0.2958,0.2631,0.0476,0.1096,0.6209,3.6917,6.0848,0.4211,0.0506,0.0108,0.0012,0,0,0.3058,1e-04,0,3e-04
"B_131","4","Eelgrass","Zostera marina","EELGRS","PP",0,0,1.6462,0.301,19.3041,0.8115,0,0.1616,7.1485,0,0.3104,0,0,3.376,0.2997,1.0882,0,5.5851,41.9664,0.0395,0.1204,2.3317,0.1692,0.6478,0,0.1942,0.1813,0.0234,0.0091,0.1148,0.7396,3.6579,0,0.0309,0,0.0013,0,0,0.085,0.0137,0,2e-04
"B_134","4","Sugar kelp","Saccharina lattisima","SUGKLP","PP",0,0,13.075,0.833,22.071,2.4356,0,1.253,1e-04,0,0.3385,0,0.0202,1.7037,0.2333,8.6175,0,12.3481,2.9038,4.2364,5.0089,1.1936,0.1943,0.6185,0,0.165,0.0653,0.9206,0.7136,15.8227,15.0771,0.1283,0.5855,0.0412,0.0061,9e-04,0,0,0.0447,0.0185,0,5e-04
"B_135","4","Sugar kelp","Saccharina lattisima","SUGKLP","PP",0,0,15.28,0.9656,26.9447,1.7091,0,0.223,1e-04,0,0.3832,0,0.0207,2.3441,0.2846,10.2558,0,13.9375,3.6198,2.9605,5.495,1.1205,0.228,0.7415,0,0.1906,0.0769,1.109,1.1406,15.4789,15.1472,0.142,0.481,0.0527,0.004,7e-04,0,0,0.051,0.0172,0,5e-04
"B_136","4","Fucus","Fucus sp.","FUCUS","PP",0,0,42.5196,2.4356,71.8654,5.6665,0,1.8388,0,0,1.0204,0,0.8197,5.9535,0.4617,68.5085,0,56.2558,23.83,3.0469,9.0572,2.5984,0.1439,2.2944,0,1.0621,0.4188,6.6034,2.7311,38.8548,18.4049,0.8934,1.3287,0.0354,0,5e-04,0,0,0,0.0174,0.0088,4e-04
"B_137","3","Fucus","Fucus sp.","FUCUS","PP",0,0,28.9902,0.9071,46.219,3.1656,0,0.6037,1e-04,1e-04,0.4076,0.3584,0.3594,3.208,0.1148,50.1755,0.0453,40.6784,15.4305,1.8101,5.9069,1.2502,1e-04,1.3435,0,0.5577,0.2768,3.8637,1.673,27.8487,7.3313,0.3033,0.39,0,0,1e-04,0.0145,7e-04,0,2e-04,0,0
"B_139","3","Ulva","Ulva sp.","ULVA","PP",0,0,1.9787,0.1288,46.8352,2.647,0,6.4902,10.9538,0.1262,0.051,0,0.2636,1.284,14.087,4.0075,0.0517,34.3588,30.0847,4.3226,13.6203,0.1849,1e-04,0.5605,0,0.1343,0.0806,0.4999,0.412,1.5179,1.2281,0.922,0.1801,0.0233,0,2e-04,0.5203,4.6566,0.1383,0,0,0.0081
"B_140","3","Ulva","Ulva sp.","ULVA","PP",0,0,2.2692,0.2022,37.2618,1.5273,0,0.6089,2.4535,0.3318,0.0725,0,0.4136,1.4449,7.4093,1.7099,0.0695,10.7467,22.7037,0.9256,13.8219,0.3596,0,0.2329,0,0.128,0.2035,0.5523,3.6345,0.9591,2.718,2.2102,0.0357,0.0165,0,0.0032,0.3654,10.0576,0.4737,0,0,0.0359
"B_143","3","Limpet","Lottia_sp","LIMPET","PC",0.4303,0,19.7905,1.3558,65.6443,36.6613,0,3.3721,1e-04,0,0.6619,0.206,0.0282,23.0212,32.4511,11.4771,4.5664,5.0203,1.7351,2.421,7.5291,1.9944,8.7695,17.9822,0,3.8086,1.7232,1.9483,6.5862,17.4886,46.3619,0.6448,1.235,10.4751,0.1706,1.972,0.797,18.1179,7.2432,1.4641,0.6523,0.5792
"B_144","3","Limpet","Lottia_sp","LIMPET","PC",0.4558,0,21.5462,1.407,68.141,41.8038,0,3.8597,0,0,0.617,0.2087,0.0372,21.2796,31.8653,11.7097,4.4198,5.4917,2.0774,2.6129,8.6342,2.2079,8.4063,16.0637,0,3.3265,1.5993,2.0326,6.8934,16.3485,45.7615,0.7353,1.231,8.7286,0.1622,1.8871,0.7079,16.0424,7.0932,1.5593,0.7022,0.5751
"B_150","3","Idotea","Idotea_rascata","IDORES","PC",0.082,0,5.173,0.5452,21.5303,8.2663,0,1.3174,0,1e-04,0.2361,0.0994,0.0064,7.804,3.6406,8.5408,0.0569,3.1436,3.2497,0.6238,2.6511,0.3514,0.0867,1.0014,0,0.8679,0.8147,0.3212,1.1263,7.0848,18.7378,0.9148,0.1524,1.6305,0.0515,0.6254,0.0609,1.1007,8.3223,0.1967,0.1042,0.152
"B_151","3","Idotea","Idotea_rascata","IDORES","PC",0.2151,0,12.3813,1.432,50.184,26.9684,0,5.2035,6e-04,4e-04,0.4785,0.3663,0.0265,14.1314,11.2055,24.55,0.1978,6.2643,6.5092,2.1882,8.7549,0.679,0.4383,5.4727,0,1.1825,1.0251,0.736,3.4591,7.5616,34.5322,0.8178,0.1174,1.1964,0.1393,1.3788,0.0979,2.1447,16.2219,0.6605,0.2776,0.4101
"B_157","3","Bentnose Macoma","Macoma nasuta","CLMBEN","PC",0.5405,0,0.7647,1.9113,13.3082,1.776,0,0.0686,1e-04,0,1.7377,1.2677,1.272,8.4071,0.2056,3.9533,0.0236,0.3737,0.1887,0.1261,0.509,0.121,1.6935,7.1971,0,0.0604,3e-04,0.1992,0.2376,5.1806,5.927,0.0393,0.1263,0.0912,0.1721,0.8567,0.9604,6.1821,9.2417,0.0631,0.3463,1.8115
"B_158","3","Bentnose Macoma","Macoma nasuta","CLMBEN","PC",0.5382,0,0.7335,1.3831,13.1732,1.4792,0,0.0479,1e-04,1e-04,1.2726,0.7377,0.7377,8.5332,0.1656,3.5085,0.0187,0.4175,0.1791,0.1266,0.4407,0.1063,1.5557,6.9723,0,0.1076,0.0128,0.1689,0.2248,5.5763,5.2476,0.0326,0.096,0.0865,0.1436,0.9045,1.0182,6.017,10.4894,0.0504,0.3209,1.6508
"B_161","3","Ulva","Ulva sp.","ULVA","PP",1e-04,0,2.03,0.1215,48.5704,2.1536,0,4.12,10.0535,0.1421,0.0438,3e-04,0.3137,0.9766,14.6541,3.7853,0.0497,0.0526,30.202,4.575,13.7812,0.1503,0,0.513,0,0.1439,0.1088,0.4022,0.3573,1.81,1.4511,1.1672,0.1536,6e-04,0,0.0067,0.6791,5.7145,0.1788,0,0,0.0123
"B_162","3","Ulva","Ulva sp.","ULVA","PP",1e-04,0,1.9643,0.1234,47.3357,3.2667,0,3.9729,9.93,0.1057,0.0457,8e-04,0.171,1.2551,12.2822,3.9133,0.0429,0.0467,31.4854,4.2495,12.4202,0.1838,1e-04,0.5212,0,0.127,0.0882,0.4795,0.363,2.0282,1.6745,1.0312,0.1809,0,0,0.0061,0.6155,4.3135,0.0809,0,0,0.0057
"B_164","3","Sugar kelp","Saccharina lattisima","SUGKLP","PP",0,0,8.2882,0.2314,15.6964,1.7581,0,0.5894,0,0,0.0828,0.0362,0.0362,0.6108,0.0512,7.1412,0.0501,7.4091,1.3643,4.8984,2.6508,0.2373,0,0,0,0.03,0.0155,0.3112,0.1155,13.5032,3.6801,0.0091,0.0321,0,0,7e-04,0,0,0,0,0,0
"B_165","3","Eelgrass","Zostera marina","EELGRS","PP",0,0,1.0203,0.0557,26.23,1.4079,0,0.9239,8.858,0.3752,0.167,0,0.0029,2.8691,0.5036,1.4011,0.0415,15.0249,54.8919,0.0478,0.1817,2.5055,0,0.1902,0,0.1257,0.1626,0.0033,0.04,0.1697,1.0772,5.3019,0,4e-04,0,0.0019,0,0.0023,0.0733,0,0,1e-04
"B_166","6","Eelgrass","Zostera marina","EELGRS","PP",0,0,0.5962,0.0792,25.236,0.4809,0.2104,0.1153,8.3298,0,0.1364,0,0,3.3382,0.3294,0.979,0,10.6818,61.5647,0.018,0.2838,2.4399,0.0238,0.2168,0,0.0935,0.1293,0,0,0.0976,0.9631,4.5878,0,0,0,0.0022,0,0,0.0434,0.0179,0.0362,0.0176
"B_168","6","Fucus","Fucus sp.","FUCUS","PP",0,0,32.9018,1.2448,55.7619,3.4994,0.02,0.8838,0,0,0.5279,0,0.3694,3.3493,0.1991,54.1854,0,45.7353,19.8564,2.0502,7.2859,1.697,0,1.4903,0,0.4658,0.2172,4.4875,1.5478,33.0751,17.5297,0.4193,0,2e-04,0,0.0022,0,0,0,0.0069,0.0116,0
"B_169","6","Fucus","Fucus sp.","FUCUS","PP",0,0,33.3523,1.2431,57.5066,3.1806,0.0287,0.7583,0,0,0.5615,0,0.4253,3.6503,0.1065,59.6193,0,45.2843,17.2059,2.1223,6.8883,1.6678,0,1.3258,0,0.4098,0.1747,4.221,1.1591,31.7881,15.616,0.3805,0,0,0,7e-04,0,0,0,0.0055,0.0122,0
"B_171","6","Limpet","Lottia_sp","LIMPET","PC",0.2504,0,10.632,0.6894,40.7324,12.6481,0.0393,1.2749,0,0,0.6264,0,0.0921,18.6335,20.829,5.0586,0,4.5767,1.1073,0.8045,2.5541,0.9896,9.9622,10.726,2.4654,1.03,0.9926,0.8887,2.5052,15.1169,77.2945,0.4666,0.0686,6.0617,0.068,1.3026,0.6091,13.2078,3.6088,1.0797,0.4319,0.4238
"B_172","6","Limpet","Lottia_sp","LIMPET","PC",0.2039,0,6.6732,0.5062,28.8778,7.6248,0.0294,0.7995,0,0,0.5233,0,0.0594,14.8711,15.1986,3.087,0,2.9774,0.6673,0.4496,1.5745,0.6098,7.1075,8.5005,2.0574,0.7382,0.8002,0.5164,1.5306,12.3333,60.3479,0.2879,0.044,4.9455,0.066,0.8095,0.4308,9.0512,2.7098,0.8026,0.3132,0.3552
"B_179","6","Idotea","Idotea_rascata","IDORES","PC",0.1148,0,0.2266,0.2709,10.4267,1.4556,0.0066,0.0419,0,0,0.21,0,0.0934,5.8581,2.5185,3.9668,0,0.9308,0.7212,0.0886,0.1813,0.2012,0.0918,0.5416,0,0.4362,0.3585,0.0954,0.2487,2.9796,25.7299,0.6865,0.1675,0,0.0452,0.2438,0,0.526,4.7182,0.0351,0.0803,0.1454
"B_180","6","Idotea","Idotea_rascata","IDORES","PC",0.2285,0,1.7099,0.3942,12.5572,3.1077,0.0305,0.2969,0,0,0.2409,0,0.1265,6.1095,2.9582,4.1921,0,1.3239,1.1234,0.2153,0.636,0.2629,0.1787,0.6116,0,0.5303,0.4401,0.1964,0.5693,3.0138,29.2699,0.7748,0.2733,0.8156,0.1493,0.3483,0,0.9653,6.4926,0.182,0.1271,0.1883
"B_182","6","Butter clam","Saxidomus gigantea","CLMBUT","PC",0.7171,0,1.2235,0.5396,28.0959,2.9742,0.0161,0.056,0,0,0.9726,0,0.0365,9.9333,2.2207,1.5214,0,1.7903,0.4489,0.0708,1.4865,0.1072,7.3511,3.6385,0,1.6753,0.1866,0.4159,1.5444,3.3215,25.5115,0.0326,0.2369,0.0418,0.125,1.8897,0.8865,7.0085,29.8697,0.0817,0.6042,2.5566
"B_183","6","Bentnose Macoma","Macoma nasuta","CLMBEN","PC",0.4634,0,0.6987,1.5498,11.0802,1.1829,0.0076,0.0074,0,0,1.4646,0,0.8742,6.959,0.2161,2.5199,0,0.5155,0.3486,0.1112,0.4627,0.0536,3.1229,6.8393,0,0.1836,0.0494,0.1397,0.1947,4.5926,7.7122,0.0331,0.2778,0,0.0852,0.4798,0.798,3.7645,6.0752,0.0468,0.2587,1.2332
"B_184","6","Pointed Macoma","Macoma inquinata","CLMPOI","PC",0.5457,0,1.1128,1.2281,14.3112,2.1595,0.0116,0.0195,0,0,1.4468,0,0.5507,10.1828,0.2683,3.2698,0,0.5102,0.2471,0.1116,0.5251,0.1257,3.9264,8.8045,0,0.3466,0.031,0.266,0.4255,4.5948,13.5077,0.0327,0.2186,5e-04,0.1168,0.9357,0.8596,5.374,10.5847,0.0358,0.3777,1.5407
"B_185","6","Helmet crab","Telmessus cheiragonus","CRBHEL","SC",0.6186,0,0.7587,0.7737,20.6425,1.9874,0.0077,0.0634,0,0,1.558,0,0.5601,8.1366,4.1013,5.2735,0,2.0772,0.6885,0.1862,0.4632,0.346,0.8143,1.2246,0,1.148,0.307,0.2026,0.5948,4.358,52.83,0.1987,0.2774,0,0.0497,1.0484,0.3087,4.1163,21.5329,0.0524,0.1108,0.5498
"B_186","6","Helmet crab","Telmessus cheiragonus","CRBHEL","SC",0.2566,0,0.7852,0.5921,20.2587,1.6617,0.0087,0.0584,0,0,1.0379,0,0.3008,7.8849,4.2326,4.8435,0,1.7519,0.418,0.1412,0.3679,0.2819,0.8478,0.9657,0,1.0474,0.2695,0.134,0.4469,3.5334,51.5236,0.1915,0.2521,0,0.067,1.0403,0.1388,3.1078,20.5325,0.0281,0.0689,0.3744
"B_191","6","Staghorn sculpin","Leptocottus armatus","SCULPSTG","SC",0.1087,0,0.5128,0.2949,18.4092,0.9198,0.0145,0.0284,0,0,0.5375,0,0.1436,9.5885,2.2055,5.6905,0,1.2877,0.4987,0.0576,0.2904,0.1049,0.5843,0.6756,0,0.4563,0.1952,0.1612,0.6492,3.8825,22.0459,0.0182,0.136,0,0.0831,0.2081,0.5141,8.4213,32.8894,0.0437,0.0633,0.3005
"B_192","6","Staghorn sculpin","Leptocottus armatus","SCULPSTG","SC",0.233,0,0.9898,0.3404,25.3421,1.8559,0.0178,0.0994,0,0,0.5688,0,0.1287,10.4833,3.1155,7.1767,0,1.6104,0.6676,0.0704,0.6075,0.0962,0.5805,0.8311,0,0.4585,0.1481,0.2238,1.0345,4.2821,26.7328,0.0214,0.166,0,0.1207,0.3426,0.7643,11.1821,43.4486,0.0733,0.1223,0.544
"B_195","6","Graceful crab","Metacarcinus gracilis","CRBDUN","SC",0.3631,0,0.6491,0.7427,25.5275,2.9613,0.0048,0.0615,0,0,1.3276,0,0.4532,6.749,3.4977,7.8796,0,4.3467,0.6712,0.096,0.5409,0.2659,0.5247,0.7385,0,2.6608,0.3837,0.1326,0.4922,4.1196,44.6907,0.2052,0.2294,0,0.0634,0.5817,0.5135,5.2775,32.061,0.0385,0.1496,0.636
"B_197","6","Graceful crab","Metacarcinus gracilis","CRBDUN","SC",0.3031,0,0.9342,0.7846,25.7225,3.9086,0.0081,0.1481,0,0,1.2554,0,0.4046,6.8171,3.5632,6.4055,0,4.0446,0.8722,0.1357,0.503,0.2438,0.5846,0.6119,0,2.0258,0.3181,0.1088,0.3536,3.4054,48.9092,0.2025,0.1975,0,0.0453,1.1565,0.4327,5.2171,25.5916,0.0227,0.1305,0.5849
"B_198","6","Helmet crab","Telmessus cheiragonus","CRBHEL","SC",0.1048,0,0.8333,0.3017,24.2846,1.1639,0.0048,0.0347,0,0,0.6972,0,0.073,9.0557,3.6676,5.6776,0,3.4144,0.8714,0.2726,0.4666,0.3937,0.6863,0.6383,0,1.6813,0.5609,0.2025,0.6373,6.3245,52.3185,0.2061,0.2313,0,0.0355,0.9712,0.1344,3.4464,28.5295,0.0268,0.0529,0.2695
"B_201","6","Helmet crab","Telmessus cheiragonus","CRBHEL","SC",0.1799,0,0.6542,0.5345,23.2941,1.4128,0.0059,0.0379,0,0,1.0267,0,0.1473,9.031,4.4379,6.3182,0,3.6649,0.9864,0.2206,0.5255,0.4026,0.8938,0.6768,0,1.6368,0.4397,0.2158,0.6314,7.9521,56.288,0.233,0.1608,0.0019,0.0338,0.8157,0.1624,3.5923,25.7909,0.0227,0.0792,0.3328
"B_202","6","Helmet crab","Telmessus cheiragonus","CRBHEL","SC",0.2374,0,0.9234,0.4737,24.3233,1.6165,0.0085,0.071,0,0,0.9622,0,0.168,9.3378,3.5867,6.0002,0,3.4054,1.0285,0.2772,0.6785,0.4598,0.9205,0.8332,0,1.4521,0.4896,0.2051,0.6579,7.8317,57.9186,0.2653,0.2518,0.0085,0.0394,1.2741,0.2103,3.3415,24.378,0.0252,0.0963,0.4752
"B_204","6","Graceful crab","Metacarcinus gracilis","CRBDUN","SC",0.4131,0,0.5178,0.7644,23.5392,2.5847,0.068,0.0216,0,0,1.3648,0,0.2771,8.5699,4.0118,6.2014,0,4.4967,0.9948,0.0903,0.2997,0.3851,0.8267,1.0034,0,3.7406,0.8858,0.2207,0.5413,4.8965,44.6487,0.2417,0.2033,0,0.0532,0.6152,1.0212,8.1215,22.677,0.0291,0.1955,0.8815
"B_205","6","Graceful crab","Metacarcinus gracilis","CRBDUN","SC",0.905,0,0.6013,1.6266,27.7726,6.6388,0.011,0.1238,0,0,2.6025,0,2.3741,7.1172,4.6973,5.7546,0,2.6209,0.4505,0.1267,0.2976,0.2558,0.7025,0.994,0,1.3581,0.1889,0.1562,0.4403,5.337,50.8922,0.13,0.3515,0,0.0947,1.2938,0.7282,7.9537,27.9087,0.0724,0.3433,1.5859
"B_207","6","Graceful crab","Metacarcinus gracilis","CRBDUN","SC",0.8655,0,0.4316,1.0586,21.1171,3.3656,0.0074,0.0498,0,0,2.1907,0,1.4065,6.7157,4.2156,5.9153,0,1.9019,0.3073,0.065,0.1028,0.2713,0.4322,1.0014,0,1.2779,0.1868,0.1609,0.2662,4.4666,42.6986,0.1799,0.3537,0,0.0803,0.715,0.7091,6.9453,22.0405,0.0727,0.2152,1.0073
"B_208","6","Particulate organic matter","Particulate organic matter","POM","PP",0.0842,0,22.2907,1.1055,27.4278,18.1852,0.9045,4.2875,1.8204,5.0619,0.3507,0,0.0474,3.0046,1.0701,2.3776,0,2.5631,1.1756,0.9032,4.8762,0.2082,0.3185,0.5117,0.0144,0.2411,0.0915,0.2166,1.0677,1.6641,26.8085,0.1343,0.3333,0.0484,0.0602,0.1482,0.0944,1.3116,11.6247,0.307,0.1277,0.1471
"B_209","6","Particulate organic matter","Particulate organic matter","POM","PP",0.0561,0,22.6645,1.0288,26.897,19.4009,1.08,4.2881,1.9258,5.6936,0.2628,0,0.0602,2.0798,0.9215,1.6427,0,2.4934,1.0146,0.9504,5.0236,0.1682,0.1872,0.3534,0.0091,0.2076,0.0855,0.2628,1.0529,1.3195,27.548,0.1399,0.2484,0.0787,0.0369,0.133,0.0848,1.1693,10.7483,0.2738,0.099,0.0987
"B_212","6","Particulate organic matter","Particulate organic matter","POM","PP",0.0583,0,26.6917,1.0632,28.3203,22.7541,1.7311,6.4668,3.8906,9.6057,0.219,0,0.0556,2.0662,0.8764,1.9753,0,2.7699,0.9481,1.2749,6.6199,0.1527,0.1699,0.2927,0.007,0.1188,0.0565,0.2837,1.2362,1.534,38.591,0.1556,0.2729,0.0714,0.0306,0.1046,0.0538,1.0298,10.3005,0.3071,0.1066,0.1009
"B_213","6","Particulate organic matter","Particulate organic matter","POM","PP",0.0562,0,25.1102,0.9924,26.463,21.3141,1.5192,6.2425,3.8027,8.7874,0.2219,0,0.0643,1.991,0.8114,2.0465,0,2.5549,0.912,1.2314,5.9362,0.1396,0.1831,0.3842,0.0075,0.1185,0.0576,0.2584,1.192,1.5126,35.7587,0.1342,0.2487,0.0521,0.0338,0.1246,0.0614,1.0256,9.9394,0.279,0.0983,0.096
"B_217","6","Particulate organic matter","Particulate organic matter","POM","PP",0.0499,0,28.7243,1.0328,28.7091,25.1747,1.9702,6.2724,2.9319,11.1612,0.2214,0,0.0833,1.9965,0.7212,1.8299,0,3.2155,1.1436,1.4002,7.4633,0.1648,0.1139,0.23,0.0102,0.1188,0.0728,0.3656,1.9214,1.6983,47.5905,0.1423,0.1541,0.0626,0.0251,0.1044,0.0539,0.8772,9.6815,0.309,0.0969,0.0947
"B_218","6","Particulate organic matter","Particulate organic matter","POM","PP",0.0648,0,36.3912,1.4579,37.5159,32.4039,2.904,8.6291,4.0353,15.1485,0.2894,0,0.1278,2.4983,0.9134,2.1887,0,4.0941,1.6026,1.8926,10.5196,0.1971,0.1357,0.2798,0.0082,0.1322,0.0939,0.4492,2.3829,2.2414,61.0088,0.1826,0.2169,0.0742,0.0336,0.1159,0.0709,1.1417,12.8635,0.3966,0.1249,0.1166
"B_228","6","Particulate organic matter","Particulate organic matter","POM","PP",0.1122,0,27.9863,1.7451,35.5752,24.582,1.7706,6.3397,1.9614,8.3688,0.4997,0,0.1427,3.9704,1.7506,3.3235,0,4.0895,2.4827,2.2374,7.5734,0.7398,0.6419,1.0878,0.078,0.5354,0.2697,0.4834,1.6128,1.4035,35.0615,0.4336,0.4562,0.1216,0.0666,0.3846,0.1931,2.5352,22.5055,0.4086,0.1526,0.2454
"B_229","6","Particulate organic matter","Particulate organic matter","POM","PP",0.1303,0,30.8459,1.953,39.4476,28.1696,2.6297,9.5427,3.4828,14.8777,0.6283,0,0.1077,4.8971,1.9283,5.1746,0,4.9576,2.8077,2.9614,10.4016,0.7854,0.7439,1.106,0.0855,0.4856,0.2412,0.583,2.3083,2.0396,50.9437,0.5347,0.5075,0.1728,0.0993,0.5162,0.2161,3.2463,27.9773,0.4722,0.1842,0.2855
