"site","date_set","YYYYMMDD_set","time_set","date_pulled","YYYYMMDD_pulled","time_pulled","time_soak_hr","string","sp_code","mass_g"
"2017_H_04","6/24/2017",20170624,1110,"6/25/2017",20170625,1235,24.78,"1","UNRKCB",0
"2017_H_04","6/24/2017",20170624,1110,"6/25/2017",20170625,1235,24.78,"2","CRABDEC",0
"2017_H_04","6/24/2017",20170624,1110,"6/25/2017",20170625,1235,24.78,"3","UNRKCB",0
"2017_H_04","6/24/2017",20170624,1110,"6/25/2017",20170625,1235,24.78,"2","CRABGRA",0
"2017_H_04","6/24/2017",20170624,1110,"6/25/2017",20170625,1235,24.78,"3","CRABGRA",0
"2017_H_04","6/24/2017",20170624,1110,"6/25/2017",20170625,1235,24.78,"2","UNRKCB",0
"2017_H_04","6/24/2017",20170624,1110,"6/25/2017",20170625,1235,24.78,"3","CRABDEC",0
"2017_H_04","6/24/2017",20170624,1110,"6/25/2017",20170625,1235,24.78,"3","CRABDUN",56.2722562338801
"2017_H_04","6/24/2017",20170624,1110,"6/25/2017",20170625,1235,24.78,"1","CRABHEL",43.5678152438258
"2017_H_04","6/24/2017",20170624,1110,"6/25/2017",20170625,1235,24.78,"1","CRABDEC",0
"2017_H_04","6/24/2017",20170624,1110,"6/25/2017",20170625,1235,24.78,"1","CRABDUN",48.714696278259
"2017_H_04","6/24/2017",20170624,1110,"6/25/2017",20170625,1235,24.78,"1","CRABGRA",0
"2017_H_04","6/24/2017",20170624,1110,"6/25/2017",20170625,1235,24.78,"1","CRABRR",0
"2017_H_04","6/24/2017",20170624,1110,"6/25/2017",20170625,1235,24.78,"2","CRABDUN",0
"2017_H_05","8/8/2017",20170808,920,"8/9/2017",20170808,1353,28.55,"2","CRABGRA",0
"2017_H_05","8/8/2017",20170808,920,"8/9/2017",20170808,1353,28.55,"2","CRABRR",0
"2017_H_05","8/8/2017",20170808,920,"8/9/2017",20170808,1353,28.55,"2","UNRKCB",0
"2017_H_05","8/8/2017",20170808,920,"8/9/2017",20170808,1353,28.55,"3","CRABDEC",0
"2017_H_05","8/8/2017",20170808,920,"8/9/2017",20170808,1353,28.55,"2","CRABHEL",0
"2017_H_05","8/8/2017",20170808,920,"8/9/2017",20170808,1353,28.55,"3","CRABGRA",0
"2017_H_05","8/8/2017",20170808,920,"8/9/2017",20170808,1353,28.55,"3","CRABHEL",0
"2017_H_05","8/8/2017",20170808,920,"8/9/2017",20170808,1353,28.55,"3","CRABRR",0
"2017_H_05","8/8/2017",20170808,920,"8/9/2017",20170808,1353,28.55,"3","UNRKCB",0
"2017_H_05","8/8/2017",20170808,920,"8/9/2017",20170808,1353,28.55,"1","CRABRR",0
"2017_H_05","8/8/2017",20170808,920,"8/9/2017",20170808,1353,28.55,"1","UNRKCB",0
"2017_H_05","8/8/2017",20170808,920,"8/9/2017",20170808,1353,28.55,"2","CRABDEC",14.309505671341
"2017_H_05","8/8/2017",20170808,920,"8/9/2017",20170808,1353,28.55,"2","CRABDUN",152.825548303303
"2017_H_05","8/8/2017",20170808,920,"8/9/2017",20170808,1353,28.55,"1","CRABHEL",0
"2017_H_05","8/8/2017",20170808,920,"8/9/2017",20170808,1353,28.55,"1","CRABDEC",0
"2017_H_05","8/8/2017",20170808,920,"8/9/2017",20170808,1353,28.55,"1","CRABDUN",174.388581136077
"2017_H_05","8/8/2017",20170808,920,"8/9/2017",20170808,1353,28.55,"1","CRABGRA",0
"2017_H_05","8/8/2017",20170808,920,"8/9/2017",20170808,1353,28.55,"3","CRABDUN",24.8417455730942
"2017_H_06","8/8/2014",20170808,1017,"8/9/2017",20170808,1035,24.3,"1","CRABHEL",45.6345369456223
"2017_H_06","8/8/2014",20170808,1017,"8/9/2017",20170808,1035,24.3,"1","CRABRR",0
"2017_H_06","8/8/2014",20170808,1017,"8/9/2017",20170808,1035,24.3,"1","UNRKCB",0
"2017_H_06","8/8/2014",20170808,1017,"8/9/2017",20170808,1035,24.3,"2","CRABDEC",9.00605207451753
"2017_H_06","8/8/2014",20170808,1017,"8/9/2017",20170808,1035,24.3,"2","CRABDUN",0
"2017_H_06","8/8/2014",20170808,1017,"8/9/2017",20170808,1035,24.3,"2","CRABGRA",55.8552083763171
"2017_H_06","8/8/2014",20170808,1017,"8/9/2017",20170808,1035,24.3,"2","CRABHEL",35.0476759198575
"2017_H_06","8/8/2014",20170808,1017,"8/9/2017",20170808,1035,24.3,"2","CRABRR",0
"2017_H_06","8/8/2014",20170808,1017,"8/9/2017",20170808,1035,24.3,"2","UNRKCB",0
"2017_H_06","8/8/2014",20170808,1017,"8/9/2017",20170808,1035,24.3,"3","CRABDEC",0
"2017_H_06","8/8/2014",20170808,1017,"8/9/2017",20170808,1035,24.3,"1","CRABDEC",9.79938265326807
"2017_H_06","8/8/2014",20170808,1017,"8/9/2017",20170808,1035,24.3,"1","CRABDUN",0
"2017_H_06","8/8/2014",20170808,1017,"8/9/2017",20170808,1035,24.3,"1","CRABGRA",42.4579186455904
"2017_H_06","8/8/2014",20170808,1017,"8/9/2017",20170808,1035,24.3,"3","CRABRR",0
"2017_H_06","8/8/2014",20170808,1017,"8/9/2017",20170808,1035,24.3,"3","UNRKCB",0
"2017_H_06","8/8/2014",20170808,1017,"8/9/2017",20170808,1035,24.3,"3","CRABDUN",40.9201862198533
"2017_H_06","8/8/2014",20170808,1017,"8/9/2017",20170808,1035,24.3,"3","CRABGRA",37.9371098232429
"2017_H_06","8/8/2014",20170808,1017,"8/9/2017",20170808,1035,24.3,"3","CRABHEL",0
"2017_H_07","8/6/2017",20170806,1216,"8/7/2017",20170806,1114,23.97,"1","UNRKCB",0
"2017_H_07","8/6/2017",20170806,1216,"8/7/2017",20170806,1114,23.97,"2","CRABDUN",0
"2017_H_07","8/6/2017",20170806,1216,"8/7/2017",20170806,1114,23.97,"2","CRABGRA",0
"2017_H_07","8/6/2017",20170806,1216,"8/7/2017",20170806,1114,23.97,"2","CRABHEL",85.1730463481813
"2017_H_07","8/6/2017",20170806,1216,"8/7/2017",20170806,1114,23.97,"3","CRABDUN",79.5584371800867
"2017_H_07","8/6/2017",20170806,1216,"8/7/2017",20170806,1114,23.97,"2","CRABRR",209.841990768478
"2017_H_07","8/6/2017",20170806,1216,"8/7/2017",20170806,1114,23.97,"2","UNRKCB",0
"2017_H_07","8/6/2017",20170806,1216,"8/7/2017",20170806,1114,23.97,"3","CRABDEC",0
