site,place_name,latitude,longitude,sea_otter_tr
2018_H_01,Kaguk Cove,55.735283,-133.295189,high
2018_H_02,Gaktu Cove,55.738953,-133.313514,high
2018_H_03,Nossuk Bay,55.706493,-133.341566,high
2018_L_01,North Pass,55.229743,-132.924047,low
2018_L_02,Natzuhini,55.249258,-132.881141,low
2018_L_03,Sukkwan,55.189095,-132.84324,low
