"ID","Batch","Species_common","Species_scientific","sp_code","sp_group","a.C17.0","C14.0","C15.0","C16.0","C16.1w7","C16.2w6","C16.3w3","C16.4w3","C17.0","C17.3w","C18.0","C18.1w7","C18.1w9","C18.2w6","C18.3w3","C18.3w6","C18.4w3","C20.0","C20.1w7","C20.1w9","C20.2w6","C20.3w6","C20.4w3","C20.4w6","C20.5w3","C22.0","C22.1w9","C22.2w","C22.4w6","C22.5w3","C22.6w3","i.C17.0"
"B_001","1","Butter clam","Saxidomus gigantea","CLMBUT","PC",0.017656546044486,0.0250143690718305,0.010426610647454,0.32281262168848,0.0210908005379724,0.00281341640581644,0,0,0.0175721839569447,0,0.113738373619051,0.0105722066532024,0.00841673093441552,0.0151069022301365,0.00589849127288485,0.00107534841298334,0.000110485772783264,0.00120786167716261,0.0323585659849527,0.00373419619796024,0.004729905685694,0.000945942125768839,0.00467562415091927,0.0209689178721075,0.119164743719612,0.000732633527873283,0.0331156234169482,0.00324779407770343,0.0102244899531581,0.0276404194407756,0.123239202659427,0.0417089922614957
"B_002","1","Butter clam","Saxidomus gigantea","CLMBUT","PC",0.0188457985706737,0.0156669366408422,0.0104278031609733,0.313141833462269,0.0128081076406647,0.00198757794756773,0,0,0.0211043752185007,0,0.141675161286995,0.00681356587947668,0.0093144307093802,0.00625534286660729,0.00272244808226962,0.000389343217947786,0,0.00131458434043517,0.0281910841522919,0.0052699406997947,0.00516891779764069,0.000717334083761948,0.0025606684818862,0.0253585354023681,0.0746867557378924,0.000479763480606855,0.0410992139965515,0.00453416517115841,0.0224229623531722,0.0384073586988021,0.144098019281603,0.0445379716378679
"B_004","3","Pointed Macoma","Macoma inquinata","CLMPOI","PC",0.0147276001166579,0.0274862950693345,0.0252250771655831,0.273663089798498,0.0294468189413797,0.000802265766880317,5.7697299559885e-07,1.21467999073442e-07,0.0250304854310675,0,0.174518661796772,0.00270928298533359,0.0229304859290863,0.00464867142553993,0.00302701290390995,0.00127435114527925,0.00453297315642248,0.00190240143448848,0.0146651959321339,0.0539575428044119,0.00129964685608629,0.00118291610897672,0.00228648324755871,0.0472945371832373,0.12134902116835,0.000509376054114479,0.000615205048307216,0,0.00792766969352774,0.0262637196586603,0.0738676662025374,0.0368548485348712
"B_005","1","Fucus","Fucus sp.","FUCUS","PP",0,0.198062720093606,0.0094987368339422,0.324453124008808,0.0111714589332754,0.00431100321557801,0,0,0.0041537756776171,0,0.0277568570700734,0.000577947295996401,0.114126691592611,0.109803099126105,0.0517278332603697,0.00679043524844856,4.92254857615483e-05,0.0122635252211966,8.82049428125481e-07,0.000478890472340854,0.00124303038398338,0.0115420889753016,0.00478757719447126,0.0660922042083772,0.0378491240732423,0.00289715816860451,8.2066235176402e-05,4.45479509154283e-08,4.2953134272656e-05,6.2509684724529e-05,0.000175037808736901,0
"B_006","1","Fucus","Fucus sp.","FUCUS","PP",6.80265551453834e-09,0.186137389410335,0.00947724878053386,0.325057546894259,0.0104282056002222,0.00406280437419185,0,0,0.00468690039906214,0,0.0334501605518537,0.000298799840820582,0.12708700624294,0.105918074245502,0.0468928677061664,0.00697689193023221,3.96594816497585e-05,0.0149827263229714,0,0.000736387459448775,0.00149823725848847,0.0115937998067053,0.00260042391292051,0.0736337595983854,0.030817607696938,0.00334892690184068,0.000116420646475809,0,4.68158752510529e-05,2.61562104533999e-05,8.51352337644473e-05,4.081593308723e-08
"B_008","1","Ulva","Ulva sp.","ULVA","PP",8.23632201969374e-05,0.0217156217772561,0.00125824478826717,0.459341568348283,0.0081561332883226,0.0119872439494848,0.0502197481371582,0,0.000563620374176056,0,0.0147869517837403,0.0614135531967303,0.0142252385432066,0.12369481655335,0.158895406018058,0.0138846280394274,0.000145209511998366,0.00146316362458056,0.00449844702285744,0.00166539108538006,0.000662310084245401,0.0021946117592791,0.00239653621753729,0.00826804816813575,0.0128861990184856,0.00714968361187585,0.000477211178868817,6.59476119300299e-07,0.00280386075143917,0.0147775052339233,0.000385722235075075,3.03002541300138e-07
"B_009","1","Ulva","Ulva sp.","ULVA","PP",7.65357843075482e-05,0.0267066339361071,0.00265721778865181,0.457232416270442,0.0228909470354188,0.0180548999890413,0.0469024781291579,0,0.000573252705431504,0,0.0119183667218964,0.0537338950636652,0.0134139410298003,0.129913942704718,0.133590069043317,0.0158202879806437,9.83097204433971e-05,0.00212547115049172,0.00383238822752663,0.00176407166544132,0.000600354476489971,0.00247103069518834,0.00244576335830982,0.00977442361679276,0.0173672743003907,0.00806919740952371,0.000361399485050398,0,0.00276382234190886,0.0143514485569623,0.000490033200068337,1.27612812517796e-07
"B_015","1","Dungeness crab","Metacarcinus magister","CRBDUN","SC",0.0123728932330077,0.00661587186360638,0.0149255066524209,0.295349811721749,0.0236596486173946,0.000945242881470225,0,0,0.0198565405953521,0,0.0933324583653715,0.0222663539422387,0.0349614170604506,0.0137888420960036,0.00444618462475595,0.00052373831704482,9.11758583721471e-05,0.00324733494394807,0.00326882950242872,0.00239167343048101,0.00649574668658689,0.000505929723313263,0.0011884130165745,0.0331253924620613,0.243484125460963,0.00224560154654798,7.15656976003044e-05,0.000139507553452908,0.00355925453392301,0.0213917449133479,0.115907253009507,0.0198419416900256
"B_018","1","Idotea","Idotea_rascata","IDORES","PC",0.00250379466506424,0.0221775763206615,0.00652468113188716,0.318766575650571,0.0230113699566911,0.00205287753646862,0,0,0.00910214092729211,0,0.163472123828101,0.0436504494609045,0.0288714253824717,0.0189616550339141,0.0100468307564466,0.00308544178231086,5.0279013227912e-05,0.00561027712138895,0.0083804048202909,0.0126196224369459,0.0138943593755775,0.00223069855743636,0.00490525514287927,0.0389208292949395,0.194463488202638,0.0122195080612993,0.00110909855900303,2.11773017671912e-06,0.000226574357616723,0.00453790865674128,0.0446175462416062,0.0039850899954487
"B_019","1","Idotea","Idotea_rascata","IDORES","PC",0.00230381591681836,0.0368422819431608,0.00707119665958259,0.30512612777633,0.0399788694775261,0.00548074432822089,0,0,0.00414997735585119,0,0.125524422364548,0.0278181434227104,0.0404354877201189,0.019776066683036,0.0170435626768423,0.00528578752103407,9.4128713086742e-05,0.00479723877541002,0.00170210064875312,0.00546977951397244,0.00553429117934192,0.00297854961823047,0.00647810865195899,0.0414564444683609,0.220656042428385,0.0127095210325741,0.0016062368441809,6.28970663482838e-06,0.000416518350484191,0.00615533343867588,0.0496086995173626,0.00349423326680784
