region,site,latitude,longitude,date_yyyy.mm.dd,year,replicate,n_otter
"west prince of wales island, alaska",Big Tree Bay,55.56926,-133.239655,8/1/2018,2018,2,3
"west prince of wales island, alaska",Big Tree Bay,55.573719,-133.243469,8/1/2018,2018,2,2
"west prince of wales island, alaska",Big Tree Bay,55.575912,-133.242874,8/1/2018,2018,2,1
"west prince of wales island, alaska",Big Tree Bay,55.572601,-133.24382,8/1/2018,2018,2,1
"west prince of wales island, alaska",Big Tree Bay,55.573261,-133.24231,8/1/2018,2018,2,2
"west prince of wales island, alaska",Big Tree Bay,55.563648,-133.24382,8/1/2018,2018,2,3
"west prince of wales island, alaska",Big Tree Bay,55.561367,-133.244781,8/1/2018,2018,2,3
"west prince of wales island, alaska",Big Tree Bay,55.562725,-133.235916,8/1/2018,2018,2,1
"west prince of wales island, alaska",Big Tree Bay,55.563732,-133.235779,8/1/2018,2018,2,1
"west prince of wales island, alaska",Big Tree Bay,55.56424,-133.233795,8/1/2018,2018,2,1
"west prince of wales island, alaska",Big Tree Bay,55.56382,-133.230164,8/1/2018,2018,2,1
"west prince of wales island, alaska",Big Tree Bay,55.562832,-133.228546,8/1/2018,2018,2,1
"west prince of wales island, alaska",Big Tree Bay,55.564365,-133.225616,8/1/2018,2018,2,1
"west prince of wales island, alaska",Big Tree Bay,55.562843,-133.222885,8/1/2018,2018,2,4
"west prince of wales island, alaska",Big Tree Bay,55.557297,-133.231445,8/1/2018,2018,2,3
"west prince of wales island, alaska",Big Tree Bay,55.560383,-133.233398,8/1/2018,2018,2,1
"west prince of wales island, alaska",Blanquizal Bay,55.610851,-133.3797,8/5/2017,2018,2,1
"west prince of wales island, alaska",Blanquizal Bay,55.613522,-133.390121,8/5/2017,2018,2,2
"west prince of wales island, alaska",Blanquizal Bay,55.618225,-133.420349,8/5/2017,2018,2,2
"west prince of wales island, alaska",Blanquizal Bay,55.61319,-133.439087,8/5/2017,2018,2,1
"west prince of wales island, alaska",Blanquizal Bay,55.621204,-133.44194,8/5/2017,2018,2,1
"west prince of wales island, alaska",Blanquizal Bay,55.625046,-133.428375,8/5/2017,2018,2,1
"west prince of wales island, alaska",Blanquizal Bay,55.629696,-133.437851,8/5/2017,2018,2,1
"west prince of wales island, alaska",Blanquizal Bay,55.625381,-133.418106,8/5/2017,2018,2,1
"west prince of wales island, alaska",Blanquizal Bay,55.632233,-133.435104,8/5/2017,2018,2,52
"west prince of wales island, alaska",Blanquizal Bay,55.637421,-133.432312,8/5/2017,2018,2,2
"west prince of wales island, alaska",Blanquizal Bay,55.6315,-133.424042,8/5/2017,2018,2,1
"west prince of wales island, alaska",Blanquizal Bay,55.618866,-133.404007,8/5/2017,2018,2,1
"west prince of wales island, alaska",Blanquizal Bay,55.622704,-133.403503,8/5/2017,2018,2,2
"west prince of wales island, alaska",Blanquizal Bay,55.625313,-133.394104,8/5/2017,2018,2,1
"west prince of wales island, alaska",Blanquizal Bay,55.644024,-133.40918,8/5/2017,2018,2,1
"west prince of wales island, alaska",Blanquizal Bay,55.613934,-133.38649,6/25/2018,2018,1,1
"west prince of wales island, alaska",Blanquizal Bay,55.615826,-133.40889,6/25/2018,2018,1,1
"west prince of wales island, alaska",Blanquizal Bay,55.631531,-133.435638,6/25/2018,2018,1,36
"west prince of wales island, alaska",Blanquizal Bay,55.637405,-133.432663,6/25/2018,2018,1,1
"west prince of wales island, alaska",Blanquizal Bay,55.61681,-133.407501,6/25/2018,2018,1,1
"west prince of wales island, alaska",Blanquizal Bay,55.621155,-133.407852,6/25/2018,2018,1,1
"west prince of wales island, alaska",Blanquizal Bay,55.627777,-133.398987,6/25/2018,2018,1,4
"west prince of wales island, alaska",Blanquizal Bay,55.628536,-133.40657,6/25/2018,2018,1,3
"west prince of wales island, alaska",Blanquizal Bay,55.638103,-133.404953,6/25/2018,2018,1,1
"west prince of wales island, alaska",Blanquizal Bay,55.635418,-133.403946,6/25/2018,2018,1,1
"west prince of wales island, alaska",Blanquizal Bay,55.643497,-133.410248,6/25/2018,2018,1,1
"west prince of wales island, alaska",Blanquizal Bay,55.646755,-133.410156,6/25/2018,2018,1,1
"west prince of wales island, alaska",Chusini Cove 2,55.830921,-133.198334,7/6/2018,2018,1,1
"west prince of wales island, alaska",Chusini Cove 2,55.814926,-133.190964,7/6/2018,2018,1,31
"west prince of wales island, alaska",Chusini Cove 2,55.816231,-133.186447,7/6/2018,2018,1,3
"west prince of wales island, alaska",Chusini Cove 2,55.818256,-133.182419,7/6/2018,2018,1,1
"west prince of wales island, alaska",Chusini Cove 2,55.814758,-133.178497,7/6/2018,2018,1,3
"west prince of wales island, alaska",Chusini Cove 2,55.816265,-133.17923,7/6/2018,2018,1,1
"west prince of wales island, alaska",Chusini Cove 2,55.816895,-133.178818,7/6/2018,2018,1,1
"west prince of wales island, alaska",Chusini Cove 2,55.812908,-133.176697,7/6/2018,2018,1,2
"west prince of wales island, alaska",Chusini Cove 2,55.811142,-133.174576,7/6/2018,2018,1,1
"west prince of wales island, alaska",Chusini Cove 2,55.820961,-133.183426,7/6/2018,2018,1,3
"west prince of wales island, alaska",Chusini Cove 2,55.818676,-133.182999,7/6/2018,2018,1,1
"west prince of wales island, alaska",Chusini Cove 2,55.821598,-133.181885,7/6/2018,2018,1,2
"west prince of wales island, alaska",Chusini Cove 2,55.825981,-133.190613,7/6/2018,2018,1,2
"west prince of wales island, alaska",Chusini Cove 2,55.829708,-133.182327,7/6/2018,2018,1,10
"west prince of wales island, alaska",Chusini Cove 2,55.830521,-133.20137,7/6/2018,2018,1,1
"west prince of wales island, alaska",Chusini Cove 2,55.836777,-133.204468,7/6/2018,2018,1,1
"west prince of wales island, alaska",Chusini Cove 2,55.836849,-133.199829,7/6/2018,2018,1,3
"west prince of wales island, alaska",Chusini Cove 2,55.836983,-133.197067,7/6/2018,2018,1,2
"west prince of wales island, alaska",Chusini Cove 2,55.83736,-133.195328,7/6/2018,2018,1,3
"west prince of wales island, alaska",Chusini Cove 2,55.837616,-133.194687,7/6/2018,2018,1,2
"west prince of wales island, alaska",Chusini Cove 2,55.833118,-133.184769,7/6/2018,2018,1,9
"west prince of wales island, alaska",Chusini Cove 2,55.834564,-133.168945,7/6/2018,2018,1,1
"west prince of wales island, alaska",Chusini Cove 2,55.832047,-133.175385,7/6/2018,2018,1,1
"west prince of wales island, alaska",Chusini Cove 2,55.814598,-133.189606,7/6/2018,2018,1,8
"west prince of wales island, alaska",Chusini Cove 2,55.797665,-133.204895,7/27/2018,2018,2,1
"west prince of wales island, alaska",Chusini Cove 2,55.8074,-133.194626,7/27/2018,2018,2,1
"west prince of wales island, alaska",Chusini Cove 2,55.809235,-133.188507,7/27/2018,2018,2,1
"west prince of wales island, alaska",Chusini Cove 2,55.817467,-133.189529,7/27/2018,2018,2,1
"west prince of wales island, alaska",Chusini Cove 2,55.812695,-133.184326,7/27/2018,2018,2,9
"west prince of wales island, alaska",Chusini Cove 2,55.818203,-133.18158,7/27/2018,2018,2,1
"west prince of wales island, alaska",Chusini Cove 2,55.816948,-133.178955,7/27/2018,2018,2,1
"west prince of wales island, alaska",Chusini Cove 2,55.813297,-133.174988,7/27/2018,2018,2,2
"west prince of wales island, alaska",Chusini Cove 2,55.809944,-133.174911,7/27/2018,2018,2,1
"west prince of wales island, alaska",Chusini Cove 2,55.810753,-133.178085,7/27/2018,2018,2,2
"west prince of wales island, alaska",Chusini Cove 2,55.81039,-133.173386,7/27/2018,2018,2,1
"west prince of wales island, alaska",Chusini Cove 2,55.814304,-133.174225,7/27/2018,2018,2,1
"west prince of wales island, alaska",Chusini Cove 2,55.819801,-133.180878,7/27/2018,2018,2,1
"west prince of wales island, alaska",Chusini Cove 2,55.821213,-133.181931,7/27/2018,2018,2,1
"west prince of wales island, alaska",Chusini Cove 2,55.824432,-133.179794,7/27/2018,2018,2,1
"west prince of wales island, alaska",Chusini Cove 2,55.822525,-133.175858,7/27/2018,2018,2,1
"west prince of wales island, alaska",Chusini Cove 2,55.831886,-133.180878,7/27/2018,2018,2,1
"west prince of wales island, alaska",Chusini Cove 2,55.830849,-133.180603,7/27/2018,2018,2,1
"west prince of wales island, alaska",Chusini Cove 2,55.836586,-133.176453,7/27/2018,2018,2,13
"west prince of wales island, alaska",Chusini Cove 2,55.834503,-133.179245,7/27/2018,2018,2,2
"west prince of wales island, alaska",Chusini Cove 2,55.837357,-133.192566,7/27/2018,2018,2,1
"west prince of wales island, alaska",Chusini Cove 2,55.835983,-133.194794,7/27/2018,2018,2,1
"west prince of wales island, alaska",Chusini Cove 2,55.838661,-133.197754,7/27/2018,2018,2,1
"west prince of wales island, alaska",Chusini Cove 2,55.837757,-133.198547,7/27/2018,2018,2,1
"west prince of wales island, alaska",Dunbar Inlet,55.07901,-132.866409,7/24/2018,2018,1,2
