otter_region,site,latitude,longitude,core_letter,layer_number,layer_thickness,layer_volume,sample_volume,pan_number,pan_weight,pan_sed_ww_pre_60C,pan_sed_dw_post_60C,dry_bulk_density,pan_sed_dw_pre_450C,pan_sed_dw_post450C,crucible_weight,crucible_sed_dw_pre_950C,crucible_sed_dw_post_950C
Mid,M08,55.282137,-133.334028,A,14,1,19.625,19.625,14,1.28271,32.15986,21.93838,1.05252,21.93838,19.79296,,,
Mid,M08,55.282137,-133.334028,A,15,0.9,17.6625,17.6625,15,1.30049,32.1355,23.09045,1.23368,23.09045,21.00101,,,
Mid,M08,55.282137,-133.334028,A,16,0.9,17.6625,17.6625,16,1.28147,32.13356,22.79587,1.21808,22.79587,20.28688,,,
Mid,M08,55.282137,-133.334028,A,17,1,19.625,19.625,17,1.28899,36.21708,26.88213,1.30411,26.88213,24.52244,24.59652,49.98712,42.75714
Mid,M08,55.282137,-133.334028,A,18,0.9,17.6625,17.6625,18,1.29998,33.18968,24.28878,1.30156,24.28878,21.76751,,,
Mid,M08,55.282137,-133.334028,A,19,0.9,17.6625,17.6625,19,1.28554,35.22683,26.46217,1.42543,26.46217,23.93383,,,
Mid,M08,55.282137,-133.334028,A,20,0.9,17.6625,17.6625,20,1.27845,35.36879,27.27786,1.47201,27.27786,24.81731,,,
Mid,M08,55.282137,-133.334028,A,21,0.6,11.775,11.775,21,1.28702,19.90504,16.16541,1.26356,16.16541,14.74978,,,
Mid,M08,55.282137,-133.334028,A,22,1,19.625,19.625,22,1.29476,43.01749,33.88045,1.66042,33.88045,31.59354,26.58674,59.1133,39.64537
Mid,M08,55.282137,-133.334028,A,23,1,19.625,19.625,23,1.29699,38.91761,29.86146,1.45551,29.86146,27.42646,,,
Mid,M08,55.282137,-133.334028,A,24,1,19.625,19.625,24,1.29531,28.53306,20.93863,1.00093,20.93863,18.24924,,,
High,H06,55.739816,-133.312022,A,1,1.3,25.5125,25.5125,1,1.28734,40.37477,20.61909,0.75774,20.61909,18.10964,,,
High,H06,55.739816,-133.312022,A,2,1.1,21.5875,21.5875,2,1.29193,34.55639,21.8582,0.95269,21.8582,19.89152,24.85565,45.6349,42.94444
High,H06,55.739816,-133.312022,A,3,1.1,21.5875,21.5875,3,1.30293,36.36605,23.25126,1.01671,23.25126,20.85591,,,
High,H06,55.739816,-133.312022,A,4,1.1,21.5875,21.5875,4,1.29728,35.42625,23.34507,1.02132,23.34507,21.06854,,,
High,H06,55.739816,-133.312022,A,5,1.1,21.5875,21.5875,5,1.29565,36.39281,23.62767,1.03449,23.62767,21.46811,,,
High,H06,55.739816,-133.312022,A,6,0.9,17.6625,17.6625,6,1.29274,29.34109,17.69216,0.92849,17.69216,16.74542,,,
High,H06,55.739816,-133.312022,A,7,1.3,25.5125,25.5125,7,1.28584,43.07524,27.19021,1.01536,27.19021,26.04895,28.13691,55.32712,51.01805
High,H06,55.739816,-133.312022,A,8,1.1,21.5875,21.5875,8,1.28115,33.54461,21.52999,0.93799,21.52999,20.67434,,,
High,H06,55.739816,-133.312022,A,9,1.1,21.5875,21.5875,9,1.29037,36.7789,23.38618,1.02355,23.38618,22.46087,,,
High,H06,55.739816,-133.312022,A,10,1.1,21.5875,21.5875,10,1.28662,35.6711,22.40581,0.97831,22.40581,21.3553,,,
High,H06,55.739816,-133.312022,A,11,1.1,21.5875,21.5875,11,1.28526,34.65497,23.37565,1.0233,23.37565,20.90081,,,
High,H06,55.739816,-133.312022,A,12,1.2,23.55,23.55,12,1.2795,40.41406,28.76956,1.16731,28.76956,26.31159,28.68026,55.74638,52.03608
High,H06,55.739816,-133.312022,A,13,1.1,21.5875,21.5875,13,1.29357,38.49739,28.42158,1.25665,28.42158,26.18339,,,
High,H06,55.739816,-133.312022,A,14,1.2,23.55,23.55,14,1.2835,38.98153,27.2775,1.10378,27.2775,24.98793,,,
High,H06,55.739816,-133.312022,A,15,1.1,21.5875,21.5875,15,1.29214,36.55845,24.32171,1.0668,24.32171,22.11558,,,
