"","otter_region","site","latitude","longitude","core_letter","layer_number","layer_thickness","layer_volume","sample_volume","pan_number","pan_weight","pan_sed_ww_pre_60C","pan_sed_dw_post_60C","dry_bulk_density","pan_sed_dw_pre_450C","pan_sed_dw_post450C","crucible_weight","crucible_sed_dw_pre_950C","crucible_sed_dw_post_950C","sed_ww_pre_60C","na.rm","sed_dw_post_60C","sed_dw_pre_450C","sed_dw_post_450C","om_weight","sed_dw_pre_950C","sed_dw_post_950C","im_weight","om_percent","im_percent","om.im_ratio","om_density","im_density","core_depth"
"16","Low","L06",55.19112,-133.105314,"A",16,1.3,25.5125,25.5125,16,1.28411,45.3992,34.14238,1.28792827045566,34.14238,11.18173,NA,NA,NA,44.11509,TRUE,32.85827,32.85827,9.89762,22.96065,NA,NA,NA,69.8778420166369,NA,NA,29.5716702430377,NA,32
"17","Low","L06",55.19112,-133.105314,"A",17,1,19.625,19.625,17,1.27044,36.99406,28.6972,1.39754191082803,28.6972,11.57455,28.20961,38.73111,38.21217,35.72362,TRUE,27.42676,27.42676,10.30411,17.12265,10.5215,10.00256,0.518940000000001,62.4304511360438,4.93218647531246,32.9954329980344,23.9296209994395,0.725240399205096,34
"18","Low","L06",55.19112,-133.105314,"A",18,1.1,21.5875,21.5875,18,1.27591,41.85765,32.30245,1.43724562825709,32.30245,11.94743,NA,NA,NA,40.58174,TRUE,31.02654,31.02654,10.67152,20.35502,NA,NA,NA,65.6051883323116,NA,NA,29.2551635080857,NA,36
"19","Low","L06",55.19112,-133.105314,"A",19,1.1,21.5875,21.5875,19,1.27407,42.26951,31.5261,1.40136792125072,31.5261,11.18118,NA,NA,NA,40.99544,TRUE,30.25203,30.25203,9.90711,20.34492,NA,NA,NA,67.2514208137437,NA,NA,28.5107182484123,NA,38
"20","Low","L06",55.19112,-133.105314,"A",20,1.1,21.5875,21.5875,20,1.27525,34.22254,26.12619,1.15117266936885,26.12619,11.0349,NA,NA,NA,32.94729,TRUE,24.85094,24.85094,9.75965,15.09129,NA,NA,NA,60.7272400963505,NA,NA,17.3726805935194,NA,40
"21","Low","L06",55.19112,-133.105314,"A",21,1,19.625,19.625,21,1.28873,44.56082,34.22778,1.67842292993631,34.22778,10.97885,NA,NA,NA,43.27209,TRUE,32.93905,32.93905,9.69012,23.24893,NA,NA,NA,70.5816652271392,NA,NA,39.0215372084841,NA,42
"22","Low","L06",55.19112,-133.105314,"A",22,1.2,23.55,23.55,22,1.27349,44.7545,35.86514,1.46885987261146,35.86514,11.02654,27.1399,37.15038,36.66595,43.48101,TRUE,34.59165,34.59165,9.75305,24.8386,10.01048,9.52605,0.484429999999996,71.8051899808191,4.83922848854397,51.2738682575402,36.4844228318471,0.711559788089166,44
"23","Low","L06",55.19112,-133.105314,"A",23,1.2,23.55,23.55,23,1.26936,49.19373,39.73353,1.63329808917197,39.73353,11.05383,NA,NA,NA,47.92437,TRUE,38.46417,38.46417,9.78447,28.6797,NA,NA,NA,74.562118459855,NA,NA,46.8424992080255,NA,46
"24","Low","L06",55.19112,-133.105314,"A",24,1,19.625,19.625,24,1.26402,38.07285,30.08491,1.46858038216561,30.08491,11.08657,NA,NA,NA,36.80883,TRUE,28.82089,28.82089,9.82255,18.99834,NA,NA,NA,65.918644427705,NA,NA,27.9005894177121,NA,48
"25","Low","L06",55.19112,-133.105314,"A",25,1.1,21.5875,21.5875,25,1.27216,46.73594,37.41476,1.6742374059062,37.41476,11.27969,NA,NA,NA,45.46378,TRUE,36.1426,36.1426,10.00753,26.13507,NA,NA,NA,72.3109848212359,NA,NA,43.7563117999768,NA,50
