PreyCat,Season,C,N,Mean,SD,2.50%,5%,25%,50%,75%,95%,97.50%
Mussel,Fall,1.5,3.1,0.042,0.02,0.01,0.013,0.028,0.04,0.054,0.079,0.087
Mussel,Spring,1.5,3.1,0.187,0.119,0.003,0.007,0.103,0.183,0.249,0.403,0.481
Mussel,Summer,1.5,3.1,0.254,0.1,0.027,0.083,0.193,0.253,0.316,0.421,0.459
Mussel,Winter,1.5,3.1,0.025,0.049,0.001,0.001,0.005,0.012,0.027,0.076,0.122
Snail,Fall,1.5,3.1,0.045,0.016,0.019,0.021,0.033,0.044,0.055,0.074,0.082
Snail,Spring,1.5,3.1,0.017,0.014,0.002,0.003,0.007,0.013,0.022,0.043,0.054
Snail,Summer,1.5,3.1,0.026,0.019,0.003,0.005,0.012,0.021,0.034,0.063,0.072
Snail,Winter,1.5,3.1,0.017,0.021,0.001,0.002,0.005,0.011,0.021,0.047,0.065
Urchin,Fall,1.5,3.1,0.12,0.027,0.069,0.078,0.101,0.119,0.138,0.166,0.177
Urchin,Spring,1.5,3.1,0.155,0.044,0.073,0.087,0.124,0.152,0.183,0.23,0.247
Urchin,Summer,1.5,3.1,0.176,0.032,0.115,0.124,0.154,0.173,0.197,0.231,0.242
Urchin,Winter,1.5,3.1,0.081,0.051,0.01,0.017,0.047,0.073,0.104,0.175,0.219
Clam,Fall,1.8,2.8,0.727,0.036,0.654,0.665,0.702,0.728,0.752,0.786,0.795
Clam,Spring,1.8,2.8,0.762,0.097,0.586,0.611,0.694,0.756,0.832,0.927,0.947
Clam,Summer,1.8,2.8,0.602,0.082,0.455,0.479,0.552,0.598,0.651,0.737,0.769
Clam,Winter,1.8,2.8,0.914,0.056,0.799,0.825,0.891,0.923,0.949,0.974,0.981
Crab,Fall,1.8,2.8,0.1,0.023,0.058,0.064,0.084,0.099,0.115,0.14,0.15
Crab,Spring,1.8,2.8,0.021,0.014,0.003,0.005,0.011,0.018,0.029,0.049,0.056
Crab,Summer,1.8,2.8,0.034,0.019,0.007,0.009,0.02,0.031,0.045,0.07,0.08
Crab,Winter,1.8,2.8,0.03,0.03,0.003,0.004,0.011,0.022,0.039,0.083,0.114
Cucumber,Fall,1.8,2.8,0.028,0.015,0.007,0.009,0.017,0.026,0.036,0.056,0.063
Cucumber,Spring,1.8,2.8,0.012,0.011,0.001,0.001,0.005,0.009,0.016,0.034,0.043
Cucumber,Summer,1.8,2.8,0.034,0.027,0.002,0.004,0.013,0.027,0.048,0.087,0.099
Cucumber,Winter,1.8,2.8,0.008,0.009,0,0.001,0.003,0.006,0.011,0.026,0.034
Mussel,Fall,1.8,2.8,0.042,0.019,0.011,0.015,0.028,0.04,0.054,0.077,0.086
Mussel,Spring,1.8,2.8,0.135,0.078,0.002,0.006,0.075,0.141,0.192,0.256,0.276
Mussel,Summer,1.8,2.8,0.217,0.067,0.067,0.105,0.178,0.223,0.26,0.317,0.334
Mussel,Winter,1.8,2.8,0.017,0.027,0.001,0.001,0.004,0.009,0.021,0.058,0.075
Snail,Fall,1.8,2.8,0.053,0.019,0.022,0.026,0.039,0.051,0.064,0.086,0.095
Snail,Spring,1.8,2.8,0.018,0.013,0.002,0.003,0.008,0.015,0.024,0.044,0.052
Snail,Summer,1.8,2.8,0.027,0.019,0.004,0.005,0.013,0.023,0.036,0.065,0.075
Snail,Winter,1.8,2.8,0.018,0.019,0.001,0.002,0.006,0.012,0.023,0.056,0.069
Urchin,Fall,1.8,2.8,0.05,0.018,0.019,0.023,0.037,0.049,0.061,0.083,0.09
Urchin,Spring,1.8,2.8,0.052,0.03,0.005,0.008,0.029,0.049,0.071,0.103,0.113
Urchin,Summer,1.8,2.8,0.085,0.027,0.033,0.042,0.067,0.084,0.103,0.129,0.139
Urchin,Winter,1.8,2.8,0.012,0.012,0.001,0.001,0.004,0.008,0.016,0.036,0.045
Clam,Fall,1.8,3.1,0.73,0.041,0.647,0.661,0.704,0.733,0.759,0.792,0.802
Clam,Spring,1.8,3.1,0.728,0.15,0.345,0.477,0.648,0.737,0.835,0.936,0.955
Clam,Summer,1.8,3.1,0.573,0.118,0.296,0.361,0.509,0.579,0.643,0.759,0.807
Clam,Winter,1.8,3.1,0.923,0.057,0.818,0.843,0.903,0.933,0.955,0.977,0.982
Crab,Fall,1.8,3.1,0.086,0.021,0.048,0.054,0.071,0.084,0.098,0.122,0.13
Crab,Spring,1.8,3.1,0.015,0.011,0.002,0.003,0.008,0.013,0.02,0.035,0.043
Crab,Summer,1.8,3.1,0.025,0.015,0.005,0.006,0.014,0.022,0.034,0.054,0.062
Crab,Winter,1.8,3.1,0.019,0.018,0.002,0.003,0.007,0.014,0.025,0.049,0.061
Cucumber,Fall,1.8,3.1,0.022,0.012,0.005,0.006,0.013,0.02,0.029,0.045,0.051
Cucumber,Spring,1.8,3.1,0.008,0.007,0.001,0.001,0.003,0.006,0.011,0.022,0.027
Cucumber,Summer,1.8,3.1,0.019,0.017,0.001,0.002,0.006,0.014,0.025,0.051,0.063
Cucumber,Winter,1.8,3.1,0.006,0.007,0,0.001,0.002,0.004,0.008,0.021,0.025
Mussel,Fall,1.8,3.1,0.045,0.022,0.01,0.014,0.029,0.042,0.058,0.086,0.095
Mussel,Spring,1.8,3.1,0.152,0.109,0.002,0.005,0.067,0.147,0.216,0.33,0.399
Mussel,Summer,1.8,3.1,0.24,0.09,0.037,0.088,0.189,0.24,0.292,0.385,0.437
Mussel,Winter,1.8,3.1,0.019,0.028,0.001,0.001,0.004,0.01,0.023,0.064,0.088
Snail,Fall,1.8,3.1,0.045,0.016,0.019,0.022,0.034,0.044,0.055,0.074,0.081
