OtterID,SIN,N,C,distance,Season,Site
163528,414252,12.52,-13.52,2.1,Spring,Tonowek
163528,414253,12.94,-13.17,2.8,Spring,Tonowek
163528,414254,13.05,-13.25,3.5,Winter,Tonowek
163528,414255,13.29,-13.13,4.2,Winter,Tonowek
163528,414256,13.23,-13.04,4.9,Fall,Tonowek
163528,414257,13.35,-13.03,5.5,Fall,Tonowek
163528,414258,13.54,-13.01,6.2,Fall,Tonowek
163529,414259,12.5,-13.87,0,Summer,Tonowek
163529,414260,12.34,-14.85,0.5,Summer,Tonowek
163529,414261,12.37,-15.3,1.2,Spring,Tonowek
163529,414262,12.17,-15.89,2,Spring,Tonowek
163529,414263,12.08,-16.03,2.7,Spring,Tonowek
163529,414264,11.93,-16.05,3.4,Winter,Tonowek
163529,414265,12,-16.4,4,Winter,Tonowek
163529,414266,12.29,-15.95,4.7,Winter,Tonowek
163535,414267,12.55,-13.29,0,Summer,Tonowek
163535,414269,12.18,-13.46,1.4,Spring,Tonowek
163535,414270,12.95,-13.4,2.3,Spring,Tonowek
163535,414271,13.4,-12.72,2.9,Winter,Tonowek
163535,414272,13.06,-12.73,3,Winter,Tonowek
77281,414281,12.79,-13.65,0,Summer,Tonowek
77281,414282,12.4,-13.88,0.7,Spring,Tonowek
77281,414283,12.77,-13.74,1.5,Spring,Tonowek
77281,414284,13.49,-13.47,2.2,Winter,Tonowek
77281,414285,14.11,-13.21,2.8,Winter,Tonowek
77281,414286,14.04,-13.9,2.9,Winter,Tonowek
77281,414287,14.06,-13.54,3.6,Winter,Tonowek
77281,414288,13.95,-13.59,4.2,Fall,Tonowek
77281,414289,14.04,-13.7,5,Fall,Tonowek
163530,414290,12.46,-13.63,0,Summer,Tonowek
163530,414291,12.16,-13.59,0.6,Summer,Tonowek
163530,414292,12.18,-14.13,1.3,Spring,Tonowek
163530,414293,12.29,-13.8,2,Spring,Tonowek
163530,414294,13.57,-12.83,2.7,Spring,Tonowek
163530,414295,13.64,-12.63,3.4,Winter,Tonowek
163530,414296,13.23,-12.97,4.1,Winter,Tonowek
163530,414297,13.18,-13.32,4.7,Winter,Tonowek
163530,414298,12.46,-14.01,5.5,Fall,Tonowek
77284,414299,12.31,-13.39,0,Summer,Tonowek
77284,414300,11.85,-13.5,0.7,Spring,Tonowek
77284,414301,12.31,-13.54,1.5,Spring,Tonowek
77284,414302,13.09,-13,2.1,Winter,Tonowek
77284,414303,13.23,-12.9,2.8,Winter,Tonowek
77284,414304,12.94,-13.27,3.4,Winter,Tonowek
77284,414305,12.99,-13.2,4.1,Fall,Tonowek
77284,414306,12.94,-13.43,4.8,Fall,Tonowek
77284,414307,12.34,-13.27,5.5,Fall,Tonowek
77284,414308,12.49,-14.38,6.2,Summer,Tonowek
77284,414309,12.36,-13.59,6.9,Summer,Tonowek
77284,414310,12.27,-13.34,7.5,Summer,Tonowek
163536,414311,12.69,-13.44,0,Summer,Tonowek
163536,414312,12.09,-13.61,0.8,Summer,Tonowek
163536,414313,11.94,-13.87,1.4,Spring,Tonowek
163536,414314,12.08,-13.83,2.1,Spring,Tonowek
163536,414315,12.22,-14.09,2.8,Spring,Tonowek
163536,414316,12.24,-14.28,3.4,Winter,Tonowek
163536,414317,12.48,-14.77,4.2,Winter,Tonowek
163536,414318,12.96,-14.28,4.9,Fall,Tonowek
163536,414319,11.7,-15.2,5.5,Fall,Tonowek
163536,414320,12.76,-13.95,6.3,Fall,Tonowek
163536,414321,12.96,-14,7,Summer,Tonowek
77280,414322,11.96,-14.09,0,Summer,Tonowek
77280,414323,11.9,-13.95,0.7,Spring,Tonowek
77280,414324,12.28,-13.69,1.5,Spring,Tonowek
77280,414325,12.45,-13.64,2.1,Winter,Tonowek
77280,414326,12.96,-13.39,2.8,Winter,Tonowek
77280,414327,13.27,-13.24,3.5,Winter,Tonowek
77280,414328,13.06,-13.34,4.2,Fall,Tonowek
77280,414329,12.65,-13.41,4.9,Fall,Tonowek
