OtterID,correlation
200752,-0.7698441163046892
200765,-0.7382876096317913
200755,-0.6618919609137268
163524,-0.5585076248666088
163525,-0.5423247112787692
163523,-0.4732398242892968
200768,-0.4523461171396791
200751,-0.4331904542663182
163520,-0.3647795160275942
200757,-0.09797708953679209
200767,-0.09036162497773575
163526,0.016760174650971047
200763,0.03094558263817707
163534,0.09249378297973561
200769,0.13640277140439713
163522,0.15053808010720998
200754,0.2246008764469129
163531,0.24171285831311734
163536,0.2773438400005251
77299,0.39926738730125994
77281,0.43741599627425515
163535,0.45206149646087906
77284,0.48042496983524025
200771,0.4971363302501911
160480,0.5276583954724268
77298,0.5796020929457023
163528,0.5923019523363272
200762,0.597386772278636
200760,0.656082546191413
200758,0.7447141373077191
77285,0.7652541225611574
77286,0.7741292193953541
163521,0.7768924599100301
160478,0.8040602762455457
200772,0.8173220042128664
77280,0.8178869521829448
163529,0.8504680159560123
163533,0.8567155177344834
200766,0.8670822933627121
77297,0.8685720490910308
163527,0.8803602900018263
77300,0.89748144803847
163530,0.9228039822763868
160479,0.9329216634924109
77287,0.9699187606226222
