SIN,N,C ,Size,Species,Weight,Dissectwt,Sex,Site,Season,SiteNumber,Tissue,Tray,PercentN,PercentC,CN
404272,8.25,-20.17,40,mtr,7.39,3.44,,Soda Bay,Summer,15,,7,9.145809897,41.75325018,4.565287344
404273,8.2,-20.04,37.5,mtr,6.94,3.53,,Soda Bay,Summer,15,,7,8.818731182,42.79956205,4.85325623
404274,10.18,-18.88,61,cam,46.22,0.7,,Soda Bay,Winter,8,gonads,8,10.23486944,50.09291763,4.894338705
404290,8.59,-19.41,41,mtr,5.03,2.26,,Soda Bay,Winter,8,,8,10.734704,39.59789473,3.688773788
404292,8.31,-19.46,40,mtr,4.79,1.19,,Soda Bay,Winter,8,,8,9.786665788,40.82483346,4.171475184
404293,8.3,-18.92,31,mtr,2.33,1.32,,Soda Bay,Winter,9,,8,10.44158728,41.68626753,3.992330517
404294,8.24,-19.09,34,mtr,3.4,1.51,,Soda Bay,Winter,9,,8,10.4125931,40.19576413,3.860302976
404295,8.08,-18.98,29,mtr,3.15,1.45,,Soda Bay,Winter,9,,8,10.59194331,40.25186874,3.800234533
404296,11.27,-16.62,17,map,2.22,0.33,,Soda Bay,Winter,9,,6,12.1799971,42.99626564,3.530071911
404297,11.76,-16.39,16,map,2.74,0.78,,Soda Bay,Winter,9,,6,11.97981586,42.28707528,3.529860207
404298,11,-16.8,16,map,2.17,0.77,,Soda Bay,Winter,9,,6,12.68843726,41.98442948,3.308873158
404299,10.63,-16.49,67,cef,33.7,1.4,,Soda Bay,Winter,9,,7,11.42718034,41.12669541,3.599023922
404300,10.41,-16.73,69,cef,32.22,2.16,,Soda Bay,Winter,9,,7,10.51396733,42.16552013,4.010429061
404302,6.77,-13.73,40.5,std,24.31,9.52,,Soda Bay,Winter,9,,7,6.15180644,26.63671917,4.329902026
404303,7.34,-16.61,36,std,16.52,7.75,,Soda Bay,Winter,9,,7,7.886199123,39.83758762,5.05155741
404304,7.16,-16.01,39,std,18.64,5.16,,Soda Bay,Winter,9,,7,6.455602523,37.69099415,5.838493621
404306,7.49,-11.91,25,stf,17.81,4.06,,Soda Bay,Winter,9,,7,2.236050627,13.41184544,5.998006159
404307,8.15,-12.22,26,stf,7.53,2.1,,Soda Bay,Winter,9,,7,1.901789956,10.52925593,5.536497816
