,MeanC,SDC,MeanN,SDN,n
Clam,-16.22254618,0.635462791,10.18931034,1.007230755,20
Crab,-14.7441629,1.208917703,12.0085,0.967907537,20
Cucumber,-14.83876272,0.540315682,10.228,0.708145465,5
Mussel,-17.75366658,1.184535781,8.59,0.590338886,9
Snail,-15.78403551,0.505448675,11.39090909,0.839374226,11
Star,-16.39495,0.9382679,9.190604,0.6678201,7
Tegula,-14.21454255,0.925204912,9.916666667,0.245017006,3
Urchin,-14.14842537,2.049076575,8.521333333,1.492064086,15
