"","OtterID","Site","Cmean","Csd","Nmean","Nsd","n"
"1","77280","Tonowek",-13.6457142857143,0.288703049082358,12.3971428571429,0.460174357782395,14
"2","77281","Tonowek",-13.6311111111111,0.213450488664494,13.5166666666667,0.681542368455549,9
"3","77284","Tonowek",-13.4008333333333,0.371053986107225,12.5933333333333,0.4260459500044,12
"4","77285","Tonowek",-13.1836363636364,0.292549918040417,12.7745454545455,0.634497653839061,11
"5","77286","Tonowek",-13.453,0.290977280518218,12.678,0.392564219799343,10
"6","77287","Tonowek",-12.8411111111111,0.513917416625581,13.0244444444444,0.536565725496679,9
"7","77297","Tonowek",-13.057,0.629727454274202,13.077,0.773520810608509,10
"8","77298","Tonowek",-13.9283333333333,0.368654391817133,12.1775,0.456411397355898,12
"9","77299","Tonowek",-13.113,0.325065805303754,13.092,0.62928177754926,10
"10","77300","Tonowek",-13.8022222222222,0.534807857500658,12.5677777777778,0.487821119309573,9
"11","160478","Tonowek",-13.1275,0.656086884490156,12.2325,0.33889526405661,8
"12","160479","Tonowek",-12.9955555555556,0.384743781987153,12.9822222222222,0.526943492648352,9
"13","160480","Tonowek",-13.9488888888889,0.597064578677308,12.6122222222222,0.275942828217086,9
"14","163520","Shinaku",-12.9225,0.231717892744997,13.2891666666667,0.402592921703873,12
"15","163521","Shinaku",-14.03,1.34527455798571,12.4266666666667,0.833255753964623,12
"16","163522","Shinaku",-13.1581818181818,0.327744357138859,13.6081818181818,0.363890592948435,11
"17","163523","Shinaku",-13.061,0.464529630677934,13.671,0.443006144928537,10
"18","163524","Shinaku",-12.7866666666667,0.372155881318568,14.2,0.393128477727066,9
"19","163525","Tonowek",-12.4618181818182,0.67774358251212,12.2872727272727,0.164261432423494,11
"20","163526","Tonowek",-13.083,0.433975165700117,12.652,0.317132989979493,10
"21","163527","Tonowek",-12.9244444444444,0.336270393846645,13.0166666666667,0.373965239026303,9
"22","163528","Tonowek",-13.165,0.155152254969827,12.921,0.438594978944761,10
"23","163529","Tonowek",-15.5425,0.832633515676958,12.21,0.197845538597303,8
"24","163530","Tonowek",-13.4344444444444,0.530615470729772,12.7966666666667,0.603427709009124,9
"25","163531","Tonowek",-13.915,0.22238961949053,12.78,0.262569718632704,8
"26","163533","Tonowek",-13.7975,0.34308474588233,12.15125,0.249710546719311,8
"27","163534","Tonowek",-14.6611111111111,1.19006769181888,12.8355555555556,0.381284379142102,9
"28","163535","Tonowek",-13.192,0.280467863082782,13,0.504689123234404,10
"29","163536","Tonowek",-14.12,0.505311784940743,12.3745454545455,0.424060458811327,11
"30","200751","Sukkwan Strait",-13.597,0.359692770137084,13.004,0.13108097582114,10
"31","200752","Sukkwan Strait",-12.93625,0.47455053923235,13.20625,0.301327420401321,8
"32","200754","Sukkwan Strait",-13.44375,0.199781130240071,12.88125,0.328043442245079,8
"33","200755","Sukkwan Strait",-13.2025,0.212988933314118,12.8025,0.318646691942211,8
"34","200757","Sukkwan Strait",-13.465,0.136930639376291,12.765,0.233302378899144,6
"35","200758","Sukkwan Strait",-13.5875,0.19876403813855,12.5225,0.515800348972351,8
"36","200760","Sukkwan Strait",-13.66125,0.293376282028972,13.48375,0.204725425875732,8
"37","200762","Sukkwan Strait",-13.351,0.17628575287489,13.172,0.218316793266625,10
"38","200763","Sukkwan Strait",-13.0977777777778,0.40039910644811,12.6811111111111,0.0966235536042384,9
"39","200765","Sukkwan Strait",-13.1745454545455,0.336552035690282,12.7827272727273,0.260618146301861,11
"40","200766","Sukkwan Strait",-14.443,0.989725551184098,12.775,0.558116873463296,10
"41","200767","Sukkwan Strait",-12.9075,0.275149310115695,12.7375,0.228395021211684,8
"42","200768","Sukkwan Strait",-13.176,0.345870881495778,12.506,0.421879392981243,10
"43","200769","Sukkwan Strait",-13.446,0.43084800103981,13.21,0.0463680924774785,5
"44","200771","Sukkwan Strait",-13.1483333333333,0.318334205932487,12.9233333333333,0.567015578857113,6
"45","200772","Sukkwan Strait",-12.6571428571429,0.624945711927958,12.5585714285714,0.50244165735697,7
