N,C ,Species,PreyCat,Site,Season
11.46,-16.58,prs,Clam,Craig,Winter
11.08,-16.82,prs,Clam,Craig,Winter
11.08,-16.44,prs,Clam,Craig,Winter
9.97,-17.04,prs,Clam,Craig,Winter
10.08,-16.57,prs,Clam,Craig,Winter
8.93,-17.46,prs,Clam,Nossuk,Spring
9.07,-17.77,prs,Clam,Nossuk,Spring
8.63,-17.93,prs,Clam,Nossuk,Spring
9.26,-17.24,prs,Clam,Nossuk,Spring
9.2,-18.17,prs,Clam,Soda Bay,Spring
9.72,-18.17,prs,Clam,Soda Bay,Spring
9.13,-18.28,prs,Clam,Soda Bay,Spring
9.32,-18.7,prs,Clam,Soda Bay,Spring
9.39,-17.87,prs,Clam,Soda Bay,Spring
10.49,-17.73,prs,Clam,Soda Bay,Summer
9.92,-17.27,prs,Clam,Soda Bay,Summer
9.88,-17.72,prs,Clam,Soda Bay,Summer
9.87,-17.72,prs,Clam,Soda Bay,Summer
9.01,-18.09,prs,Clam,Soda Bay,Summer
9.47,-18.21,prs,Clam,Soda Bay,Winter
9.34,-17.91,prs,Clam,Soda Bay,Winter
9.41,-18.13,prs,Clam,Soda Bay,Winter
9.47,-17.93,prs,Clam,Soda Bay,Winter
10.81,-16.56,sag,Clam,Craig,Spring
11.11,-16.4,sag,Clam,Craig,Spring
11.27,-16.35,sag,Clam,Craig,Spring
10.6,-16.53,sag,Clam,Craig,Spring
9.52,-16.22,sag,Clam,Craig,Spring
11.11,-16.41,sag,Clam,Craig,Summer
11.02,-17.06,sag,Clam,Craig,Summer
11.37,-16.12,sag,Clam,Craig,Summer
10.79,-16.87,sag,Clam,Craig,Summer
11.39,-15.97,sag,Clam,Craig,Summer
10.71,-16.67,sag,Clam,Craig,Winter
10.69,-16.49,sag,Clam,Craig,Winter
10.87,-16.31,sag,Clam,Craig,Winter
10.58,-16.95,sag,Clam,Craig,Winter
10.31,-16.26,sag,Clam,Craig,Winter
9.29,-16.38,sag,Clam,Nossuk,Spring
8.57,-18.04,sag,Clam,Soda Bay,Spring
8.25,-18.25,sag,Clam,Soda Bay,Spring
9.27,-18.24,sag,Clam,Soda Bay,Spring
8.67,-18.14,sag,Clam,Soda Bay,Spring
9.83,-17.63,sag,Clam,Soda Bay,Spring
9.64,-18.02,sag,Clam,Soda Bay,Summer
9.61,-17.87,sag,Clam,Soda Bay,Summer
9.55,-17.75,sag,Clam,Soda Bay,Summer
10.78,-17.05,sag,Clam,Soda Bay,Summer
9.65,-18.09,sag,Clam,Soda Bay,Summer
8.94,-18.34,sag,Clam,Soda Bay,Winter
10.07,-17.83,std,Urchin,Craig,Spring
9.78,-15.1,std,Urchin,Craig,Spring
9.44,-18.23,std,Urchin,Craig,Summer
9.9,-19.19,std,Urchin,Craig,Summer
7.11,-17.57,std,Urchin,Soda Bay,Spring
7.11,-16.61,std,Urchin,Soda Bay,Spring
6.2,-17.94,std,Urchin,Soda Bay,Spring
8.34,-16.63,std,Urchin,Soda Bay,Summer
7.66,-17.15,stf,Urchin,Soda Bay,Summer
7.77,-17.85,stf,Urchin,Soda Bay,Summer
7.53,-17.43,stf,Urchin,Soda Bay,Summer
7.4,-16.37,stf,Urchin,Soda Bay,Winter
7.92,-17.74,stf,Urchin,Soda Bay,Winter
6.47,-18.24,stf,Urchin,,Spring
6.72,-19.14,stf,Urchin,,Spring
11.64,-14.8,tec,Crab,Nossuk,Spring
11.15,-13.8,tec,Crab,Nossuk,Spring
11.2,-13.97,tec,Crab,Nossuk,Spring
12.21,-14.23,tec,Crab,Nossuk,Spring
12.29,-14.19,tec,Crab,Nossuk,Spring
10.09,-13.91,tes,Snail,Craig,Spring
9.79,-13.93,tes,Snail,Craig,Spring
10.55,-13.65,tes,Snail,Craig,Spring
9.72,-13.54,tes,Snail,Craig,Spring
10.26,-13.28,tes,Snail,Craig,Spring
9.92,-14.89,tes,Snail,Craig,Summer
10.37,-14.06,tes,Snail,Craig,Winter
11.84,-15.88,cam,Crab,Craig,Summer
12.47,-16.08,cam,Crab,Craig,Summer
13.03,-14.95,cam,Crab,Craig,Summer
11.62,-17.62,cam,Crab,Craig,Winter
11.54,-14.65,cam,Crab,Craig,Winter
10.64,-18.98,cam,Crab,Craig,Winter
10.66,-15.57,cam,Crab,Craig,Winter
12.19,-15.82,cam,Crab,Soda Bay,Winter
10.62,-17.88,cam,Crab,Soda Bay,Winter
10.18,-18.88,cam,Crab,Soda Bay,Winter
11.92,-14.01,cam,Crab,Nossuk,Summer
12.81,-14.4,cam,Crab,Nossuk,Summer
13.23,-16.34,cap,Crab,Craig,Summer
12.58,-17.09,cap,Crab,Craig,Summer
12.81,-15.5,cap,Crab,Craig,Winter
11.8,-16.2,cap,Crab,Soda Bay,Summer
13.11,-14.07,cap,Crab,Soda Bay,Summer
12.06,-16.12,cef,Snail,Craig,Summer
11.45,-17.78,cef,Snail,Craig,Winter
11.82,-15.83,cef,Snail,Craig,Winter
11.2,-15.91,cef,Snail,Soda Bay,Spring
10.65,-16.17,cef,Snail,Soda Bay,Spring
10.34,-16.75,cef,Snail,Soda Bay,Summer
10.49,-16.57,cef,Snail,Soda Bay,Summer
10.63,-16.49,cef,Snail,Soda Bay,Winter
10.41,-16.73,cef,Snail,Soda Bay,Winter
11.34,-17.43,nul,Snail,Craig,Winter
12.15,-16.49,nul,Snail,Craig,Winter
11.68,-16.36,nul,Snail,Craig,Winter
10.69,-16.56,nul,Snail,Soda Bay,Spring
11.02,-15.63,nul,Snail,Soda Bay,Summer
10.99,-16.04,nul,Snail,Soda Bay,Summer
9.63,-17.09,pup,Crab,Craig,Spring
11.35,-16.98,pup,Crab,Craig,Spring
10.28,-17.44,pup,Crab,Craig,Summer
10.81,-16.84,pup,Crab,Craig,Summer
10.45,-17.41,pup,Crab,Craig,Summer
9.37,-17.36,sag,Clam,Soda Bay,Winter
9.19,-17.75,sag,Clam,Soda Bay,Winter
9.63,-17.83,sag,Clam,Soda Bay,Winter
9.56,-17.58,sag,Clam,Soda Bay,Winter
10.54,-18.65,std,Urchin,Craig,Summer
10.13,-18.73,std,Urchin,Craig,Summer
6.99,-16.89,std,Urchin,Soda Bay,Summer
6.97,-17.13,std,Urchin,Soda Bay,Summer
7.49,-16.15,std,Urchin,Soda Bay,Summer
6.77,-13.73,std,Urchin,Soda Bay,Winter
7.34,-16.61,std,Urchin,Soda Bay,Winter
7.16,-16.01,std,Urchin,Soda Bay,Winter
8.52,-18.28,stf,Urchin,Craig,Summer
6.82,-17.34,stf,Urchin,Soda Bay,Summer
11.75,-16.51,stf,Urchin,Soda Bay,Summer
7.49,-11.91,stf,Urchin,Soda Bay,Winter
8.15,-12.22,stf,Urchin,Soda Bay,Winter
11.9,-16.51,tec,Crab,Craig,Summer
10.79,-17.65,tec,Crab,Craig,Summer
10.82,-15.79,tec,Crab,Soda Bay,Summer
12.73,-15.69,tec,Crab,Soda Bay,Winter
9.67,-14.98,tes,Snail,Craig,Summer
10.16,-13.16,tes,Snail,Craig,Summer
10.2193913,-16.80920734,evt,Star,Soda Bay,Summer
8.804838097,-16.34391204,pio,Star,Soda Bay,Summer
8.369417743,-17.06314377,pio,Star,Soda Bay,Summer
8.597668321,-17.7054123,pio,Star,Soda Bay,Summer
9.739355233,-16.10080651,pio,Star,Craig,Spring
9.543560628,-14.75425731,pio,Star,Craig,Winter
9.06,-15.9879132,evt,Star,Craig,Winter
