"","Season","Cmean","Nmean","Csd","Nsd","Cse","Nse","Crange","Nrange"
"1","Summer",-13.3597058823529,12.6541176470588,0.519152497045677,0.569905033445591,0.0629564876800732,0.0691111367490393,2.82,2.49
"2","Spring",-13.5985915492958,12.5821126760563,0.714839234223128,0.636205078106463,0.0848358091733348,0.0755036517546538,3.74,3.47
"3","Fall",-13.2233333333333,13.0680555555556,0.722828949434681,0.649831264965335,0.0851862086305352,0.0765833490140034,3.7,3.16
"4","Winter",-13.590641025641,12.949358974359,1.02444960166276,0.678442333093977,0.115996075660132,0.0768184672753789,4.39,2.87
