OtterID,SIN,N,C,distance,Season,Site,Csig,Nsig
163522,414183,13.9,-12.77,7,Summer,Shinaku,n,n
163524,414212,14.2,-12.91,0,Summer,Shinaku,n,n
163524,414213,13.35,-12.37,0.7,Summer,Shinaku,n,n
163524,414214,13.79,-12.29,1.4,Spring,Shinaku,n,n
163524,414215,14.26,-12.63,2.1,Spring,Shinaku,n,n
163524,414216,14.42,-12.91,2.8,Spring,Shinaku,n,n
163524,414217,14.33,-13.08,3.5,Winter,Shinaku,n,n
163524,414218,14.33,-13.39,4.2,Winter,Shinaku,n,n
163524,414219,14.54,-13.05,4.9,Fall,Shinaku,n,n
163524,414220,14.58,-12.45,5.7,Fall,Shinaku,n,n
163525,414150,12.41,-13.61,0,Summer,Tonowek,y,n
163525,414151,12.43,-13.18,0.7,Summer,Tonowek,y,n
163525,414152,12.32,-13.01,1.4,Spring,Tonowek,y,n
163525,414153,12.22,-12.98,2.1,Spring,Tonowek,y,n
163525,414154,12.28,-12.56,2.8,Spring,Tonowek,y,n
163525,414155,12.56,-12.05,3.5,Winter,Tonowek,y,n
163525,414156,12.25,-12.37,4.2,Winter,Tonowek,y,n
163525,414157,12.06,-11.5,4.9,Fall,Tonowek,y,n
163525,414158,12.05,-11.67,5.6,Fall,Tonowek,y,n
163525,414159,12.14,-11.8,6,Fall,Tonowek,y,n
163525,414160,12.44,-12.35,7,Summer,Tonowek,y,n
163526,414221,12.44,-13.1,0,Summer,Tonowek,n,y
163526,414222,12.07,-13.06,0.7,Summer,Tonowek,n,y
163526,414223,12.36,-13.53,1.4,Spring,Tonowek,n,y
163526,414224,12.86,-13.8,2.1,Spring,Tonowek,n,y
163526,414225,13.09,-13.1,2.8,Spring,Tonowek,n,y
163526,414226,12.92,-13.36,3.5,Winter,Tonowek,n,y
163526,414227,12.85,-12.21,4.2,Winter,Tonowek,n,y
163526,414228,12.45,-12.87,4.8,Fall,Tonowek,n,y
163526,414229,12.87,-13.02,5.6,Fall,Tonowek,n,y
163526,414230,12.61,-12.78,6.2,Fall,Tonowek,n,y
163527,414240,12.75,-13.22,0,Summer,Tonowek,n,n
163527,414241,12.65,-13.28,0.7,Summer,Tonowek,n,n
163527,414242,12.83,-13.33,1.3,Spring,Tonowek,n,n
163527,414243,13.34,-12.82,2.1,Spring,Tonowek,n,n
