Season,N,C
Fall,13.16,-13.13
Fall,13.06,-13.1
Fall,12.89,-12.88
Summer,12.37,-13.38
Summer,12.19,-13.24
Summer,12.38,-13.89
Spring,12.58,-13.77
Spring,12.86,-13.58
Winter,13.24,-13.03
Winter,13.21,-13.06
Winter,13.11,-13.17
Fall,12.5,-13.38
Fall,12.26,-13.52
Fall,12.38,-13.62
Summer,12.26,-13.51
Summer,12.16,-13.63
Spring,12.47,-13.48
Spring,12.41,-13.28
Winter,13.18,-12.78
Winter,13.54,-12.48
Winter,13.4,-12.61
Fall,13.12,-12.79
Fall,13.34,-12.37
Fall,13.6,-12.15
Summer,12.37,-14
Spring,12.06,-14.1
Spring,12.01,-14.03
Winter,12.01,-14.74
Winter,12.53,-14.11
Winter,12.99,-13.46
Fall,13.08,-13.42
Fall,12.79,-13.4
Fall,13.27,-12.96
