,MeanC,SDC,MeanN,SDN
Clam,2.5,0,2.5,0
Crab,2.5,0,2.5,0
Cucumber,2.5,0,2.5,0
Mussel,2.5,0,2.5,0
Snail,2.5,0,2.5,0
Urchin,2.5,0,2.5,0
