,MeanC,SDC,MeanN,SDN
Clam,1.8,0,2.8,0
Crab,1.8,0,2.8,0
Cucumber,1.8,0,2.8,0
Mussel,1.8,0,2.8,0
Snail,1.8,0,2.8,0
Urchin,1.8,0,2.8,0
