"Model","Coef","Lower95","Median","Upper95","Mean","SD","Mode","MCerr","MC%ofSD","SSeff","AC.200","psrf"
"2b","site",0.3385,0.5019,0.7193,0.5158,0.1007,NA,9e-04,0.8,13867,1e-04,1.0001
"2b","otter",0.3084,0.3471,0.388,0.3482,0.0203,NA,1e-04,0.7,20470,0.0064,1
"2b","intercept",1.9698,2.436,2.9284,2.4352,0.241,NA,0.006,2.5,1612,0.2021,1.0014
"2b","time",0.0019,0.0086,0.0158,0.0086,0.0035,NA,1e-04,2.5,1612,0.1979,1.0013
"2b","SOI",-0.3912,-0.0417,0.3288,-0.042,0.1816,NA,0.0023,1.3,6297,0.0036,1.0004
"2a","site",0.3346,0.4869,0.6873,0.4992,0.0934,NA,7e-04,0.8,16125,-0.0027,1.0003
"2a","otter",0.3094,0.3471,0.3891,0.3481,0.0206,NA,1e-04,0.7,20129,0.001,1.0007
"2a","intercept",1.9784,2.4317,2.8846,2.4309,0.2307,NA,0.0053,2.3,1868,0.1715,1.0031
"2a","time",0.0026,0.0088,0.0155,0.0087,0.0033,NA,1e-04,2.3,1889,0.1675,1.0027
"2e","site",0.319,0.4786,0.6895,0.4914,0.0988,NA,9e-04,0.9,12122,0.0136,1.0008
"2e","otter",0.3085,0.3473,0.3877,0.3482,0.0204,NA,1e-04,0.7,20340,-0.003,1.0003
"2e","intercept",2.1301,2.6394,3.1659,2.6379,0.2628,NA,0.0067,2.6,1537,0.2207,1.002
"2e","time",0.0023,0.0091,0.0154,0.0091,0.0033,NA,1e-04,2.3,1932,0.1641,1.0014
"2e","SOI",-0.2826,0.1114,0.5012,0.1101,0.2004,NA,0.003,1.5,4339,0.0259,1.0006
"2e","SOI^2",-1.2409,-0.5428,0.1636,-0.5428,0.3536,NA,0.007,2,2583,0.0925,1.0009
