"Model","Coef","Lower95","Median","Upper95","Mean","SD","Mode","MCerr","MC%ofSD","SSeff","AC.200","psrf"
"3a","among site",0.001,0.1704,0.3573,0.1769,0.1038,NA,0.0015,1.4,4803,0.0362,1.0013
"3a","intercept",4.9393,5.2471,5.5504,5.2482,0.1559,NA,0.0012,0.8,15687,-2e-04,1
"3a","time",1e-04,0.0045,0.0089,0.0045,0.0022,NA,0,0.8,15725,-0.0019,1.0001
"3e","among site",0.1687,0.3254,5.3181,0.7856,1.8161,NA,0.0161,0.9,12735,0.1211,1.6955
"3e","intercept",-3.6403,5.3665,6.0563,4.6669,2.6942,NA,0.0606,2.3,1974,0.2288,1.7326
"3e","time",-0.0026,0.0054,0.0914,0.016,0.0441,NA,9e-04,2,2555,0.196,1.64
"3e","SOI",-1.0168,0.1656,0.693,0.2028,0.5396,NA,0.007,1.3,5968,0.1502,1.2925
"3e","SOI^2",-2.2986,-0.5039,0.3701,-0.2506,1.5932,NA,0.0268,1.7,3545,0.1712,1.4129
"3b","among site",0.2392,0.3578,0.5177,0.3683,0.0793,NA,7e-04,0.8,14075,0.0403,1.0007
"3b","intercept",4.8468,5.1891,5.5173,5.1867,0.1828,NA,0.0039,2.1,2237,0.1613,1.0136
"3b","time",1e-04,0.0048,0.0098,0.0049,0.0026,NA,1e-04,2.2,2090,0.1624,1.0103
"3b","SOI",-0.2251,0.0221,0.2954,0.021,0.1324,NA,0.0015,1.1,8019,-0.0046,1.0006
