"(Intercept)","abvgnd_mass_dt","sqrt(crab_mass)","BIC","R^2","adjR^2","df","logLik","AICc","delta","weight"
0,NA,NA,78.617185486544,0,0,2,-36.2640703055486,77.1948072777638,0,0.196508733115687
0,-0.307111769942542,NA,79.5813087027386,0.0943176392372409,0.0973981207969399,3,-35.2238706947842,77.8595060954507,0.664698817686855,0.140943269411299
0,-0.380036005957015,-0.323211427385829,80.1910542981479,0.193465321831731,0.199784037621943,4,-34.0064822736271,78.5129645472542,1.31815726949034,0.101659423273745
0,NA,-0.237466206009964,80.4428144859311,0.0563901989967667,0.0582319432299992,3,-35.6546235863804,78.7210118786431,1.52620460087928,0.0916158757965686
