"modID","model","LOOIC.looic","LOOIC_se","deltaLOOIC","deltaLOOIC_se","Likelihood","LOOICwt"
"LOOIC1h","1h",1516.87,30.205,0,0,1,0.165
"LOOIC1g","1g",1517.005,29.978,0.068,0.76,0.967,0.16
"LOOIC1b","1b",1517.231,29.824,0.181,1.005,0.914,0.151
"LOOIC1e","1e",1517.268,30.015,0.199,0.743,0.905,0.15
"LOOIC1a","1a",1517.443,29.764,0.286,1.146,0.867,0.143
"LOOIC1c","1c",1519.803,29.777,1.466,1.035,0.48,0.079
"LOOIC1f","1f",1519.917,30.025,1.523,0.811,0.467,0.077
"LOOIC1d","1d",1520.087,29.794,1.609,1.134,0.447,0.074
