"(Intercept)","abvgnd_mass_dt","crab_mass","grazermass_shootmass","NOx_site","sea_otter_index_tr","BIC","R^2","adjR^2","df","logLik","AICc","delta","weight"
0,NA,NA,NA,0.374631505765115,NA,-70.2317364877546,0.140348765111838,-0.00383046226621913,3,39.6826519004625,-71.9535390950426,0,0.0889430072005971
0,-0.492499596280643,NA,NA,0.523153495147644,0.438363654246024,-70.5595262351906,0.366687986708848,-0.0100078151414076,5,42.8910692119038,-71.7821384238077,0.171400671234878,0.0816380506655554
0,NA,NA,NA,NA,NA,-70.1004601563374,0,0,2,38.0947525158921,-71.5228383651176,0.430700729924993,0.0717110916653466
0,NA,NA,-0.319472141058581,0.366849863491983,NA,-69.8396421455877,0.242350660067924,-0.0066143443288849,4,41.0088659482407,-71.5177318964814,0.43580719856115,0.0715282299888134
0,-0.34360212903817,NA,-0.371479999606438,0.446161197931347,NA,-70.0526905363258,0.351217035205466,-0.00958557490360435,5,42.6376513624715,-71.2753027249429,0.678236370099654,0.063362842616393
0,NA,-0.305167659847025,NA,0.394340150958725,NA,-69.584452842532,0.233087635032979,-0.00636153364088828,4,40.8812712967128,-71.2625425934257,0.690996501616894,0.0629598703754679
0,NA,NA,-0.328407800976165,NA,NA,-69.4525183328512,0.107851683742,-0.00294353715611771,3,39.2930428230108,-71.1743209401392,0.779218154903404,0.0602430202161014
0,-0.336957090129922,-0.353011675078803,NA,0.476449865397591,NA,-69.6324790431569,0.338104083941519,-0.00922769027971547,5,42.427545615887,-70.855091231774,1.09844786326858,0.0513554910498173
0,-0.284137778285689,NA,NA,0.441264653493901,NA,-69.1389187566798,0.216643065784719,-0.00591272098521943,4,40.6585042537867,-70.8170085075735,1.13653058746908,0.0503868638063116
0,NA,-0.279699987011915,NA,NA,NA,-68.7666355972219,0.0782320827344657,-0.00213514554747464,3,38.9501014551961,-70.4884382045098,1.46510089053277,0.0427532557684692
0,-0.497533942270985,NA,-0.286887171225225,0.510865157665549,0.352339264925645,-70.1425625675256,0.441172205088926,-0.0120406722720447,6,44.2048485969331,-70.4096971938661,1.54384190117646,0.0411027424473006
0,NA,NA,NA,0.390895799662512,0.215881243410794,-68.350889850839,0.186688949112448,-0.005095199623064,4,40.2644898008663,-70.0289796017327,1.92455949330991,0.0339780949027707
