"Model","Coef","Lower95","Median","Upper95","Mean","SD","Mode","MCerr","MC%ofSD","SSeff","AC.200","psrf"
"5f","among site",0.7883,1.1853,1.7485,1.2172,0.2546,NA,0.002,0.8,17002,0.0074,1.0003
"5f","within site",1.1238,1.2668,1.4191,1.2704,0.0754,NA,5e-04,0.7,20300,0.0035,1.0002
"5f","intercept",-5.5968,-4.2178,-2.7831,-4.2106,0.7129,NA,0.0131,1.8,2953,0.0384,1.0015
"5f","time",-0.0307,-0.0141,0.0039,-0.014,0.0087,NA,2e-04,1.7,3323,0.0426,1.0012
"5f","SOI",-0.0645,0.7785,1.685,0.7803,0.4431,NA,0.0039,0.9,12647,0.0038,1.0001
"5f","grazer",-0.3485,-0.2007,-0.0517,-0.1998,0.0757,NA,8e-04,1.1,8498,-0.0033,1.0005
"5e","among site",0.8146,1.2506,1.7905,1.2832,0.2594,NA,0.0018,0.7,19675,-0.0014,0.9999
"5e","within site",1.1272,1.2681,1.421,1.2716,0.0758,NA,5e-04,0.7,19857,0.0039,1
"5e","intercept",-6.0013,-5.1402,-4.2476,-5.1353,0.4434,NA,0.0051,1.1,7605,-0.0028,1.0002
"5e","SOI",-0.1243,0.8141,1.7052,0.8159,0.4648,NA,0.0043,0.9,11511,-0.0052,1
"5e","grazer",-0.3661,-0.2164,-0.0699,-0.2167,0.0754,NA,8e-04,1,9898,0.0061,1
"5d","among site",0.8494,1.2752,1.8462,1.3077,0.2636,NA,0.002,0.8,16601,0.0032,1
"5d","within site",1.1239,1.2666,1.4192,1.27,0.0759,NA,5e-04,0.7,20352,0.0069,1.0006
"5d","intercept",-5.6428,-4.1588,-2.7215,-4.1551,0.7423,NA,0.0142,1.9,2717,0.0736,1.0014
"5d","time",-0.0327,-0.0149,0.0031,-0.0149,0.0091,NA,2e-04,1.8,3092,0.0621,1.0017
"5d","grazer",-0.3532,-0.1989,-0.0561,-0.1992,0.0754,NA,8e-04,1.1,7977,0.0151,1.0001
