"modID","model","WAIC","WAIC_se","deltaWAIC","deltaWAIC_se","P_comp","Likelihood","WAICwt"
"WAIC4b","4b",392.693,22.898,0,0,1,1,0.259
"WAIC4g","4g",392.769,22.912,0.038,0.066,0.281,0.981,0.254
"WAIC4e","4e",392.901,22.92,0.104,0.097,0.142,0.949,0.246
"WAIC4a","4a",392.985,22.778,0.146,0.61,0.405,0.93,0.241
"WAIC4h","4h",393.01,22.932,0.159,0.111,0.077,0,0
"WAIC4d","4d",395.34,22.746,1.323,0.896,0.07,0,0
"WAIC4c","4c",395.409,22.7,1.358,0.96,0.079,0,0
"WAIC4f","4f",395.426,22.715,1.367,0.909,0.066,0,0
