"","latitude_N","longitude_E","layer_number","layer_thickness_cm","pan_weight","pan_sed_ww_pre_60C","pan_sed_dw_post_60C","pan_sed_dw_pre_450C","pan_sed_dw_post450C","crucible_weight","crucible_sed_dw_pre_950C","crucible_sed_dw_post_950C","site_code"
"49",55.282137,-133.334028,19,0.9,1.28554,35.22683,26.46217,26.46217,23.93383,NA,NA,NA,"2017_M_08"
"50",55.282137,-133.334028,20,0.9,1.27845,35.36879,27.27786,27.27786,24.81731,NA,NA,NA,"2017_M_08"
"51",55.282137,-133.334028,21,0.6,1.28702,19.90504,16.16541,16.16541,14.74978,NA,NA,NA,"2017_M_08"
"52",55.282137,-133.334028,22,1,1.29476,43.01749,33.88045,33.88045,31.59354,26.58674,59.1133,39.64537,"2017_M_08"
"53",55.282137,-133.334028,23,1,1.29699,38.91761,29.86146,29.86146,27.42646,NA,NA,NA,"2017_M_08"
"54",55.282137,-133.334028,24,1,1.29531,28.53306,20.93863,20.93863,18.24924,NA,NA,NA,"2017_M_08"
"55",55.739816,-133.312022,1,1.3,1.28734,40.37477,20.61909,20.61909,18.10964,NA,NA,NA,"2017_H_06"
"56",55.739816,-133.312022,2,1.1,1.29193,34.55639,21.8582,21.8582,19.89152,24.85565,45.6349,42.94444,"2017_H_06"
"57",55.739816,-133.312022,3,1.1,1.30293,36.36605,23.25126,23.25126,20.85591,NA,NA,NA,"2017_H_06"
"58",55.739816,-133.312022,4,1.1,1.29728,35.42625,23.34507,23.34507,21.06854,NA,NA,NA,"2017_H_06"
"59",55.739816,-133.312022,5,1.1,1.29565,36.39281,23.62767,23.62767,21.46811,NA,NA,NA,"2017_H_06"
"60",55.739816,-133.312022,6,0.9,1.29274,29.34109,17.69216,17.69216,16.74542,NA,NA,NA,"2017_H_06"
"61",55.739816,-133.312022,7,1.3,1.28584,43.07524,27.19021,27.19021,26.04895,28.13691,55.32712,51.01805,"2017_H_06"
"62",55.739816,-133.312022,8,1.1,1.28115,33.54461,21.52999,21.52999,20.67434,NA,NA,NA,"2017_H_06"
"63",55.739816,-133.312022,9,1.1,1.29037,36.7789,23.38618,23.38618,22.46087,NA,NA,NA,"2017_H_06"
"64",55.739816,-133.312022,10,1.1,1.28662,35.6711,22.40581,22.40581,21.3553,NA,NA,NA,"2017_H_06"
"65",55.739816,-133.312022,11,1.1,1.28526,34.65497,23.37565,23.37565,20.90081,NA,NA,NA,"2017_H_06"
"66",55.739816,-133.312022,12,1.2,1.2795,40.41406,28.76956,28.76956,26.31159,28.68026,55.74638,52.03608,"2017_H_06"
"67",55.739816,-133.312022,13,1.1,1.29357,38.49739,28.42158,28.42158,26.18339,NA,NA,NA,"2017_H_06"
"68",55.739816,-133.312022,14,1.2,1.2835,38.98153,27.2775,27.2775,24.98793,NA,NA,NA,"2017_H_06"
"69",55.739816,-133.312022,15,1.1,1.29214,36.55845,24.32171,24.32171,22.11558,NA,NA,NA,"2017_H_06"
"70",55.739816,-133.312022,16,1.1,1.28744,33.19788,21.16308,21.16308,17.53705,NA,NA,NA,"2017_H_06"
"71",55.739816,-133.312022,17,1,1.28202,19.68686,19.68686,19.68686,17.50331,25.76036,44.20559,41.17408,"2017_H_06"
"72",55.739816,-133.312022,18,1.3,1.29198,25.04663,25.04663,25.04663,22.6117,NA,NA,NA,"2017_H_06"
"73",55.739816,-133.312022,19,1,1.2913,17.49275,17.49275,17.49275,15.32896,NA,NA,NA,"2017_H_06"
"74",55.739816,-133.312022,20,1.3,1.28454,24.01746,24.01746,24.01746,22.4167,NA,NA,NA,"2017_H_06"
"75",55.739816,-133.312022,21,0.9,1.28227,18.57781,18.57781,18.57781,15.99294,NA,NA,NA,"2017_H_06"
"76",55.739816,-133.312022,22,1.2,1.28628,33.10723,33.10723,33.10723,29.42333,25.90963,56.61356,52.81994,"2017_H_06"
"77",55.67264,-133.378,1,1,1.2975,32.91782,21.4355,21.4355,19.34504,NA,NA,NA,"2017_H_01"
"78",55.67264,-133.378,2,1,1.29017,33.07367,22.18318,22.18318,19.96383,26.91961,47.44278,45.17108,"2017_H_01"
"79",55.67264,-133.378,3,0.9,1.29366,30.22783,20.37146,20.37146,18.39091,NA,NA,NA,"2017_H_01"
"80",55.67264,-133.378,4,1,1.28849,32.05987,21.15412,21.15412,19.27152,NA,NA,NA,"2017_H_01"
"81",55.67264,-133.378,5,0.9,1.2953,32.00376,22.68181,22.68181,20.69939,NA,NA,NA,"2017_H_01"
"82",55.67264,-133.378,6,1,1.30059,36.40771,26.79312,26.79312,24.46749,NA,NA,NA,"2017_H_01"
"83",55.67264,-133.378,7,0.9,1.29462,33.89468,25.23197,25.23197,23.06074,26.73605,50.25197,47.98225,"2017_H_01"
"84",55.67264,-133.378,8,0.9,1.29041,31.55688,23.43192,23.43192,21.20235,NA,NA,NA,"2017_H_01"
"85",55.67264,-133.378,9,0.9,1.2702,34.03141,24.78254,24.78254,22.63592,NA,NA,NA,"2017_H_01"
