region,site_name,latitude_N,longitude_E,date_DDMMYY,year,replicate,n_otter
"west prince of wales island, alaska",Big Tree Bay,55.563732,-133.235779,1/8/18,2018,2,1
"west prince of wales island, alaska",Big Tree Bay,55.56424,-133.233795,1/8/18,2018,2,1
"west prince of wales island, alaska",Big Tree Bay,55.56382,-133.230164,1/8/18,2018,2,1
"west prince of wales island, alaska",Big Tree Bay,55.562832,-133.228546,1/8/18,2018,2,1
"west prince of wales island, alaska",Big Tree Bay,55.564365,-133.225616,1/8/18,2018,2,1
"west prince of wales island, alaska",Big Tree Bay,55.562843,-133.222885,1/8/18,2018,2,4
"west prince of wales island, alaska",Big Tree Bay,55.557297,-133.231445,1/8/18,2018,2,3
"west prince of wales island, alaska",Big Tree Bay,55.560383,-133.233398,1/8/18,2018,2,1
"west prince of wales island, alaska",Blanquizal Bay,55.650421,-133.411621,6/8/17,2017,1,1
"west prince of wales island, alaska",Blanquizal Bay,55.643986,-133.409958,6/8/17,2017,1,1
"west prince of wales island, alaska",Blanquizal Bay,55.632877,-133.408936,6/8/17,2017,1,1
"west prince of wales island, alaska",Blanquizal Bay,55.632271,-133.408524,6/8/17,2017,1,1
"west prince of wales island, alaska",Blanquizal Bay,55.634811,-133.404785,6/8/17,2017,1,1
"west prince of wales island, alaska",Blanquizal Bay,55.630421,-133.398849,6/8/17,2017,1,1
"west prince of wales island, alaska",Blanquizal Bay,55.631695,-133.399063,6/8/17,2017,1,1
"west prince of wales island, alaska",Blanquizal Bay,55.630802,-133.3992,6/8/17,2017,1,1
"west prince of wales island, alaska",Blanquizal Bay,55.62928,-133.404343,6/8/17,2017,1,5
"west prince of wales island, alaska",Blanquizal Bay,55.62957,-133.397583,6/8/17,2017,1,1
"west prince of wales island, alaska",Blanquizal Bay,55.627579,-133.405762,6/8/17,2017,1,1
"west prince of wales island, alaska",Blanquizal Bay,55.62888,-133.395462,6/8/17,2017,1,1
"west prince of wales island, alaska",Blanquizal Bay,55.630211,-133.406326,6/8/17,2017,1,1
"west prince of wales island, alaska",Blanquizal Bay,55.629707,-133.411423,6/8/17,2017,1,2
"west prince of wales island, alaska",Blanquizal Bay,55.631409,-133.414459,6/8/17,2017,1,1
"west prince of wales island, alaska",Blanquizal Bay,55.626537,-133.404373,6/8/17,2017,1,1
"west prince of wales island, alaska",Blanquizal Bay,55.622993,-133.399734,6/8/17,2017,1,1
"west prince of wales island, alaska",Blanquizal Bay,55.622822,-133.398956,6/8/17,2017,1,1
"west prince of wales island, alaska",Blanquizal Bay,55.6259,-133.390839,6/8/17,2017,1,1
"west prince of wales island, alaska",Blanquizal Bay,55.621567,-133.387558,6/8/17,2017,1,1
"west prince of wales island, alaska",Blanquizal Bay,55.621197,-133.398743,6/8/17,2017,1,1
"west prince of wales island, alaska",Blanquizal Bay,55.624672,-133.408035,6/8/17,2017,1,1
"west prince of wales island, alaska",Blanquizal Bay,55.623333,-133.410934,6/8/17,2017,1,1
"west prince of wales island, alaska",Blanquizal Bay,55.626751,-133.418076,6/8/17,2017,1,1
"west prince of wales island, alaska",Blanquizal Bay,55.62841,-133.420425,6/8/17,2017,1,1
"west prince of wales island, alaska",Blanquizal Bay,55.630421,-133.423187,6/8/17,2017,1,1
"west prince of wales island, alaska",Blanquizal Bay,55.63504,-133.425491,6/8/17,2017,1,1
"west prince of wales island, alaska",Blanquizal Bay,55.632103,-133.432846,6/8/17,2017,1,15
"west prince of wales island, alaska",Blanquizal Bay,55.632984,-133.432892,6/8/17,2017,1,4
"west prince of wales island, alaska",Blanquizal Bay,55.637779,-133.433121,6/8/17,2017,1,6
"west prince of wales island, alaska",Blanquizal Bay,55.637764,-133.435822,6/8/17,2017,1,1
"west prince of wales island, alaska",Blanquizal Bay,55.633087,-133.444138,6/8/17,2017,1,1
"west prince of wales island, alaska",Blanquizal Bay,55.62627,-133.447556,6/8/17,2017,1,1
"west prince of wales island, alaska",Blanquizal Bay,55.627949,-133.438065,6/8/17,2017,1,1
"west prince of wales island, alaska",Blanquizal Bay,55.614414,-133.398987,6/8/17,2017,1,1
"west prince of wales island, alaska",Blanquizal Bay,55.612476,-133.399628,6/8/17,2017,1,1
"west prince of wales island, alaska",Blanquizal Bay,55.613003,-133.393555,6/8/17,2017,1,1
"west prince of wales island, alaska",Blanquizal Bay,55.616554,-133.386642,6/8/17,2017,1,1
"west prince of wales island, alaska",Blanquizal Bay,55.615608,-133.380981,6/8/17,2017,1,2
"west prince of wales island, alaska",Blanquizal Bay,55.610676,-133.377457,6/8/17,2017,1,1
"west prince of wales island, alaska",Blanquizal Bay,55.617313,-133.419739,6/8/17,2017,1,1
"west prince of wales island, alaska",Blanquizal Bay,55.634641,-133.402951,18/8/17,2017,2,1
"west prince of wales island, alaska",Blanquizal Bay,55.632118,-133.400299,18/8/17,2017,2,2
"west prince of wales island, alaska",Blanquizal Bay,55.630951,-133.399261,18/8/17,2017,2,1
"west prince of wales island, alaska",Blanquizal Bay,55.62653,-133.398422,18/8/17,2017,2,1
"west prince of wales island, alaska",Blanquizal Bay,55.630482,-133.411957,18/8/17,2017,2,1
"west prince of wales island, alaska",Blanquizal Bay,55.63345,-133.407928,18/8/17,2017,2,1
"west prince of wales island, alaska",Blanquizal Bay,55.624031,-133.403564,18/8/17,2017,2,2
"west prince of wales island, alaska",Blanquizal Bay,55.629482,-133.396286,18/8/17,2017,2,2
"west prince of wales island, alaska",Blanquizal Bay,55.625046,-133.39502,18/8/17,2017,2,1
"west prince of wales island, alaska",Blanquizal Bay,55.625599,-133.402679,18/8/17,2017,2,1
"west prince of wales island, alaska",Blanquizal Bay,55.626617,-133.393112,18/8/17,2017,2,2
"west prince of wales island, alaska",Blanquizal Bay,55.622452,-133.410294,18/8/17,2017,2,1
"west prince of wales island, alaska",Blanquizal Bay,55.631229,-133.42305,18/8/17,2017,2,12
"west prince of wales island, alaska",Blanquizal Bay,55.632355,-133.437057,18/8/17,2017,2,1
"west prince of wales island, alaska",Blanquizal Bay,55.637291,-133.434525,18/8/17,2017,2,1
"west prince of wales island, alaska",Blanquizal Bay,55.638657,-133.434692,18/8/17,2017,2,1
"west prince of wales island, alaska",Blanquizal Bay,55.610851,-133.3797,5/8/17,2018,2,1
"west prince of wales island, alaska",Blanquizal Bay,55.613522,-133.390121,5/8/17,2018,2,2
"west prince of wales island, alaska",Blanquizal Bay,55.618225,-133.420349,5/8/17,2018,2,2
"west prince of wales island, alaska",Blanquizal Bay,55.61319,-133.439087,5/8/17,2018,2,1
"west prince of wales island, alaska",Blanquizal Bay,55.621204,-133.44194,5/8/17,2018,2,1
"west prince of wales island, alaska",Blanquizal Bay,55.625046,-133.428375,5/8/17,2018,2,1
"west prince of wales island, alaska",Blanquizal Bay,55.629696,-133.437851,5/8/17,2018,2,1
"west prince of wales island, alaska",Blanquizal Bay,55.625381,-133.418106,5/8/17,2018,2,1
"west prince of wales island, alaska",Blanquizal Bay,55.632233,-133.435104,5/8/17,2018,2,52
"west prince of wales island, alaska",Blanquizal Bay,55.637421,-133.432312,5/8/17,2018,2,2
"west prince of wales island, alaska",Blanquizal Bay,55.6315,-133.424042,5/8/17,2018,2,1
"west prince of wales island, alaska",Blanquizal Bay,55.618866,-133.404007,5/8/17,2018,2,1
"west prince of wales island, alaska",Blanquizal Bay,55.622704,-133.403503,5/8/17,2018,2,2
"west prince of wales island, alaska",Blanquizal Bay,55.625313,-133.394104,5/8/17,2018,2,1
"west prince of wales island, alaska",Blanquizal Bay,55.644024,-133.40918,5/8/17,2018,2,1
"west prince of wales island, alaska",Blanquizal Bay,55.613934,-133.38649,25/6/18,2018,1,1
"west prince of wales island, alaska",Blanquizal Bay,55.615826,-133.40889,25/6/18,2018,1,1
"west prince of wales island, alaska",Blanquizal Bay,55.631531,-133.435638,25/6/18,2018,1,36
"west prince of wales island, alaska",Blanquizal Bay,55.637405,-133.432663,25/6/18,2018,1,1
"west prince of wales island, alaska",Blanquizal Bay,55.61681,-133.407501,25/6/18,2018,1,1
"west prince of wales island, alaska",Blanquizal Bay,55.621155,-133.407852,25/6/18,2018,1,1
"west prince of wales island, alaska",Blanquizal Bay,55.627777,-133.398987,25/6/18,2018,1,4
"west prince of wales island, alaska",Blanquizal Bay,55.628536,-133.40657,25/6/18,2018,1,3
"west prince of wales island, alaska",Blanquizal Bay,55.638103,-133.404953,25/6/18,2018,1,1
"west prince of wales island, alaska",Blanquizal Bay,55.635418,-133.403946,25/6/18,2018,1,1
"west prince of wales island, alaska",Blanquizal Bay,55.643497,-133.410248,25/6/18,2018,1,1
"west prince of wales island, alaska",Blanquizal Bay,55.646755,-133.410156,25/6/18,2018,1,1
"west prince of wales island, alaska",Chusini Cove 1,55.838356,-133.213821,24/6/17,2017,1,1
"west prince of wales island, alaska",Chusini Cove 1,55.834488,-133.201035,24/6/17,2017,1,1
"west prince of wales island, alaska",Chusini Cove 1,55.830719,-133.208679,24/6/17,2017,1,1
"west prince of wales island, alaska",Chusini Cove 1,55.832222,-133.203293,24/6/17,2017,1,1
"west prince of wales island, alaska",Chusini Cove 1,55.826572,-133.213333,24/6/17,2017,1,1
"west prince of wales island, alaska",Chusini Cove 1,55.804684,-133.229126,24/6/17,2017,1,1
"west prince of wales island, alaska",Chusini Cove 1,55.805607,-133.194901,24/6/17,2017,1,2
"west prince of wales island, alaska",Chusini Cove 1,55.808239,-133.191467,24/6/17,2017,1,1
"west prince of wales island, alaska",Chusini Cove 1,55.808186,-133.185974,24/6/17,2017,1,1
"west prince of wales island, alaska",Chusini Cove 1,55.81609,-133.196945,24/6/17,2017,1,1
"west prince of wales island, alaska",Chusini Cove 1,55.817642,-133.199142,24/6/17,2017,1,1
"west prince of wales island, alaska",Chusini Cove 1,55.815845,-133.191345,24/6/17,2017,1,19
"west prince of wales island, alaska",Chusini Cove 1,55.816597,-133.192734,24/6/17,2017,1,1
"west prince of wales island, alaska",Chusini Cove 1,55.812252,-133.182541,24/6/17,2017,1,1
"west prince of wales island, alaska",Chusini Cove 1,55.816872,-133.186264,24/6/17,2017,1,1
"west prince of wales island, alaska",Chusini Cove 1,55.814094,-133.177369,24/6/17,2017,1,1
"west prince of wales island, alaska",Chusini Cove 1,55.815479,-133.17598,24/6/17,2017,1,1
"west prince of wales island, alaska",Chusini Cove 1,55.81168,-133.172348,24/6/17,2017,1,1
"west prince of wales island, alaska",Chusini Cove 1,55.812042,-133.177826,24/6/17,2017,1,1
"west prince of wales island, alaska",Chusini Cove 1,55.813354,-133.172226,24/6/17,2017,1,1
"west prince of wales island, alaska",Chusini Cove 1,55.809444,-133.171265,24/6/17,2017,1,1
"west prince of wales island, alaska",Chusini Cove 1,55.819069,-133.182693,24/6/17,2017,1,1
"west prince of wales island, alaska",Chusini Cove 1,55.819378,-133.183563,24/6/17,2017,1,1
"west prince of wales island, alaska",Chusini Cove 1,55.822891,-133.189026,24/6/17,2017,1,1
"west prince of wales island, alaska",Chusini Cove 1,55.83247,-133.188873,24/6/17,2017,1,3
"west prince of wales island, alaska",Chusini Cove 1,55.832893,-133.181061,24/6/17,2017,1,8
"west prince of wales island, alaska",Chusini Cove 1,55.836807,-133.202042,24/6/17,2017,1,1
"west prince of wales island, alaska",Chusini Cove 1,55.835556,-133.169937,24/6/17,2017,1,1
"west prince of wales island, alaska",Chusini Cove 1,55.834114,-133.166443,24/6/17,2017,1,1
"west prince of wales island, alaska",Chusini Cove 1,55.816036,-133.213104,8/8/17,2017,2,1
"west prince of wales island, alaska",Chusini Cove 1,55.814785,-133.212738,8/8/17,2017,2,1
"west prince of wales island, alaska",Chusini Cove 1,55.818649,-133.202377,8/8/17,2017,2,1
"west prince of wales island, alaska",Chusini Cove 1,55.82814,-133.194733,8/8/17,2017,2,1
"west prince of wales island, alaska",Chusini Cove 1,55.83046,-133.187592,8/8/17,2017,2,1
"west prince of wales island, alaska",Chusini Cove 1,55.836605,-133.169388,8/8/17,2017,2,2
"west prince of wales island, alaska",Chusini Cove 1,55.831657,-133.175934,8/8/17,2017,2,1
"west prince of wales island, alaska",Chusini Cove 1,55.830627,-133.171097,8/8/17,2017,2,3
"west prince of wales island, alaska",Chusini Cove 1,55.827496,-133.174774,8/8/17,2017,2,2
"west prince of wales island, alaska",Chusini Cove 1,55.829765,-133.172852,8/8/17,2017,2,1
"west prince of wales island, alaska",Chusini Cove 1,55.822613,-133.180832,8/8/17,2017,2,1
"west prince of wales island, alaska",Chusini Cove 1,55.824234,-133.177826,8/8/17,2017,2,1
"west prince of wales island, alaska",Chusini Cove 1,55.820896,-133.18103,8/8/17,2017,2,1
"west prince of wales island, alaska",Chusini Cove 1,55.820911,-133.17691,8/8/17,2017,2,1
"west prince of wales island, alaska",Chusini Cove 1,55.819321,-133.178268,8/8/17,2017,2,1
"west prince of wales island, alaska",Chusini Cove 1,55.816048,-133.18071,8/8/17,2017,2,1
"west prince of wales island, alaska",Chusini Cove 1,55.817085,-133.175507,8/8/17,2017,2,1
"west prince of wales island, alaska",Chusini Cove 1,55.813923,-133.179306,8/8/17,2017,2,1
"west prince of wales island, alaska",Chusini Cove 1,55.812546,-133.181168,8/8/17,2017,2,11
"west prince of wales island, alaska",Chusini Cove 1,55.810814,-133.171906,8/8/17,2017,2,1
"west prince of wales island, alaska",Chusini Cove 1,55.810562,-133.175262,8/8/17,2017,2,1
"west prince of wales island, alaska",Chusini Cove 1,55.808769,-133.17308,8/8/17,2017,2,1
"west prince of wales island, alaska",Chusini Cove 1,55.810482,-133.17749,8/8/17,2017,2,2
"west prince of wales island, alaska",Chusini Cove 1,55.815712,-133.191757,8/8/17,2017,2,3
"west prince of wales island, alaska",Chusini Cove 1,55.811935,-133.191177,8/8/17,2017,2,1
"west prince of wales island, alaska",Chusini Cove 1,55.809216,-133.196243,8/8/17,2017,2,1
"west prince of wales island, alaska",Chusini Cove 1,55.814438,-133.19133,8/8/17,2017,2,1
"west prince of wales island, alaska",Chusini Cove 1,55.815292,-133.194839,8/8/17,2017,2,1
"west prince of wales island, alaska",Chusini Cove 1,55.808689,-133.189468,8/8/17,2017,2,3
"west prince of wales island, alaska",Chusini Cove 1,55.807007,-133.187851,8/8/17,2017,2,1
"west prince of wales island, alaska",Chusini Cove 1,55.806152,-133.192429,8/8/17,2017,2,1
"west prince of wales island, alaska",Chusini Cove 1,55.806229,-133.186981,8/8/17,2017,2,1
"west prince of wales island, alaska",Chusini Cove 2,55.830921,-133.198334,6/7/18,2018,1,1
"west prince of wales island, alaska",Chusini Cove 2,55.814926,-133.190964,6/7/18,2018,1,31
"west prince of wales island, alaska",Chusini Cove 2,55.816231,-133.186447,6/7/18,2018,1,3
"west prince of wales island, alaska",Chusini Cove 2,55.818256,-133.182419,6/7/18,2018,1,1
"west prince of wales island, alaska",Chusini Cove 2,55.814758,-133.178497,6/7/18,2018,1,3
"west prince of wales island, alaska",Chusini Cove 2,55.816265,-133.17923,6/7/18,2018,1,1
"west prince of wales island, alaska",Chusini Cove 2,55.816895,-133.178818,6/7/18,2018,1,1
"west prince of wales island, alaska",Chusini Cove 2,55.812908,-133.176697,6/7/18,2018,1,2
"west prince of wales island, alaska",Chusini Cove 2,55.811142,-133.174576,6/7/18,2018,1,1
"west prince of wales island, alaska",Chusini Cove 2,55.820961,-133.183426,6/7/18,2018,1,3
"west prince of wales island, alaska",Chusini Cove 2,55.818676,-133.182999,6/7/18,2018,1,1
"west prince of wales island, alaska",Chusini Cove 2,55.821598,-133.181885,6/7/18,2018,1,2
"west prince of wales island, alaska",Chusini Cove 2,55.825981,-133.190613,6/7/18,2018,1,2
"west prince of wales island, alaska",Chusini Cove 2,55.829708,-133.182327,6/7/18,2018,1,10
"west prince of wales island, alaska",Chusini Cove 2,55.830521,-133.20137,6/7/18,2018,1,1
"west prince of wales island, alaska",Chusini Cove 2,55.836777,-133.204468,6/7/18,2018,1,1
"west prince of wales island, alaska",Chusini Cove 2,55.836849,-133.199829,6/7/18,2018,1,3
"west prince of wales island, alaska",Chusini Cove 2,55.836983,-133.197067,6/7/18,2018,1,2
"west prince of wales island, alaska",Chusini Cove 2,55.83736,-133.195328,6/7/18,2018,1,3
"west prince of wales island, alaska",Chusini Cove 2,55.837616,-133.194687,6/7/18,2018,1,2
"west prince of wales island, alaska",Chusini Cove 2,55.833118,-133.184769,6/7/18,2018,1,9
"west prince of wales island, alaska",Chusini Cove 2,55.834564,-133.168945,6/7/18,2018,1,1
"west prince of wales island, alaska",Chusini Cove 2,55.832047,-133.175385,6/7/18,2018,1,1
"west prince of wales island, alaska",Chusini Cove 2,55.814598,-133.189606,6/7/18,2018,1,8
"west prince of wales island, alaska",Chusini Cove 2,55.797665,-133.204895,27/7/18,2018,2,1
"west prince of wales island, alaska",Chusini Cove 2,55.8074,-133.194626,27/7/18,2018,2,1
"west prince of wales island, alaska",Chusini Cove 2,55.809235,-133.188507,27/7/18,2018,2,1
"west prince of wales island, alaska",Chusini Cove 2,55.817467,-133.189529,27/7/18,2018,2,1
"west prince of wales island, alaska",Chusini Cove 2,55.812695,-133.184326,27/7/18,2018,2,9
"west prince of wales island, alaska",Chusini Cove 2,55.818203,-133.18158,27/7/18,2018,2,1
"west prince of wales island, alaska",Chusini Cove 2,55.816948,-133.178955,27/7/18,2018,2,1
"west prince of wales island, alaska",Chusini Cove 2,55.813297,-133.174988,27/7/18,2018,2,2
"west prince of wales island, alaska",Chusini Cove 2,55.809944,-133.174911,27/7/18,2018,2,1
"west prince of wales island, alaska",Chusini Cove 2,55.810753,-133.178085,27/7/18,2018,2,2
"west prince of wales island, alaska",Chusini Cove 2,55.81039,-133.173386,27/7/18,2018,2,1
"west prince of wales island, alaska",Chusini Cove 2,55.814304,-133.174225,27/7/18,2018,2,1
"west prince of wales island, alaska",Chusini Cove 2,55.819801,-133.180878,27/7/18,2018,2,1
"west prince of wales island, alaska",Chusini Cove 2,55.821213,-133.181931,27/7/18,2018,2,1
"west prince of wales island, alaska",Chusini Cove 2,55.824432,-133.179794,27/7/18,2018,2,1
"west prince of wales island, alaska",Chusini Cove 2,55.822525,-133.175858,27/7/18,2018,2,1
"west prince of wales island, alaska",Chusini Cove 2,55.831886,-133.180878,27/7/18,2018,2,1
"west prince of wales island, alaska",Chusini Cove 2,55.830849,-133.180603,27/7/18,2018,2,1
"west prince of wales island, alaska",Chusini Cove 2,55.836586,-133.176453,27/7/18,2018,2,13
"west prince of wales island, alaska",Chusini Cove 2,55.834503,-133.179245,27/7/18,2018,2,2
"west prince of wales island, alaska",Chusini Cove 2,55.837357,-133.192566,27/7/18,2018,2,1
"west prince of wales island, alaska",Chusini Cove 2,55.835983,-133.194794,27/7/18,2018,2,1
"west prince of wales island, alaska",Chusini Cove 2,55.838661,-133.197754,27/7/18,2018,2,1
"west prince of wales island, alaska",Chusini Cove 2,55.837757,-133.198547,27/7/18,2018,2,1
"west prince of wales island, alaska",Dunbar Inlet,55.079666,-132.832458,28/6/17,2017,1,1
"west prince of wales island, alaska",Dunbar Inlet,55.072689,-132.869583,24/7/17,2017,2,1
"west prince of wales island, alaska",Dunbar Inlet,55.081757,-132.89888,24/7/17,2017,2,1
"west prince of wales island, alaska",Dunbar Inlet,55.07901,-132.866409,24/7/18,2018,1,2
"west prince of wales island, alaska",Dunbar Inlet,55.067772,-132.864655,24/7/18,2018,1,1
"west prince of wales island, alaska",Dunbar Inlet,55.080021,-132.8517,24/7/18,2018,1,1
"west prince of wales island, alaska",Dunbar Inlet,55.076439,-132.847565,24/7/18,2018,1,1
"west prince of wales island, alaska",Dunbar Inlet,55.082912,-132.822647,24/7/18,2018,1,1
"west prince of wales island, alaska",Dunbar Inlet,55.090267,-132.870193,10/8/18,2018,2,2
"west prince of wales island, alaska",Dunbar Inlet,55.088593,-132.87674,10/8/18,2018,2,1
"west prince of wales island, alaska",Dunbar Inlet,55.079983,-132.870895,10/8/18,2018,2,1
"west prince of wales island, alaska",Dunbar Inlet,55.076935,-132.868332,10/8/18,2018,2,2
"west prince of wales island, alaska",Dunbar Inlet,55.071541,-132.861374,10/8/18,2018,2,2
"west prince of wales island, alaska",Dunbar Inlet,55.07053,-132.852188,10/8/18,2018,2,1
"west prince of wales island, alaska",Dunbar Inlet,55.076431,-132.854492,10/8/18,2018,2,1
"west prince of wales island, alaska",Dunbar Inlet,55.079681,-132.841644,10/8/18,2018,2,4
"west prince of wales island, alaska",Dunbar Inlet,55.075226,-132.841202,10/8/18,2018,2,1
"west prince of wales island, alaska",Dunbar Inlet,55.080471,-132.819992,10/8/18,2018,2,7
"west prince of wales island, alaska",Dunbar Inlet,55.085915,-132.815109,10/8/18,2018,2,2
"west prince of wales island, alaska",Dunbar Inlet,55.084122,-132.81897,10/8/18,2018,2,2
"west prince of wales island, alaska",Dunbar Inlet,55.087788,-132.817032,10/8/18,2018,2,1
"west prince of wales island, alaska",Dunbar Inlet,55.088291,-132.810989,10/8/18,2018,2,1
