geo_region,site_name,site_code,so_region,latitude_N,longitude_E,date_mm.dd.yyyy,year,replicate,n_otter
"west prince of wales island, alaska",Big Tree Bay a,M_10_a,Mid,55.575375,-133.203201,1/8/18,2018,2,1
"west prince of wales island, alaska",Big Tree Bay a,M_10_a,Mid,55.583427,-133.202026,1/8/18,2018,2,1
"west prince of wales island, alaska",Big Tree Bay a,M_10_a,Mid,55.582455,-133.211777,1/8/18,2018,2,1
"west prince of wales island, alaska",Big Tree Bay a,M_10_a,Mid,55.576061,-133.212067,1/8/18,2018,2,1
"west prince of wales island, alaska",Big Tree Bay a,M_10_a,Mid,55.575569,-133.209869,1/8/18,2018,2,1
"west prince of wales island, alaska",Big Tree Bay a,M_10_a,Mid,55.572662,-133.214249,1/8/18,2018,2,1
"west prince of wales island, alaska",Big Tree Bay a,M_10_a,Mid,55.566792,-133.223282,1/8/18,2018,2,2
"west prince of wales island, alaska",Big Tree Bay a,M_10_a,Mid,55.569706,-133.219559,1/8/18,2018,2,1
"west prince of wales island, alaska",Big Tree Bay a,M_10_a,Mid,55.568604,-133.225967,1/8/18,2018,2,1
"west prince of wales island, alaska",Big Tree Bay a,M_10_a,Mid,55.572559,-133.222107,1/8/18,2018,2,1
"west prince of wales island, alaska",Big Tree Bay a,M_10_a,Mid,55.571514,-133.23349,1/8/18,2018,2,1
"west prince of wales island, alaska",Big Tree Bay a,M_10_a,Mid,55.576412,-133.235626,1/8/18,2018,2,2
"west prince of wales island, alaska",Big Tree Bay a,M_10_a,Mid,55.56926,-133.239655,1/8/18,2018,2,3
"west prince of wales island, alaska",Big Tree Bay a,M_10_a,Mid,55.573719,-133.243469,1/8/18,2018,2,2
"west prince of wales island, alaska",Big Tree Bay a,M_10_a,Mid,55.575912,-133.242874,1/8/18,2018,2,1
"west prince of wales island, alaska",Big Tree Bay a,M_10_a,Mid,55.572601,-133.24382,1/8/18,2018,2,1
"west prince of wales island, alaska",Big Tree Bay a,M_10_a,Mid,55.573261,-133.24231,1/8/18,2018,2,2
"west prince of wales island, alaska",Big Tree Bay a,M_10_a,Mid,55.563648,-133.24382,1/8/18,2018,2,3
"west prince of wales island, alaska",Big Tree Bay a,M_10_a,Mid,55.561367,-133.244781,1/8/18,2018,2,3
"west prince of wales island, alaska",Big Tree Bay a,M_10_a,Mid,55.562725,-133.235916,1/8/18,2018,2,1
"west prince of wales island, alaska",Big Tree Bay a,M_10_a,Mid,55.563732,-133.235779,1/8/18,2018,2,1
