Site,date_YYYYMMDD,transect_location,species_common,species_scientific,species_code?,death_estimate,width_mm,notes,measures
Nossuk-Photographers Point,20180617,Edge,Cockle,Clinocardium nutallii,,Whole,25,,"Lia, Maggie, Mel, Tiff"
Nossuk-Photographers Point,20180617,Edge,Cockle,Clinocardium nutallii,,Whole,24,,"Lia, Maggie, Mel, Tiff"
Nossuk-Photographers Point,20180617,Edge,Bentnose Macoma,Macoma nasuta,,Crab chipped,94,,"Lia, Maggie, Mel, Tiff"
Nossuk-Photographers Point,20180617,Edge,Bentnose Macoma,Macoma nasuta,,Whole,50,,"Lia, Maggie, Mel, Tiff"
Nossuk-Photographers Point,20180617,Edge,Bentnose Macoma,Macoma nasuta,,Whole,93,,"Lia, Maggie, Mel, Tiff"
Nossuk-Photographers Point,20180617,Edge,Bentnose Macoma,Macoma nasuta,,Whole,32,,"Lia, Maggie, Mel, Tiff"
Nossuk-Photographers Point,20180617,Edge,Bentnose Macoma,Macoma nasuta,,Whole,93,,"Lia, Maggie, Mel, Tiff"
Nossuk-Photographers Point,20180617,Edge,Bentnose Macoma,Macoma nasuta,,Whole,23,,"Lia, Maggie, Mel, Tiff"
Nossuk-Photographers Point,20180617,Edge,Bentnose Macoma,Macoma nasuta,,Whole,94,,"Lia, Maggie, Mel, Tiff"
Nossuk-Photographers Point,20180617,Edge,Bentnose Macoma,Macoma nasuta,,Whole,34,,"Lia, Maggie, Mel, Tiff"
Nossuk-Photographers Point,20180617,Edge,Bentnose Macoma,Macoma nasuta,,Whole,25,,"Lia, Maggie, Mel, Tiff"
Nossuk-Photographers Point,20180617,Edge,Bentnose Macoma,Macoma nasuta,,Whole,90,,"Lia, Maggie, Mel, Tiff"
Nossuk-Photographers Point,20180617,Edge,Pointed Macoma,Macoma inquinata,,Sea otter,103,,"Lia, Maggie, Mel, Tiff"
Nossuk-Photographers Point,20180617,Edge,Pointed Macoma,Macoma inquinata,,Whole,37,,"Lia, Maggie, Mel, Tiff"
Nossuk-Photographers Point,20180617,Edge,Pointed Macoma,Macoma inquinata,,Whole,42,,"Lia, Maggie, Mel, Tiff"
Nossuk-Photographers Point,20180617,Edge,Pointed Macoma,Macoma inquinata,,Whole,30,,"Lia, Maggie, Mel, Tiff"
Nossuk-Photographers Point,20180617,Edge,Pointed Macoma,Macoma inquinata,,Whole,33,,"Lia, Maggie, Mel, Tiff"
Nossuk-Photographers Point,20180617,Edge,Pointed Macoma,Macoma inquinata,,Whole,37,,"Lia, Maggie, Mel, Tiff"
