,site,longitude,latitude,n_otters,survey_dat
82,Blanquizal,-133.396881,55.619911,4,7/31/2019
83,Blanquizal,-133.396088,55.623562,1,7/31/2019
84,Blanquizal,-133.436859,55.63763,2,7/31/2019
85,Blanquizal,-133.423767,55.631042,1,7/31/2019
86,Blanquizal,-133.437271,55.631638,6,7/31/2019
87,Blanquizal,-133.443695,55.629635,1,7/31/2019
88,Salt Lake Bay,-133.392883,55.683128,1,8/1/2019
89,Salt Lake Bay,-133.401031,55.688957,1,8/1/2019
90,Salt Lake Bay,-133.401489,55.692413,2,8/1/2019
91,Salt Lake Bay,-133.40062,55.683628,1,8/1/2019
92,Salt Lake Bay,-133.385315,55.686115,1,8/1/2019
93,Salt Lake Bay,-133.399918,55.68441,1,8/1/2019
94,Salt Lake Bay,-133.386398,55.690308,25,8/1/2019
95,Salt Lake Bay,-133.388199,55.688629,2,8/1/2019
96,Salt Lake Bay,-133.381821,55.690453,1,8/1/2019
97,Salt Lake Bay,-133.372253,55.688347,1,8/1/2019
98,Salt Lake Bay,-133.363129,55.688637,2,8/1/2019
99,Salt Lake Bay,-133.36174,55.693829,1,8/1/2019
100,Salt Lake Bay,-133.367996,55.684349,2,8/1/2019
101,Salt Lake Bay,-133.37117,55.684967,2,8/1/2019
102,Salt Lake Bay,-133.371094,55.683956,2,8/1/2019
103,Salt Lake Bay,-133.378708,55.683735,1,8/1/2019
104,Salt Lake Bay,-133.376846,55.675098,1,8/1/2019
105,Salt Lake Bay,-133.380386,55.674892,3,8/1/2019
106,Salt Lake Bay,-133.394272,55.697598,1,8/1/2019
107,Salt Lake Bay,-133.391342,55.701496,1,8/1/2019
108,Salt Lake Bay,-133.395187,55.7048,1,8/1/2019
109,Salt Lake Bay,-133.409576,55.703968,1,8/1/2019
110,Salt Lake Bay,-133.406937,55.694969,1,8/1/2019
111,Baker Island,-133.583801,55.34914,1,8/2/2019
112,Baker Island,-133.587509,55.347446,1,8/2/2019
113,Baker Island,-133.590927,55.351994,1,8/2/2019
114,Baker Island,-133.592087,55.353611,1,8/2/2019
115,Baker Island,-133.593033,55.356308,1,8/2/2019
116,Baker Island,-133.589752,55.360283,3,8/2/2019
117,Baker Island,-133.590103,55.361965,1,8/2/2019
118,Baker Island,-133.59523,55.356678,8,8/2/2019
119,Baker Island,-133.610245,55.34164,1,8/2/2019
120,Soda Bay,-132.996033,55.26046,1,8/3/2019
121,Soda Bay,-132.976471,55.2677,1,8/3/2019
122,Soda Bay,-132.98053,55.263229,1,8/3/2019
123,Soda Bay,-132.987579,55.267139,1,8/3/2019
124,Soda Bay,-132.962173,55.26733,10,8/3/2019
125,Soda Bay,-132.969101,55.264313,2,8/3/2019
126,Soda Bay,-132.963776,55.26186,5,8/3/2019
127,Soda Bay,-132.963013,55.259968,4,8/3/2019
128,Soda Bay,-132.969864,55.258354,1,8/3/2019
129,Soda Bay,-132.981567,55.250698,25,8/3/2019
130,Soda Bay,-132.989594,55.253178,1,8/3/2019
131,Farallon Bay,-133.085876,55.215115,1,8/3/2019
132,Dunbar,-132.845917,55.081665,1,8/4/2019
133,Dunbar,-132.86116,55.067013,1,8/4/2019
134,Goats mouth Inlet,-132.917084,55.168095,2,8/4/2019
135,North Fish Egg & South Fish Egg & South Wadleight,-133.16716,55.539795,1,8/11/2019
136,North Fish Egg & South Fish Egg & South Wadleight,-133.202362,55.542488,2,8/11/2019
137,North Fish Egg & South Fish Egg & South Wadleight,-133.203308,55.539997,1,8/11/2019
138,North Fish Egg & South Fish Egg & South Wadleight,-133.202103,55.528194,1,8/11/2019
139,North Fish Egg & South Fish Egg & South Wadleight,-133.203476,55.527031,1,8/11/2019
140,North Fish Egg & South Fish Egg & South Wadleight,-133.211929,55.534668,2,8/11/2019
141,North Fish Egg & South Fish Egg & South Wadleight,-133.195312,55.49691,1,8/11/2019
