site_code,site_name,latitude_N,longitude_E,date_MMDDYYYY,depth_m_MLLW,layer_number,layer_thickness_cm,layer_depth_cm,layer_volume_cm3,dry_bulk_density,organic_dw_g,organic_dw_percent,organic_density,inorganic_dw_g,inorganic_dw_percent,inorganic_density
2017_L_05,Dunbar Inlet,55.0848,-132.826,6/27/2017,-0.7,7,0.6,12,11.78097245,1.645636647,3.19064,16.45745647,5.250634111,2.29233,7.707671156,3.772342255
2017_L_05,Dunbar Inlet,55.0848,-132.826,6/27/2017,-0.7,8,1,14,19.63495408,1.436333891,2.03748,7.224504341,2.926501576,NA,NA,NA
2017_L_05,Dunbar Inlet,55.0848,-132.826,6/27/2017,-0.7,9,0.8,16,15.70796327,1.432648499,1.80718,8.030487038,2.589053715,NA,NA,NA
2017_L_05,Dunbar Inlet,55.0848,-132.826,6/27/2017,-0.7,10,0.9,18,17.67145868,1.853167902,2.6995,8.243206187,5.002626751,NA,NA,NA
2017_L_05,Dunbar Inlet,55.0848,-132.826,6/27/2017,-0.7,11,0.9,20,17.67145868,1.6069528,1.74929,6.160079163,2.811026463,NA,NA,NA
2017_L_05,Dunbar Inlet,55.0848,-132.826,6/27/2017,-0.7,12,1,22,19.63495408,1.635238863,2.29972,7.162487417,3.760591519,2.27847,8.059569082,3.725842693
2017_L_05,Dunbar Inlet,55.0848,-132.826,6/27/2017,-0.7,13,0.8,24,15.70796327,1.935129939,2.07609,6.829928661,4.017503915,NA,NA,NA
2017_L_05,Dunbar Inlet,55.0848,-132.826,6/27/2017,-0.7,14,0.9,26,17.67145868,2.195323584,1.67484,4.317202124,3.676815752,NA,NA,NA
2017_L_05,Dunbar Inlet,55.0848,-132.826,6/27/2017,-0.7,15,0.9,28,17.67145868,1.618049224,1.88604,6.596092999,3.051705559,NA,NA,NA
2017_L_06,Farallon Bay,55.19112,-133.105314,7/23/2017,-0.81,1,1.1,0,21.59844949,0.735093045,5.87959,37.03242516,4.322045715,NA,NA,NA
2017_L_06,Farallon Bay,55.19112,-133.105314,7/23/2017,-0.81,2,1.1,2,21.59844949,1.252176922,17.26251,63.82865201,21.61571663,0.46425,4.635403198,0.581323136
2017_L_06,Farallon Bay,55.19112,-133.105314,7/23/2017,-0.81,3,1.3,4,25.52544031,1.275158415,22.03226,67.68955586,28.09462173,NA,NA,NA
2017_L_06,Farallon Bay,55.19112,-133.105314,7/23/2017,-0.81,4,1.1,6,21.59844949,1.195278856,15.32107,59.34679699,18.31295102,NA,NA,NA
2017_L_06,Farallon Bay,55.19112,-133.105314,7/23/2017,-0.81,5,1.4,8,27.48893572,1.129384939,20.95351,67.49270991,23.66457862,NA,NA,NA
2017_L_06,Farallon Bay,55.19112,-133.105314,7/23/2017,-0.81,6,1.1,10,21.59844949,1.184631795,15.43083,60.30916654,18.27985185,NA,NA,NA
2017_L_06,Farallon Bay,55.19112,-133.105314,7/23/2017,-0.81,7,1.1,12,21.59844949,1.297662594,18.21146,64.97711177,23.63233043,0.5758,5.684072947,0.747194122
2017_L_06,Farallon Bay,55.19112,-133.105314,7/23/2017,-0.81,8,1.2,14,23.5619449,0.960284055,12.25794,54.17596269,11.77110433,NA,NA,NA
2017_L_06,Farallon Bay,55.19112,-133.105314,7/23/2017,-0.81,9,1.1,16,21.59844949,1.178077158,15.92793,62.59837042,18.76433051,NA,NA,NA
2017_L_06,Farallon Bay,55.19112,-133.105314,7/23/2017,-0.81,10,1,18,19.63495408,1.222534562,13.99175,58.28824787,17.10539796,NA,NA,NA
