site,latitude_N_dd,longitude_E_dd,date_YYYY/MM/DD,transect,replicate,sample_volume_cm3,bag_weight_g,bag_sed_ww_g,bag_sed_dw_g,pan_weight_g,pan_sed_dw_pre_450C_g,pan_sed_dw_post_450C_g
Port Caldera,55.36209,-133.161232,10/7/18,inside,5,115,4.2584,234.87,190.01,1.29001,48.79979,47.94491
Port Caldera,55.36209,-133.161232,10/7/18,outside,1,115,4.2718,243.68,201.43,1.28242,57.03196,56.11546
Port Caldera,55.36209,-133.161232,10/7/18,outside,2,115,4.2331,247.91,204.8,1.28551,60.57411,59.7764
Port Caldera,55.36209,-133.161232,10/7/18,outside,3,115,4.2488,238.49,194.04,1.28757,54.37066,53.49646
Port Caldera,55.36209,-133.161232,10/7/18,outside,4,115,4.2644,229.53,182.52,1.27435,54.97474,53.99686
Port Caldera,55.36209,-133.161232,10/7/18,outside,5,115,4.2869,250.04,213.85,1.29139,54.55643,53.8325
Salt Lake Bay,55.684275,-133.377377,6/26/2018,inside,1,115,4.2777,242.97,108.33,1.28483,38.80747,37.03005
Salt Lake Bay,55.684275,-133.377377,6/26/2018,inside,2,115,4.2816,240.55,132.86,1.29573,46.77685,45.73525
Salt Lake Bay,55.684275,-133.377377,6/26/2018,inside,3,115,4.2978,240.48,140.96,1.30263,39.84326,38.66512
Salt Lake Bay,55.684275,-133.377377,6/26/2018,inside,4,115,4.2525,247.76,131.28,1.29325,44.55819,43.55405
Salt Lake Bay,55.684275,-133.377377,6/26/2018,inside,5,115,4.2346,227.34,132.03,1.27867,43.47024,42.12707
Salt Lake Bay,55.684275,-133.377377,6/26/2018,outside,1,115,4.2868,181.62,201.17,1.28067,46.03191,45.55365
Salt Lake Bay,55.684275,-133.377377,6/26/2018,outside,2,115,4.2735,205.69,200.63,1.27904,56.23898,55.53677
Salt Lake Bay,55.684275,-133.377377,6/26/2018,outside,3,115,4.2607,204.17,202.49,1.27389,46.25888,45.7043
Salt Lake Bay,55.684275,-133.377377,6/26/2018,outside,4,115,4.3018,200.65,200.52,1.28176,55.20637,54.65461
Salt Lake Bay,55.684275,-133.377377,6/26/2018,outside,5,115,4.2788,207.7,195.91,1.26627,57.88265,57.26919
