site,latitude_N_dd,longitude_E_dd,date_YYYY/MM/DD,transect,replicate,sample_volume_cm3,bag_weight_g,bag_sed_ww_g,bag_sed_dw_g,pan_weight_g,pan_sed_dw_pre_450C_g,pan_sed_dw_post_450C_g
Shinaku Inlet,55.599299,-133.157644,17/6/18,inside,5,115,4.3594,165.15,82.56,1.27168,34.92349,32.88425
Shinaku Inlet,55.599299,-133.157644,17/6/18,outside,1,115,4.3736,235.19,185.19,1.28193,41.59698,41.08977
Shinaku Inlet,55.599299,-133.157644,17/6/18,outside,2,115,4.4074,240.6,186.86,1.26839,49.07855,48.27557
Shinaku Inlet,55.599299,-133.157644,17/6/18,outside,3,115,4.3693,246.45,198.41,1.27708,48.15245,47.62108
Shinaku Inlet,55.599299,-133.157644,17/6/18,outside,4,115,4.344,232.94,184.81,1.27092,43.71768,43.13924
Shinaku Inlet,55.599299,-133.157644,17/6/18,outside,5,115,4.3265,227.9,178.42,1.24584,43.43289,42.95107
Kaguk Cove,55.733423,-133.29047,30/5/18,inside,1,115,4.337,212.2,146.41,1.25226,44.38338,43.42753
Kaguk Cove,55.733423,-133.29047,30/5/18,inside,2,115,4.359,188.99,111.94,1.27577,32.71884,31.56428
Kaguk Cove,55.733423,-133.29047,30/5/18,inside,3,115,4.331,213.71,141.24,1.29079,43.14072,41.85837
Kaguk Cove,55.733423,-133.29047,30/5/18,inside,4,115,4.336,193.47,116.89,1.28578,36.13453,34.95477
Kaguk Cove,55.733423,-133.29047,30/5/18,inside,5,115,4.322,213.57,148.25,1.2873,45.94171,45.13708
Kaguk Cove,55.733423,-133.29047,30/5/18,outside,1,115,4.319,218.78,158.57,1.29309,46.44471,45.53839
Kaguk Cove,55.733423,-133.29047,30/5/18,outside,2,115,4.321,212.67,153.13,1.29044,45.32821,44.37555
Kaguk Cove,55.733423,-133.29047,30/5/18,outside,3,115,4.305,216.24,145.02,1.26446,37.32721,36.61134
Kaguk Cove,55.733423,-133.29047,30/5/18,outside,4,115,4.328,221.69,173.14,1.28351,59.2953,58.54087
Kaguk Cove,55.733423,-133.29047,30/5/18,outside,5,115,4.346,201.43,137.96,1.26388,38.07571,37.13772
Natzuhini Bay 2,55.241887,-132.837131,16/6/18,inside,1,115,4.359,213.21,153.59,1.30713,36.18321,35.51654
Natzuhini Bay 2,55.241887,-132.837131,16/6/18,inside,2,115,4.3177,218.79,169.58,1.27321,39.88719,39.36149
Natzuhini Bay 2,55.241887,-132.837131,16/6/18,inside,3,115,4.3195,223.43,169.43,1.29236,48.64495,48.02255
Natzuhini Bay 2,55.241887,-132.837131,16/6/18,inside,4,115,4.3695,227.43,179.77,1.29157,57.51413,56.79258
Natzuhini Bay 2,55.241887,-132.837131,16/6/18,inside,5,115,4.339,209.81,146.72,1.28783,43.65228,42.70111
Natzuhini Bay 2,55.241887,-132.837131,16/6/18,outside,1,115,4.3151,236.54,186.74,1.28955,50.87824,50.36131
Natzuhini Bay 2,55.241887,-132.837131,16/6/18,outside,2,115,4.3356,239.25,190.24,1.29733,43.63671,43.16222
Natzuhini Bay 2,55.241887,-132.837131,16/6/18,outside,3,115,4.3428,214.91,167.62,1.2642,35.69363,35.27715
Natzuhini Bay 2,55.241887,-132.837131,16/6/18,outside,4,115,4.3496,228.39,182.17,1.26026,42.28441,41.86275
Natzuhini Bay 2,55.241887,-132.837131,16/6/18,outside,5,115,4.3352,225.28,182.85,1.29993,43.17202,42.78505
