site,date,longitude,latitude,n_otters
Salt Lake Bay,20190815,-133.356903,55.689468,1
Salt Lake Bay,20190815,-133.368027,55.687622,2
Salt Lake Bay,20190815,-133.376541,55.682968,1
Salt Lake Bay,20190815,-133.377579,55.683117,1
Salt Lake Bay,20190815,-133.381104,55.675827,2
Salt Lake Bay,20190815,-133.392929,55.68932,1
Salt Lake Bay,20190815,-133.398376,55.687916,3
Salt Lake Bay,20190815,-133.396561,55.683723,1
Salt Lake Bay,20190815,-133.404037,55.673229,1
Salt Lake Bay,20190815,-133.404129,55.666817,2
Salt Lake Bay,20190815,-133.412796,55.668903,1
Salt Lake Bay,20190815,-133.414917,55.669315,1
Salt Lake Bay,20190815,-133.404068,55.686771,1
Goats mouth Inlet,20190816,-132.899979,55.167019,1
Salt Lake Bay,20190815,-133.401733,55.69651,3
Soda Bay,20190816,-133.013779,55.262299,1
Soda Bay,20190816,-133.010422,55.263298,1
Soda Bay,20190816,-132.978134,55.259243,1
Soda Bay,20190816,-132.968521,55.267288,1
Soda Bay,20190816,-132.955261,55.26873,1
Soda Bay,20190816,-132.977661,55.266857,1
Soda Bay,20190816,-133.007187,55.270229,1
Soda Bay,20190816,-133.032715,55.268066,1
Soda Bay,20190816,-133.040054,55.26944,1
Dunbar Inlet,20190817,-132.854736,55.077103,1
Calder Bay,20190805,-133.566391,56.177868,2
Calder Bay,20190805,-133.566879,56.176777,1
Calder Bay,20190805,-133.558319,56.176853,1
Calder Bay,20190805,-133.558319,56.17828,3
Calder Bay,20190805,-133.564453,56.180786,1
Calder Bay,20190805,-133.565109,56.184189,3
Calder Bay,20190805,-133.564606,56.187313,5
Calder Bay,20190805,-133.562592,56.183079,2
Calder Bay,20190805,-133.564148,56.183144,1
Calder Bay,20190805,-133.557373,56.1847,2
Calder Bay,20190805,-133.555832,56.185764,3
Calder Bay,20190805,-133.554092,56.185177,1
Calder Bay,20190805,-133.55127,56.183914,1
Calder Bay,20190805,-133.547379,56.18581,1
Calder Bay,20190805,-133.546249,56.188602,1
Calder Bay,20190805,-133.542801,56.183022,1
Calder Bay,20190805,-133.526535,56.180416,1
Calder Bay,20190805,-133.527771,56.189869,1
Calder Bay,20190805,-133.496658,56.175816,1
Calder Bay,20190805,-133.518463,56.172844,1
Calder Bay,20190805,-133.520493,56.171894,1
Calder Bay,20190805,-133.522766,56.168205,2
Calder Bay,20190805,-133.515671,56.17065,2
Calder Bay,20190805,-133.522141,56.167435,1
Calder Bay,20190805,-133.515915,56.168724,2
Calder Bay,20190805,-133.516144,56.17218,1
Calder Bay,20190805,-133.516769,56.16581,1
Calder Bay,20190805,-133.512039,56.165413,1
Calder Bay,20190805,-133.506821,56.168304,1
Calder Bay,20190805,-133.502075,56.165462,1
Naukati,20190731,-133.189636,55.84219,1
Naukati,20190731,-133.201859,55.840996,1
Naukati,20190731,-133.178513,55.851681,2
Naukati,20190731,-133.194336,55.839344,1
Naukati,20190731,-133.194168,55.840034,1
Naukati,20190731,-133.196426,55.840313,1
Naukati,20190731,-133.19545,55.83997,1
Naukati,20190731,-133.170471,55.846344,1
Naukati,20190731,-133.163818,55.84462,2
Naukati,20190731,-133.172424,55.845478,2
Naukati,20190731,-133.167007,55.845268,1
Naukati,20190731,-133.177872,55.854927,1
Naukati,20190731,-133.178131,55.856396,3
Naukati,20190731,-133.166061,55.862347,2
Naukati,20190731,-133.166504,55.863834,1
Naukati,20190731,-133.165512,55.863327,1
Naukati,20190731,-133.177704,55.864529,1
Naukati,20190731,-133.185165,55.859577,1
Naukati,20190731,-133.184128,55.8559,1
Naukati,20190731,-133.193329,55.852211,1
Naukati,20190731,-133.211395,55.858063,1
Naukati,20190731,-133.224731,55.85033,1
Chusini,20190731,-133.208313,55.829838,1
Chusini,20190731,-133.209045,55.831993,1
Chusini,20190731,-133.208237,55.828133,1
Chusini,20190731,-133.199402,55.832016,40
Chusini,20190731,-133.19429,55.83382,1
Chusini,20190731,-133.190872,55.827118,1
Chusini,20190731,-133.180038,55.832375,1
Chusini,20190731,-133.170303,55.835968,1
Chusini,20190731,-133.169281,55.834656,1
Chusini,20190731,-133.171326,55.835033,1
Chusini,20190731,-133.171463,55.834938,1
Chusini,20190731,-133.17038,55.834881,1
Chusini,20190731,-133.1707,55.835793,1
Chusini,20190731,-133.161026,55.834976,1
Chusini,20190731,-133.161453,55.833736,1
Chusini,20190731,-133.167557,55.831726,1
Chusini,20190731,-133.167114,55.830471,1
Chusini,20190731,-133.175446,55.826408,8
Chusini,20190731,-133.178436,55.827847,2
Chusini,20190731,-133.169418,55.825672,1
Chusini,20190731,-133.181839,55.826447,1
Chusini,20190731,-133.182709,55.825932,1
Chusini,20190731,-133.181427,55.826359,1
Chusini,20190731,-133.181198,55.825768,1
Chusini,20190731,-133.182617,55.825783,1
Chusini,20190731,-133.175674,55.824154,1
Chusini,20190731,-133.187134,55.821144,3
Chusini,20190731,-133.187378,55.825249,1
Chusini,20190731,-133.186646,55.825027,1
Chusini,20190731,-133.186874,55.819569,1
Chusini,20190731,-133.178818,55.813995,1
Chusini,20190731,-133.173386,55.810146,1
Chusini,20190731,-133.175781,55.809906,1
Chusini,20190731,-133.179352,55.812489,1
Chusini,20190731,-133.179367,55.8125,1
Chusini,20190731,-133.181885,55.811802,1
Chusini,20190731,-133.181976,55.811943,1
Chusini,20190731,-133.197189,55.813843,1
Chusini,20190731,-133.213821,55.809124,1
Chusini,20190731,-133.219666,55.804581,1
Kaguk & Guktu,20190801,-133.262192,55.757263,1
Kaguk & Guktu,20190801,-133.261765,55.757347,1
Kaguk & Guktu,20190801,-133.286896,55.74651,1
Kaguk & Guktu,20190801,-133.286758,55.747227,1
Kaguk & Guktu,20190801,-133.287598,55.7453,1
Kaguk & Guktu,20190801,-133.284378,55.74966,1
Kaguk & Guktu,20190801,-133.284286,55.7444,1
Kaguk & Guktu,20190801,-133.284836,55.750229,1
Kaguk & Guktu,20190801,-133.284775,55.749752,1
Kaguk & Guktu,20190801,-133.285904,55.752514,1
Kaguk & Guktu,20190801,-133.286697,55.75259,1
Kaguk & Guktu,20190801,-133.289062,55.75322,1
Kaguk & Guktu,20190801,-133.286407,55.754391,1
Kaguk & Guktu,20190801,-133.30014,55.7523,30
Kaguk & Guktu,20190801,-133.300552,55.749813,1
Kaguk & Guktu,20190801,-133.302139,55.750324,1
Kaguk & Guktu,20190801,-133.301224,55.748165,1
Kaguk & Guktu,20190801,-133.313217,55.753742,1
Kaguk & Guktu,20190801,-133.302246,55.756248,40
Kaguk & Guktu,20190801,-133.317032,55.766117,3
Kaguk & Guktu,20190801,-133.320251,55.765976,4
Kaguk & Guktu,20190801,-133.317978,55.770042,1
Kaguk & Guktu,20190801,-133.312576,55.77309,1
Kaguk & Guktu,20190801,-133.311295,55.771713,1
Kaguk & Guktu,20190801,-133.311401,55.771378,1
Kaguk & Guktu,20190801,-133.307251,55.763432,1
Kaguk & Guktu,20190801,-133.295761,55.764622,1
Kaguk & Guktu,20190801,-133.302399,55.768044,1
Kaguk & Guktu,20190801,-133.288925,55.763351,4
Kaguk & Guktu,20190801,-133.273834,55.75951,3
Nossuk,20190801,-133.370193,55.733723,1
Nossuk,20190801,-133.37114,55.730892,1
Nossuk,20190801,-133.345856,55.716095,1
Nossuk,20190801,-133.345795,55.718769,1
Nossuk,20190801,-133.34613,55.715115,1
Nossuk,20190801,-133.343704,55.713219,1
Nossuk,20190801,-133.337723,55.711514,1
Nossuk,20190801,-133.33699,55.715412,1
Nossuk,20190801,-133.346939,55.724796,1
Nossuk,20190801,-133.350128,55.72794,1
Nossuk,20190801,-133.348785,55.729889,1
Nossuk,20190801,-133.351852,55.729458,1
Nossuk,20190801,-133.34137,55.729996,1
Nossuk,20190801,-133.338577,55.732964,1
Nossuk,20190801,-133.34404,55.737103,1
Nossuk,20190801,-133.361359,55.731236,4
Heceta,20190802,-133.510986,55.767803,2
Heceta,20190802,-133.520447,55.767101,1
Heceta,20190802,-133.519333,55.76453,1
Heceta,20190802,-133.52356,55.765663,1
Heceta,20190802,-133.527603,55.767735,1
