"","site","longitude","latitude","n_otters","survey_dat"
"96","Salt Lake Bay",-133.381821,55.690453,1,"2019/08/01"
"97","Salt Lake Bay",-133.372253,55.688347,1,"2019/08/01"
"98","Salt Lake Bay",-133.363129,55.688637,2,"2019/08/01"
"99","Salt Lake Bay",-133.36174,55.693829,1,"2019/08/01"
"100","Salt Lake Bay",-133.367996,55.684349,2,"2019/08/01"
"101","Salt Lake Bay",-133.37117,55.684967,2,"2019/08/01"
"102","Salt Lake Bay",-133.371094,55.683956,2,"2019/08/01"
"103","Salt Lake Bay",-133.378708,55.683735,1,"2019/08/01"
"104","Salt Lake Bay",-133.376846,55.675098,1,"2019/08/01"
"105","Salt Lake Bay",-133.380386,55.674892,3,"2019/08/01"
"106","Salt Lake Bay",-133.394272,55.697598,1,"2019/08/01"
"107","Salt Lake Bay",-133.391342,55.701496,1,"2019/08/01"
"108","Salt Lake Bay",-133.395187,55.7048,1,"2019/08/01"
"109","Salt Lake Bay",-133.409576,55.703968,1,"2019/08/01"
"110","Salt Lake Bay",-133.406937,55.694969,1,"2019/08/01"
"111","Baker Island",-133.583801,55.34914,1,"2019/08/02"
"112","Baker Island",-133.587509,55.347446,1,"2019/08/02"
"113","Baker Island",-133.590927,55.351994,1,"2019/08/02"
"114","Baker Island",-133.592087,55.353611,1,"2019/08/02"
"115","Baker Island",-133.593033,55.356308,1,"2019/08/02"
"116","Baker Island",-133.589752,55.360283,3,"2019/08/02"
"117","Baker Island",-133.590103,55.361965,1,"2019/08/02"
"118","Baker Island",-133.59523,55.356678,8,"2019/08/02"
"119","Baker Island",-133.610245,55.34164,1,"2019/08/02"
"120","Soda Bay",-132.996033,55.26046,1,"2019/08/03"
"121","Soda Bay",-132.976471,55.2677,1,"2019/08/03"
"122","Soda Bay",-132.98053,55.263229,1,"2019/08/03"
"123","Soda Bay",-132.987579,55.267139,1,"2019/08/03"
"124","Soda Bay",-132.962173,55.26733,10,"2019/08/03"
"125","Soda Bay",-132.969101,55.264313,2,"2019/08/03"
"126","Soda Bay",-132.963776,55.26186,5,"2019/08/03"
"127","Soda Bay",-132.963013,55.259968,4,"2019/08/03"
"128","Soda Bay",-132.969864,55.258354,1,"2019/08/03"
"129","Soda Bay",-132.981567,55.250698,25,"2019/08/03"
"130","Soda Bay",-132.989594,55.253178,1,"2019/08/03"
"131","Farallon Bay",-133.085876,55.215115,1,"2019/08/03"
"132","Dunbar",-132.845917,55.081665,1,"2019/08/04"
"133","Dunbar",-132.86116,55.067013,1,"2019/08/04"
"134","Goats mouth Inlet",-132.917084,55.168095,2,"2019/08/04"
"135","North Fish Egg & South Fish Egg & South Wadleight",-133.16716,55.539795,1,"2019/08/11"
"136","North Fish Egg & South Fish Egg & South Wadleight",-133.202362,55.542488,2,"2019/08/11"
"137","North Fish Egg & South Fish Egg & South Wadleight",-133.203308,55.539997,1,"2019/08/11"
"138","North Fish Egg & South Fish Egg & South Wadleight",-133.202103,55.528194,1,"2019/08/11"
"139","North Fish Egg & South Fish Egg & South Wadleight",-133.203476,55.527031,1,"2019/08/11"
"140","North Fish Egg & South Fish Egg & South Wadleight",-133.211929,55.534668,2,"2019/08/11"
"141","North Fish Egg & South Fish Egg & South Wadleight",-133.195312,55.49691,1,"2019/08/11"
"142","North Fish Egg & South Fish Egg & South Wadleight",-133.20752,55.499413,2,"2019/08/11"
"143","North Fish Egg & South Fish Egg & South Wadleight",-133.211929,55.500076,1,"2019/08/11"
"144","North Fish Egg & South Fish Egg & South Wadleight",-133.216339,55.502354,4,"2019/08/11"
"145","North Fish Egg & South Fish Egg & South Wadleight",-133.21759,55.502922,1,"2019/08/11"
"146","North Fish Egg & South Fish Egg & South Wadleight",-133.217499,55.501759,3,"2019/08/11"
"147","North Fish Egg & South Fish Egg & South Wadleight",-133.187912,55.489632,2,"2019/08/11"
"148","North Fish Egg & South Fish Egg & South Wadleight",-133.187134,55.488338,1,"2019/08/11"
"149","North Fish Egg & South Fish Egg & South Wadleight",-133.22171,55.497063,2,"2019/08/11"
"150","North Fish Egg & South Fish Egg & South Wadleight",-133.230164,55.490295,1,"2019/08/11"
"151","North Fish Egg & South Fish Egg & South Wadleight",-133.237595,55.495216,1,"2019/08/11"
"152","North Fish Egg & South Fish Egg & South Wadleight",-133.212509,55.488438,1,"2019/08/11"
"153","North Fish Egg & South Fish Egg & South Wadleight",-133.190506,55.484692,1,"2019/08/11"
"154","North Fish Egg & South Fish Egg & South Wadleight",-133.19043,55.481979,1,"2019/08/11"
"155","North Fish Egg & South Fish Egg & South Wadleight",-133.226471,55.490417,1,"2019/08/11"
"156","North Fish Egg & South Fish Egg & South Wadleight",-133.237335,55.486641,1,"2019/08/11"
"157","North Fish Egg & South Fish Egg & South Wadleight",-133.22966,55.477581,3,"2019/08/11"
"158","North Fish Egg & South Fish Egg & South Wadleight",-133.2276,55.475601,1,"2019/08/11"
"159","North Fish Egg & South Fish Egg & South Wadleight",-133.204056,55.46936,1,"2019/08/11"
"160","North Fish Egg & South Fish Egg & South Wadleight",-133.184174,55.479813,1,"2019/08/11"
"161","North Fish Egg & South Fish Egg & South Wadleight",-133.179749,55.472675,1,"2019/08/11"
"162","North Fish Egg & South Fish Egg & South Wadleight",-133.175949,55.469631,1,"2019/08/11"
"163","North Fish Egg & South Fish Egg & South Wadleight",-133.169907,55.508148,1,"2019/08/11"
"164","Baker Island",-133.543854,55.334545,1,"2019/08/12"
"165","Baker Island",-133.539642,55.334232,8,"2019/08/12"
"166","Baker Island",-133.555618,55.333927,1,"2019/08/12"
"167","Baker Island",-133.562164,55.335274,1,"2019/08/12"
"168","Baker Island",-133.560913,55.340412,1,"2019/08/12"
"169","Baker Island",-133.564407,55.341423,1,"2019/08/12"
"170","Baker Island",-133.565643,55.341835,1,"2019/08/12"
"171","Baker Island",-133.578384,55.344292,1,"2019/08/12"
"172","Baker Island",-133.578873,55.348015,1,"2019/08/12"
"173","Baker Island",-133.586975,55.349869,1,"2019/08/12"
"174","Baker Island",-133.584564,55.354294,1,"2019/08/12"
"175","Baker Island",-133.592575,55.354805,3,"2019/08/12"
"176","Baker Island",-133.592285,55.355877,1,"2019/08/12"
"177","Baker Island",-133.593719,55.356655,1,"2019/08/12"
"178","Baker Island",-133.592331,55.357498,1,"2019/08/12"
"179","Baker Island",-133.593582,55.357861,1,"2019/08/12"
"180","Baker Island",-133.587906,55.357632,1,"2019/08/12"
"181","Baker Island",-133.591782,55.359699,1,"2019/08/12"
"182","Baker Island",-133.592209,55.36076,1,"2019/08/12"
"183","Baker Island",-133.588745,55.361073,1,"2019/08/12"
"184","Baker Island",-133.596741,55.353504,1,"2019/08/12"
"185","Baker Island",-133.594681,55.352966,1,"2019/08/12"
"186","Baker Island",-133.59787,55.352631,1,"2019/08/12"
"187","Baker Island",-133.597824,55.354706,1,"2019/08/12"
"188","Baker Island",-133.598831,55.354267,1,"2019/08/12"
"189","Baker Island",-133.607132,55.344601,2,"2019/08/12"
"190","Baker Island",-133.61261,55.34127,1,"2019/08/12"
"191","Port Refugio",-133.319366,55.278969,1,"2019/08/12"
"192","Klawock & Shinaku",-133.110947,55.599438,1,"2019/08/12"
"193","Klawock & Shinaku",-133.113251,55.602016,1,"2019/08/12"
"194","Klawock & Shinaku",-133.125336,55.604939,1,"2019/08/12"
"195","Klawock & Shinaku",-133.133682,55.601028,1,"2019/08/12"
"196","Klawock & Shinaku",-133.131775,55.599129,1,"2019/08/12"
"197","Klawock & Shinaku",-133.132538,55.598038,1,"2019/08/12"
"198","Klawock & Shinaku",-133.138733,55.596191,1,"2019/08/12"
"199","Klawock & Shinaku",-133.146057,55.595638,1,"2019/08/12"
"200","Klawock & Shinaku",-133.147552,55.595646,1,"2019/08/12"
"201","Klawock & Shinaku",-133.152481,55.595642,1,"2019/08/12"
"202","Klawock & Shinaku",-133.14978,55.595451,1,"2019/08/12"
"203","Klawock & Shinaku",-133.155304,55.595936,2,"2019/08/12"
"204","Klawock & Shinaku",-133.161819,55.596272,1,"2019/08/12"
"205","Klawock & Shinaku",-133.169434,55.596165,4,"2019/08/12"
"206","Klawock & Shinaku",-133.164612,55.59269,1,"2019/08/12"
"207","Klawock & Shinaku",-133.167145,55.591595,1,"2019/08/12"
"208","Klawock & Shinaku",-133.16925,55.598431,1,"2019/08/12"
"209","Klawock & Shinaku",-133.164322,55.600193,1,"2019/08/12"
"210","Klawock & Shinaku",-133.162643,55.583405,1,"2019/08/12"
"211","Klawock & Shinaku",-133.14975,55.585384,1,"2019/08/12"
"212","Klawock & Shinaku",-133.150742,55.582878,1,"2019/08/12"
"213","Klawock & Shinaku",-133.163239,55.586784,1,"2019/08/12"
"214","Klawock & Shinaku",-133.163788,55.578358,1,"2019/08/12"
"215","Klawock & Shinaku",-133.166794,55.577362,1,"2019/08/12"
"216","Klawock & Shinaku",-133.154617,55.578552,1,"2019/08/12"
"217","Klawock & Shinaku",-133.158142,55.574894,1,"2019/08/12"
"218","Klawock & Shinaku",-133.161453,55.573837,1,"2019/08/12"
"219","Klawock & Shinaku",-133.162766,55.573399,1,"2019/08/12"
"220","Klawock & Shinaku",-133.164169,55.572948,1,"2019/08/12"
"221","Klawock & Shinaku",-133.169067,55.576847,16,"2019/08/12"
"222","Klawock & Shinaku",-133.168503,55.572575,1,"2019/08/12"
"223","Klawock & Shinaku",-133.175705,55.574383,2,"2019/08/12"
"224","Klawock & Shinaku",-133.176895,55.5741,2,"2019/08/12"
"225","Klawock & Shinaku",-133.186447,55.573746,2,"2019/08/12"
"226","Klawock & Shinaku",-133.190262,55.574341,1,"2019/08/12"
"227","Klawock & Shinaku",-133.189484,55.570446,1,"2019/08/12"
"228","Klawock & Shinaku",-133.195526,55.573837,1,"2019/08/12"
"229","Klawock & Shinaku",-133.19603,55.576172,3,"2019/08/12"
"230","Klawock & Shinaku",-133.18689,55.576908,1,"2019/08/12"
"231","Klawock & Shinaku",-133.190552,55.578342,1,"2019/08/12"
"232","Klawock & Shinaku",-133.138275,55.588654,1,"2019/08/12"
"233","Klawock & Shinaku",-133.139069,55.589317,1,"2019/08/12"
"234","Klawock & Shinaku",-133.11441,55.59729,1,"2019/08/12"
"235","Klawock & Shinaku",-133.119232,55.58654,1,"2019/08/12"
"236","Klawock & Shinaku",-133.125336,55.587509,1,"2019/08/12"
"237","Garcia Cove",-133.395599,55.570454,1,"2019/08/13"
"238","Garcia Cove",-133.430115,55.562603,1,"2019/08/13"
"239","Garcia Cove",-133.42424,55.563194,1,"2019/08/13"
"240","Garcia Cove",-133.449524,55.56303,1,"2019/08/13"
"241","Garcia Cove",-133.467209,55.549133,33,"2019/08/13"
"242","Blanquizal",-133.38884,55.613758,1,"2019/08/13"
"243","Blanquizal",-133.393066,55.613091,1,"2019/08/13"
"244","Blanquizal",-133.40593,55.626671,3,"2019/08/13"
"245","Blanquizal",-133.398529,55.62138,1,"2019/08/13"
"246","Blanquizal",-133.400162,55.634476,1,"2019/08/13"
"247","Blanquizal",-133.434738,55.631695,6,"2019/08/13"
"248","Kaguk & Guktu",-133.31398,55.765076,4,"2019/08/14"
"249","Kaguk & Guktu",-133.312912,55.76128,1,"2019/08/14"
"250","Kaguk & Guktu",-133.312164,55.760479,1,"2019/08/14"
"251","Kaguk & Guktu",-133.306641,55.764633,2,"2019/08/14"
"252","Kaguk & Guktu",-133.313095,55.754242,2,"2019/08/14"
"253","Kaguk & Guktu",-133.302017,55.753773,53,"2019/08/14"
"254","Kaguk & Guktu",-133.30098,55.751595,1,"2019/08/14"
"255","Kaguk & Guktu",-133.310608,55.748722,2,"2019/08/14"
"256","Kaguk & Guktu",-133.305756,55.750404,1,"2019/08/14"
"257","Kaguk & Guktu",-133.304367,55.751961,1,"2019/08/14"
"258","Kaguk & Guktu",-133.303268,55.7486,1,"2019/08/14"
"259","Kaguk & Guktu",-133.312607,55.746231,1,"2019/08/14"
"260","Kaguk & Guktu",-133.304794,55.753651,1,"2019/08/14"
"261","Kaguk & Guktu",-133.302567,55.756092,3,"2019/08/14"
"262","Kaguk & Guktu",-133.300232,55.760899,1,"2019/08/14"
"263","Kaguk & Guktu",-133.29924,55.767017,1,"2019/08/14"
"264","Kaguk & Guktu",-133.286652,55.76054,134,"2019/08/14"
"265","Kaguk & Guktu",-133.276886,55.763317,13,"2019/08/14"
"266","Kaguk & Guktu",-133.29924,55.772484,1,"2019/08/14"
"267","Kaguk & Guktu",-133.28688,55.775322,1,"2019/08/14"
"268","Kaguk & Guktu",-133.282471,55.75843,1,"2019/08/14"
"269","Kaguk & Guktu",-133.278503,55.758282,1,"2019/08/14"
"270","Kaguk & Guktu",-133.286209,55.756275,3,"2019/08/14"
"271","Kaguk & Guktu",-133.282104,55.753765,1,"2019/08/14"
"272","Kaguk & Guktu",-133.274872,55.759731,40,"2019/08/14"
"273","Kaguk & Guktu",-133.266022,55.760963,1,"2019/08/14"
"274","Kaguk & Guktu",-133.276337,55.750725,2,"2019/08/14"
"275","Kaguk & Guktu",-133.281967,55.747009,1,"2019/08/14"
"276","Kaguk & Guktu",-133.284378,55.75071,1,"2019/08/14"
"277","Kaguk & Guktu",-133.293945,55.741539,2,"2019/08/14"
"278","Kaguk & Guktu",-133.286911,55.747971,1,"2019/08/14"
"279","Kaguk & Guktu",-133.288147,55.74152,2,"2019/08/14"
"280","Chusini & Naukati",-133.202011,55.815872,1,"2019/08/14"
"281","Chusini & Naukati",-133.223999,55.849945,1,"2019/08/14"
"282","Chusini & Naukati",-133.180618,55.856197,1,"2019/08/14"
"283","Chusini & Naukati",-133.174393,55.857254,1,"2019/08/14"
"284","Chusini & Naukati",-133.172836,55.852837,1,"2019/08/14"
"285","Chusini & Naukati",-133.170242,55.850044,1,"2019/08/14"
"286","Chusini & Naukati",-133.16507,55.859203,1,"2019/08/14"
"287","Chusini & Naukati",-133.168732,55.846863,1,"2019/08/14"
"288","Chusini & Naukati",-133.17363,55.841019,2,"2019/08/14"
"289","Chusini & Naukati",-133.173523,55.839581,1,"2019/08/14"
"290","Chusini & Naukati",-133.184128,55.831802,21,"2019/08/14"
"291","Chusini & Naukati",-133.193817,55.84457,1,"2019/08/14"
"292","Chusini & Naukati",-133.201263,55.840961,1,"2019/08/14"
"293","Chusini & Naukati",-133.195496,55.838844,1,"2019/08/14"
"294","Chusini & Naukati",-133.197693,55.83305,13,"2019/08/14"
"295","Chusini & Naukati",-133.186707,55.836147,1,"2019/08/14"
"296","Chusini & Naukati",-133.185501,55.826439,1,"2019/08/14"
"297","Chusini & Naukati",-133.18251,55.828396,1,"2019/08/14"
"298","Chusini & Naukati",-133.177597,55.82893,1,"2019/08/14"
"299","Chusini & Naukati",-133.176407,55.826828,2,"2019/08/14"
"300","Chusini & Naukati",-133.17366,55.82877,1,"2019/08/14"
"301","Chusini & Naukati",-133.179077,55.824909,11,"2019/08/14"
"302","Chusini & Naukati",-133.177307,55.834023,1,"2019/08/14"
"303","Chusini & Naukati",-133.18042,55.822876,4,"2019/08/14"
"304","Chusini & Naukati",-133.181747,55.821541,6,"2019/08/14"
"305","Chusini & Naukati",-133.18277,55.820332,2,"2019/08/14"
"306","Chusini & Naukati",-133.182663,55.819107,1,"2019/08/14"
"307","Chusini & Naukati",-133.182159,55.81813,1,"2019/08/14"
"308","Chusini & Naukati",-133.179184,55.817616,1,"2019/08/14"
"309","Chusini & Naukati",-133.180374,55.817406,1,"2019/08/14"
"310","Chusini & Naukati",-133.179672,55.814034,1,"2019/08/14"
"311","Heceta",-133.495056,55.748657,2,"2019/08/15"
"312","Heceta",-133.499084,55.76231,3,"2019/08/15"
"313","Heceta",-133.495407,55.762939,1,"2019/08/15"
"314","Heceta",-133.509384,55.764088,3,"2019/08/15"
"315","Heceta",-133.496033,55.754169,1,"2019/08/15"
"316","Heceta",-133.50412,55.75927,1,"2019/08/15"
"317","Heceta",-133.506302,55.763985,1,"2019/08/15"
"318","Heceta",-133.511902,55.762466,6,"2019/08/15"
"319","Heceta",-133.507065,55.772873,1,"2019/08/15"
"320","Heceta",-133.520889,55.765312,2,"2019/08/15"
"321","Heceta",-133.526962,55.767956,2,"2019/08/15"
"322","Heceta",-133.529617,55.770496,1,"2019/08/15"
"323","Heceta",-133.526428,55.772335,1,"2019/08/15"
"324","Heceta",-133.531525,55.774254,8,"2019/08/15"
"325","Heceta",-133.539856,55.772758,2,"2019/08/15"
"326","Heceta",-133.498886,55.756203,2,"2019/08/15"
"327","Heceta",-133.503708,55.751751,1,"2019/08/15"
"328","Nossuk",-133.356812,55.734451,1,"2019/08/15"
"329","Nossuk",-133.349838,55.718788,1,"2019/08/15"
"330","Nossuk",-133.348831,55.723591,1,"2019/08/15"
"331","Nossuk",-133.347473,55.717251,3,"2019/08/15"
"332","Nossuk",-133.341583,55.71479,1,"2019/08/15"
"333","Nossuk",-133.342712,55.711292,1,"2019/08/15"
"334","Nossuk",-133.342682,55.715874,2,"2019/08/15"
"335","Nossuk",-133.332565,55.720612,1,"2019/08/15"
"336","Nossuk",-133.335205,55.720352,1,"2019/08/15"
"337","Nossuk",-133.347305,55.722027,1,"2019/08/15"
"338","Nossuk",-133.340393,55.725479,1,"2019/08/15"
"339","Nossuk",-133.339539,55.724083,1,"2019/08/15"
"340","Nossuk",-133.335297,55.732388,1,"2019/08/15"
"341","Nossuk",-133.33432,55.731201,1,"2019/08/15"
"342","Nossuk",-133.343353,55.735497,1,"2019/08/15"
"343","Nossuk",-133.342896,55.731918,1,"2019/08/15"
"344","Salt Lake Bay",-133.397873,55.701229,1,"2019/08/15"
"345","Salt Lake Bay",-133.402481,55.693344,2,"2019/08/15"
"346","Salt Lake Bay",-133.384521,55.691505,2,"2019/08/15"
"347","Salt Lake Bay",-133.385147,55.691311,4,"2019/08/15"
"348","Salt Lake Bay",-133.382645,55.690804,3,"2019/08/15"
"349","Salt Lake Bay",-133.380997,55.690186,3,"2019/08/15"
"350","Salt Lake Bay",-133.377258,55.689503,3,"2019/08/15"
"351","Salt Lake Bay",-133.376114,55.690109,2,"2019/08/15"
"352","Salt Lake Bay",-133.381042,55.689171,1,"2019/08/15"
"353","Salt Lake Bay",-133.378815,55.688332,1,"2019/08/15"
"354","Salt Lake Bay",-133.368881,55.690155,2,"2019/08/15"
"355","Salt Lake Bay",-133.373322,55.686371,1,"2019/08/15"
"356","Salt Lake Bay",-133.361481,55.688782,1,"2019/08/15"
"357","Salt Lake Bay",-133.362274,55.689926,1,"2019/08/15"
"358","Salt Lake Bay",-133.356903,55.689468,1,"2019/08/15"
"359","Salt Lake Bay",-133.368027,55.687622,2,"2019/08/15"
"360","Salt Lake Bay",-133.376541,55.682968,1,"2019/08/15"
"361","Salt Lake Bay",-133.377579,55.683117,1,"2019/08/15"
"362","Salt Lake Bay",-133.381104,55.675827,2,"2019/08/15"
"363","Salt Lake Bay",-133.392929,55.68932,1,"2019/08/15"
"364","Salt Lake Bay",-133.398376,55.687916,3,"2019/08/15"
"365","Salt Lake Bay",-133.396561,55.683723,1,"2019/08/15"
"366","Salt Lake Bay",-133.404037,55.673229,1,"2019/08/15"
"367","Salt Lake Bay",-133.404129,55.666817,2,"2019/08/15"
"368","Salt Lake Bay",-133.412796,55.668903,1,"2019/08/15"
"369","Salt Lake Bay",-133.414917,55.669315,1,"2019/08/15"
"370","Salt Lake Bay",-133.404068,55.686771,1,"2019/08/15"
"371","Goats mouth Inlet",-132.899979,55.167019,1,"2019/08/16"
"372","Salt Lake Bay",-133.401733,55.69651,3,"2019/08/15"
"373","Soda Bay",-133.013779,55.262299,1,"2019/08/16"
"374","Soda Bay",-133.010422,55.263298,1,"2019/08/16"
"375","Soda Bay",-132.978134,55.259243,1,"2019/08/16"
"376","Soda Bay",-132.968521,55.267288,1,"2019/08/16"
"377","Soda Bay",-132.955261,55.26873,1,"2019/08/16"
"378","Soda Bay",-132.977661,55.266857,1,"2019/08/16"
"379","Soda Bay",-133.007187,55.270229,1,"2019/08/16"
"380","Soda Bay",-133.032715,55.268066,1,"2019/08/16"
"381","Soda Bay",-133.040054,55.26944,1,"2019/08/16"
"382","Dunbar Inlet",-132.854736,55.077103,1,"2019/08/17"
"383","Calder Bay",-133.566391,56.177868,2,"2019/08/05"
"384","Calder Bay",-133.566879,56.176777,1,"2019/08/05"
"385","Calder Bay",-133.558319,56.176853,1,"2019/08/05"
"386","Calder Bay",-133.558319,56.17828,3,"2019/08/05"
"387","Calder Bay",-133.564453,56.180786,1,"2019/08/05"
"388","Calder Bay",-133.565109,56.184189,3,"2019/08/05"
"389","Calder Bay",-133.564606,56.187313,5,"2019/08/05"
"390","Calder Bay",-133.562592,56.183079,2,"2019/08/05"
"391","Calder Bay",-133.564148,56.183144,1,"2019/08/05"
"392","Calder Bay",-133.557373,56.1847,2,"2019/08/05"
