"","Field1","site","longitude","latitude","n_otters","survey_dat","area","site.site"
"2672","436","Chusini",-133.209045,55.831993,1,"2019/07/31",14.57,"Chusini"
"2679","289","Chusini & Naukati",-133.173523,55.839581,1,"2019/08/14",14.57,"Chusini"
"2846","473","Chusini",-133.213821,55.809124,1,"2019/07/31",14.57,"Chusini"
"2946","288","Chusini & Naukati",-133.17363,55.841019,2,"2019/08/14",14.57,"Chusini"
"3058","293","Chusini & Naukati",-133.195496,55.838844,1,"2019/08/14",14.57,"Chusini"
"3075","416","Naukati",-133.194336,55.839344,1,"2019/07/31",14.57,"Chusini"
"3292","417","Naukati",-133.194168,55.840034,1,"2019/07/31",14.57,"Chusini"
"3382","419","Naukati",-133.19545,55.83997,1,"2019/07/31",14.57,"Chusini"
"3431","418","Naukati",-133.196426,55.840313,1,"2019/07/31",14.57,"Chusini"
"3503","306","Chusini & Naukati",-133.182663,55.819107,1,"2019/08/14",14.57,"Chusini"
"3617","413","Naukati",-133.189636,55.84219,1,"2019/07/31",14.57,"Chusini"
"3931","292","Chusini & Naukati",-133.201263,55.840961,1,"2019/08/14",14.57,"Chusini"
"3983","414","Naukati",-133.201859,55.840996,1,"2019/07/31",14.57,"Chusini"
"4071","474","Chusini",-133.219666,55.804581,1,"2019/07/31",14.57,"Chusini"
"4142","422","Naukati",-133.172424,55.845478,2,"2019/07/31",14.57,"Chusini"
"4360","423","Naukati",-133.167007,55.845268,1,"2019/07/31",14.57,"Chusini"
"4415","291","Chusini & Naukati",-133.193817,55.84457,1,"2019/08/14",14.57,"Chusini"
"4424","305","Chusini & Naukati",-133.18277,55.820332,2,"2019/08/14",14.57,"Chusini"
"4467","420","Naukati",-133.170471,55.846344,1,"2019/07/31",14.57,"Chusini"
"4637","421","Naukati",-133.163818,55.84462,2,"2019/07/31",14.57,"Chusini"
"4676","287","Chusini & Naukati",-133.168732,55.846863,1,"2019/08/14",14.57,"Chusini"
"5326","304","Chusini & Naukati",-133.181747,55.821541,6,"2019/08/14",14.57,"Chusini"
"5331","310","Chusini & Naukati",-133.179672,55.814034,1,"2019/08/14",14.57,"Chusini"
"5366","308","Chusini & Naukati",-133.179184,55.817616,1,"2019/08/14",14.57,"Chusini"
"5377","465","Chusini",-133.178818,55.813995,1,"2019/07/31",14.57,"Chusini"
"5395","303","Chusini & Naukati",-133.18042,55.822876,4,"2019/08/14",14.57,"Chusini"
"5408","464","Chusini",-133.186874,55.819569,1,"2019/07/31",14.57,"Chusini"
"5475","468","Chusini",-133.179352,55.812489,1,"2019/07/31",14.57,"Chusini"
"5548","460","Chusini",-133.175674,55.824154,1,"2019/07/31",14.57,"Chusini"
"5566","301","Chusini & Naukati",-133.179077,55.824909,11,"2019/08/14",14.57,"Chusini"
"5577","471","Chusini",-133.181976,55.811943,1,"2019/07/31",14.57,"Chusini"
"5625","470","Chusini",-133.181885,55.811802,1,"2019/07/31",14.57,"Chusini"
"5725","458","Chusini",-133.181198,55.825768,1,"2019/07/31",14.57,"Chusini"
"5771","456","Chusini",-133.182709,55.825932,1,"2019/07/31",14.57,"Chusini"
"5775","463","Chusini",-133.186646,55.825027,1,"2019/07/31",14.57,"Chusini"
"5778","457","Chusini",-133.181427,55.826359,1,"2019/07/31",14.57,"Chusini"
"5800","462","Chusini",-133.187378,55.825249,1,"2019/07/31",14.57,"Chusini"
"5805","452","Chusini",-133.175446,55.826408,8,"2019/07/31",14.57,"Chusini"
"5806","455","Chusini",-133.181839,55.826447,1,"2019/07/31",14.57,"Chusini"
"12",NA,NA,NA,NA,NA,NA,8.8475,"Dunbar Inlet"
"533","132","Dunbar",-132.845917,55.081665,1,"2019/08/04",8.8475,"Dunbar Inlet"
"1067","382","Dunbar Inlet",-132.854736,55.077103,1,"2019/08/17",8.8475,"Dunbar Inlet"
"2060","133","Dunbar",-132.86116,55.067013,1,"2019/08/04",8.8475,"Dunbar Inlet"
"13",NA,NA,NA,NA,NA,NA,7.475,"Farallon Bay"
"2601","131","Farallon Bay",-133.085876,55.215115,1,"2019/08/03",7.475,"Farallon Bay"
"15",NA,NA,NA,NA,NA,NA,4.1275,"Goats mouth Inlet"
"698","371","Goats mouth Inlet",-132.899979,55.167019,1,"2019/08/16",4.1275,"Goats mouth Inlet"
"933","134","Goats mouth Inlet",-132.917084,55.168095,2,"2019/08/04",4.1275,"Goats mouth Inlet"
"16",NA,NA,NA,NA,NA,NA,8.7775,"Guktu Bay"
"111","255","Kaguk & Guktu",-133.310608,55.748722,2,"2019/08/14",8.7775,"Guktu Bay"
"871","258","Kaguk & Guktu",-133.303268,55.7486,1,"2019/08/14",8.7775,"Guktu Bay"
"92","491","Kaguk & Guktu",-133.301224,55.748165,1,"2019/08/01",8.7775,"Guktu Bay"
"148","256","Kaguk & Guktu",-133.305756,55.750404,1,"2019/08/14",8.7775,"Guktu Bay"
"200","489","Kaguk & Guktu",-133.300552,55.749813,1,"2019/08/01",8.7775,"Guktu Bay"
"205","490","Kaguk & Guktu",-133.302139,55.750324,1,"2019/08/01",8.7775,"Guktu Bay"
"279","257","Kaguk & Guktu",-133.304367,55.751961,1,"2019/08/14",8.7775,"Guktu Bay"
"293","492","Kaguk & Guktu",-133.313217,55.753742,1,"2019/08/01",8.7775,"Guktu Bay"
"295","254","Kaguk & Guktu",-133.30098,55.751595,1,"2019/08/14",8.7775,"Guktu Bay"
"338","252","Kaguk & Guktu",-133.313095,55.754242,2,"2019/08/14",8.7775,"Guktu Bay"
"357","260","Kaguk & Guktu",-133.304794,55.753651,1,"2019/08/14",8.7775,"Guktu Bay"
"370","488","Kaguk & Guktu",-133.30014,55.7523,30,"2019/08/01",8.7775,"Guktu Bay"
"438","253","Kaguk & Guktu",-133.302017,55.753773,53,"2019/08/14",8.7775,"Guktu Bay"
"601","261","Kaguk & Guktu",-133.302567,55.756092,3,"2019/08/14",8.7775,"Guktu Bay"
"687","486","Kaguk & Guktu",-133.289062,55.75322,1,"2019/08/01",8.7775,"Guktu Bay"
"806","485","Kaguk & Guktu",-133.286697,55.75259,1,"2019/08/01",8.7775,"Guktu Bay"
"822","482","Kaguk & Guktu",-133.284836,55.750229,1,"2019/08/01",8.7775,"Guktu Bay"
"832","250","Kaguk & Guktu",-133.312164,55.760479,1,"2019/08/14",8.7775,"Guktu Bay"
"843","483","Kaguk & Guktu",-133.284775,55.749752,1,"2019/08/01",8.7775,"Guktu Bay"
"858","484","Kaguk & Guktu",-133.285904,55.752514,1,"2019/08/01",8.7775,"Guktu Bay"
"875","276","Kaguk & Guktu",-133.284378,55.75071,1,"2019/08/14",8.7775,"Guktu Bay"
"892","487","Kaguk & Guktu",-133.286407,55.754391,1,"2019/08/01",8.7775,"Guktu Bay"
"896","480","Kaguk & Guktu",-133.284378,55.74966,1,"2019/08/01",8.7775,"Guktu Bay"
"926","278","Kaguk & Guktu",-133.286911,55.747971,1,"2019/08/14",8.7775,"Guktu Bay"
"967","249","Kaguk & Guktu",-133.312912,55.76128,1,"2019/08/14",8.7775,"Guktu Bay"
"983","478","Kaguk & Guktu",-133.286758,55.747227,1,"2019/08/01",8.7775,"Guktu Bay"
"1063","270","Kaguk & Guktu",-133.286209,55.756275,3,"2019/08/14",8.7775,"Guktu Bay"
"1109","477","Kaguk & Guktu",-133.286896,55.74651,1,"2019/08/01",8.7775,"Guktu Bay"
"1224","271","Kaguk & Guktu",-133.282104,55.753765,1,"2019/08/14",8.7775,"Guktu Bay"
"1241","262","Kaguk & Guktu",-133.300232,55.760899,1,"2019/08/14",8.7775,"Guktu Bay"
"1254","275","Kaguk & Guktu",-133.281967,55.747009,1,"2019/08/14",8.7775,"Guktu Bay"
"1297","479","Kaguk & Guktu",-133.287598,55.7453,1,"2019/08/01",8.7775,"Guktu Bay"
