"","otter_region","site","latitude","longitude","layer_number","layer_depth","layer_thickness","layer_volume_cm3","pan_weight","pan_sed_ww_pre_60C","pan_sed_dw_post_60C","sed_ww_pre_60C","sed_dw_post_60C","pan_sed_dw_pre_450C","pan_sed_dw_post450C","sed_dw_pre_450C","sed_dw_post_450C","crucible_weight","crucible_sed_dw_pre_950C","crucible_sed_dw_post_950C","sed_dw_pre_950C","sed_dw_post_950C","dry_bulk_density","om_dw","im_dw"
"26","Low","2017_L_06",55.19112,-133.105314,26,52,1.3,25.5254403104171,1.3002,44.06041,32.42995,42.76021,31.12975,32.42995,11.08425,31.12975,9.78405,NA,NA,NA,NA,NA,1.21955780669906,21.3457,NA
"27","Low","2017_L_06",55.19112,-133.105314,27,54,1.1,21.5984494934298,1.26125,42.08234,32.28478,40.82109,31.02353,32.28478,11.38028,31.02353,10.11903,24.97717,35.32026,34.87266,10.34309,9.89549,1.43637764411919,20.9045,0.447599999999994
"28","Low","2017_L_06",55.19112,-133.105314,28,56,1.2,23.5619449019235,1.27401,45.51101,35.62807,44.237,34.35406,35.62807,11.1566,34.35406,9.88259,NA,NA,NA,NA,NA,1.45803159047348,24.47147,NA
"29","Low","2017_L_06",55.19112,-133.105314,29,58,1.1,21.5984494934298,1.30522,41.45744,31.89644,40.15222,30.59122,31.89644,11.55447,30.59122,10.24925,NA,NA,NA,NA,NA,1.41636185547975,20.34197,NA
"30","Low","2017_L_06",55.19112,-133.105314,30,60,1.1,21.5984494934298,1.27443,42.65996,33.73925,41.38553,32.46482,33.73925,11.26737,32.46482,9.99294,NA,NA,NA,NA,NA,1.50310882315305,22.47188,NA
"31","Mid","2017_M_08",55.282137,-133.334028,1,2,1.1,21.5984494934298,1.2987,35.53727,21.28956,34.23857,19.99086,21.28956,19.02408,19.99086,17.72538,NA,NA,NA,NA,NA,0.925569217645977,2.26548,NA
"32","Mid","2017_M_08",55.282137,-133.334028,2,4,1.1,21.5984494934298,1.28076,33.16456,19.75047,31.8838,18.46971,19.75047,17.86721,18.46971,16.58645,28.01184,46.80922,45.15714,18.79738,17.1453,0.855140550974199,1.88326,1.65208000000001
"33","Mid","2017_M_08",55.282137,-133.334028,3,6,1,19.6349540849362,1.29038,26.99028,14.24553,25.6999,12.95515,14.24553,12.57679,12.95515,11.28641,NA,NA,NA,NA,NA,0.65980037151903,1.66874,NA
"34","Mid","2017_M_08",55.282137,-133.334028,4,8,1,19.6349540849362,1.2831,27.19499,14.15712,25.91189,12.87402,14.15712,12.2234,12.87402,10.9403,NA,NA,NA,NA,NA,0.655668454548455,1.93372,NA
"35","Mid","2017_M_08",55.282137,-133.334028,5,10,0.9,17.6714586764426,1.26625,26.34577,13.4209,25.07952,12.15465,13.4209,11.54752,12.15465,10.28127,NA,NA,NA,NA,NA,0.687812490329566,1.87338,NA
