"","otter_region","site","latitude","longitude","layer_number","layer_depth","layer_thickness","layer_volume_cm3","pan_weight","pan_sed_ww_pre_60C","pan_sed_dw_post_60C","sed_ww_pre_60C","sed_dw_post_60C","pan_sed_dw_pre_450C","pan_sed_dw_post450C","sed_dw_pre_450C","sed_dw_post_450C","crucible_weight","crucible_sed_dw_pre_950C","crucible_sed_dw_post_950C","sed_dw_pre_950C","sed_dw_post_950C","dry_bulk_density","om_dw","im_dw"
"109","Low","2017_L_01",55.26366,-132.995,13,26,1.3,25.5254403104171,1.29277,53.20262,40.73557,51.90985,39.4428,40.73557,37.69081,39.4428,36.39804,NA,NA,NA,NA,NA,1.54523485277169,3.04476,NA
"110","Low","2017_L_01",55.26366,-132.995,14,28,1.4,27.4889357189107,1.2607,53.68241,41.33775,52.42171,40.07705,41.33775,38.90745,40.07705,37.64675,NA,NA,NA,NA,NA,1.45793385418081,2.4303,NA
"111","Low","2017_L_01",55.26366,-132.995,15,30,1.2,23.5619449019235,1.2923,50.62334,39.16674,49.33104,37.87444,39.16674,36.6057,37.87444,35.3134,NA,NA,NA,NA,NA,1.60744115808997,2.56104,NA
"112","Low","2017_L_01",55.26366,-132.995,16,32,1.3,25.5254403104171,1.29781,50.8622,39.05067,49.56439,37.75286,39.05067,36.82535,37.75286,35.52754,NA,NA,NA,NA,NA,1.47902874704155,2.22532,NA
"113","Low","2017_L_01",55.26366,-132.995,17,34,1.2,23.5619449019235,1.2954,49.87483,38.22054,48.57943,36.92514,38.22054,35.84657,36.92514,34.55117,25.75641,62.28393,59.32626,36.52752,33.56985,1.56715161476274,2.37397,2.95766999999999
"114","Low","2017_L_01",55.26366,-132.995,18,36,1.1,21.5984494934298,1.29554,43.73773,33.2774,42.44219,31.98186,33.2774,30.85387,31.98186,29.55833,NA,NA,NA,NA,NA,1.48074795877032,2.42353,NA
"115","Low","2017_L_01",55.26366,-132.995,19,38,1.3,25.5254403104171,1.27834,51.38042,38.47168,50.10208,37.19334,38.47168,35.97865,37.19334,34.70031,NA,NA,NA,NA,NA,1.45710865503939,2.49303,NA
"116","Low","2017_L_05",55.0848,-132.826,1,2,1.1,21.5984494934298,1.30343,34.26089,21.85335,32.95746,20.54992,21.85335,19.6409,20.54992,18.33747,NA,NA,NA,NA,NA,0.951453483096146,2.21245,NA
"117","Low","2017_L_05",55.0848,-132.826,2,4,0.8,15.707963267949,1.32089,33.60274,27.23109,32.28185,25.9102,27.23109,25.1266,25.9102,23.80571,26.70737,46.66426,44.55102,19.95689,17.84365,1.64949456259985,2.10449,2.11324
"118","Low","2017_L_05",55.0848,-132.826,3,6,0.9,17.6714586764426,1.27498,38.80583,31.32908,37.53085,30.0541,31.32908,28.20695,30.0541,26.93197,NA,NA,NA,NA,NA,1.70071416006334,3.12213,NA
"119","Low","2017_L_05",55.0848,-132.826,4,8,0.9,17.6714586764426,1.24966,38.64811,31.03898,37.39845,29.78932,31.03898,28.45014,29.78932,27.20048,NA,NA,NA,NA,NA,1.68573067710089,2.58884,NA
"120","Low","2017_L_05",55.0848,-132.826,5,10,0.8,15.707963267949,1.30298,32.50758,26.12023,31.2046,24.81725,26.12023,23.94263,24.81725,22.63965,NA,NA,NA,NA,NA,1.57991520457894,2.1776,NA
"121","Low","2017_L_05",55.0848,-132.826,6,12,1,19.6349540849362,1.29853,39.06652,31.35117,37.76799,30.05264,31.35117,29.3849,30.05264,28.08637,NA,NA,NA,NA,NA,1.53056838686759,1.96627,NA
"122","Low","2017_L_05",55.0848,-132.826,7,14,0.6,11.7809724509617,1.28897,25.87755,20.67617,24.58858,19.3872,20.67617,17.48553,19.3872,16.19656,25.18351,54.9244,52.63207,29.74089,27.44856,1.6456366467793,3.19064,2.29233
"123","Low","2017_L_05",55.0848,-132.826,8,16,1,19.6349540849362,1.27704,38.03399,29.47939,36.75695,28.20235,29.47939,27.44191,28.20235,26.16487,NA,NA,NA,NA,NA,1.43633389097847,2.03748,NA
"124","Low","2017_L_05",55.0848,-132.826,9,18,0.8,15.707963267949,1.2743,29.6053,23.77829,28.331,22.50399,23.77829,21.97111,22.50399,20.69681,NA,NA,NA,NA,NA,1.43264849911623,1.80718,NA
"125","Low","2017_L_05",55.0848,-132.826,10,20,0.9,17.6714586764426,1.29648,40.5063,34.04466,39.20982,32.74818,34.04466,31.34516,32.74818,30.04868,NA,NA,NA,NA,NA,1.85316790196023,2.6995,NA
"126","Low","2017_L_05",55.0848,-132.826,11,22,0.9,17.6714586764426,1.27823,35.58289,29.67543,34.30466,28.3972,29.67543,27.92614,28.3972,26.64791,NA,NA,NA,NA,NA,1.60695279998904,1.74929,NA
"127","Low","2017_L_05",55.0848,-132.826,12,24,1,19.6349540849362,1.29096,41.02454,33.3988,39.73358,32.10784,33.3988,31.09908,32.10784,29.80812,28.14649,56.41686,54.13839,28.27037,25.9919,1.63523886336118,2.29972,2.27847
"128","Low","2017_L_05",55.0848,-132.826,13,26,0.8,15.707963267949,1.2818,36.9162,31.67875,35.6344,30.39695,31.67875,29.60266,30.39695,28.32086,NA,NA,NA,NA,NA,1.93512993896688,2.07609,NA
"129","Low","2017_L_05",55.0848,-132.826,14,28,0.9,17.6714586764426,1.29452,45.02112,40.08909,43.7266,38.79457,40.08909,38.41425,38.79457,37.11973,NA,NA,NA,NA,NA,2.19532358422206,1.67484,NA
"130","Low","2017_L_05",55.0848,-132.826,15,30,0.9,17.6714586764426,1.30714,34.72462,29.90043,33.41748,28.59329,29.90043,28.01439,28.59329,26.70725,NA,NA,NA,NA,NA,1.61804922409247,1.88604,NA
"131","Low","2017_L_05",55.0848,-132.826,16,32,0.8,15.707963267949,1.28188,39.54759,34.89626,38.26571,33.61438,34.89626,33.11949,33.61438,31.83761,NA,NA,NA,NA,NA,2.13995789438774,1.77677,NA
"132","Low","2017_L_05",55.0848,-132.826,17,34,0.9,17.6714586764426,1.25153,43.43618,38.26904,42.18465,37.01751,38.26904,36.38583,37.01751,35.1343,26.40811,59.78589,57.34262,33.37778,30.93451,2.09476255909464,1.88321,2.44327000000001
"133","Low","2017_L_05",55.0848,-132.826,18,36,0.8,15.707963267949,1.28604,36.34306,31.89184,35.05702,30.6058,31.89184,30.08753,30.6058,28.80149,NA,NA,NA,NA,NA,1.94842574291277,1.80431,NA
"134","Low","2017_L_05",55.0848,-132.826,19,38,0.9,17.6714586764426,1.29194,39.29634,33.63072,38.0044,32.33878,33.63072,31.63181,32.33878,30.33987,NA,NA,NA,NA,NA,1.83000060108847,1.99891,NA
"135","Low","2017_L_05",55.0848,-132.826,20,40,0.8,15.707963267949,1.25774,32.63294,28.0874,31.3752,26.82966,28.0874,26.09344,26.82966,24.8357,NA,NA,NA,NA,NA,1.70802920418996,1.99395999999999,NA
"136","Low","2017_L_05",55.0848,-132.826,21,42,0.9,17.6714586764426,1.29804,41.0332,35.09534,39.73516,33.7973,35.09534,33.06244,33.7973,31.7644,NA,NA,NA,NA,NA,1.9125359495679,2.0329,NA
"137","Low","2017_L_05",55.0848,-132.826,22,44,0.8,15.707963267949,1.31074,34.26401,29.87649,32.95327,28.56575,29.87649,27.91047,28.56575,26.59973,28.56188,61.95224,59.28931,33.39036,30.72743,1.81855212625092,1.96602,2.66293
"138","Low","2017_L_05",55.0848,-132.826,23,46,0.9,17.6714586764426,1.31855,40.09972,35.23236,38.78117,33.91381,35.23236,33.08586,33.91381,31.76731,NA,NA,NA,NA,NA,1.91912906687266,2.1465,NA
"139","Low","2017_L_05",55.0848,-132.826,24,48,0.8,15.707963267949,1.27724,33.1242,28.86552,31.84696,27.58828,28.86552,26.99309,27.58828,25.71585,NA,NA,NA,NA,NA,1.75632445336131,1.87243,NA
"140","Low","2017_L_05",55.0848,-132.826,25,50,0.9,17.6714586764426,1.28062,38.23022,33.41997,36.9496,32.13935,33.41997,31.38003,32.13935,30.09941,NA,NA,NA,NA,NA,1.81871517164818,2.03994,NA
"141","Low","2017_L_05",55.0848,-132.826,26,52,0.8,15.707963267949,1.28782,37.68366,32.67362,36.39584,31.3858,32.67362,29.99898,31.3858,28.71116,NA,NA,NA,NA,NA,1.99808208515744,2.67464,NA
"142","Low","2017_L_05",55.0848,-132.826,27,54,0.9,17.6714586764426,1.28905,42.3408,38.09953,41.05175,36.81048,38.09953,36.22883,36.81048,34.93978,28.68294,59.37626,55.86641,30.69332,27.18347,2.08304705763035,1.8707,3.50985
"143","Low","2017_L_05",55.0848,-132.826,28,56,1,19.6349540849362,1.2812,44.90201,40.37559,43.62081,39.09439,40.37559,38.44245,39.09439,37.16125,NA,NA,NA,NA,NA,1.99106093301196,1.93314,NA
"144","Low","2017_L_05",55.0848,-132.826,29,58,0.8,15.707963267949,1.28537,36.78506,33.41907,35.49969,32.1337,33.41907,31.67126,32.1337,30.38589,NA,NA,NA,NA,NA,2.04569487793281,1.74781,NA
"145","Low","2017_L_05",55.0848,-132.826,30,60,0.9,17.6714586764426,1.28528,42.06188,37.09705,40.7766,35.81177,37.09705,34.79639,35.81177,33.51111,NA,NA,NA,NA,NA,2.02653163248713,2.30066,NA
"146","Low","2017_L_05",55.0848,-132.826,31,62,0.9,17.6714586764426,1.28804,40.15832,35.4732,38.87028,34.18516,35.4732,33.39701,34.18516,32.10897,26.3005,61.55035,57.27148,35.24985,30.97098,1.93448433578216,2.07619,4.27887
"147","Mid","2017_M_05",55.59929,-133.16,1,2,1,19.6349540849362,1.27322,46.94349,12.84608,45.67027,11.57286,12.84608,10.46088,11.57286,9.18766,NA,NA,NA,NA,NA,0.589400919907351,2.3852,NA
"148","Mid","2017_M_05",55.59929,-133.16,2,4,1,19.6349540849362,1.25269,25.62122,8.01568,24.36853,6.76299,8.01568,6.48711,6.76299,5.23442,23.06715,30.39599,27.86273,7.32884,4.79558,0.344436252345938,1.52857,2.53326
"149","Mid","2017_M_05",55.59929,-133.16,3,6,1.3,25.5254403104171,1.25617,30.84944,10.87921,29.59327,9.62304,10.87921,8.96509,9.62304,7.70892,NA,NA,NA,NA,NA,0.376998002109793,1.91412,NA
"150","Mid","2017_M_05",55.59929,-133.16,4,8,1.2,23.5619449019235,1.2779,32.20044,11.50084,30.92254,10.22294,11.50084,9.42506,10.22294,8.14716,NA,NA,NA,NA,NA,0.433875049048496,2.07578,NA
"151","Mid","2017_M_05",55.59929,-133.16,5,10,0.9,17.6714586764426,1.28501,22.46186,8.01569,21.17685,6.73068,8.01569,6.37034,6.73068,5.08533,NA,NA,NA,NA,NA,0.380878575064803,1.64535,NA
"152","Mid","2017_M_05",55.59929,-133.16,6,12,1,19.6349540849362,1.27139,26.04222,9.7407,24.77083,8.46931,9.7407,7.90737,8.46931,6.63598,NA,NA,NA,NA,NA,0.431338416344838,1.83333,NA
"153","Mid","2017_M_05",55.59929,-133.16,7,14,1.1,21.5984494934298,1.27618,30.09055,11.65134,28.81437,10.37516,11.65134,9.57833,10.37516,8.30215,25.01616,35.77247,32.82787,10.75631,7.81171,0.48036596345289,2.07301,2.9446
"154","Mid","2017_M_05",55.59929,-133.16,8,16,0.9,17.6714586764426,1.27158,25.23155,10.37519,23.95997,9.10361,10.37519,8.55817,9.10361,7.28659,NA,NA,NA,NA,NA,0.51515894452651,1.81702,NA
"155","Mid","2017_M_05",55.59929,-133.16,9,18,1.1,21.5984494934298,1.28647,29.47919,12.39509,28.19272,11.10862,12.39509,10.35313,11.10862,9.06666,NA,NA,NA,NA,NA,0.51432488259767,2.04196,NA
"156","Mid","2017_M_05",55.59929,-133.16,10,20,1,19.6349540849362,1.28745,23.8025,9.87107,22.51505,8.58362,9.87107,8.12634,8.58362,6.83889,NA,NA,NA,NA,NA,0.437160176839185,1.74473,NA
"157","Mid","2017_M_05",55.59929,-133.16,11,22,1.2,23.5619449019235,1.29396,33.18507,14.54018,31.89111,13.24622,14.54018,12.35576,13.24622,11.0618,NA,NA,NA,NA,NA,0.562187037408727,2.18442,NA
"158","Mid","2017_M_05",55.59929,-133.16,12,24,0.9,17.6714586764426,1.29836,28.8365,14.31644,27.53814,13.01808,14.31644,12.31622,13.01808,11.01786,27.52039,40.80582,37.82787,13.28543,10.30748,0.736672633445597,2.00022,2.97795
"159","Mid","2017_M_05",55.59929,-133.16,13,26,0.9,17.6714586764426,1.27788,35.6251,25.74397,34.34722,24.46609,25.74397,23.73617,24.46609,22.45829,NA,NA,NA,NA,NA,1.38449747969109,2.0078,NA
"160","Mid","2017_M_05",55.59929,-133.16,14,28,1.3,25.5254403104171,1.29867,44.1291,29.99032,42.83043,28.69165,29.99032,27.64247,28.69165,26.3438,NA,NA,NA,NA,NA,1.1240413348831,2.34785,NA
"161","Mid","2017_M_05",55.59929,-133.16,15,30,0.9,17.6714586764426,1.30838,26.96805,16.70491,25.65967,15.39653,16.70491,14.75763,15.39653,13.44925,NA,NA,NA,NA,NA,0.871265371008946,1.94728,NA
"162","Mid","2017_M_05",55.59929,-133.16,16,32,1.2,23.5619449019235,1.28328,58.32656,48.22868,57.04328,46.9454,48.22868,46.09352,46.9454,44.81024,NA,NA,NA,NA,NA,1.992424657447,2.13516,NA
"163","Mid","2017_M_05",55.59929,-133.16,17,34,1.1,21.5984494934298,1.27512,45.92812,37.51286,44.653,36.23774,37.51286,35.51341,36.23774,34.23829,26.96474,63.11525,58.78252,36.15051,31.81778,1.67779358472113,1.99945,4.33273000000001
"164","Mid","2017_M_05",55.59929,-133.16,18,36,0.9,17.6714586764426,1.2852,28.0175,17.88002,26.7323,16.59482,17.88002,15.71204,16.59482,14.42684,NA,NA,NA,NA,NA,0.939074713856088,2.16798,NA
"165","Mid","2017_M_05",55.59929,-133.16,19,38,0.9,17.6714586764426,1.29478,28.07068,18.30635,26.7759,17.01157,18.30635,16.41056,17.01157,15.11578,NA,NA,NA,NA,NA,0.962657939645793,1.89579,NA
"166","Mid","2017_M_05",55.59929,-133.16,20,40,1.1,21.5984494934298,1.26364,23.87968,15.26008,22.61604,13.99644,15.26008,13.2738,13.99644,12.01016,NA,NA,NA,NA,NA,0.648029850673201,1.98628,NA
"167","Mid","2017_M_05",55.59929,-133.16,21,42,1,19.6349540849362,1.28732,22.38135,16.04269,21.09403,14.75537,16.04269,14.14376,14.75537,12.85644,NA,NA,NA,NA,NA,0.751484823247955,1.89893,NA
"168","Mid","2017_M_05",55.59929,-133.16,22,44,1,19.6349540849362,1.2444,36.77738,27.10842,35.53298,25.86402,27.10842,24.79226,25.86402,23.54786,28.29977,53.70292,48.45562,25.40315,20.15585,1.31724372199285,2.31616,5.2473
"169","Mid","2017_M_05",55.59929,-133.16,23,46,1.1,21.5984494934298,1.29096,43.52398,33.02,42.23302,31.72904,33.02,30.06528,31.72904,28.77432,NA,NA,NA,NA,NA,1.46904248889032,2.95472,NA
"170","Mid","2017_M_05",55.59929,-133.16,24,48,1,19.6349540849362,1.26475,38.61421,30.35016,37.34946,29.08541,30.35016,28.08618,29.08541,26.82143,NA,NA,NA,NA,NA,1.48130776747342,2.26398,NA
"171","Mid","2017_M_05",55.59929,-133.16,25,50,1.2,23.5619449019235,1.2856,40.05039,27.17153,38.76479,25.88593,27.17153,24.86621,25.88593,23.58061,NA,NA,NA,NA,NA,1.09863299094154,2.30532,NA
"172","Mid","2017_M_05",55.59929,-133.16,26,52,1.1,21.5984494934298,1.27886,37.15903,25.21638,35.88017,23.93752,25.21638,22.80973,23.93752,21.53087,NA,NA,NA,NA,NA,1.10829807515959,2.40665,NA
"173","Mid","2017_M_05",55.59929,-133.16,27,54,1.1,21.5984494934298,1.29494,39.66752,28.52864,38.37258,27.2337,28.52864,26.41248,27.2337,25.11754,30.19194,57.33348,50.77441,27.14154,20.58247,1.26090995598015,2.11616,6.55907
"174","Mid","2017_M_05",55.59929,-133.16,28,56,1.1,21.5984494934298,1.29984,40.06935,28.962,38.76951,27.66216,28.962,26.7756,27.66216,25.47576,NA,NA,NA,NA,NA,1.28074749108332,2.1864,NA
"175","Mid","2017_M_05",55.59929,-133.16,29,58,1,19.6349540849362,1.32775,40.37054,29.96965,39.04279,28.6419,29.96965,27.81546,28.6419,26.48771,NA,NA,NA,NA,NA,1.458719988654,2.15419,NA
"176","Mid","2017_M_05",55.59929,-133.16,30,60,1,19.6349540849362,1.28435,34.55736,25.30138,33.27301,24.01703,25.30138,23.20143,24.01703,21.91708,NA,NA,NA,NA,NA,1.22317729372363,2.09995,NA
"177","Mid","2017_M_05",55.59929,-133.16,31,62,1,19.6349540849362,1.28065,38.10014,27.32954,36.81949,26.04889,27.32954,25.19246,26.04889,23.91181,NA,NA,NA,NA,NA,1.32665907377825,2.13708,NA
"178","Mid","2017_M_05",55.59929,-133.16,32,64,1,19.6349540849362,1.27008,34.5125,23.26955,33.24242,21.99947,23.26955,20.89134,21.99947,19.62126,26.52278,48.07885,43.06464,21.55607,16.54186,1.12042380668859,2.37821,5.01421000000001
"179","Mid","2017_M_05",55.59929,-133.16,33,66,1.2,23.5619449019235,1.28357,40.96937,25.94162,39.6858,24.65805,25.94162,23.47874,24.65805,22.19517,NA,NA,NA,NA,NA,1.0465201452019,2.46288,NA
"180","Mid","2017_M_05",55.59929,-133.16,34,68,0.9,17.6714586764426,1.28303,30.48692,18.40464,29.20389,17.12161,18.40464,16.75911,17.12161,15.47608,NA,NA,NA,NA,NA,0.968884929845912,1.64553,NA
"181","Mid","2017_M_05",55.59929,-133.16,35,70,1.1,21.5984494934298,1.29163,43.26284,27.56074,41.97121,26.26911,27.56074,25.27328,26.26911,23.98165,NA,NA,NA,NA,NA,1.21624980570901,2.28746,NA
"182","Mid","2017_M_06",55.344914,-133.0011,1,2,1.1,21.5984494934298,2.56983,70.03577,53.57454,67.46594,51.00471,49.93659,48.72959,47.36676,46.15976,NA,NA,NA,NA,NA,2.36149868144542,1.207,NA
"183","Mid","2017_M_06",55.344914,-133.0011,2,4,1.1,21.5984494934298,1.29293,62.90254,46.88539,61.60961,45.59246,45.29646,44.06703,44.00353,42.7741,26.64137,NA,68.36834,NA,41.72697,2.11091356413659,1.22943,NA
"184","Mid","2017_M_06",55.344914,-133.0011,3,6,1.1,21.5984494934298,1.29209,35.94615,27.74324,34.65406,26.45115,26.26787,25.6713,24.97578,24.37921,NA,NA,NA,NA,NA,1.22467818849896,0.59657,NA
"185","Mid","2017_M_06",55.344914,-133.0011,4,8,1.3,25.5254403104171,1.29446,33.72538,27.43886,32.43092,26.1444,25.56888,25.07836,24.27442,23.7839,NA,NA,NA,NA,NA,1.02424873702689,0.49052,NA
"186","Mid","2017_M_06",55.344914,-133.0011,5,10,1.1,21.5984494934298,1.29216,37.71577,32.78004,36.42361,31.48788,31.2022,30.75432,29.91004,29.46216,NA,NA,NA,NA,NA,1.45787687257729,0.447880000000001,NA
"187","Mid","2017_M_06",55.344914,-133.0011,6,12,1.3,25.5254403104171,1.29171,45.9645,38.92442,44.67279,37.63271,37.27458,36.70715,35.98287,35.41544,NA,NA,NA,NA,NA,1.47432167838617,0.567430000000002,NA
"188","Mid","2017_M_06",55.344914,-133.0011,7,14,1.1,21.5984494934298,1.28215,45.97833,39.16491,44.69618,37.88276,37.53159,36.89601,36.24944,35.61386,26.81934,NA,51.82045,NA,25.00111,1.7539573852986,0.635580000000004,NA
"189","Mid","2017_M_06",55.344914,-133.0011,8,16,1.3,25.5254403104171,1.28453,57.1562,48.74515,55.87167,47.46062,46.97094,46.30554,45.68641,45.02101,NA,NA,NA,NA,NA,1.85934579081996,0.665399999999998,NA
"190","Mid","2017_M_06",55.344914,-133.0011,9,18,1.3,25.5254403104171,1.28986,55.82399,48.15924,54.53413,46.86938,46.22638,45.59983,44.93652,44.30997,NA,NA,NA,NA,NA,1.83618301702213,0.626550000000002,NA
"191","Mid","2017_M_06",55.344914,-133.0011,10,20,1.2,23.5619449019235,1.29126,51.43329,43.56944,50.14203,42.27818,41.78402,41.13925,40.49276,39.84799,NA,NA,NA,NA,NA,1.79434168851438,0.644770000000001,NA
"192","Mid","2017_M_06",55.344914,-133.0011,11,22,1.1,21.5984494934298,1.28902,39.26645,33.84511,37.97743,32.55609,31.93674,31.4471,30.64772,30.15808,NA,NA,NA,NA,NA,1.50733458945298,0.489640000000001,NA
"193","Mid","2017_M_06",55.344914,-133.0011,12,24,1.3,25.5254403104171,1.29165,53.28925,47.75912,51.9976,46.46747,45.21613,44.65898,43.92448,43.36733,26.03682,NA,68.251,NA,42.21418,1.82043754916292,0.55715,NA
"194","Mid","2017_M_06",55.344914,-133.0011,13,26,1.1,21.5984494934298,1.28204,48.48654,43.73262,47.2045,42.45058,41.68298,41.17037,40.40094,39.88833,NA,NA,NA,NA,NA,1.96544571465249,0.512610000000002,NA
"195","Mid","2017_M_06",55.344914,-133.0011,14,28,1.3,25.5254403104171,1.30171,62.38837,56.89498,61.08666,55.59327,54.59968,54.70537,53.29797,53.40366,NA,NA,NA,NA,NA,2.17795537800428,-0.105690000000003,NA
"196","Mid","2017_M_06",55.344914,-133.0011,15,30,1.2,23.5619449019235,1.27427,57.5699,51.78433,56.29563,50.51006,49.64148,49.0419,48.36721,47.76763,NA,NA,NA,NA,NA,2.14371352663152,0.599580000000003,NA
"197","Mid","2017_M_06",55.344914,-133.0011,16,32,1.2,23.5619449019235,1.28669,61.50055,55.62004,60.21386,54.33335,53.60409,53.00698,52.3174,51.72029,NA,NA,NA,NA,NA,2.30597899393121,0.597110000000001,NA
"198","Mid","2017_M_06",55.344914,-133.0011,17,34,1.2,23.5619449019235,1.29904,56.27389,48.37928,54.97485,47.08024,46.55286,46.04332,45.25382,44.74428,29.93142,NA,73.46055,NA,43.52913,1.99814744478741,0.509540000000001,NA
"199","Mid","2017_M_06",55.344914,-133.0011,18,36,1.2,23.5619449019235,1.28643,50.48941,43.42192,49.20298,42.13549,41.48372,40.95392,40.19729,39.66749,NA,NA,NA,NA,NA,1.78828573682643,0.529800000000002,NA
"200","Mid","2017_M_06",55.344914,-133.0011,19,38,1.2,23.5619449019235,1.29066,50.74353,44.1133,49.45287,42.82264,41.98643,41.43867,40.69577,40.14801,NA,NA,NA,NA,NA,1.81744928859859,0.547759999999997,NA
"201","Mid","2017_M_06",55.344914,-133.0011,20,40,1.2,23.5619449019235,1.28773,55.35147,49.60519,54.06374,48.31746,47.65761,47.14333,46.36988,45.8556,NA,NA,NA,NA,NA,2.05065669243865,0.514279999999999,NA
"202","Mid","2017_M_06",55.344914,-133.0011,21,42,1,19.6349540849362,1.28872,55.18236,50.60859,53.89364,49.31987,48.7153,48.21322,47.42658,46.9245,NA,NA,NA,NA,NA,2.5118403530079,0.502079999999999,NA
"203","Mid","2017_M_06",55.344914,-133.0011,22,44,1.2,23.5619449019235,1.2828,57.8862,52.45939,56.6034,51.17659,50.38066,49.96673,49.09786,48.68393,27.33828,NA,74.82235,NA,47.48407,2.17200193842327,0.413930000000001,NA
"204","Mid","2017_M_06",55.344914,-133.0011,23,46,1.2,23.5619449019235,1.29264,50.31485,43.75004,49.02221,42.4574,41.8647,41.40465,40.57206,40.11201,NA,NA,NA,NA,NA,1.80194802155462,0.460050000000003,NA
"205","Mid","2017_M_06",55.344914,-133.0011,24,48,1,19.6349540849362,1.28556,51.81122,47.03712,50.52566,45.75156,45.23605,44.78811,43.95049,43.50255,NA,NA,NA,NA,NA,2.33010781701294,0.447939999999996,NA
"206","Mid","2017_M_06",55.344914,-133.0011,25,50,1.2,23.5619449019235,1.2873,53.39172,46.91364,52.10442,45.62634,45.32313,42.00906,44.03583,40.72176,NA,NA,NA,NA,NA,1.93644201231772,3.31407,NA
"207","Mid","2017_M_06",55.344914,-133.0011,26,52,1.1,21.5984494934298,1.27604,49.34127,42.9291,48.06523,41.65306,40.96576,40.51105,39.68972,39.23501,NA,NA,NA,NA,NA,1.92852084186278,0.454710000000006,NA
"208","Mid","2017_M_06",55.344914,-133.0011,27,54,1.2,23.5619449019235,1.28362,44.28402,37.73198,43.0004,36.44836,35.66524,35.29915,34.38162,34.01553,26.60528,NA,59.82202,NA,33.21674,1.54691644309144,0.36609,NA
"209","Mid","2017_M_06",55.344914,-133.0011,28,56,1.2,23.5619449019235,1.27989,54.59331,49.42013,53.31342,48.14024,47.8718,47.25461,46.59191,45.97472,NA,NA,NA,NA,NA,2.04313524203472,0.617190000000001,NA
"210","Mid","2017_M_06",55.344914,-133.0011,29,58,1,19.6349540849362,1.27621,45.87968,41.57451,44.60347,40.2983,40.03121,39.56438,38.755,38.28817,NA,NA,NA,NA,NA,2.05237556582404,0.466830000000002,NA
"211","Mid","2017_M_06",55.344914,-133.0011,30,60,1.1,21.5984494934298,1.28702,51.36502,44.80127,50.078,43.51425,43.26754,42.68024,41.98052,41.39322,NA,NA,NA,NA,NA,2.01469323125426,0.587299999999999,NA
"212","Mid","2017_M_06",55.344914,-133.0011,31,62,1.1,21.5984494934298,1.27838,42.63105,34.21894,41.35267,32.94056,32.74951,31.88465,31.47113,30.60627,NA,NA,NA,NA,NA,1.52513540428078,0.86486,NA
"213","Mid","2017_M_06",55.344914,-133.0011,32,64,1.1,21.5984494934298,1.29416,41.77254,33.40492,40.47838,32.11076,31.90167,31.06516,30.60751,29.771,28.54137,NA,57.36892,NA,28.82755,1.48671597976364,0.836510000000001,NA
"214","Mid","2017_M_06",55.344914,-133.0011,33,66,1.1,21.5984494934298,1.27888,46.76372,38.89574,45.48484,37.61686,37.30124,36.63298,36.02236,35.3541,NA,NA,NA,NA,NA,1.7416463163915,0.668259999999997,NA
"215","Mid","2017_M_06",55.344914,-133.0011,34,68,1.2,23.5619449019235,1.29001,51.13871,42.89474,49.8487,41.60473,41.09681,40.45985,39.8068,39.16984,NA,NA,NA,NA,NA,1.76575958280098,0.636959999999995,NA
"216","Mid","2017_M_06",55.344914,-133.0011,35,70,1.2,23.5619449019235,1.28523,51.58387,44.30777,50.29864,43.02254,42.72049,42.12498,41.43526,40.83975,NA,NA,NA,NA,NA,1.82593330809834,0.595509999999997,NA
"217","Mid","2017_M_06",55.344914,-133.0011,36,72,1.2,23.5619449019235,1.28915,53.69475,46.22625,52.4056,44.9371,44.5273,43.9117,43.23815,42.62255,NA,NA,NA,NA,NA,1.90718975819062,0.615599999999993,NA
"218","Low","2017_L_04",55.25051,-132.883,1,2,1.9,37.3064127613788,1.27375,40.67405,22.50197,39.4003,21.22822,21.09348,20.39877,19.81973,19.12502,NA,NA,NA,NA,NA,0.569023350912376,0.694710000000001,NA
"219","Low","2017_L_04",55.25051,-132.883,2,4,1.9,37.3064127613788,1.29586,89.8126,64.25178,88.51674,62.95592,62.79207,61.09514,61.49621,59.79928,52.14376,111.91423,109.8136,59.77047,57.66984,1.68753614566702,1.69693,2.10063000000001
"220","Low","2017_L_04",55.25051,-132.883,3,6,1.6,31.4159265358979,1.27856,65.10822,48.33308,63.82966,47.05452,46.9025,45.00053,45.62394,43.72197,NA,NA,NA,NA,NA,1.49779189056329,1.90197000000001,NA
"221","Low","2017_L_04",55.25051,-132.883,4,8,1.6,31.4159265358979,1.29076,59.9344,44.22829,58.64364,42.93753,42.7664,41.8989,41.47564,40.60814,NA,NA,NA,NA,NA,1.36674402873131,0.8675,NA
"222","Low","2017_L_04",55.25051,-132.883,5,10,1.6,31.4159265358979,1.29736,56.52576,39.74801,55.2284,38.45065,38.11299,36.73036,36.81563,35.433,NA,NA,NA,NA,NA,1.22392220251928,1.38263000000001,NA
"223","Low","2017_L_04",55.25051,-132.883,6,12,1.8,35.3429173528852,1.28788,75.70015,61.44606,74.41227,60.15818,59.8363,58.89445,58.54842,57.60657,NA,NA,NA,NA,NA,1.70212830478435,0.941850000000002,NA
"224","Low","2017_L_04",55.25051,-132.883,7,14,1.7,33.3794219443916,1.28886,64.62473,48.94269,63.33587,47.65383,47.5407,46.61967,46.25184,45.33081,26.69942,72.00912,69.44842,45.3097,42.749,1.42764096033146,0.921030000000002,2.5607
