"site","longitude.x","latitude.x","so_region1","so_region2","sed1_qual","sed2_qual","date_grass_MM.DD.YY","date_otts1_MM.DD.YY.x","date_otts2_MM.DD.YY.x","sed1_edge","sed1_inside","sed1_outside","sed2_edge","sed2_inside","sed2_outside","sed1_site_avg","sed2_site_avg","sedall_site_avg","sed1_abovegrass","sed2_abovegrass","beach_slope","longitude.y","latitude.y","otter_region","date_otts1_MM.DD.YY.y","date_otts2_MM.DD.YY.y","site_water_area","so_index","so_pop_1","so_dens_avg","pits_all","shell_n_otter","shell_prop_otter","so_index_pc1","so_index_pc2","pits_edge","pits_inside","pits_outside","pits_site_sum","pits_abovegrass","fucus_upper_elev_mllw_cm","fucus_lower_elev_mllw_cm","fucus_mean_elev_mllw_cm","fucus_band_height_cm","edge_diffuse_elev_mllw_cm","edge_continuous_elev_mllw_cm","edge_diffuse_elev_corrct_pos","edge_continuous_elev_corrct_pos","edge_diffuse_elev_corrct_neg","edge_continuous_elev_corrct_neg","diffuse_band_distance_cm","diffuse_band_height_cm","diffuse_band_area_m2","shoot_density_inside_m2.x","shoot_density_continuous_m2.x","shoot_density_diffuse_m2.x","flower_density_inside_m2.x","flower_density_continuous_m2.x","flower_density_diffuse_m2.x","shoot_density_inside_m2.y","shoot_density_continuous_m2.y","shoot_density_diffuse_m2.y","flower_density_inside_m2.y","flower_density_continuous_m2.y","flower_density_diffuse_m2.y","shoot_density_inside_m2.x.x","shoot_density_continuous_m2.x.x","shoot_density_diffuse_m2.x.x","flower_density_inside_m2.x.x","flower_density_continuous_m2.x.x","flower_density_diffuse_m2.x.x","shoot_density_inside_m2.y.y","shoot_density_continuous_m2.y.y","shoot_density_diffuse_m2.y.y","flower_density_inside_m2.y.y","flower_density_continuous_m2.y.y","flower_density_diffuse_m2.y.y","shoot_density_inside_m2.x.x.x","shoot_density_continuous_m2.x.x.x","shoot_density_diffuse_m2.x.x.x","flower_density_inside_m2.x.x.x","flower_density_continuous_m2.x.x.x","flower_density_diffuse_m2.x.x.x","shoot_density_inside_m2.y.y.y","shoot_density_continuous_m2.y.y.y","shoot_density_diffuse_m2.y.y.y","flower_density_inside_m2.y.y.y","flower_density_continuous_m2.y.y.y","flower_density_diffuse_m2.y.y.y","shoot_density_inside_m2","shoot_density_continuous_m2","shoot_density_diffuse_m2","flower_density_inside_m2","flower_density_continuous_m2","flower_density_diffuse_m2"
"Big Clam Bay",-132.973932,55.227691,"low","low","sugar","sand","07/13/18","07/18/18","07/26/18",4,4,7,7,4,4.6,5,5.2,5.1,5.5,5.8,0.0683653565413072,-132.973932,55.227691,"low","07/18/18","07/26/18",6.485,7,0.154,0.0771010023130301,4,7,0.179487179487179,-0.712299954461842,-0.408107901454663,3,0,1,4,4,138.923,22.348,82.4855,112.875,51.9116363636364,46.7298181818182,106.812020581028,96.1500474849299,22.7111266653097,22.7111266653097,115.272727272727,5.18181818181818,57.6363636363636,508.888888888889,670.909090909091,60,0,21.0909090909091,0,508.888888888889,670.909090909091,60,0,21.0909090909091,0,508.888888888889,670.909090909091,60,0,21.0909090909091,0,508.888888888889,670.909090909091,60,0,21.0909090909091,0,508.888888888889,670.909090909091,60,0,21.0909090909091,0,508.888888888889,670.909090909091,60,0,21.0909090909091,0,508.888888888889,670.909090909091,60,0,21.0909090909091,0
"Big Tree Bay",-133.215512,55.585855,"mid","high","sugar","sand","07/11/18","07/19/18","08/01/18",4,3,4,5.6,2.8,6.8,3.66666666666667,5.06666666666667,4.36666666666667,4,6.2,0.0335041638833911,-133.215512,55.585855,"mid","07/19/18","08/01/18",13.8025,14,1.341,5.83227676145626,14,20,0.194174757281553,0.261954228394655,-0.24514656253548,5,4,5,14,10,166.1752,79.5752,122.8752,86.6,66.7752,65.1388363636364,92.2325004883003,89.9722914602488,47.1597192195916,47.1597192195916,100.181818181818,1.63636363636363,50.0909090909091,621.090909090909,604,54,17.8181818181818,23.2727272727273,3,621.090909090909,604,54,17.8181818181818,23.2727272727273,3,621.090909090909,604,54,17.8181818181818,23.2727272727273,3,621.090909090909,604,54,17.8181818181818,23.2727272727273,3,621.090909090909,604,54,17.8181818181818,23.2727272727273,3,621.090909090909,604,54,17.8181818181818,23.2727272727273,3,621.090909090909,604,54,17.8181818181818,23.2727272727273,3
"Blanquizal Bay",-133.387067,55.621174,"high","high","sand","sand","06/18/18","06/25/18","08/05/18",3.8,3,3.8,7,2.6,7.2,3.53333333333333,5.6,4.56666666666667,3.8,7.1,0.0576775610117277,-133.387067,55.621174,"high","06/25/18","08/05/18",14.5775,14,2.877,4.18453095523924,47,36,0.461538461538462,0.572682864065606,0.0747783706594926,19,5,23,47,42,238.636365090909,134.090910545455,186.363637818182,104.545454545455,-3.18181672727274,-29.9090894545455,-2.89765718932561,-27.2379887066694,-32.842132421509,-32.842132421509,459,26.7272727272727,229.5,721.454545454545,365.090909090909,134.4,8.36363636363636,2.54545454545455,3.63636363636364,721.454545454545,365.090909090909,134.4,8.36363636363636,2.54545454545455,3.63636363636364,721.454545454545,365.090909090909,134.4,8.36363636363636,2.54545454545455,3.63636363636364,721.454545454545,365.090909090909,134.4,8.36363636363636,2.54545454545455,3.63636363636364,721.454545454545,365.090909090909,134.4,8.36363636363636,2.54545454545455,3.63636363636364,721.454545454545,365.090909090909,134.4,8.36363636363636,2.54545454545455,3.63636363636364,721.454545454545,365.090909090909,134.4,8.36363636363636,2.54545454545455,3.63636363636364
"Chusini",-133.167403,55.813558,"high","high","mud","mud","06/13/18","06/07/18","07/27/18",1,1,1.8,1,1,3.4,1.26666666666667,1.8,1.53333333333333,1.4,2.2,0.0205288586244446,-133.167403,55.813558,"high","06/07/18","07/27/18",12.57,14,2.877,5.56881463802705,133,37,0.330357142857143,0.673206295462905,0.0418115063927343,37,59,37,133,74,228.8531429,97.7531429,163.3031429,131.1,-28.4286752818182,-50.4286752818182,-29.5457557224404,-52.4102268752488,-48.5220431640611,-48.5220431640611,1086.09090909091,22,543.045454545455,168.727272727273,96.7272727272727,75.6363636363636,7.27272727272727,1.09090909090909,0,168.727272727273,96.7272727272727,75.6363636363636,7.27272727272727,1.09090909090909,0,168.727272727273,96.7272727272727,75.6363636363636,7.27272727272727,1.09090909090909,0,168.727272727273,96.7272727272727,75.6363636363636,7.27272727272727,1.09090909090909,0,168.727272727273,96.7272727272727,75.6363636363636,7.27272727272727,1.09090909090909,0,168.727272727273,96.7272727272727,75.6363636363636,7.27272727272727,1.09090909090909,0,168.727272727273,96.7272727272727,75.6363636363636,7.27272727272727,1.09090909090909,0
"Dunbar Inlet",-132.826,55.0848,"low","low","sand","sand","08/11/18","07/24/18","08/10/18",3,4,3,7,3,7,3.33333333333333,5.66666666666667,4.5,3,7,0.0691100413740413,-132.826,55.0848,"low","07/24/18","08/10/18",9.44,7,0.154,1.80084745762712,23,14,0.1,-0.409563656876582,-0.3161740392465,2,5,16,23,18,286.7192,114.5192,200.6192,172.2,26.2373818181818,22.3282909090909,22.1963223967687,18.889306372924,26.3933764998179,26.3933764998179,67.8181818181818,3.90909090909091,33.9090909090909,458.545454545455,301.090909090909,18.3636363636364,2.54545454545455,0,0,458.545454545455,301.090909090909,18.3636363636364,2.54545454545455,0,0,458.545454545455,301.090909090909,18.3636363636364,2.54545454545455,0,0,458.545454545455,301.090909090909,18.3636363636364,2.54545454545455,0,0,458.545454545455,301.090909090909,18.3636363636364,2.54545454545455,0,0,458.545454545455,301.090909090909,18.3636363636364,2.54545454545455,0,0,458.545454545455,301.090909090909,18.3636363636364,2.54545454545455,0,0
"Goat Mouth Inlet",-132.9,55.19286,"low","low","sand","sand","06/14/18","06/12/18","07/26/18",3.4,3,5,6,5.2,6.6,3.8,5.93333333333333,4.86666666666667,4.2,6.3,0.0547055282842513,-132.9,55.19286,"low","06/12/18","07/26/18",4.4925,7,0.154,0,52,23,0.676470588235294,-0.675568784705407,0.291342576278167,18,15,19,52,37,229.2874182,122.2874182,175.7874182,107,-39.9489454363636,-44.8580363454545,-38.5700813453305,-43.3097317573013,-46.4616921676244,-46.4616921676244,95.2727272727273,4.90909090909091,47.6363636363636,335.272727272727,210.181818181818,78.1818181818182,2.90909090909091,2.18181818181818,0,335.272727272727,210.181818181818,78.1818181818182,2.90909090909091,2.18181818181818,0,335.272727272727,210.181818181818,78.1818181818182,2.90909090909091,2.18181818181818,0,335.272727272727,210.181818181818,78.1818181818182,2.90909090909091,2.18181818181818,0,335.272727272727,210.181818181818,78.1818181818182,2.90909090909091,2.18181818181818,0,335.272727272727,210.181818181818,78.1818181818182,2.90909090909091,2.18181818181818,0,335.272727272727,210.181818181818,78.1818181818182,2.90909090909091,2.18181818181818,0
"Guktu Cove",-133.311306,55.740264,"high","high","mud","mud","05/31/18","06/06/18","07/31/18",1,1,1.4,2,2,2,1.13333333333333,2,1.56666666666667,1.2,2,0.0525566729489398,-133.311306,55.740264,"high","06/06/18","07/31/18",8.33,14,2.877,10.6842737094838,94,57,0.282178217821782,0.816721485659168,0.0135261687792888,26,54,14,94,40,210.9656,145.2656,178.1156,65.7,-14.4253090909091,-26.4253090909091,-13.745362331593,-25.1797341665137,-27.7324993160071,-27.7324993160071,230,12,115,250.181818181818,210.909090909091,26.1818181818182,1.81818181818182,3.27272727272727,0,250.181818181818,210.909090909091,26.1818181818182,1.81818181818182,3.27272727272727,0,250.181818181818,210.909090909091,26.1818181818182,1.81818181818182,3.27272727272727,0,250.181818181818,210.909090909091,26.1818181818182,1.81818181818182,3.27272727272727,0,250.181818181818,210.909090909091,26.1818181818182,1.81818181818182,3.27272727272727,0,250.181818181818,210.909090909091,26.1818181818182,1.81818181818182,3.27272727272727,0,250.181818181818,210.909090909091,26.1818181818182,1.81818181818182,3.27272727272727,0
"Hauti Island",-133.156399,55.865721,"high","high","sand","sand","05/29/18","06/06/18","07/31/18",3.2,3,4.6,3.8,4,6,3.6,4.6,4.1,3.9,4.9,0.121546739415638,-133.156399,55.865721,"high","06/06/18","07/31/18",11.3525,14,2.877,2.07002862805549,134,42,0.482758620689655,0.477821583432828,0.190365265924252,31,3,100,134,131,249.1016,191.9016,220.5016,57.2,-30.4984,-57.0438545454545,-23.4746072046643,-43.9066337543789,-74.1118383068583,-74.1118383068583,351.272727272727,26.5454545454545,175.636363636364,115.272727272727,79.6363636363636,22.5454545454545,1.45454545454545,1.09090909090909,0,115.272727272727,79.6363636363636,22.5454545454545,1.45454545454545,1.09090909090909,0,115.272727272727,79.6363636363636,22.5454545454545,1.45454545454545,1.09090909090909,0,115.272727272727,79.6363636363636,22.5454545454545,1.45454545454545,1.09090909090909,0,115.272727272727,79.6363636363636,22.5454545454545,1.45454545454545,1.09090909090909,0,115.272727272727,79.6363636363636,22.5454545454545,1.45454545454545,1.09090909090909,0,115.272727272727,79.6363636363636,22.5454545454545,1.45454545454545,1.09090909090909,0
"Kaguk Cove",-133.29047,55.733423,"high","high","mud","mud","05/30/18","06/06/18","07/31/18",1.2,1,2.6,2,1.6,2.4,1.6,2,1.8,1.9,2.2,0.0356507052786584,-133.29047,55.733423,"high","06/06/18","07/31/18",6.745,14,2.877,10.6745737583395,27,28,0.474576271186441,0.74816789278182,0.00830525100043336,10,2,15,27,25,228.7424,108.9424,168.8424,119.8,-34.8576,-42.3576,-35.038780969709,-42.577764068741,-42.1385743709639,-42.1385743709639,186.9,7.5,93.45,175.272727272727,134.181818181818,36.7272727272727,0,0,0,175.272727272727,134.181818181818,36.7272727272727,0,0,0,175.272727272727,134.181818181818,36.7272727272727,0,0,0,175.272727272727,134.181818181818,36.7272727272727,0,0,0,175.272727272727,134.181818181818,36.7272727272727,0,0,0,175.272727272727,134.181818181818,36.7272727272727,0,0,0,175.272727272727,134.181818181818,36.7272727272727,0,0,0
"Kinani",-133.250006,55.889904,"high","high","mud","mud","07/14/18","06/07/18","08/05/18",4,2,3.8,5.6,2.4,5.4,3.26666666666667,4.46666666666667,3.86666666666667,3.9,5.5,0.129932038002285,-133.250006,55.889904,"high","06/07/18","08/05/18",10.41,14,2.877,8.74159462055716,67,14,0.197183098591549,0.740940656281399,-0.236732700147614,40,0,27,67,67,231.8176,79.0176,155.4176,152.8,-6.9824,-28.6187636363636,-7.62495964421018,-31.2524229196927,-26.2070443043301,-26.2070443043301,527.363636363636,21.6363636363636,263.681818181818,360.363636363636,251.272727272727,19.2727272727273,1.09090909090909,3.27272727272727,0.363636363636364,360.363636363636,251.272727272727,19.2727272727273,1.09090909090909,3.27272727272727,0.363636363636364,360.363636363636,251.272727272727,19.2727272727273,1.09090909090909,3.27272727272727,0.363636363636364,360.363636363636,251.272727272727,19.2727272727273,1.09090909090909,3.27272727272727,0.363636363636364,360.363636363636,251.272727272727,19.2727272727273,1.09090909090909,3.27272727272727,0.363636363636364,360.363636363636,251.272727272727,19.2727272727273,1.09090909090909,3.27272727272727,0.363636363636364,360.363636363636,251.272727272727,19.2727272727273,1.09090909090909,3.27272727272727,0.363636363636364
