NOAA SIN,ID,Date Collected,Size mm,Species,Frozen Weight,Live Weight,Date Dissected,Dissected Weight,Notes,SEX,Site location,site number
,18-484,8/8/2018,48,tec,32.89,,9/11/2018,11.52,"Alberto, kept some eggs aside for SI",f,Craig,5
,18-485,8/8/2018,103,cap,152.17,,9/11/2018,,Alberto,m,Craig,5
,18-486,8/8/2018,124,cap,269.83,,9/11/2018,77.01,Alberto,f,Craig,5
,18-502,8/8/2018,106,cap,191.22,,12/13/2018,59.94,Alberto,m,Craig,5
,18-512,8/8/2018,89,cap,96.96,,12/21/2018,39.98,S Wadleigh,"f, gravid",Craig,2
,18-512b,8/8/2018,89,cap,,,12/21/2018,1.88,"eggs, in cetrifuge tube","f, gravid",Craig,2
,18-513,8/8/2018,99,cap,115.12,,12/21/2018,62.68,S Wadleigh,f,Craig,2
,18-514,8/8/2018,46,cam,18.07,,1/23/2019,7.47,S Wadleigh,m,Craig,2
,18-515,8/8/2018,68,cam,59.53,,1/23/2019,21.84,S Wadleigh,m,Craig,2
,18-516,8/8/2018,83,cam,99.59,,1/23/2019,50.28,S Wadleigh,f,Craig,2
,18-517,8/8/2018,54,cam,23.74,,1/23/2019,14.04,"S Wadleigh, soft shell",m,Craig,2
,18-518,8/8/2018,84,cam,110.99,,1/23/2019,44.53,S Wadleigh,m,Craig,2
,18-562,8/8,67,pio,,,,,Alberto,,Craig,5
,18-563,8/8,65,pio,,,,,Alberto,,Craig,5
,18-564,8/8,38,pio,,,,,Alberto,,Craig,5
,18-565,8/8,41,pio,,,,,Alberto,,Craig,5
,18-566,8/8,50,evt,,,,,Alberto,,Craig,5
,18-567,8/8,40,evt,,,,,Alberto,,Craig,5
,18-568,8/8,38,evt,,,,,Alberto,,Craig,5
,18-579,8/8/2018,55,pio,,,,,Alberto,,Craig,5
,18-580,8/8/2018,44,evt,,,,,Alberto,,Craig,5
,18-581,8/8/2018,44,evt,,,,,Alberto,,Craig,5
,18-621,8/8/2018,110,cum,,,,,Alberto IS,,Craig,5
,18-622,8/8/2018,120,cum,,,,,Alberto IS,,Craig,5
,18-623,8/8/2018,123,cum,,,,,Alberto IS,,Craig,5
,18-624,8/8/2018,140,cum,,,,,Alberto IS,,Craig,5
,18-625,8/8/2018,140,cum,,,,,Alberto IS,,Craig,5
,18-347,8/10/2018,38.5,std,26.07,,8/14/2018,5.40,Soda Bay,,Soda Bay,9
,18-348,8/10/2018,43,std,27.28,,8/14/2018,5.58,Soda Bay,,Soda Bay,9
,18-349,8/10/2018,46,std,36.41,,8/14/2018,10.76,Soda Bay,,Soda Bay,9
,18-350,8/10/2018,37.5,std,22.24,,8/14/2018,5.45,Soda Bay,,Soda Bay,9
,18-351,8/10/2018,40,std,25.26,,8/14/2018,6.01,Soda Bay,,Soda Bay,9
,18-352,8/10/2018,40.5,stf,23.91,,8/14/2018,4.14,Soda Bay,,Soda Bay,9
,18-353,8/10/2018,43,stf,27.49,,8/14/2018,7.33,Soda Bay,,Soda Bay,9
,18-354,8/10/2018,47,stf,39.15,,8/14/2018,16.14,Soda Bay,,Soda Bay,9
,18-355,8/10/2018,48.5,stf,36.25,,8/14/2018,4.28,Soda Bay,,Soda Bay,9
,18-356,8/10/2018,49,stf,39.30,,8/14/2018,12.85,Soda Bay,,Soda Bay,9
,18-357,8/10/2018,66,cef,33.85,,8/14/2018,5.53,Soda Bay,,Soda Bay,9
,18-358,8/10/2018,65,cef,36.16,,8/14/2018,6.48,Soda Bay,,Soda Bay,9
,18-359,8/10/2018,64.5,cef,27.13,,8/14/2018,5.03,Soda Bay,,Soda Bay,9
,18-360,8/10/2018,70.5,cef,32.32,,8/14/2018,4.85,Soda Bay,,Soda Bay,9
,18-361,8/10/2018,64,cef,28.58,,8/14/2018,4.43,Soda Bay,,Soda Bay,9
,18-362,8/10/2018,45,mos,12.31,,8/14/2018,4.02,"Soda Bay, estimate size",,Soda Bay,9
,18-363,8/10/2018,38,mos,8.63,,8/14/2018,3.39,Soda Bay,,Soda Bay,9
,18-364,8/10/2018,68,mos,31.51,,8/14/2018,9.95,Soda Bay,,Soda Bay,9
,18-365,8/10/2018,25,hak,1.90,,8/14/2018,1.17,Soda Bay,,Soda Bay,9
,18-366,8/10/2018,56,prs,55.58,,8/14/2018,21.32,Soda Bay,,Soda Bay,9
,18-367,8/10/2018,47,mtr,8.22,,8/14/2018,4.21,Soda Bay,,Soda Bay,9
,18-368,8/10/2018,49,mtr,8.92,,8/14/2018,3.23,Soda Bay,,Soda Bay,9
,18-369,8/10/2018,44,mtr,7.70,,8/14/2018,3.19,Soda Bay,,Soda Bay,9
,18-370,8/10/2018,45,mtr,7.66,,8/14/2018,3.32,Soda Bay,,Soda Bay,9
,18-371,8/10/2018,46,mtr,6.28,,8/14/2018,2.66,Soda Bay,,Soda Bay,9
,18-372,8/10/2018,32,chr,5.73,,8/14/2018,3.02,Soda Bay,,Soda Bay,9
,18-373,8/10/2018,30,chr,5.96,,8/14/2018,3.31,Soda Bay,,Soda Bay,9
,18-374,8/10/2018,27.5,chr,4.11,,8/14/2018,2.00,Soda Bay,,Soda Bay,9
,18-375,8/10/2018,26.5,chr,4.85,,8/14/2018,2.47,Soda Bay,,Soda Bay,9
,18-376,8/10/2018,25,chr,4.02,,8/14/2018,2.04,Soda Bay,,Soda Bay,9
,18-377,8/10/2018,46,pom,9.48,,8/14/2018,3.14,Soda Bay,,Soda Bay,9
,18-378,8/10/2018,30,pom,3.85,,8/14/2018,1.57,Soda Bay,,Soda Bay,9
,18-379,8/10/2018,34,pom,3.61,,8/14/2018,1.80,Soda Bay,,Soda Bay,9
,18-380,8/10/2018,34,pom,4.97,,8/14/2018,1.76,Soda Bay,,Soda Bay,9
,18-420,8/10/2018,75,tec,103.53,,8/14/2018,47.09,Soda Bay,m,Soda Bay,9
,18-421,8/10/2018,41,cao,19.23,,8/14/2018,5.00,Soda Bay,,Soda Bay,9
,18-422,8/10/2018,41,cao,17.14,,8/14/2018,5.84,Soda Bay,,Soda Bay,9
,18-423,8/10/2018,35,cao,12.62,,8/14/2018,3.56,Soda Bay,,Soda Bay,9
,18-424,8/10/2018,33.5,cao,10.71,,8/14/2018,2.94,Soda Bay,,Soda Bay,9
,18-425,8/10/2018,23.5,cao,5.21,,8/14/2018,1.06,Whale Rock,,,
,18-459,8/10/2018,220,cum,184.73,,,,Soda Bay,,Soda Bay,9
,18-460,8/10/2018,270,cum,171.35,,,,Soda Bay,,Soda Bay,9
,18-461,8/10/2018,250,cum,119.80,,,,Soda Bay,,Soda Bay,9
,18-462,8/10/2018,160,cum,77.01,,,,Soda Bay,,Soda Bay,9
,18-463,8/10/2018,130,cum,19.12,,,,Soda Bay,,Soda Bay,9
,18-595,8/10/2018,80,pio,,,,,Soda Bay,,Soda Bay,9
,18-596,8/10/2018,69,pio,,,,,Soda Bay,,Soda Bay,9
,18-597,8/10/2018,49,evt,,,,,Soda Bay,,Soda Bay,9
,18-598,8/10/2018,44,evt,,,,,Soda Bay,,Soda Bay,9
,18-599,8/10/2018,55,pyh,,,,,Soda Bay,,Soda Bay,9
,18-600,8/10/2018,46,pyh,,,,,Soda Bay,,Soda Bay,9
,18-612,8/10/2018,94,pio,,,,,Soda Bay,,Soda Bay,9
,18-613,8/10/2018,90,pio,,,,,Soda Bay,,Soda Bay,9
,18-614,8/10/2018,88,evt,,,,,Soda Bay,,Soda Bay,9
,18-406,8/12/2018,63,kat,27.75,,8/14/2018,9.52,Midway Is.,,Soda Bay,29
,18-407,8/12/2018,65,kat,20.24,,8/14/2018,6.68,Midway Is.,,Soda Bay,29
,18-408,8/12/2018,62,kat,19.74,,8/14/2018,6.21,Midway Is.,,Soda Bay,29
,18-409,8/12/2018,63,kat,15.20,,8/14/2018,5.11,Midway Is.,,Soda Bay,29
,18-410,8/12/2018,59,kat,18.73,,8/14/2018,5.57,Midway Is.,,Soda Bay,29
,18-411,8/12/2018,31,tes,11.81,,8/14/2018,4.30,Midway Is.,,Soda Bay,29
,18-412,8/12/2018,34,tes,13.68,,8/14/2018,5.14,Midway Is.,,Soda Bay,29
,18-413,8/12/2018,33,tes,12.10,,8/14/2018,4.77,Midway Is.,,Soda Bay,29
,18-414,8/12/2018,32,tes,14.67,,8/14/2018,4.83,Midway Is.,,Soda Bay,29
,18-415,8/12/2018,69,myc,35.30,,8/14/2018,17.30,Midway Is.,,Soda Bay,29
,18-416,8/12/2018,47,myc,14.88,,8/14/2018,8.13,Midway Is.,,Soda Bay,29
,18-417,8/12/2018,66,myc,27.70,,8/14/2018,14.43,Midway Is.,,Soda Bay,29
,18-426,8/15/2018,51,stf,,37.6,8/15/2018,8.63,Whale Rock,,Nossuk,27
,18-427,8/15/2018,41,stf,,25.42,8/15/2018,8.14,Whale Rock,,Nossuk,27
,18-428,8/15/2018,42,stf,,28.87,8/15/2018,8.30,Whale Rock,,Nossuk,27
,18-429,8/15/2018,33,stf,,12.54,8/15/2018,3.37,Whale Rock,,Nossuk,27
,18-430,8/15/2018,30,stf,,12.33,8/15/2018,3.22,Whale Rock,,Nossuk,27
,18-431,8/15/2018,24.5,std,,6.92,8/15/2018,0.95,Nossuk,,Nossuk,26
,18-432,8/15/2018,24,std,,5.13,8/15/2018,0.85,Nossuk,,Nossuk,26
,18-433,8/15/2018,25.5,std,,6.04,8/15/2018,1.54,Nossuk,,Nossuk,26
,18-434,8/15/2018,19,std,,3.19,8/15/2018,0.46,Nossuk,,Nossuk,26
,18-435,8/15/2018,21,std,,3.74,8/15/2018,0.87,Nossuk,,Nossuk,26
,18-436,8/15/2018,53,pup,,79.45,8/15/2018,24.22,Nossuk,f,Nossuk,26
,18-437,8/15/2018,48,pup,,86.63,8/15/2018,31.70,Nossuk,m,Nossuk,26
,18-438,8/15/2018,59,pup,,106.19,8/15/2018,28.11,Nossuk,f,Nossuk,26
,18-439,8/15/2018,46,pup,,68.75,8/15/2018,11.50,Nossuk,m,Nossuk,26
,18-445,8/15/2018,42,sag,15.35,,9/4/2018,7.23,Nossuk,,Nossuk,21
,18-446,8/15/2018,43,sag,15.53,,9/4/2018,7.32,Nossuk,,Nossuk,21
,18-447,8/15/2018,36,sag,10.10,,9/4/2018,4.84,Nossuk,,Nossuk,21
,18-448,8/15/2018,45,sag,20.23,,9/4/2018,10.24,Nossuk,,Nossuk,21
,18-449,8/15/2018,44,pom,5.69,,9/4/2018,1.54,Nossuk,,Nossuk,26
,18-450,8/15/2018,32,pom,1.58,,9/4/2018,0.60,Nossuk,,Nossuk,26
,18-451,8/15/2018,40,pom,4.88,,9/4/2018,1.17,Nossuk,,Nossuk,26
,18-453,8/15/2018,150,crs,418.49,,9/4/2018,133.52,Nossuk,,Nossuk,26
,18-475,8/15/2018,30/76,evt,,,9/11/2018,,"Nossuk, disc/arm length",,Nossuk,26
,18-476,8/15/2018,30/90,evt,,,9/11/2018,,"Nossuk, disc/arm length",,Nossuk,26
,18-477,8/15/2018,35/93,evt,54.07,,9/11/2018,,"Nossuk, disc/arm length",,Nossuk,26
,18-478,8/15/2018,35/99,evt,39.84,,9/11/2018,,"Nossuk, disc/arm length",,Nossuk,26
,18-479,8/15/2018,45/120,evt,80.45,,9/11/2018,,"Nossuk, disc/arm length",,Nossuk,26
,18-496,8/15/2018,19,pup,2.90,,2/11/2019,1.19,Nossuk,f,Nossuk,26
,18-497,8/15/2018,43,cao,24.38,,2/11/2019,8.04,Nossuk,m,Nossuk,26
,18-498,8/15/2018,23,cao,4.59,,2/11/2019,1.10,Nossuk,m,Nossuk,26
,18-499,8/15/2018,26,cao,5.82,,2/25/2019,0.84,Nossuk,m,Nossuk,26
,18-500,8/15/2018,24,cao,4.53,,2/25/2019,0.36,Nossuk,m,Nossuk,26
,18-501,8/15/2018,36,cao,19.38,,2/25/2019,5.17,"Nossuk, listed on bag as 18-497",m,Nossuk,26
,18-533,8/15/2018,,cef,28.88,,4/1/2019,3.12,Nossuk,,Nossuk,26
,18-534,8/15/2018,,cef,32.97,,4/1/2019,4.54,Nossuk,,Nossuk,26
,18-535,8/15/2018,,cef,40.94,,4/1/2019,7.22,Nossuk,,Nossuk,26
,18-536,8/15/2018,,cef,27.33,,4/1/2019,3.89,Nossuk,,Nossuk,26
,18-537,8/15/2018,,cef,16.96,,4/1/2019,2.74,Nossuk,,Nossuk,26
,18-538,8/15/2018,,mtr,,,,,Nossuk,,Nossuk,26
,18-539,8/15/2018,,mtr,,,,,Nossuk,,Nossuk,26
,18-540,8/15/2018,,mtr,,,,,Nossuk,,Nossuk,26
,18-541,8/15/2018,,mtr,,,,,Nossuk,,Nossuk,26
,18-542,8/15/2018,,mtr,,,,,Nossuk,,Nossuk,21
,18-543,8/15/2018,,mtr,,,,,Nossuk,,Nossuk,21
,18-544,8/15/2018,,mtr,,,,,Nossuk,,Nossuk,21
,18-545,8/15/2018,,mtr,,,,,Nossuk,,Nossuk,21
,18-546,8/15/2018,,mtr,,,,,Nossuk,,Nossuk,21
,18-547,8/15/2018,,mtr,,,,,Nossuk,,Nossuk,21
,18-548,8/15/2018,,mos,,,,,Nossuk,,Nossuk,26
,18-549,8/15/2018,,mos,,,,,Nossuk,,Nossuk,26
,18-550,8/15/2018,,mos,,,,,Nossuk,,Nossuk,26
,18-551,8/15/2018,,mos,,,,,Nossuk,,Nossuk,26
,18-552,8/15/2018,,mos,,,,,Nossuk,,Nossuk,26
,18-553,8/15/2018,33.00,tes,12.29,,4/1/2019,1.30,Nossuk,,Nossuk,26
,18-556,8/15/2018,21.00,tes,5.06,,4/1/2019,1.53,Nossuk,,Nossuk,26
,18-557,8/15/2018,20.00,tes,6.41,,4/1/2019,1.34,Nossuk,,Nossuk,26
,18-558,8/15/2018,20.00,tes,5.4,,4/1/2019,1.08,Nossuk,,Nossuk,26
,18-559,8/15/2018,29.00,tes,9.32,,4/1/2019,2.84,Nossuk,,Nossuk,26
,18-560,8/15/2018,,pom,46.00,,4/1/2019,2.21,Nossuk,,Nossuk,26
,18-561,8/15/2018,,pom,26.00,,4/1/2019,0.55,Nossuk,,Nossuk,26
,18-576,8/15/2018,77,pio,,,,,Nossuk,,Nossuk,26
,18-577,8/15/2018,86,pio,,,,,Nossuk,,Nossuk,26
,18-578,8/15/2018,95,pio,,,,,Nossuk,,Nossuk,26
,18-626,8/15/2018,180,cum,,,,,"Nossuk, whale rock",,Nossuk,27
,18-627,8/15/2018,120,cum,,,,,"Nossuk, whale rock",,Nossuk,27
,18-636,8/15/2018,37,cao,15.13,,2/25/2019,4.22,"Nossuk, listed on bag as 18-498",m,Nossuk,27
,18-637,8/15/2018,71,hak,55.12,,3/20/2019,38.99,"Nossuk, whale rock",,Nossuk,27
,18-638,8/15/2018,62,hak,26.02,,3/20/2019,17.77,"Nossuk, whale rock",,Nossuk,27
,18-649,8/15/2018,20.5,tes,5.56,,4/1/2019,1.38,"Nossuk, should have been 18-554",,Nossuk,27
,18-650,8/15/2018,20,tes,5.59,,4/1/2019,1.38,"Nossuk, should have been 18-555",,Nossuk,27
,19-045,2/17/2019,69,sag,115.99,,3/6/2019,50.99,Soda Bay,,Soda Bay,8
,19-055,2/17/2019,41,mtr,5.03,,3/6/2019,2.26,Soda Bay,,Soda Bay,9
,19-056,2/17/2019,43,mtr,5.65,,3/6/2019,2.70,Soda Bay,,Soda Bay,9
,19-057,2/17/2019,34.5,mtr,3.14,,3/6/2019,1.67,"Soda Bay, bagged together: 57, 58",,Soda Bay,9
,19-058,2/17/2019,40,mtr,4.79,,3/6/2019,1.19,"Soda Bay, bagged together: 57, 58",,Soda Bay,9
,19-059,2/17/2019,27,mtr,1.78,,3/6/2019,0.60,"Soda Bay, bagged together: 59, 60, 61",,Soda Bay,9
,19-060,2/17/2019,26,mtr,1.47,,3/6/2019,0.47,"Soda Bay, bagged together: 59, 60, 61",,Soda Bay,9
,19-061,2/17/2019,31,mtr,2.35,,3/6/2019,0.73,"Soda Bay, bagged together: 59, 60, 61",,Soda Bay,9
,19-062,2/17/2019,31.5,mtr,2.73,,3/6/2019,0.90,"Soda Bay, bagged together: 62, 63, 64",,Soda Bay,9
,19-063,2/17/2019,36,mtr,4.20,,3/6/2019,1.52,"Soda Bay, bagged together: 62, 63, 64",,Soda Bay,9
,19-064,2/17/2019,35,mtr,3.45,,3/6/2019,1.35,"Soda Bay, bagged together: 62, 63, 64",,Soda Bay,9
,19-065,2/17/2019,119,mom,91.56,,3/6/2019,43.58,Soda Bay,,Soda Bay,8
,19-069,2/17/2019,66,cam,48.74,,3/27/2019,22.32,"Soda bay, location 1",m,Soda Bay,8
,19-070,2/17/2019,61,cam,46.22,,3/27/2019,17.67,"Soda bay, location 1, separate vial with .7g eggs",f,Soda Bay,8
,19-070e,2/17/2019,61,cam,46.22,,3/27/2019,0.70,"Soda bay, location 1, separate vial with .7g eggs",f,Soda Bay,8
,19-071,2/17/2019,45,tec,45.42,,4/5/2019,17.69,Soda Bay,m,Soda Bay,8
,19-075,2/17/2019,53,stf,51.52,,4/8/2019,9.00,"Not full of gonads, mostly food. Took photos on phone. Soda Bay",,Soda Bay,9
,19-076,2/17/2019,47,stf,41.71,,4/8/2019,8.61,Soda Bay,,Soda Bay,9
,19-077,2/17/2019,32.5,stf,13.66,,4/8/2019,1.90,Soda Bay,,Soda Bay,9
,19-007,2/18/2019,78,sag,113.57,,3/4/2019,51.11,"Wadleigh, broken shell",,Craig,2
,19-008,2/18/2019,77,sag,135.85,,3/4/2019,64.03,Wadleigh,,Craig,2
,19-009,2/18/2019,80.5,sag,146.07,,3/4/2019,70.46,Wadleigh,,Craig,2
,19-010,2/18/2019,84,sag,152.12,,3/4/2019,73.96,Wadleigh,,Craig,2
,19-011,2/18/2019,43.5,sag,18.74,,3/4/2019,8.82,Wadleigh,,Craig,2
,19-012,2/18/2019,52,prs,31.89,,3/4/2019,15.25,Wadleigh,,Craig,2
,19-013,2/18/2019,58,prs,75.67,,3/4/2019,30.19,Wadleigh,,Craig,2
,19-014,2/18/2019,52.5,prs,46.81,,3/4/2019,22.45,Wadleigh,,Craig,2
,19-015,2/18/2019,54,prs,51.20,,3/4/2019,20.55,Wadleigh,,Craig,2
,19-016,2/18/2019,56,prs,59.22,,3/4/2019,24.67,Wadleigh,,Craig,2
,19-017,2/18/2019,44,prs,27.11,,3/4/2019,9.81,Wadleigh,,Craig,2
,19-018,2/18/2019,23,prs,3.18,,3/4/2019,0.92,"Wadleigh, bagged together: 018, 019, 020",,Craig,2
,19-019,2/18/2019,19.5,prs,2.01,,3/4/2019,0.70,"Wadleigh, bagged together: 018, 019, 020",,Craig,2
,19-020,2/18/2019,15,prs,0.82,,3/4/2019,0.22,"Wadleigh, bagged together: 018, 019, 020",,Craig,2
,19-021,2/18/2019,27,cln,6.43,,3/4/2019,2.01,Wadleigh,,Craig,2
,19-022,2/18/2019,44.5,cln,26.02,,3/4/2019,12.27,Wadleigh,,Craig,2
,19-023,2/18/2019,92.5,mya,117.47,,3/4/2019,70.44,Wadleigh,,Craig,2
,19-024,2/18/2019,34.5,mtr,4.83,,3/4/2019,1.34,,,Craig,2
,19-025,2/18/2019,26,mtr,2.40,,3/4/2019,0.62,"bagged with 026, 027, wadleigh",,Craig,2
,19-026,2/18/2019,23,mtr,1.24,,3/4/2019,0.31,"bagged with 025, 027",,Craig,2
,19-027,2/18/2019,24,mtr,1.75,,3/4/2019,0.54,"bagged with 026,027",,Craig,2
,19-028,2/18/2019,29,mtr,1.73,,3/4/2019,0.79,"bagged with 029, 030",,Craig,2
,19-029,2/18/2019,23,mtr,1.52,,3/4/2019,0.32,"bagged with 028, 030",,Craig,2
,19-030,2/18/2019,22,mtr,1.40,,3/4/2019,0.31,"bagged with 028, 029",,Craig,2
,19-031,2/18/2019,21,mtr,1.02,,3/4/2019,0.25,"bagged together 031, 032, 033, 034,035",,Craig,2
,19-032,2/18/2019,17,mtr,0.67,,3/4/2019,0.13,"bagged together 031, 032, 033, 034,035",,Craig,2
,19-033,2/18/2019,20,mtr,1.27,,3/4/2019,0.29,"bagged together 031, 032, 033, 034,035",,Craig,2
,19-034,2/18/2019,22,mtr,1.14,,3/4/2019,0.19,"bagged together 031, 032, 033, 034,035",,Craig,2
,19-035,2/18/2019,12,mtr,0.25,,3/4/2019,0.02,"bagged together 031, 032, 033, 034,035",,Craig,2
,19-036,2/19/2019,59,cef,16.26,,3/4/2019,2.44,Alberto Is,,Craig,5
,19-037,2/19/2019,58,cef,15.72,,3/4/2019,2.17,Alberto Is,,Craig,5
,19-038,2/19/2019,51,cef,14.63,,3/4/2019,1.54,Alberto Is,,Craig,5
,19-039,2/19/2019,49,cef,11.21,,3/4/2019,0.87,Alberto Is,,Craig,5
,19-066,2/19/2019,78,cap,70.40,,3/20/2019,34.88,Wadleigh pots,m,Craig,2
,19-067,2/19/2019,75.5,cam,79.69,,3/20/2019,29.51,"Wadleigh pots, separate vial with .7g of eggs",f,Craig,2
,19-067e,2/19/2019,75.5,cam,79.69,,3/20/2019,0.70,"Wadleigh pots, separate vial with .7g of eggs",f,Craig,2
,19-068,2/19/2019,62,cam,43.38,,3/20/2019,16.50,"Wadleigh pots, separate vial with 1.07g of eggs",f,Craig,2
,19-068e,2/19/2019,62,cam,43.38,,3/20/2019,1.07,"Wadleigh pots, separate vial with 1.07g of eggs",f,Craig,2
,19-072s,2/19/2019,64/121,pio,172.60,,4/8/2019,17.61,Alberto Is,,Craig,5
,19-072g,2/19/2019,64/121,pio,172.60,,4/8/2019,9.53,Alberto Is,,Craig,5
,19-072f,2/19/2019,64/121,pio,172.60,,4/8/2019,7.91,Alberto Is,,Craig,5
,19-073,2/19/2019,21/42,evt,11.99,,4/8/2019,1.09,"Alberto Is, too small to separate",,Craig,5
,19-074,2/19/2019,26/71,evt,32.31,,4/8/2019,5.03,"Alberto Is, too small to separate",,Craig,5
