SIN,KJ,moisture,ash,lipid_dry,protein_wet,protein_dry
404045,19.1,81.72,,1.34,12.14,66.35
404046,16.75,89.61,,0.75,6.12,58.87
404047,18.78,84.16,,0.98,10.22,64.51
404048,22.28,73.99,,,19.4,74.6
404049,18.89,78.91,,,16.1,76.36
404050,22.47,76.53,,,14.5,61.79
404051,18.94,77.6,,,14.59,65.13
404052,22.61,75.37,,,15.31,62.15
404053,20.24,72.58,,,18.52,67.55
404054,11.67,94.97,2.26,,1.7,33.84
404055,18.76,85.03,2.15,1.03,8.48,56.62
404056,19.54,82.79,2.19,1.44,11.17,64.9
404057,18.47,84.8,2.16,0.93,9.75,64.15
404058,19.39,79.6,2.18,0.99,13.1,64.22
404059,17.12,87.06,3,,6.84,52.86
404060,27.12,68.14,2.37,,12.84,40.3
404061,17.93,82.31,2.41,,10.39,58.74
404062,17.14,85.74,2.75,,8.47,59.38
404063,15.44,92.77,2.18,0.23,3.81,52.72
404064,17.67,83.88,2.27,,8.78,54.47
404065,21.46,80.67,2.48,,10.87,56.22
404066,18.66,83.4,2.48,,9.87,59.48
404067,18.13,84.67,4.91,0.89,8.98,58.57
404068,17.12,88.34,2.16,0.54,7.16,61.37
404069,17.57,86.46,2.2,0.66,8.11,59.87
404070,16.47,87.36,2.5,,7.03,55.64
404071,28.08,72.44,2.25,,9.9,35.93
404072,18.7,90.36,2.49,1.51,2.27,23.52
404073,19.66,83.97,1.99,1.1,10.55,65.79
404074,17.38,84.49,3.01,,8.8,56.76
404075,17.49,88.06,2.79,,6.46,54.11
404076,14.01,92.34,2.7,0.75,2.97,38.81
404077,18.42,87.37,2.4,0.7,7.82,61.89
404078,17.87,89.44,2.06,,6.04,57.17
404079,18.15,87.7,2.3,,6.34,51.54
404080,16.95,90.38,2.62,0.8,5.02,52.15
404081,21.36,88.31,1.96,1.95,4.11,35.17
404082,17.93,87.16,2.7,0.7,6.83,53.19
404083,18.09,83.83,2.67,1,8.44,52.17
404084,22.38,79.19,2.45,,13.91,66.87
404085,6.87,86.13,7.81,0.99,2.51,18.1
404086,18.85,86.41,1.83,0.75,9.54,70.2
404087,15.91,89.75,2.65,0.57,6.05,58.99
404088,15.54,86.46,,11.57,4.24,31.31
404089,16.68,82.79,,,11.28,65.54
404090,12.35,93.09,,11.09,1.95,28.18
404091,25.21,71.45,,,,
404092,18.8,81.55,,,12.8,69.37
404093,21.69,75.32,,,,
404094,19.93,86.48,,1.89,4.99,36.9
404095,19,86.07,,15.18,5.72,41.06
404096,13.15,93.52,,14.78,1.54,23.69
404097,17.07,88.89,,1.5,3.79,34.13
404098,18.29,87.72,,1.42,3.5,28.51
404099,16.28,89.51,,1.14,3.41,32.51
404101,20.66,80.51,,,,
404102,21.79,76.02,,,,
404105,20.08,77.78,3.26,3.22,13.62,61.27
404106,19.92,81.27,2.84,1.42,13.59,72.55
404107,17.74,90.48,2.86,1.06,5.42,56.98
404108,22.3,72.99,2.5,4.61,18.8,69.6
404109,22.93,73.23,2.05,4.84,18.15,67.8
404110,20.27,79.41,3.08,,13.48,65.46
404111,17.29,87.21,3.22,,7.74,60.49
404112,17.63,86.95,2.93,0.84,8.9,68.23
404113,22.69,71.55,2.24,4.57,19.99,70.26
404114,20.18,84.87,2.6,1.45,10.47,69.19
404115,22.81,72.51,2.49,5.54,16.51,60.06
404116,19.92,91.28,2.16,1.58,4.91,56.28
404117,16.31,90.4,2.64,0.43,6.25,65.13
404118,20.43,75.83,3.15,2.38,16.17,66.89
404119,19.98,83.26,2.62,,11.03,65.88
404120,20.21,82.78,2.86,,9.67,56.14
404121,16.86,89.29,,,6.86,64.09
404122,,79.79,,,12.29,60.81
404123,,79.37,,,13.04,63.19
404124,,80.38,,,12.53,63.84
404125,18.96,84.73,,,8.17,53.52
404126,19.02,84.72,,,7.73,50.57
404127,18.17,84.99,,,7.5,49.98
404128,,83.88,,,10.31,63.93
404129,,82.74,,,11.41,66.1
404130,,84.29,,,11.31,72.01
404134,25.02,55.11,,,28.98,64.56
404135,24.99,77.48,,,14.33,63.62
404145,23.56,76.1,,,,
404151,17.34,81.72,,,,
404152,21.5,73.37,,,,
404154,19.02,70.69,,3.7,14.84,50.63
404155,18.19,78.59,,1.27,13.35,62.35
404156,19.29,75.71,,,,
404157,,80.81,,,11.84,61.71
404158,,79.87,,,12.67,62.95
404159,,77.92,,,13.27,60.1
404161,20.35,70.03,,1.2,23.03,76.83
404162,20.18,84.39,,,,
404163,20.23,80.5,,,,
404164,18.01,80.85,,,,
404193,20.57,77.38,,,,
404194,20.06,78.34,,3.29,10.9,50.33
404195,16.52,84.16,,1.06,7.47,47.17
404196,14.95,84.66,,0.55,6.83,44.55
404197,20.44,85.43,,2.41,6.24,42.86
404198,15.38,91.97,,1.25,2.98,37.08
404199,12.33,93.69,,0.75,1.92,30.38
404200,13.3,93.18,,,,
404201,24.5,63.25,,,22.39,60.93
404202,19.66,74.01,,1.55,18.89,72.67
404203,19.99,74.89,,1.38,19.44,77.43
404204,19.4,76.11,,1.16,17.63,73.81
404205,21.9,71.05,,4.06,19.11,66.02
404206,19.24,76.01,,1.35,16.75,69.83
404207,24.31,79.53,,,9.8,47.85
404208,19.65,73.49,,,,
404209,18.82,76.37,,,,
404210,,82.95,,,9.82,57.6
404211,,83.21,,,10.71,63.76
404212,,81.82,,,11.55,63.52
404213,,72.84,,,17.78,65.46
404214,,76.84,,,15.23,65.75
404215,,75.61,,,17.94,73.54
404219,,79.49,,,15.74,76.76
404220,,79.04,,,15.99,76.28
404221,,76.02,,,18.8,78.39
404222,19.96,75.65,,1.56,18.13,74.45
404236,,80.26,,,13.43,68.04
404237,,81.9,,,12.38,68.38
404238,,76.76,,,15.38,66.16
404239,,77.53,,,15.4,68.52
404240,18.32,79.8,,0.91,15.2,75.25
404241,18.94,76.17,,1.22,16.61,69.71
404250,13.49,90.59,,1.73,2.64,28.11
404251,20.41,93.4,,0.49,4.65,70.52
404252,19.06,80.84,,0.86,13.55,70.74
404253,19.36,79.5,,1.26,14.91,72.71
404254,19.41,80.11,,,,
404255,21.62,78.57,,,,
404256,22.24,79.17,,,,
404257,20.95,80.04,,,,
404259,21.74,77.06,,,,
404261,20.37,78,,,,
404262,19.38,83.1,,,8.9,52.67
404263,19.99,80.75,,,10.14,52.69
404264,20.07,80.32,,,10.24,52.01
404265,20.1,76.53,,,,
404266,19.99,73.73,,,,
404267,20.08,73.11,,,,
404268,20.87,79.25,,,13.68,65.91
404269,,80.07,,,12.8,64.21
404271,,81.51,,,11.52,62.31
404272,19.47,83.42,,,9.54,57.55
404273,19.7,81.45,,,10.25,55.28
404274,24.9,55.74,,,28.31,63.97
404290,,83.88,,,10.82,67.09
404291,19.39,82.78,,,,
404292,,81.94,,,11.05,61.17
404293,18.87,83.15,,,11,65.26
404294,,84.58,,,10.04,65.08
404295,,84.48,,,10.27,66.2
404296,,76.05,,,18.82,78.56
404297,,85.34,,,11.29,77.02
404298,,67.08,,,27.03,82.1
404299,18.68,77.29,,0.79,16.57,72.94
404300,19.21,75.41,,0.85,16.43,66.83
404301,19.92,77.58,,,,
404302,10.12,84.64,,1.11,5.94,38.69
404303,18.17,85.95,,2.88,6.92,49.24
404304,16.03,79.73,,3.78,8.1,39.96
404306,,71.53,,1.68,3.31,11.61
404307,,55.83,,1.34,4.23,9.57
404308,18.82,76.57,,,,
404309,18.58,79.77,,,,
404310,18.94,79.72,,,,
404311,17.51,82.75,,,,
404312,19.29,76.3,,,,
404313,19.92,70.63,,,,
404314,18.86,74.52,,,,
404350,23.77,76.01,,,,
404351,19.36,79.81,,,,
404352,25.57,77.53,,,,
404353,25.71,77.81,,,,
404354,23.13,80.68,,,,
404355,27.41,71.37,,,,
404356,25.18,74.51,,,,
404357,25.31,79.63,,,,
404358,25.26,69.07,,,,
404359,24.41,75.63,,,,
404360,24.1,75.37,,,,
404361,24.58,72.26,,,,
404362,23.5,76.17,,,,
404363,24.01,70.05,,,,
404364,24.26,77.6,,,,
404365,24.77,76.46,,,,
404366,24.29,76.03,,,,
404367,22.77,79.83,,,,
404368,24.84,75.44,,,,
404369,24.59,74.26,,,,
404370,23.63,73.6,,,,
404371,23.37,73.7,,,,
404372,25.43,68.38,,,,
404373,21.81,82.01,,,,
404374,23.62,76.34,,,,
404375,25.5,72.38,,,,
404376,22.01,79.28,,,,
404377,24.97,78.06,,,,
404378,22.68,77.15,,,,
404379,23.61,70.57,,,,
404398,25.59,71.28,,,,
404399,21.59,74.74,,,,
404380,26.73,68.52,,,12.89,41.69
404381,21.62,83.86,,,8.9,55.72
404382,26.08,72.8,,,13.25,49.22
404383,23.17,73.91,,,,
404384,24.92,72.66,,,12.27,46.87
404385,24.81,75.79,,,11.1,48.33
