Site,CollectionDate,Month,Year,Month and Year,SampleID,Length,Gonad vial mass,Vial+Wet gonad,WetGonadicMass,somatic vial mass,vial+somatic mass,WetSomaticMass,wetTotalMass,WGSI,vial+dry gonadic mass,DryGonadicMass,vial+dry somatic mass,DrySomaticMass,DryShellMass,TOTALWET,DryTotalMass,DGSI,PelletMass,CalGram,CalMus,Unburned fuse,Fuse energy,Bomb,Gravid
Seward,5/14/14,May,2014,14-May,M81,34,,,0.369,,,0.929,1.298,28.396,,0.084,,0.160,1.369,2.667,0.244,34.426,0.238,4867.410,1187.650,,,,gravid
Seward,5/14/14,May,2014,14-May,M71,36,,,0.318,,,0.963,1.280,24.811,,0.065,,0.170,1.831,3.112,0.236,27.686,0.239,4748.160,1118.190,,,,gravid
Seward,5/14/14,May,2014,14-May,M82,33,,,0.336,,,0.761,1.097,30.647,,0.076,,0.140,1.614,2.711,0.216,35.032,0.214,4975.400,1073.690,,,,gravid
Seward,4/28/14,April,2014,14-Apr,M280,36,,,0.328,,,0.723,1.051,31.224,,0.080,,0.139,2.485,3.536,0.219,36.633,0.213,4717.400,1034.050,2.4,17.48,1,
Seward,5/14/14,May,2014,14-May,M69,34,,,0.465,,,0.881,1.345,34.528,,0.075,,0.153,2.006,3.351,0.228,32.719,0.229,4411.780,1004.560,,,,very gravid
Seward,4/28/14,April,2014,14-Apr,M285,31,,,0.326,,,0.672,0.998,32.655,,0.075,,0.141,1.441,2.439,0.217,34.781,0.170,4627.730,1001.900,3.3,15.41,,
Seward,1/24/15,January,2015,15-Jan,M108,41,,,0.319,,,1.413,1.731,18.404,,0.041,,0.183,3.621,5.352,0.223,18.190,0.220,4482.660,1000.530,,,,little gravid
Seward,5/14/14,May,2014,14-May,M72,32,,,0.441,,,0.780,1.221,36.128,,0.083,,0.134,1.501,2.722,0.218,38.264,0.213,4479.350,975.150,,,,gravid
Seward,4/28/14,April,2014,14-Apr,M76,32,,,0.360,,,0.740,1.099,32.721,,0.053,,0.130,1.642,2.741,0.183,28.821,0.183,4849.890,888.500,,,,gravid
Seward,5/14/14,May,2014,14-May,M79,35,,,0.330,,,0.898,1.228,26.890,,0.052,,0.148,2.057,3.284,0.200,26.061,0.202,4423.770,886.080,,,,gravid
Seward,5/1/15,May,2015,15-May,M199,33,,,0.291,,,0.744,1.035,28.123,,0.053,,0.115,1.246,2.281,0.167,31.560,,5154.730,862.390,,,,
Seward,6/17/14,June,2014,14-Jun,M95,33,,,0.254,,,0.856,1.110,22.876,,0.045,,0.133,1.177,2.287,0.178,25.238,0.180,4754.170,847.670,,,,gravid
Seward,5/1/15,May,2015,15-May,M202,33,,,0.329,,,0.693,1.022,32.188,,0.059,,0.113,1.383,2.404,0.173,34.415,,4909.480,847.380,,,,
Seward,5/14/14,May,2014,14-May,M68,32,,,0.296,,,0.714,1.010,29.316,,0.061,,0.120,1.182,2.192,0.181,33.813,0.180,4667.750,843.460,,,,very gravid
Seward,2/1/15,February,2015,15-Feb,M164,41,,,0.270,,,1.307,1.576,17.121,,0.035,,0.167,2.773,4.349,0.202,17.096,0.199,4142.810,836.020,,,,more gravid than other 5 done so far
Seward,4/28/14,April,2014,14-Apr,M73,33,,,0.198,,,0.833,1.030,19.198,,0.031,,0.139,1.836,2.867,0.170,18.310,0.173,4874.770,830.660,,,,Little gravid or developing
Seward,4/28/14,April,2014,14-Apr,M77,33,,,0.429,,,0.690,1.119,38.319,,0.059,,0.115,1.460,2.580,0.174,33.945,0.175,4719.790,823.130,,,,gravid
Seward,5/1/15,May,2015,15-May,M196,35,,,0.422,,,0.737,1.159,36.419,,0.064,,0.111,1.577,2.737,0.175,36.327,,4638.830,810.870,,,,
Seward,5/1/15,May,2015,15-May,M201,32,,,0.393,,,0.516,0.909,43.253,,0.071,,0.089,1.278,2.187,0.160,44.556,,5069.720,810.140,,,,
Seward,5/14/14,May,2014,14-May,M70,33,,,0.242,,,0.797,1.039,23.295,,0.047,,0.132,2.322,3.362,0.179,26.254,0.182,4484.120,804.450,,,,gravid
Seward,4/28/14,April,2014,14-Apr,M281,30,,,0.240,,,0.441,0.682,35.260,,0.062,,0.106,1.767,2.449,0.169,36.989,0.165,4749.870,801.300,3.4,15.18,2,
Seward,4/28/14,April,2014,14-Apr,M282,38,,,0.215,,,0.660,0.875,24.560,,0.048,,0.121,1.916,2.791,0.169,28.284,0.162,4697.040,793.800,1.9,18.63,1,
Seward,7/14/15,July,2015,15-Jul,M261,34,,,0.365,,,0.788,1.153,31.662,,0.055,,0.123,1.412,2.565,0.178,30.687,0.153,4378.580,777.640,3.6,14.72,1,
Seward,8/13/14,August,2014,14-Aug,M98,36,,,0.277,,,0.986,1.264,21.955,,0.032,,0.126,2.181,3.444,0.158,20.253,0.158,4880.340,771.090,,,,develpoing or little gravid or spawned out
Seward,4/28/14,April,2014,14-Apr,M65,30,,,0.254,,,0.785,1.039,24.480,,0.039,,0.135,1.996,3.035,0.174,22.350,0.175,4433.210,769.610,,,,gravid
Seward,7/14/15,July,2015,15-Jul,M263,34,,,0.305,,,0.618,0.922,33.033,,0.053,,0.116,2.101,3.023,0.169,31.442,0.153,4542.440,768.580,2.5,17.25,1,
Seward,5/1/15,May,2015,15-May,M195,31,,,0.253,,,0.561,0.814,31.084,,0.048,,0.099,,,0.147,32.652,,5195.040,762.110,,,,very
Seward,6/17/14,June,2014,14-Jun,M87,35,,,0.266,,,0.756,1.022,26.047,,0.044,,0.125,1.523,2.545,0.169,26.110,0.170,4505.420,760.960,,,,gravid
Seward,5/1/15,May,2015,15-May,M197,33,,,0.359,,,0.514,0.874,41.145,,0.062,,0.091,,,0.153,40.366,,4886.650,748.150,,,,
Seward,4/28/14,April,2014,14-Apr,M64,33,,,0.233,,,0.663,0.896,26.010,,0.038,,0.117,1.780,2.676,0.155,24.386,0.157,4807.410,743.230,,,,very gravid
Seward,5/1/15,May,2015,15-May,M200,32,,,0.306,,,0.569,0.875,34.922,,0.054,,0.096,1.379,2.254,0.149,35.906,,4986.930,743.050,,,,
Seward,4/28/14,April,2014,14-Apr,M67,31,,,0.143,,,0.706,0.849,16.847,,0.021,,0.130,1.483,2.332,0.151,13.718,0.153,4918.380,742.180,,,,Little gravid or developing
Seward,5/14/14,May,2014,14-May,M80,34,,,0.270,,,0.761,1.030,26.172,,0.043,,0.130,1.313,2.343,0.172,24.797,0.172,4293.520,739.340,,,,Little gravid or developing
Seward,4/28/14,April,2014,14-Apr,M287,36,,,0.319,,,0.480,0.799,39.927,,0.063,,0.106,2.019,2.818,0.169,37.470,0.151,4365.540,738.650,3.1,15.87,1,
Seward,4/28/14,April,2014,14-Apr,M66,33,,,0.238,,,0.713,0.951,25.037,,0.038,,0.118,1.455,2.406,0.156,24.118,0.156,4676.900,729.130,,,,gravid
Seward,1/24/15,January,2015,15-Jan,M109,43,,,0.155,,,1.248,1.403,11.068,,0.027,,0.142,2.498,3.901,0.169,15.967,0.137,4280.190,723.780,,,,beginning to show color
Seward,4/28/14,April,2014,14-Apr,M283,33,,,0.267,,,0.409,0.676,39.461,,0.064,,0.082,1.750,2.426,0.145,43.871,0.133,4799.580,696.900,3.2,15.64,2,
Seward,4/28/14,April,2014,14-Apr,M279,36,,,0.156,,,0.540,0.697,22.423,,0.043,,0.102,2.547,3.244,0.145,29.668,0.131,4785.870,692.040,,,1,
Seward,1/24/15,January,2015,15-Jan,M110,40,,,0.152,,,1.116,1.267,11.977,,0.029,,0.131,2.749,4.016,0.160,18.102,0.115,4315.740,691.380,,,,beginning to show color
Seward,7/14/15,July,2015,15-Jul,M262,37,,,0.151,,,0.653,0.804,18.811,,0.033,,0.111,2.278,3.082,0.144,22.901,0.136,4638.100,668.350,6.3,8.51,1,
Seward,8/13/14,August,2014,14-Aug,M101,38,,,0.254,,,1.013,1.267,20.073,,0.023,,0.114,1.732,3.000,0.137,16.679,0.135,4884.020,667.650,,,,spawned out
Seward,5/1/15,May,2015,15-May,M198,31,,,0.283,,,0.453,0.736,38.445,,0.049,,0.085,0.907,1.643,0.134,36.554,,4869.520,650.080,,,,
Seward,4/28/14,April,2014,14-Apr,M75,29,,,0.182,,,0.505,0.687,26.474,,0.033,,0.096,1.803,2.490,0.130,25.714,0.131,4996.350,647.030,,,,Little gravid or developing
Seward,4/28/14,April,2014,14-Apr,M63,31,,,0.310,,,0.582,0.892,34.747,,0.044,,0.094,1.785,2.676,0.138,31.815,0.135,4621.700,639.180,,,,very gravid
Seward,6/17/14,June,2014,14-Jun,M93,33,,,0.199,,,0.645,0.845,23.597,,0.033,,0.103,0.987,1.832,0.136,24.263,0.134,4645.900,629.980,,,,gravid
Seward,4/28/14,April,2014,14-Apr,M74,30,,,0.173,,,0.642,0.816,21.251,,0.025,,0.107,1.180,1.995,0.132,19.048,0.127,4760.160,629.770,,,,Little gravid or developing
Seward,5/14/14,May,2014,14-May,M78,32,,,0.325,,,0.627,0.952,34.156,,0.043,,0.101,1.447,2.399,0.143,29.847,0.143,4332.350,621.260,,,,very gravid
