Site,CollectionDate,Month,Year,Month and Year,SampleID,Length,Gonad vial mass,Vial+Wet gonad,WetGonadicMass,somatic vial mass,vial+somatic mass,WetSomaticMass,wetTotalMass,WGSI,vial+dry gonadic mass,DryGonadicMass,vial+dry somatic mass,DrySomaticMass,DryShellMass,TOTALWET,DryTotalMass,DGSI,PelletMass,CalGram,CalMus,Unburned fuse,Fuse energy,Bomb,Gravid
Agnes,7/14/15,July,2015,15-Jul,M295,34,0.6081,0.7222,0.114,0.620,0.869,0.249,0.363,31.467,0.642,0.034,0.686,0.066,1.730,2.092,0.100,34.166,0.097,3746.680,375.040,3.8,14.26,1,
Agnes,9/1/14,September,2014,14-Sep,M155,27,,,0.046,,,0.315,0.360,12.708,,0.009,,0.068,0.864,1.225,0.077,11.818,0.077,4866.110,374.690,,,,
Agnes,4/28/14,April,2014,14-Apr,M345,34,1.1998,1.2279,0.028,1.200,1.586,0.386,0.414,6.787,1.210,0.011,1.299,0.100,1.481,1.895,0.110,9.537,0.086,3370.580,371.100,3.3,15.41,2,
Agnes,8/13/15,August,2015,15-Aug,M328,33,1.2012,1.275,0.074,1.207,1.526,0.319,0.393,18.779,,0.012,,0.058,1.870,2.263,0.070,17.622,0.051,5286.400,368.720,4.9,11.73,2,
Agnes,4/1/14,April,2014,14-Apr,M148,32,,,0.072,,,0.338,0.410,17.663,,0.014,,0.063,0.941,1.351,0.078,18.509,0.075,4725.100,367.610,,,,
Agnes,4/28/15,April,2015,15-Apr,M357,26,1.2094,1.3544,0.145,1.207,1.507,0.300,0.445,32.584,1.241,0.031,1.255,0.048,0.859,1.304,0.080,39.322,0.072,4572.900,364.000,3.6,14.72,2,
Agnes,8/13/15,August,2015,15-Aug,M324,37,1.2106,1.3129,0.102,1.199,1.601,0.402,0.504,20.282,,0.017,,0.067,2.161,2.665,0.084,20.534,0.066,4295.640,360.260,3.1,15.87,1,
Agnes,8/13/15,August,2015,15-Aug,M331,29,1.2111,1.2962,0.085,1.203,1.484,0.281,0.366,23.239,,0.014,,0.053,1.264,1.631,0.068,21.111,0.051,5321.180,359.080,2.9,16.33,2,
Agnes,5/15/14,May,2014,14-May,M61,28,,,0.114,,,0.428,0.542,21.053,,0.016,,0.065,0.755,1.297,0.081,19.851,0.077,4312.940,347.620,,,,
Agnes,7/14/15,July,2015,15-Jul,M300,29,0.62,0.7395,0.120,0.610,0.896,0.286,0.405,29.477,0.648,0.028,0.665,0.055,0.996,1.402,0.083,33.857,0.077,4078.160,337.260,3.9,14.03,2,
Agnes,5/15/15,May,2015,15-May,M314,36,1.2028,1.3463,0.144,1.202,1.562,0.360,0.503,28.506,1.223,0.021,1.256,0.054,1.073,1.577,0.075,27.645,0.103,4509.190,336.510,4.5,12.65,2,
Agnes,7/14/15,July,2015,15-Jul,M252,33,,,0.061,,,0.576,0.637,9.639,,0.006,,0.073,2.089,2.726,0.078,7.051,0.062,4235.350,330.360,3.4,15.18,2,
Agnes,5/15/14,May,2014,14-May,M62,26,,,0.148,,,0.405,0.553,26.700,,0.020,,0.057,0.966,1.519,0.077,25.840,0.074,4255.170,329.350,,,,Starting with M63 started taking the mantle regardless of appearance of gonads
Agnes,5/15/15,May,2015,15-May,M313,36,1.2015,1.3257,0.124,1.202,1.579,0.377,0.501,24.800,1.219,0.018,1.259,0.057,1.348,1.849,0.074,24.014,0.096,4410.800,327.980,3,16.1,1,
Agnes,7/14/15,July,2015,15-Jul,M296,29,0.6116,0.7232,0.112,0.612,0.899,0.287,0.398,28.033,0.634,0.022,0.665,0.053,0.695,1.093,0.075,29.827,0.070,4288.760,322.090,3.2,15.64,2,
