"","Species","a","b","x.1a","x.1b","x.1c","x.2a","x.2b","x.2c","x.3a","x.3b","x.3c","x.4"
"1","apc",0.588153838661545,0.761094632171331,4.14292662701778,7.0213327557041,10.3517336570528,13.3864764027092,16.201453606365,18.8698270238756,21.4387378577326,23.9002186450669,26.2844205894096,29.3139023793177
"2","cam",0.000985765507005532,0.496391966602448,0.0035214874825312,0.0049676961072191,0.00639901403698564,0.00756718164162771,0.00857026357107476,0.00946628192933949,0.010288028665584,0.0110437893832708,0.0117503835579777,0.0126168385049753
"3","cao",6.22704762405126e-05,1.34287225044122,0.00195058914734464,0.00494778285437883,0.00981468513118579,0.0154481613821704,0.0216333374315015,0.0283107336889454,0.035461236426129,0.0429574065508071,0.0508044190144874,0.0615871560329199
"4","cap",0.00383571822658439,1.59573389073488,0.22982848584752,0.694652530424194,1.56763840374433,2.68745576231452,4.00983200788014,5.52016819697566,7.213918479125,9.06019920611774,11.0591386101661,13.9011148550016
"5","cef",0.00282464738835265,2.87220788003033,4.47137521612384,32.7387309568933,141.676452022644,373.811666131135,768.162794399475,1365.6218767794,2210.63113166887,3331.5704035298,4769.72407184345,7199.08346725566
"6","chr",0.00340285808721324,0.216413972301329,0.00592811668550899,0.00688753534567856,0.00769135193510156,0.00827467195961158,0.00873613922440006,0.00912319996236411,0.00946038570515604,0.00975732376215751,0.0100247420591668,0.0103405621391548
"7","cln",0.000289610033864009,0.783298958103285,0.00215955501205934,0.00371672777899529,0.00554208099573127,0.00722076894257207,0.00878798557391816,0.0102809917692899,0.0117242067923866,0.0131118275833407,0.0144598756091448,0.0161778915822648
"8","cum",0.175359782337973,1.9875227432195,28.7023691089286,113.820819426655,313.680058835334,613.844086936734,1010.44121621003,1504.60378051883,2099.78799411907,2788.94845865326,3575.05122541219,4753.3298941814
"9","eul",0.0038699334566831,2.78462594084071,4.89349391788515,33.7190234040532,139.543671518296,357.451384874014,718.58675924603,1255.2693589789,2002.36876768117,2980.19714076552,4220.23962878492,6290.27197479333
"10","evt",0.0023758135021208,3.45809391739989,16.9018046210808,185.747541410704,1083.78013509181,3485.34932371265,8295.7027647263,16584.4650650395,29618.1521108944,48531.866524919,74758.5857018124,122719.674377451
"11","hak",4.5581545169888e-08,1.69684630935277,3.53980802454002e-06,1.14757570828668e-05,2.72682640298325e-05,4.83711254897177e-05,7.40257449868399e-05,0.000103993340169907,0.000138225626575591,0.000176127032867273,0.000217718770025922,0.00027766303326206
"12","kat",0.000256168316846503,3.58845465940884,2.54601306341174,30.6262002769499,190.980062657551,641.825816323614,1578.41466697148,3238.99707228123,5912.36656077976,9869.95760142811,15453.3508269322,25845.8154674331
"13","lid",0.00122527532528871,2.18808911693005,0.335460209445328,1.52869720374427,4.66675545431988,9.77258499061127,16.9162967904559,26.2219705331139,37.8465308978026,51.7285292546077,67.9914841717573,93.0367858718797
"14","mac",9.05402722883224e-05,1.38122188490019,0.00312928222318977,0.00815143277027483,0.0164890142399364,0.0262918436665857,0.0371744258595304,0.0490239412158918,0.06180221139925,0.0752777479271257,0.089456289643771,0.1090402050722
"15","man",4.73207001124432e-05,1.70047524762307,0.00370923423281116,0.0120553081409861,0.0286984421381538,0.0509705585137937,0.0780748573580187,0.109761403512805,0.145981220613297,0.186105628046547,0.230158100284984,0.293679980937492
"16","map",115.597574925598,6.01854291319234,585146473.503679,37933816504.6998,816998679170.785,6239451063358.06,28222877153870.9,94233272841291.6,258547811869924,610671293632537,1295298908812594,3069030979289402
"17","mtr",0.000588018971950139,0.818766886178139,0.00480232191013017,0.00847080453792431,0.0128615537672678,0.0169592714096637,0.020824555715398,0.0245361868448179,0.0281474265077056,0.0316386653289915,0.0350464433060047,0.0394102379091377
"18","nul",0.00528672989519539,1.00264155975395,0.0691947305720396,0.138643082940023,0.231205360670852,0.324404009256867,0.417138049451071,0.509926891106839,0.603297211645647,0.696168842718573,0.789073223709874,0.911019992763221
"19","pas",4.34174658595929e-05,0.636896481205337,0.000222398100083008,0.00034582470710117,0.000478561607155735,0.000593432154118958,0.000696198151792,0.00079093678794175,0.000880091027287318,0.000963890176136985,0.00104372280187974,0.00114348254870501
"20","pio",0.0116722117455202,2.57275120441149,8.57140979053616,50.9949937264841,189.421540317227,451.704076692076,861.076675554082,1441.6731204659,2219.437316959,3204.81867893986,4419.76711089242,6390.62459270667
"21","pom",9.0467983766029e-06,0.677851592530136,5.14734392182608e-05,8.23449269738325e-05,0.000116356550615858,0.000146295916988684,0.000173402059413691,0.000198621467304163,0.000222533196205982,0.000245151626678251,0.000266817675501692,0.000294041253066355
"22","prs",0.00024909280734327,1.00229774735152,0.00325734755690375,0.00652507918656034,0.0108795095908267,0.0152632562478334,0.0196247144089261,0.0239884144400785,0.0283791841469324,0.0327462706770646,0.0371146967328602,0.0428484500388443
"23","pup",0.00139696860662899,2.41681964264478,0.687680676732219,3.6721636537241,12.597452787795,28.4991627636093,52.2441957566248,84.7807479024725,127.150090040847,179.558704703182,242.851971988234,343.383491068764
"24","sag",0.00302740368049609,1.21085309755468,0.0675915013605562,0.156457071098175,0.290146123794868,0.436767067321306,0.591723673995469,0.754155849018965,0.92395062646741,1.09836121992447,1.27774840268628,1.51990456698772
"25","std",0.00116186193905513,4.02665668523749,35.5321896629963,579.117136358066,4515.7454522922,17597.1845627984,48302.5330230042,108213.684455102,212592.372789783,377814.530725996,624831.060940117,1112773.01511915
"26","tec",0.00577296559121437,2.01429719559968,1.01207323451996,4.08861121563544,11.422783596978,22.55646030819,37.3800450953054,55.9603276390954,78.4483039594673,104.594569119679,134.525210852302,179.550234317734
"27","tes",0.000129133859049465,2.82987052479239,0.183381528674735,1.30386161618861,5.52190577706474,14.3626059939293,29.2026911936919,51.4774226927162,82.7406901079823,123.944172840646,176.511568758308,264.802322217131
"28","stf",0.00480869982427683,2.38284409897081,2.16960669022176,11.3158859110257,38.1525170069076,85.3273617127942,155.093689143787,249.975535471173,372.771295189793,523.871907759863,705.532117142719,992.749593975522
"29","Abalone",4.5581545169888e-08,1.69684630935277,3.53980802454002e-06,1.14757570828668e-05,2.72682640298325e-05,4.83711254897177e-05,7.40257449868399e-05,0.000103993340169907,0.000138225626575591,0.000176127032867273,0.000217718770025922,0.00027766303326206
"30","Carn Snail",0.00424093127655326,1.63506894590066,0.281083542105939,0.873052208749575,2.01016531258623,3.49218858422016,5.26218803079546,7.30154183257725,9.60502079249743,12.1312167840418,14.8806607125428,18.8104420468502
"31","Clam",0.000103091833065168,0.298628454125206,0.000221758075062603,0.000272756786647011,0.000317633362802336,0.000351346105588841,0.000378667077723717,0.000402010795172882,0.000422656087875112,0.000441070383507836,0.000457837431366131,0.000477859005839593
"32","Crab",0.000696601570719235,1.24778219828942,0.0170979142355232,0.0406034563288022,0.0767299498182322,0.116954127750401,0.159921337043206,0.205334223195405,0.25312706531561,0.302499967678475,0.353532414375369,0.422764885187743
"33","Cucumber",0.588153838661545,0.761094632171331,4.14292662701778,7.0213327557041,10.3517336570528,13.3864764027092,16.201453606365,18.8698270238756,21.4387378577326,23.9002186450669,26.2844205894096,29.3139023793177
"34","Herb Snail",6.62357504208532e-05,2.6973861070707,0.066961902410026,0.434332083957874,1.7192228593704,4.27603117298163,8.41011928374562,14.4367739315489,22.6946518583906,33.359066621493,46.7274872525073,68.7819357434188
