SIN,ID,Date.Collected,Size.mm,Species,Frozen.Weight,Live.Weight,Date.Dissected,Dissected.Weight,Notes,SEX,Site.location,Season,site.number,Dried,Ash,Bomb,SI,SPV,Tissue,PreyCat
403953,18-288,8/8/18,56.5,cln,46.08,NA,8/9/18,19.41,S. Wadleigh,NA,Craig,Summer,2,FM135AIPan,y,l,cn,y,whole,Clam
403954,18-289,8/8/18,46.5,cln,27.61,NA,8/9/18,12.28,S. Wadleigh,NA,Craig,Summer,2,FM135AIPan,y,l,cn,y,whole,Clam
403955,18-136,5/3/18,27,nul,2.88,NA,5/26/18,0.68,Wadleigh,NA,Craig,Spring,2,FM135<0.5g,NA,s,ptn,NA,whole,Carn Snail
403956,18-137,5/3/18,29,nul,4.02,NA,5/26/18,0.94,Wadleigh,NA,Craig,Spring,2,FM135<0.5g,NA,s,ptn,NA,whole,Carn Snail
403957,18-138,5/3/18,30,nul,3.47,NA,5/26/18,0.77,Wadleigh,NA,Craig,Spring,2,FM135<0.5g,NA,s,ptn,NA,whole,Carn Snail
403958,18-139,5/3/18,25,nul,2.51,NA,5/26/18,0.54,Wadleigh,NA,Craig,Spring,2,FM135<0.5g,NA,s,ptn,NA,whole,Carn Snail
403959,18-140,5/3/18,27,nul,2.87,NA,5/26/18,0.75,Wadleigh,NA,Craig,Spring,2,FM135<0.5g,NA,s,ptn,NA,whole,Carn Snail
403960,18-464,5/7/18,55,tec,44.08,NA,NA,12.18,Nossuk,m,Nossuk,Spring,4,FM135,NA,l,cn,NA,whole,Crab
403961,18-465,5/7/18,52,tec,41.61,NA,NA,16.4,Nossuk,m,Nossuk,Spring,4,FM135,NA,l,cn,NA,whole,Crab
403962,18-466,5/7/18,57,tec,40.98,NA,NA,16.29,Nossuk,m,Nossuk,Spring,4,FM135,NA,l,cn,NA,whole,Crab
403963,18-467,5/7/18,59,tec,50.67,NA,NA,14.1,Nossuk,m,Nossuk,Spring,4,FM135,NA,l,cn,NA,whole,Crab
403964,18-468,5/7/18,66,tec,84.92,NA,NA,37.95,Nossuk,m,Nossuk,Spring,4,FM135,NA,l,cn,NA,whole,Crab
403965,18-271,5/13/18,29.5,cao,7.01,NA,8/8/18,2.13,San Alberto,f/gravid,Craig,Spring,5,FM135,NA,s,cn,NA,whole,Crab
403966,18-272,5/13/18,29,cao,7.61,NA,8/8/18,1.26,San Alberto,f/gravid,Craig,Spring,5,FM135<0.5g,NA,s,ptn,NA,whole,Crab
403967,18-043,5/13/18,64,cef,23.67,NA,5/20/18,3.49,NA,NA,Craig,Spring,5,FM135,p,l,cn,y,whole,Carn Snail
403968,18-044,5/13/18,67,cef,29.21,NA,5/20/18,5.77,NA,NA,Craig,Spring,5,FM135,p,l,cn,y,whole,Carn Snail
403969,18-045,5/13/18,69,cef,29.23,NA,5/20/18,5.72,NA,NA,Craig,Spring,5,FM135,p,l,cn,y,whole,Carn Snail
403970,18-046,5/13/18,53,cef,11.37,NA,5/20/18,1.54,NA,NA,Craig,Spring,5,FM135,NA,l,cn,y,whole,Carn Snail
403971,18-047,5/13/18,45,cef,8.03,NA,5/20/18,1.27,NA,NA,Craig,Spring,5,FM135,NA,s,cn,y,whole,Carn Snail
403972,18-061,5/13/18,24,tes,5.44,NA,5/20/18,1,listed as tef on bag,NA,Craig,Spring,5,FM135<0.5g,NA,s,ptn,y,whole,Herb Snail
403973,18-062,5/13/18,26,tes,7.53,NA,5/20/18,2.68,listed as tef on bag,NA,Craig,Spring,5,FM135,p,l,cn,y,whole,Herb Snail
403974,18-063,5/13/18,23,tes,6.65,NA,5/20/18,0.36,listed as tef on bag,NA,Craig,Spring,5,FM135<0.5g,NA,s,ptn,y,whole,Herb Snail
403975,18-064,5/13/18,24,tes,4.57,NA,5/20/18,1.35,listed as tef on bag,NA,Craig,Spring,5,FM135,NA,s,cn,y,whole,Herb Snail
403976,18-065,5/13/18,21,tes,3.98,NA,5/20/18,0.39,listed as tef on bag,NA,Craig,Spring,5,FM135<0.5g,NA,s,ptn,NA,whole,Herb Snail
403977,18-180,5/15/18,143,cap,310.54,355.97,9/10/18,149.95,"RRC1, dissected weight when frozen. ",m,Soda Bay,Spring,6,FM135,y,l,cn,y,whole,Crab
403978,18-181,5/15/18,160,cap,487.46,550.01,9/10/18,170.4,RRC2 ,m,Soda Bay,Spring,6,FM135AlPan,y,l,cn,y,whole,Crab
403979,18-182,5/15/18,138,cap,295.31,372.8,9/10/18,113.94,"RRC3, dissected weight after homoginized",m,Soda Bay,Spring,6,FM135,NA,l,cn,y,whole,Crab
403980,18-257,5/15/18,135,cap,391.19,NA,8/8/18,155.82,"North Pass, RRC4",m,Soda Bay,Spring,6,FM135,NA,l,cn,y,whole,Crab
403981,18-275,5/15/18,121.5,cap,225.62,NA,8/8/18,90.43,RRC5 North Pass,m,Soda Bay,Spring,6,FM135,p,l,cn,y,whole,Crab
403982,18-245,5/15/18,43,cam,13.21,NA,8/8/18,1.97,Soda Bay,m,Soda Bay,Spring,6,FM135<0.5g,NA,s,ptn,y,whole,Crab
403983,18-246,5/15/18,43.5,cam,13.31,NA,8/8/18,1.23,Soda Bay,f,Soda Bay,Spring,6,FM135<0.5g,NA,NA,ptn,y,whole,Crab
403984,18-247,5/15/18,47,cam,21.59,NA,8/8/18,5.14,Soda Bay,m,Soda Bay,Spring,6,FM135,p,l,cn,y,whole,Crab
