"","Species","Season","n","mean.moist","sd.moist","mean.kcald","sd.kcald","mean.kcalw","sd.kcalw","mean.lipid","sd.lipid","mean.protein","sd.protein"
"49","sag","Winter",10,84.07,3.26763931098074,4.4921128099995,0.245573790080025,0.722110587840306,0.181293993799872,6.77753384012776,1.0899523365239,63.748,3.7406885878286
"50","std","Spring",6,75.095,1.61287011256331,4.711599744318,0.776883846803374,1.17152358171467,0.28004840892272,28.7864240101485,18.3036257753052,31.226,6.69163134071207
"51","std","Summer",9,88.6744444444444,2.7370153046298,4.251115359432,0.678536400828103,0.496059751355855,0.174981658043188,24.3954856918331,31.7882132736769,35.4,4.68308125062976
"52","std","Winter",3,83.44,3.27903949351026,3.530911407984,0.996543103362734,0.586089706727263,0.203608688605353,15.4576772612949,7.18811774791294,42.63,5.75953991218049
"53","stf","Spring",2,84.81,1.15965512114594,5.0203154867805,0.0895713656715602,0.762066562977413,0.0446124551946226,20.0349946558279,3.15881642503565,39.61,2.39002092041053
"54","stf","Summer",7,92.3542857142857,1.33950061767881,3.59908494890014,0.752831936973287,0.276730401486024,0.0828105920995056,73.3070704932279,96.1996785493329,35.4716666666667,18.0473969498836
"55","stf","Winter",4,74.9875,14.545763128829,2.6780592730005,1.46525234032533,0.365318475085829,0.194563709462805,25.3807264846145,40.0834019696071,17.6475,9.80758337546343
"56","tec","Spring",5,81.072,3.62226724580062,4.717973230614,0.282426516082131,0.892374904257067,0.177838788819192,NA,NA,74.004,5.02879508431195
"57","tec","Summer",2,83.02,0.339411254969546,4.8028202669295,0.0388705926499224,0.815584846907793,0.0229015391738739,NA,NA,61.01,6.88722004875697
"58","tec","Winter",1,89.29,NA,4.029636710646,NA,0.431574091710187,NA,NA,NA,64.09,NA
"59","tes","Spring",5,75.99,2.65012263867165,4.6978967487816,0.357721411040966,1.12290989466051,0.0959156016991494,7.11138241095898,4.17056869956303,78.924,2.52505049454461
"60","tes","Summer",3,75.0033333333333,1.0545773244923,4.704429572235,0.0706719121419694,1.17620960784522,0.0602923082636193,5.43841291813183,0.556347737837877,74.6366666666667,2.48534370527164
"61","tes","Winter",1,75.65,NA,4.770554492556,NA,1.16163001893739,NA,6.40657084188912,NA,74.45,NA
