Sample,C12:0,i-C13:0,C13:0,C13:1w,i-C14:0,C14:0,C14:1w,C14:1w5,i-C15:0,a-C15:0,C15:0,C15:1w,i-C16:0,C16:0,C16:1w9,C16:1w7,C16:1w5,i-C17:0,C16:2w6,C16:2w3,a-C17:0,C17:0,C16:3w3,C17:1w9,C16:4w,i-C18:0,C17:3w,C16:2w,C16:4w3,C18:0,C18:1w,C18:1w9,C18:1w7,C18:2w6,i-C19:0,C18:3w6,C19:0,C18:3w3,C18:4w3,C18:4w2,C20:0,C20:1w9,C20:1w7,C20:2w,C20:2w3,C20:2w6,C20:3w6,C21:0,C20:4w6,C20:3w3,C20:4w3,C20:5w3,C20:6w3,C22:0,C22:1w,C22:1w9,C22:2w6,C22:2w3,C22:2w6,C22:4w3,C23:0,C22:4w6,C22:3w3,C22:5w3,C22:6w3
B_232_POM_3172019_3.qgd,185452,18116,83632,0,48848,12569599,9844,9614,286909,65001,836953,10184,80040,18082901,0,3686609,129510,130621,1070758,319203,61465,250192,428844,15416,97473,67188,1546301,26032,1546301,2499572,9378,594915,346819,1019802,0,300552,11015489,716004,2035325,32749,803926,167875,100519,0,0,115569,71229,25633,213546,62441,371688,6228029,0,209371,14053,88158,37315,0,37315,85870,10975,0,54168,309794,5850158
B_171_Limpet_3152019_10.qgd,27921,7871,9251,0,26973,4587167,1488,3437,468150,30284,298923,2495,179484,16926043,0,2103951,67505,176221,235195,7242,104106,260456,0,15681,0,0,0,24426,0,7693070,169154,789731,4016447,844343,10045,128179,10432185,217810,502390,157620,391156,1828119,1697922,106921,417999,186272,135010,15652,2459858,192147,424752,13105123,0,156348,121637,10928,452477,0,518749,210773,4324,91627,41782,1407373,583924
B_172_Limpet_3152019_11.qgd,16541,6326,6635,0,17745,2879134,1348,2267,347988,23229,219464,1735,130142,11999924,0,1268342,41819,147705,147495,5423,84786,217571,0,10119,0,0,0,12360,0,6139721,124661,481938,2930752,549277,8760,71628,9820477,131270,309697,88601,241037,1448796,1211384,77859,348822,133511,78452,12811,2006907,154905,259509,10231862,0,96463,81970,7008,399900,0,391366,130976,4661,64808,40504,964456,438459
B_179_Idotea_3152019_12.qgd,10474,0,1447,0,2908,97757,615,105,15230,7002,117474,318,33374,4332730,0,242124,5045,60458,7722,1210,47751,87322,0,15910,0,9661,0,6285,0,2418585,17232,619287,485645,171712,22152,14117,9907467,141866,35665,0,79521,92319,15651,52,0,78880,14491,23185,484842,69401,42175,4362445,0,230061,561,26675,0,0,0,39450,4814,0,27768,56052,763437
B_180_Idotea_3152019_13.qgd,77278,7616,7639,0,18949,737728,790,1019,78907,33163,170894,1246,52824,5218034,0,516953,15264,78302,54777,5629,95018,100163,0,21535,0,11688,0,9667,0,2522393,25116,654457,570421,244246,29136,34300,9347929,220982,125108,0,103900,104251,30464,129,0,95898,29843,22711,490409,85206,96516,4962650,0,259627,65,43545,128394,0,128394,56357,5239,0,91653,102859,1050545
B_182_ButterC_3152019_14.qgd,2975,374,1558,0,2640,527865,366,177,35415,4994,233965,421,251088,11675021,0,494746,36362,1062996,10334,2970,298135,404394,0,6217,0,28738,0,4100,0,4101092,52863,237514,428226,330278,23694,11278,11048410,88298,292394,0,42381,620132,1252893,31394,0,302992,63174,12293,540476,36126,261842,4325430,0,10912,18379,37739,6576,0,6576,305757,2885,133346,76741,746799,4833097
B_183_BMacoma_3152019_15.qgd,2211,890,2508,0,2594,301447,530,947,20275,9280,671953,833,107486,4604283,0,196765,14788,512733,1371,1405,192652,608952,0,148849,0,17921,0,20480,0,2873092,15529,393396,41674,95112,47502,17715,10287992,68569,91015,0,21170,1165674,532258,11881,0,33213,21223,10681,747309,9569,33006,1307588,0,11092,3800,44260,0,0,0,77635,1593,120033,52333,401134,983002
B_184_PMacoma_3152019_16.qgd,2425,0,2566,0,2479,480121,702,280,15523,7955,532482,731,156930,5946893,0,359228,19469,640607,3589,2134,226875,601554,0,93770,0,20917,0,6357,0,4204073,22061,510468,51740,94124,57812,17784,11301679,48603,103287,0,49698,1500615,669204,15856,0,62682,40408,12941,747674,6007,72144,2290206,0,10961,3124,34835,84,0,84,151409,2447,129305,71726,572636,1712670
B_185_HelmetC_3152019_18.qgd,9738,0,1285,0,1729,327354,3606,509,22700,8892,335437,2406,46043,8577819,0,330594,6137,228590,11690,1417,257188,647765,0,95356,0,34081,0,27881,0,3359294,104959,823293,790857,383226,45350,29662,11652519,135421,91121,0,136745,208711,138779,4878,0,207618,30776,22914,709144,59437,100850,8957224,0,66580,2279,44194,0,4321,0,169630,4805,46434,30510,438621,3484160
B_186_HelmetC_3152019_19.qgd,9217,0,1046,0,1013,338765,621,65,12176,3124,256731,310,28641,8418345,0,276420,7552,155666,10770,1603,106692,431544,0,51222,0,24641,0,16236,0,3255356,82433,756155,816164,323200,21317,22490,10426676,82229,72374,0,111413,164601,144498,5149,0,189430,20350,18978,574960,52165,75767,8735728,0,64178,1405,40170,0,2270,0,168331,3874,20881,41125,331154,3322284
B_198_HelmetC_3152019_25.qgd,9556,0,433,0,839,359535,1049,177,11614,2622,130815,404,21962,10091267,0,193605,8154,112066,6396,877,43594,289861,0,12435,0,38886,0,8760,0,3738750,74075,886377,707222,629901,10676,43430,14160938,171398,91772,0,155609,108792,116979,4447,0,304076,30769,20685,1029135,108574,108059,8870493,0,69058,880,36847,0,1047,0,157143,5597,20212,21796,367233,4616243
B_201_HelmetC_3152019_26.qgd,6138,0,344,0,713,282243,1327,0,9831,2616,231732,269,32928,9679671,0,235008,5144,138361,6987,1093,74784,426881,0,25072,0,49232,0,6533,0,3728547,64130,986382,855753,676129,13216,35141,13226160,194024,103376,0,159148,115342,152331,4627,0,296015,32783,20061,1293976,85120,107059,9543522,0,78075,1494,25629,298,1343,298,131985,5978,24432,20738,382785,4173129
B_202_HelmetC_3152019_27.qgd,7201,0,608,0,625,398390,1439,0,10908,3038,205396,1219,40000,10107335,0,268892,8450,197585,13096,1566,98725,400074,0,28598,0,38105,0,961,0,3855206,78303,936742,691633,628234,15710,44158,11875932,202305,133465,0,181725,142004,156891,4361,0,262621,31161,19159,1274387,94775,111546,9819977,0,88912,1220,40116,1334,5696,1334,206165,6028,31640,24182,356057,3944504
