Sample,C12:0,C13:0,C14:0,C14:1w5,i-C15:0,C15:0,i-C16:0,C16:0,C16:1w9,C16:1w7,C16:1w5,i-C17:0,C16:2w6,a-C17:0,C16:3w3,C16:2w,C17:0,C17:1w9,C16:4w3,i-C18:0,C17:3w3,a-C18:0,C17:2w3,C18:0,C18:1w,C18:1w9,C18:1w7,C18:2w,C18:2w6,C18:3w6,C19:0,C19:1w11,C18:3w3,C18:4w3,C20:0,C20:1w9,C20:1w,C20:1w7,C20:2w,C20:2w6,C20:3w6,C21:0,C20:4w6,C20:3w3,C20:4w3,C20:5w3,C22:0,C22:1w9,C22:2w6,C22:2w3,C22:2w,C22:4w6,C22:3w3,C22:5w3,C24:0,C22:6w3
B_061_SKelp_322019_18.qgd,19000,16340,5928086,9305,4311,197581,9390,9595400,0,125315,23377,35,80698,0,3705,0,63022,9597,3374,0,0,0,4994,616243,0,1396096,17242,0,2188182,700113,12641291,32,738977,1415557,202357,9014,0,2220,0,7555,134429,15980,2718151,10048,99267,2594931,7901,-93,0,18,78,0,7,3085,15024,0
B_104_EG_322019_8.qgd,27752,2319,160282,205,3932,18972,16936,8543113,0,43674,24,27,37810,0,1156225,0,51563,68150,12,0,0,0,0,1199175,0,172899,44178,0,1578818,9,13163544,-12,8615620,11046,917905,36836,0,0,0,22473,27,105271,5996,29675,6,77414,1506154,-35,0,46,0,0,32,15,622082,84
B_287_Stag_322019_9.qgd,6019,3045,809828,1270,55101,208296,77734,16279208,0,400049,50339,246814,8599,101880,9500,0,316471,30867,4631,37705,0,0,0,6468861,122452,2466112,720588,6604,446653,18276,12192237,24,253908,433257,58826,234682,0,75188,20639,86302,36444,11984,819281,50325,668405,6573833,12057,36565,1704,73905,0,103625,196488,1864578,0,10762493
Blank_2-23__322019_10.qgd,2633,674,7054,-22,0,1872,0,115424,0,0,0,0,181,0,217,0,3646,0,0,0,0,0,0,111059,0,0,0,0,0,0,11611106,358,6080,0,6723,33,0,0,0,0,0,10054,0,0,0,0,0,0,0,279,33,0,229,0,0,4149
Blank_2-27__322019_19.qgd,4594,1197,14398,112,0,4715,0,128234,0,0,0,282,0,1143,0,0,3675,0,0,0,0,0,0,84641,0,43548,43548,0,0,0,12125120,111,5364,0,8509,0,0,0,0,0,0,13130,0,203,0,0,0,0,241,397,684,0,155,210,0,0
B_015_Dung_342019_11.qgd,17742,2757,319489,482,25957,720772,187462,14262824,0,1142555,27454,958193,9098,597503,47825,0,958898,208095,1642,254594,0,69083,0,4507145,74922,1688332,1075271,0,538988,25292,16350677,10717,214712,66082,156818,172909,0,157856,20792,313688,24432,29230,1599668,76144,57390,11758163,108443,3428,2221,139948,6737,171881,81193,1033035,434,5597311
B_018_Ido_342019_12.qgd,50654,5118,973927,15,136328,286531,86885,13998616,0,1010543,36024,175005,44602,109954,12274,0,399720,16554,3864,2068,0,1985,2996,7178869,15225,1267887,1916907,0,653855,135497,12793815,6730,441206,221024,246375,554190,0,368025,3840,610170,97961,33684,1709206,694994,215414,8539853,536619,48641,6248,62518,93,9950,70146,199282,149,1959377
B_019_Ido_342019_13.qgd,108262,9516,1528821,957,173098,293429,80343,12661627,0,1658978,48106,144998,94216,95600,23640,0,172209,29460,15208,2597,0,1621,9732,5208808,12522,1677926,1154352,0,747231,219341,12519470,7793,707246,612737,199068,226976,0,70631,4941,229653,123599,32282,1720292,174764,268818,9156425,527399,66471,280043,80850,261,17284,94811,255424,55,2058581
B_020_Ido_342019_14.qgd,63057,5853,1112519,1,110489,244039,60531,10948785,0,1589544,34256,103941,105962,63963,11974,0,126795,19258,12662,2891,0,45,10003,4117543,7940,1386863,916629,0,646298,243624,11284940,5743,378415,555664,176724,172432,0,32234,0,214737,77775,28743,1712170,130750,156504,8357780,526303,50928,528,55293,2,17015,72050,176161,149,1581364
B_040_EG_342019_15.qgd,62614,2635,225268,37,32,40861,14091,12642723,0,396697,31,59,103878,11,3445947,0,89436,199555,3207,0,0,0,1600,1375276,0,214207,70654,0,2618239,1840,12823797,43,16621699,10694,1198536,35236,0,0,0,30917,26,210821,7043,54704,76,46396,1980280,30463,31,14,58,17,25,76,792408,-59
B_042_Ido_342019_16.qgd,45650,2755,253053,28,34208,162585,44371,8298162,0,464562,13865,79865,10142,63337,9147,0,131554,19240,2740,3384,0,833,3155,4672589,0,1409536,819518,0,601461,55425,13076334,93,699278,200137,243168,194100,0,22931,0,307965,54101,43572,1843838,241009,142022,7666800,762838,51029,773,44083,953,14398,56840,214028,96,1696001
B_048_ButterC_342019_18.qgd,5828,1814,562098,10,55106,453199,478325,15681578,0,534683,39904,2111775,17331,820429,3312,0,966030,7873,-246,68870,0,18202,0,7218520,36061,443211,333608,0,119214,42015,13841562,11168,88948,190591,67738,1018960,0,1525620,80565,217697,43428,18229,1462713,18283,145040,3978173,29804,2699995,6028,238162,251950,1061853,242868,2106944,194,8409220
B_063_EG_342019_7.qgd,65932,3634,352888,16,33,154438,15100,16686585,0,339438,11,9,123261,30,3736760,0,140124,221357,7424,0,0,0,877,2954237,0,273593,118434,0,4406331,5051,15025827,74,18961124,107354,1339792,39760,0,0,0,42374,3427,281861,40051,73013,4224,143323,2421596,44,0,10,24,-16,5,100,1024950,84
B_064_EG_342019_9.qgd,41201,2920,308521,-21,101,74559,14449,14698381,0,366750,-6,11,87277,17,3258019,0,92970,191364,4417,0,0,0,2399,2351353,0,212193,87656,0,3164013,5537,13930259,117,17562915,59551,1295384,31570,0,0,0,40047,1889,263556,30663,72026,3032,99003,2337605,12,71,9,24,-19,111,2421,911442,0
B_066_Fucus_342019_8.qgd,147307,27707,21629930,89591,4,905950,8434,36385386,0,958595,60895,6,83502,20,31961,0,428306,115345,39767,0,0,0,93732,3048504,0,13022148,40596,12682,13226653,590587,11042792,74662,5946004,2737846,1329892,349073,0,0,0,132550,934658,21272,6560213,80668,407030,4043535,312428,9899,22,8,9,3496,36,3247,146126,-3
B_067_Fucus_342019_19.qgd,165357,31506,23186181,110411,0,969592,8441,38272179,0,1154469,58131,0,116220,-8,35431,0,450767,123540,45365,0,0,0,114583,3101823,0,13789654,39451,15263,13725803,722752,10166636,69249,5814261,2393271,1316414,373043,0,0,0,112356,1028887,20019,6672651,63884,387002,3614392,316789,27890,1206,7,9,1712,66,3972,126063,28
B_069_Ulva_342019_20.qgd,27403,10613,1325745,24,46942,170963,13676,21131341,0,478749,14770,21,216613,27,2078325,0,31618,136905,5299874,0,0,0,41423,1015589,0,603329,2146598,0,2901616,125403,12331845,71,10516520,5114338,42736,44534,0,2179111,0,235813,17650,15630,126801,218578,123139,868738,300009,7077,16289,6,-14,71633,18066,2276489,126330,44
B_070_Ulva_342019_21.qgd,30678,11584,1288914,15,45622,187796,14403,27139100,0,445701,17150,7,547958,13,3350928,0,37020,190648,6559864,0,0,0,168757,926995,0,1038473,3042349,0,4383957,191329,13752188,-9,12481339,6206395,45341,79914,0,3172296,0,365518,22415,15929,130231,249892,192793,887936,320518,679,21650,-2,33,96984,19616,2761537,152806,39
B_079_Ido_342019_22.qgd,112572,8619,1110838,69,81376,189456,42446,9519228,0,606270,20474,69370,38200,48395,12640,0,107476,9067,19246,1420,0,514,2622,4192043,8787,1484568,748032,0,750826,95166,11965508,193,641473,565922,186322,178732,0,0,0,229035,80262,31840,1758430,212964,244370,7289470,592796,13767,106630,46599,2,13436,31058,164527,206002,1531356
Blank_2-28_064__342019_10.qgd,5379,313,14327,0,0,4,0,122255,0,0,0,0,0,0,439,0,3615,0,0,0,0,0,0,107199,0,43103,0,0,23310,124739,12866897,48,8207,0,7114,0,0,0,0,0,0,286,0,0,0,0,0,0,0,537,556,0,0,0,0,0
Blank_3-1_342019_23.qgd,6181,320,9951,1046,1046,1817,0,133186,0,0,0,697,0,697,0,0,3780,0,240,0,0,0,0,134518,0,42192,44,0,23754,0,11205101,170,4930,0,6615,0,0,0,0,0,0,10685,0,0,0,0,0,0,0,201,201,0,447,0,0,0
