Sample,C12:0,i-C13:0,C13:0,C13:1w,i-C14:0,C14:0,C14:1w,C14:1w5,i-C15:0,a-C15:0,C15:0,C15:1w,i-C16:0,C16:0,C16:1w9,C16:1w7,C16:1w5,i-C17:0,C16:2w6,C16:2w3,a-C17:0,C17:0,C16:3w3,C17:1w9,C16:4w,i-C18:0,C17:3w,C16:2w,C16:4w3,C18:0,C18:1w,C18:1w9,C18:1w7,C18:2w6,i-C19:0,C18:3w6,C19:0,C18:3w3,C18:4w3,C18:4w2,C20:0,C20:1w9,C20:1w7,C20:2w,C20:2w3,C20:2w6,C20:3w6,C21:0,C20:4w6,C20:3w3,C20:4w3,C20:5w3,C20:6w3,C22:0,C22:1w,C22:1w9,C22:2w6,C22:2w3,C22:4w3,C23:0,C22:4w6,C22:3w3,C22:5w3,C22:6w3
B_207_DungC_3152019_31.qgd,0.0233,0.0000,0.0040,0.0000,0.0036,0.4316,0.0229,0.0004,0.0727,0.0431,1.0586,0.0011,0.2152,21.1171,0.0000,3.3656,0.0946,1.0073,0.0498,0.0074,0.8655,2.1907,0.0000,1.4065,0.0000,0.1074,0.0000,0.1945,0.0000,6.7157,0.9899,5.9153,4.2156,1.9019,0.0499,0.0650,25.1126,0.3073,0.1028,0.0000,0.2713,1.0014,0.4322,0.0285,0.0000,1.2779,0.1609,0.0477,4.4666,0.1868,0.2662,42.6986,0.0000,0.1799,0.0147,0.3537,0.0000,0.0223,0.7150,0.0181,0.7091,0.0803,6.9453,22.0405
B_191_Stag_3152019_20.qgd,0.0073,0.0000,0.0028,0.0000,0.0023,0.5128,0.0070,0.0017,0.0437,0.0077,0.2949,0.0073,0.0633,18.4092,0.0000,0.9198,0.0747,0.3005,0.0284,0.0145,0.1087,0.5375,0.0000,0.1436,0.0000,0.0381,0.0000,0.1497,0.0000,9.5885,0.7833,5.6905,2.2055,1.2877,0.0236,0.0576,21.2527,0.4987,0.2904,0.0000,0.1049,0.6756,0.5843,0.0175,0.0000,0.4563,0.1612,0.0192,3.8825,0.1952,0.6492,22.0459,0.0000,0.0182,0.0074,0.1360,0.0000,0.0717,0.2081,0.0000,0.5141,0.0831,8.4213,32.8894
B_192_Stag_3152019_21.qgd,0.0144,0.0000,0.0040,0.0000,0.0056,0.9898,0.0084,0.0073,0.0733,0.0170,0.3404,0.0036,0.1223,25.3421,0.0000,1.8559,0.1270,0.5440,0.0994,0.0178,0.2330,0.5688,0.0000,0.1287,0.0000,0.0731,0.0000,0.1566,0.0000,10.4833,0.9385,7.1767,3.1155,1.6104,0.0359,0.0704,25.9350,0.6676,0.6075,0.0000,0.0962,0.8311,0.5805,0.0240,0.0000,0.4585,0.2238,0.0243,4.2821,0.1481,1.0345,26.7328,0.0000,0.0214,0.0031,0.1660,0.0000,0.0728,0.3426,0.0000,0.7643,0.1207,11.1821,43.4486
B_247_Stag_3172019_8.qgd,0.0158,0.0000,0.0037,0.0000,0.0042,1.1055,0.0075,0.0048,0.0622,0.0097,0.3489,0.0049,0.0880,25.4368,0.0000,2.5631,0.1293,0.4701,0.0932,0.0262,0.1803,0.6396,0.0000,0.1194,0.0000,0.0621,0.0000,0.1713,0.0000,12.4965,0.9544,7.1114,3.4890,1.8506,0.0726,0.1241,26.1174,1.0897,0.8464,0.0000,0.1808,0.9074,1.1499,0.0541,0.0000,0.6059,0.2766,0.0278,4.9071,0.1924,0.8387,35.2235,0.0000,0.0658,0.0249,0.2387,0.0000,0.2815,0.6160,0.0121,0.9771,0.0818,15.2057,32.4097
B_248_Stag_3172019_10.qgd,0.0113,0.0000,0.0023,0.0000,0.0021,0.7025,0.0062,0.0009,0.0410,0.0106,0.3072,0.0129,0.0585,22.4800,0.0000,1.5272,0.0977,0.2888,0.0404,0.0162,0.0979,0.5849,0.0000,0.0980,0.0000,0.0253,0.0000,0.1003,0.0000,10.9739,0.8437,5.1515,2.8255,1.6484,0.0400,0.1089,27.0547,1.1794,0.4610,0.0000,0.1225,0.6929,0.8908,0.0327,0.0000,0.6041,0.2884,0.0286,5.5667,0.2204,0.7481,30.2421,0.0000,0.0499,0.0183,0.1689,0.0000,0.1688,0.2750,0.0067,0.8044,0.0613,13.9574,30.2983
B_239_SPerch_3172019_4.qgd,0.0158,0.0000,0.0037,0.0000,0.0013,0.7120,0.0084,0.0037,0.0161,0.0047,0.2836,0.0025,0.0167,30.8423,0.0000,1.2205,0.0978,0.1530,0.0555,0.0041,0.0338,0.5028,0.0000,0.0918,0.0000,0.0535,0.0000,0.3304,0.0000,12.4475,0.1883,4.9446,2.4137,1.2059,0.0355,0.0504,25.7067,0.2505,0.1998,0.0000,0.1902,0.6346,0.3639,0.0040,0.0000,0.2060,0.1295,0.0340,6.1635,0.0639,0.3355,27.0332,0.0000,0.1342,0.0160,0.3361,0.0000,0.0311,0.1200,0.0162,0.2982,0.1102,5.0543,43.3713
B_241_SPerch_3172019_5.qgd,0.0279,0.0000,0.0077,0.0000,0.0060,1.6022,0.0103,0.0069,0.1118,0.0154,0.4806,0.0046,0.0337,34.5874,0.0000,2.0581,0.1263,0.2144,0.0997,0.0196,0.0488,0.5885,0.0000,0.1621,0.0000,0.0820,0.0000,0.2689,0.0000,12.8512,0.2491,7.8623,2.8526,1.7075,0.0250,0.1046,25.0125,0.6172,0.8369,0.0000,0.1855,1.2017,0.2855,0.0035,0.0000,0.2177,0.1020,0.0303,4.7317,0.0618,0.7385,25.3950,0.0000,0.1045,0.0019,0.3073,0.0000,0.0238,0.1945,0.0142,0.1255,0.1097,4.2119,52.7864
B_255_SPBack_3172019_13.qgd,0.0165,0.0000,0.0091,0.0000,0.0074,1.3569,0.0142,0.0100,0.0992,0.0249,0.8121,0.0111,0.1870,22.8486,0.0000,2.6055,0.1997,0.5508,0.0451,0.0172,0.3267,1.0722,0.0000,0.4649,0.0000,0.0398,0.0000,0.1933,0.0000,7.5776,0.9488,6.5440,2.9782,0.8568,0.0395,0.0960,24.7296,0.2481,0.1968,0.0000,0.0848,1.4176,1.7609,0.0365,0.0000,0.1996,0.1917,0.0261,6.9379,0.0684,0.3187,28.0946,0.0000,0.0591,0.0903,0.6618,0.0000,0.0504,0.5632,0.0162,0.7782,0.1678,6.1538,27.1652
B_256_SPBack_3172019_14.qgd,0.0167,0.0012,0.0071,0.0000,0.0076,1.4627,0.0131,0.0102,0.1026,0.0296,0.7488,0.0063,0.2081,23.1616,0.0000,2.8675,0.2187,0.6153,0.0728,0.0160,0.3726,0.9686,0.0000,0.3298,0.0000,0.0235,0.0000,0.1307,0.0000,6.9668,1.4096,5.8716,3.1566,0.9745,0.0446,0.1131,25.9343,0.2507,0.2420,0.0000,0.0672,1.2474,1.7413,0.0428,0.0000,0.2294,0.2174,0.0282,7.0823,0.0879,0.3807,30.1199,0.0000,0.0409,0.0433,0.5418,0.0000,0.0612,0.5026,0.0084,1.0635,0.1802,7.4602,23.3812
B_242_DShrimp_3172019_6.qgd,0.3387,0.0000,0.0167,0.0000,0.0120,2.4610,0.0810,0.0024,0.1214,0.0386,1.9561,0.0046,0.1584,29.4775,0.0000,4.9428,0.0877,0.7285,0.1188,0.0017,0.2930,2.1147,0.0000,1.2605,0.0000,0.0522,0.0000,0.4221,0.0000,9.9253,0.6467,8.4135,5.5279,3.1295,0.1113,0.1976,24.9729,1.1128,0.3109,0.0000,0.2936,0.9944,0.7756,0.0358,0.0000,0.3757,0.1315,0.0489,4.0840,0.1304,0.3796,39.4197,0.0000,0.2228,0.0411,0.3065,0.0000,0.0788,0.8120,0.0436,0.3614,0.0496,4.0824,22.7127
B_244_DShrimp_3172019_7.qgd,0.2983,0.0000,0.0155,0.0000,0.0062,2.4058,0.0106,0.0031,0.0823,0.0210,2.9789,0.0021,0.0687,29.8452,0.0000,4.4951,0.0662,0.3540,0.1343,0.0098,0.1278,2.0797,0.0000,2.0429,0.0000,0.0409,0.0000,0.7460,0.0000,8.7143,0.5157,8.8151,5.2226,3.3735,0.0559,0.1574,24.0099,1.1915,0.2218,0.0000,0.2593,0.2790,0.5071,0.0183,0.0000,0.3030,0.0899,0.0398,3.4848,0.1399,0.2569,37.2770,0.0000,0.1688,0.0128,0.2689,0.0000,0.0342,0.7316,0.0410,0.1608,0.0334,2.3430,23.9232
B_250_DShrimp_3172019_11.qgd,0.4300,0.0019,0.0147,0.0000,0.0107,3.5706,0.0194,0.0035,0.1378,0.0486,1.2671,0.0016,0.1839,32.1229,0.0000,5.5325,0.1144,0.7942,0.1755,0.0118,0.3490,1.6499,0.0000,0.6100,0.0000,0.0470,0.0000,0.1577,0.0000,9.6017,0.6592,9.3001,5.9289,2.6286,0.1037,0.1493,26.0332,0.6988,0.4242,0.0000,0.3223,0.9119,0.6489,0.0250,0.0000,0.2691,0.1027,0.0444,3.9741,0.0807,0.3969,41.9687,0.0000,0.2391,0.0629,0.3614,0.0000,0.0273,0.8116,0.0467,0.2232,0.0481,3.0470,26.3256
B_251_DShrimp_3172019_12.qgd,0.2427,0.0000,0.0086,0.0000,0.0060,1.8727,0.0104,0.0008,0.0773,0.0219,0.7467,0.0032,0.0846,23.6175,0.0000,3.3206,0.0575,0.4024,0.0430,0.0047,0.1629,0.9608,0.0000,0.3082,0.0000,0.0316,0.0000,0.0742,0.0000,6.0248,0.5679,6.5743,3.8565,1.8765,0.0458,0.0869,19.5146,0.6517,0.1780,0.0000,0.1580,0.5000,0.3335,0.0155,0.0000,0.2866,0.0545,0.0252,2.5611,0.0857,0.2339,27.9757,0.0000,0.0989,0.0196,0.1376,0.0000,0.0404,0.3398,0.0173,0.2506,0.0293,2.8424,19.0105
Blank_ProdMar11_3152019_24.qgd,0.0042,0.0000,0.0000,0.0000,0.0000,0.0137,0.0000,0.0000,0.0000,0.0000,0.0039,0.0000,0.0000,0.1968,0.0000,0.0044,0.0000,0.0000,0.0000,0.0022,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2271,0.0012,0.1971,0.0045,0.0744,0.0030,0.0000,23.2018,0.0184,0.0000,0.0000,0.0000,0.0002,0.0007,0.0007,0.0000,0.0000,0.0000,0.0168,0.0009,0.0000,0.0000,0.0000,0.0000,0.0000,0.0009,0.0000,0.0000,0.0030,0.0033,0.0000,0.0000,0.0000,0.0000,0.0000
Blank_ProdMar12_3172019_2.qgd,0.0046,0.0000,0.0000,0.0000,0.0000,0.0147,0.0002,0.0000,0.0000,0.0000,0.0000,0.0010,0.0000,0.2098,0.0000,0.0000,0.0031,0.0000,0.0000,0.0010,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0052,0.0000,0.2218,0.0039,0.2224,0.0000,0.0884,0.0036,0.0000,24.0550,0.0000,0.0000,0.0000,0.0000,0.0044,0.0017,0.0012,0.0000,0.0000,0.0000,0.0209,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0012,0.0000,0.0000,0.0023,0.0016,0.0000,0.0000,0.0000,0.0000,0.0000
