Sample,C12:0,i-C13:0,C13:0,C13:1w,i-C14:0,C14:0,C14:1w,C14:1w5,i-C15:0,a-C15:0,C15:0,C15:1w,i-C16:0,C16:0,C16:1w9,C16:1w7,C16:1w5,i-C17:0,C16:2w6,C16:2w3,a-C17:0,C17:0,C16:3w3,C17:1w9,C16:4w,i-C18:0,C17:3w,C16:2w,C16:4w3,C18:0,C18:1w,C18:1w9,C18:1w7,C18:2w6,i-C19:0,C18:3w6,C19:0,C18:3w3,C18:4w3,C18:4w2,C20:0,C20:1w9,C20:1w7,C20:2w,C20:2w3,C20:2w6,C20:3w6,C21:0,C20:4w6,C20:3w3,C20:4w3,C20:5w3,C20:6w3,C22:0,C22:1w,C22:1w9,C22:2w6,C22:2w3,C22:4w3,C23:0,C22:4w6,C22:3w3,C22:5w3,C22:6w3
B_228_POM_3152019_40.qgd,0.4467,0.0320,0.1638,0.0000,0.0979,27.9863,0.0416,0.0569,0.4086,0.1380,1.7451,0.0363,0.1526,35.5752,0.4302,24.5820,0.7295,0.2454,6.3397,1.7706,0.1122,0.4997,1.9614,0.1427,0.2371,0.0962,0.0000,0.0532,8.3688,3.9704,0.5011,3.3235,1.7506,4.0895,0.0000,2.2374,28.1046,2.4827,7.5734,0.0954,0.7398,1.0878,0.6419,0.0780,0.0780,0.5354,0.4834,0.0553,1.4035,0.2697,1.6128,35.0615,0.0000,0.4336,0.0809,0.4562,0.1216,0.1684,0.3846,0.0293,0.1931,0.0666,2.5352,22.5055
B_229_POM_3172019_41.qgd,0.5747,0.0328,0.1468,0.0000,0.1110,30.8459,0.0465,0.0677,0.4722,0.1496,1.9530,0.0319,0.1842,39.4476,0.4871,28.1696,0.8362,0.2855,9.5427,2.6297,0.1303,0.6283,3.4828,0.1077,0.3633,0.0641,0.0000,0.0385,14.8777,4.8971,0.4930,5.1746,1.9283,4.9576,0.0000,2.9614,25.5190,2.8077,10.4016,0.2138,0.7854,1.1060,0.7439,0.0855,0.0855,0.4856,0.5830,0.0516,2.0396,0.2412,2.3083,50.9437,0.0000,0.5347,0.1211,0.5075,0.1728,0.1727,0.5162,0.0366,0.2161,0.0993,3.2463,27.9773
B_231_POM_3172019_1.qgd,0.4437,0.0428,0.1728,0.0000,0.1099,29.7724,0.0544,0.0626,0.6913,0.1342,1.9263,0.0546,0.1978,43.1651,0.4528,22.8198,0.6146,0.2849,7.3534,1.8552,0.1451,0.5443,2.8254,0.1009,0.4886,0.1129,0.0000,0.0652,11.4558,5.2274,0.3600,3.7837,1.8161,5.6952,0.0000,2.1083,26.3521,4.1578,13.3259,0.1434,1.2540,0.8639,0.5486,0.0683,0.0683,0.5919,0.4000,0.0573,1.4739,0.2834,2.2459,45.4980,0.0000,0.6563,0.0846,0.6106,0.2573,0.1024,0.4488,0.0368,0.2111,0.1010,3.2661,40.4042
B_232_POM_3172019_3.qgd,0.4468,0.0390,0.1780,0.0000,0.1066,28.8297,0.0474,0.0508,0.6422,0.1417,1.9055,0.0503,0.1896,42.9469,0.4900,21.9706,0.5698,0.2792,5.7158,1.6474,0.1450,0.5769,2.1487,0.0921,0.4657,0.1232,0.0000,0.0986,7.6825,5.9530,0.3622,3.7833,1.7939,5.3972,0.0000,1.8783,24.4290,3.4130,10.2145,0.1375,2.0110,0.9299,0.5899,0.0686,0.0686,0.6286,0.4525,0.0636,1.2713,0.3226,2.1564,36.1682,0.0000,0.6232,0.0909,0.5876,0.2379,0.1041,0.5006,0.0316,0.1905,0.0863,2.8310,35.7573
B_171_Limpet_3152019_10.qgd,0.0673,0.0172,0.0202,0.0000,0.0625,10.6320,0.0078,0.0180,1.0797,0.0698,0.6894,0.0150,0.4319,40.7324,0.0000,12.6481,0.4058,0.4238,1.2749,0.0393,0.2504,0.6264,0.0000,0.0921,0.0000,0.0000,0.0000,0.1324,0.0000,18.6335,1.0835,5.0586,20.8290,4.5767,0.0226,0.8045,23.5028,1.1073,2.5541,0.8013,0.9896,10.7260,9.9622,0.6306,2.4654,1.0300,0.8887,0.0396,15.1169,0.9926,2.5052,77.2945,0.0000,0.4666,0.7635,0.0686,6.0617,0.0000,1.3026,0.0128,0.6091,0.0680,13.2078,3.6088
B_172_Limpet_3152019_11.qgd,0.0399,0.0138,0.0145,0.0000,0.0411,6.6732,0.0070,0.0119,0.8026,0.0536,0.5062,0.0104,0.3132,28.8778,0.0000,7.6248,0.2514,0.3552,0.7995,0.0294,0.2039,0.5233,0.0000,0.0594,0.0000,0.0000,0.0000,0.0670,0.0000,14.8711,0.7985,3.0870,15.1986,2.9774,0.0197,0.4496,22.1247,0.6673,1.5745,0.4504,0.6098,8.5005,7.1075,0.4592,2.0574,0.7382,0.5164,0.0324,12.3333,0.8002,1.5306,60.3479,0.0000,0.2879,0.5145,0.0440,4.9455,0.0000,0.8095,0.0138,0.4308,0.0660,9.0512,2.7098
B_179_Idotea_3152019_12.qgd,0.0252,0.0000,0.0032,0.0000,0.0067,0.2266,0.0032,0.0005,0.0351,0.0161,0.2709,0.0019,0.0803,10.4267,0.0000,1.4556,0.0303,0.1454,0.0419,0.0066,0.1148,0.2100,0.0000,0.0934,0.0000,0.0234,0.0000,0.0341,0.0000,5.8581,0.1104,3.9668,2.5185,0.9308,0.0499,0.0886,22.3207,0.7212,0.1813,0.0000,0.2012,0.5416,0.0918,0.0003,0.0000,0.4362,0.0954,0.0587,2.9796,0.3585,0.2487,25.7299,0.0000,0.6865,0.0035,0.1675,0.0000,0.0000,0.2438,0.0142,0.0000,0.0452,0.5260,4.7182
B_180_Idotea_3152019_13.qgd,0.1862,0.0166,0.0167,0.0000,0.0439,1.7099,0.0041,0.0053,0.1820,0.0765,0.3942,0.0075,0.1271,12.5572,0.0000,3.1077,0.0918,0.1883,0.2969,0.0305,0.2285,0.2409,0.0000,0.1265,0.0000,0.0283,0.0000,0.0524,0.0000,6.1095,0.1609,4.1921,2.9582,1.3239,0.0656,0.2153,21.0601,1.1234,0.6360,0.0000,0.2629,0.6116,0.1787,0.0008,0.0000,0.5303,0.1964,0.0575,3.0138,0.4401,0.5693,29.2699,0.0000,0.7748,0.0004,0.2733,0.8156,0.0000,0.3483,0.0155,0.0000,0.1493,0.9653,6.4926
B_182_ButterC_3152019_14.qgd,0.0072,0.0008,0.0034,0.0000,0.0061,1.2235,0.0019,0.0009,0.0817,0.0115,0.5396,0.0025,0.6042,28.0959,0.0000,2.9742,0.2186,2.5566,0.0560,0.0161,0.7171,0.9726,0.0000,0.0365,0.0000,0.0696,0.0000,0.0222,0.0000,9.9333,0.3386,1.5214,2.2207,1.7903,0.0534,0.0708,24.8911,0.4489,1.4865,0.0000,0.1072,3.6385,7.3511,0.1852,0.0000,1.6753,0.4159,0.0311,3.3215,0.1866,1.5444,25.5115,0.0000,0.0326,0.1154,0.2369,0.0418,0.0000,1.8897,0.0085,0.8865,0.1250,7.0085,29.8697
B_183_BMacoma_3152019_15.qgd,0.0053,0.0019,0.0055,0.0000,0.0060,0.6987,0.0028,0.0050,0.0468,0.0214,1.5498,0.0050,0.2587,11.0802,0.0000,1.1829,0.0889,1.2332,0.0074,0.0076,0.4634,1.4646,0.0000,0.8742,0.0000,0.0434,0.0000,0.1110,0.0000,6.9590,0.0995,2.5199,0.2161,0.5155,0.1070,0.1112,23.1779,0.3486,0.4627,0.0000,0.0536,6.8393,3.1229,0.0701,0.0000,0.1836,0.1397,0.0270,4.5926,0.0494,0.1947,7.7122,0.0000,0.0331,0.0239,0.2778,0.0000,0.0000,0.4798,0.0047,0.7980,0.0852,3.7645,6.0752
