Sample,C12:0,C13:0,C13:1w,i-C14:0,C14:0,C14:1w,C14:1w5,i-C15:0,a-C15:0,C15:0,i-C16:0,C16:0,C16:1w9,C16:1w7,C16:1w,i-C17:0,C16:2w,C16:2w6,a-C17:0,C17:1w,C17:0,C16:3w3,C17:1w9,C17:1w5,i-C18:0,a-C18:0,C16:4w3,C18:0,C18:1w,C18:1w9,C18:1w7,C18:2w6,i-C19:0,a-C19:0,C18:3w,C18:3w6,C19:0,C18:3w3,C18:4w3,C20:0,C20:1w9,C20:1w7,C20:2w6,C20:3w6,C20:4w6,C20:3w3,C20:5w,C20:4w3,C20:5w3,C22:0,C22:1w9,C22:2w6,C22:4w3,C23:0,C22:4w6,C22:3w3,C22:5w3,C22:6w3
B_299_RedRockC_3212019_16.qgd,14989,1288,0,858,172637,0,365,17621,4705,314749,107949,8874817,9389,887587,12179,724250,0,3833,290012,1959,369419,0,88183,0,165635,82869,0,3122560,40210,1013869,515140,216944,42612,40703,0,10815,14073746,62300,0,125623,134961,266563,152634,10647,1004924,23977,0,24582,7695400,105254,9431,0,171287,8568,34763,41308,225098,3682109
B_301_RedRockC_3212019_18.qgd,4989,535,0,612,117453,0,278,5698,1723,201390,58642,9007310,7100,970469,3759,429142,0,3670,202705,2006,232935,0,69086,0,194879,47250,0,2862850,33683,1096957,620203,196118,24291,19243,0,5889,14381719,46186,0,117477,110527,107270,149725,5066,615497,17795,0,13560,8541126,93261,15248,0,77804,3664,25588,16233,139633,3744611
B_304_RedRockC_3212019_20.qgd,9481,1325,0,720,241548,0,306,9478,2662,382125,74925,8755245,7804,777512,8879,469806,0,7967,213046,2356,483717,0,129713,0,83169,62597,0,3799756,40916,931597,786895,201250,39253,30767,0,7613,13033022,43886,0,153332,145346,247795,141629,12016,763481,17067,0,24462,8715784,173865,13108,22,146222,10819,24213,20739,198848,3077701
B_305_RedRockC_3212019_21.qgd,7061,779,0,327,114014,0,150,4943,1442,137075,37247,7127515,5815,753484,2177,342748,0,3060,164446,1128,205900,0,74021,0,216788,50361,0,2861263,25108,877875,410650,132412,29391,23280,0,5259,13797422,31683,0,136524,95485,86159,136734,5549,738585,13146,0,11166,7313587,160272,39086,0,93737,7219,30071,16093,138636,2875706
B_302_DungC_3212019_19.qgd,18440,2706,0,1396,135221,0,471,23919,6142,334404,83570,7883597,11646,514723,11435,477978,0,0,245248,4297,647008,0,114767,0,69606,66367,0,4486150,39678,985398,652846,293375,32819,29288,0,6500,14067050,115190,0,209295,160370,126772,260450,12689,980117,67263,0,31198,7331290,182870,28964,0,58124,14013,110147,34999,555940,3181056
B_307_DungC_3212019_22.qgd,12776,3613,0,1250,271843,0,686,21182,9085,1149555,188897,10398126,15905,924794,18714,745035,0,0,480001,6005,1065369,0,480445,0,65594,84031,0,3152428,40734,1004553,524091,238508,34129,35532,0,18314,13553732,50643,0,127723,262329,295370,113006,18785,1366776,13260,0,39376,8459303,108430,0,0,229176,9470,71537,56640,633523,3575118
B_308_SPerch_3212019_23.qgd,44045,13071,0,10790,2503674,0,7412,130648,29304,346496,37641,24891914,140249,1163880,47019,190012,0,94872,57619,21293,359967,0,35458,0,32813,32158,0,8673238,81235,3436293,1150788,795233,24905,24208,0,53923,14850545,258860,0,160278,545594,221414,131733,40548,1153481,39212,0,264923,7153179,96738,8449,78996,115601,12912,108195,112119,1239192,10871823
B_310_SPerch_3212019_24.qgd,6169,835,0,973,388610,0,1177,18066,4493,126952,24120,15037760,50188,378419,27905,148697,0,10794,50718,11215,238671,0,20345,0,34129,26871,0,6481599,79203,1446605,746585,324890,18730,21475,0,12181,13944211,114080,0,62614,186478,106633,111574,31078,983145,58151,0,193090,5780620,28906,13957,20543,100315,3741,111167,105312,1070874,9154609
B_325_SPerch_3212019_34.qgd,12783,2176,0,1667,504459,0,1320,20201,4626,130648,13114,17507845,40081,371199,22386,104131,0,26726,24661,6879,257216,0,19831,0,21768,21019,0,6737444,30745,1309443,632282,338974,19174,21246,0,18353,14710453,74393,0,87139,145904,82172,43278,27099,1227748,14677,0,98461,6279944,68548,#REF!,5505,85348,12883,43144,107543,700851,9565438
B_326_SPerch_3212019_35.qgd,15107,2182,0,1890,538554,0,1576,19317,4974,152887,20362,15009597,40992,432926,24543,143035,0,30004,74042,8287,285577,0,32135,0,22049,32437,0,6165544,42556,1186498,709621,284615,19776,41632,0,14434,14491551,68494,0,68370,198997,132504,81896,34735,1042310,33012,0,110514,5754946,36884,#REF!,19661,134493,7103,137972,104306,1158795,9104418
B_315_SPBack_3212019_25.qgd,15632,7014,0,13578,1439520,5101,10852,71960,27388,384434,74650,17173245,110979,1194995,50546,288048,0,58707,122897,11865,544437,0,80777,0,17123,41122,0,6083926,36925,2067688,1228636,660170,12659,24929,0,40318,14585411,457085,0,59028,473285,316128,470547,75046,1005111,292946,0,224487,9202161,26686,#REF!,135955,99240,6086,463752,91302,2322997,3899445
B_317_SPBack_3212019_26.qgd,15863,5617,0,9173,799955,2925,2253,71291,24571,362715,83823,12881780,49741,613955,49655,291661,0,42357,141386,20677,507050,0,50286,0,34727,38991,0,4992533,36238,1066806,917552,469146,14921,22758,0,39608,14901723,191519,0,62579,288558,316102,207530,48493,1034084,73555,0,124556,6965036,23385,#REF!,30875,81470,4371,222984,110924,1083783,6678425
B_348_HelmetC_3212019_51.qgd,7556,0,0,899,201938,0,545,12175,3090,135273,25107,9563222,7238,309049,5660,130885,0,0,54141,3434,289037,0,17926,0,27960,22463,0,2720548,24796,753316,613731,498038,14272,10215,0,35501,12016639,287712,0,144774,69661,68913,168282,18817,851627,65231,0,58799,8512174,85762,#REF!,0,85253,7530,16150,18977,295777,3063314
B_330_Stag_3212019_36.qgd,4787,2454,0,1868,359001,857,579,42680,7314,339846,56405,11831745,38232,293219,28702,256888,0,16135,116175,22018,501989,0,76178,0,41073,32601,0,5355638,43713,1196224,609082,233149,15364,21318,0,11012,15109169,102011,0,52185,160190,124461,59410,25290,683170,20604,0,157690,4692132,11203,#REF!,0,53329,2465,65302,107536,1147723,8942927
B_331_Stag_3212019_37.qgd,7417,7148,0,3677,556072,2159,1154,66174,13378,621535,87329,13116428,44790,465936,41888,377514,0,43476,195543,26257,705244,0,166507,0,57633,48836,0,6195685,60404,1274709,791633,277017,20483,33115,0,26363,14826122,118527,0,65215,267347,214520,84221,33215,887678,26545,0,173925,5996961,12977,#REF!,0,81190,2245,90951,111929,1230873,9921329
Blank_ProdMar14_3212019_11.qgd,2845,0,0,0,4387,0,0,0,0,987,0,71755,187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31673,0,14287,0,0,0,0,12036708,3589,0,4271,251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Blank_ProdMar15_3212019_30.qgd,2594,0,0,0,5978,0,0,0,0,1201,0,89816,481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30546,0,13917,0,0,0,0,12165448,4961,0,5898,162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Blank_ProdMar18_3212019_44.qgd,2943,0,0,0,4258,0,0,0,0,926,0,66782,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32552,0,15209,0,0,0,0,13240494,4010,0,5140,127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Blank_ProdMar19_3212019_56.qgd,2517,0,0,0,5350,0,0,0,0,1075,0,78922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35841,0,16069,0,0,0,0,13127108,4502,0,5486,1137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Blank_ProdMar4_3212019_57.qgd,4064,0,0,0,12669,0,0,0,0,1671,0,120361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39454,0,18542,0,0,0,0,11454459,4817,0,5186,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Blank_ProdMar5_3212019_58.qgd,3736,0,0,0,9775,0,0,0,0,1585,0,104431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32031,0,14682,0,0,0,0,10544452,4749,0,4810,370,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Blank_ProdMar6_3212019_59.qgd,3714,0,0,0,496066,0,0,0,0,84488,0,1271308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80120,0,36310,0,0,0,0,0,12784,0,177848,4414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
