Sample,C12:0,i-C13:0,C13:0,C13:1w,i-C14:0,C14:0,C14:1w,C14:1w5,i-C15:0,a-C15:0,C15:0,i-C16:0,C16:0,C16:1w9,C16:1w7,C16:1w,i-C17:0,C16:2w,a-C17:0,C16:2w6,C16:3w3,C17:0,C17:1w9,i-C18:0,C16:4w3,C18:0,C18:1w9,C18:1w7,C18:1w,C18:2w,C18:2w6,C18:3w6,C19:0,C18:3w3,C18:4w3,C20:0,C20:1w9,C20:1w7,C20:2w,C20:2w6,C20:3w6,C20:4w6,C20:3w3,C20:5w,C20:4w3,C20:5w3,C22:0,C22:1w,C22:1w9,C22:2w,C22:2w6,C22:4w3,C23:0,C22:4w6,C22:3w3,C22:5w3,C22:6w3
B_284_SPerch_3192019_4.qgd,0.0244,0.0000,0.0056,0.0000,0.0067,1.6055,0.0098,0.0101,0.0873,0.0197,0.3068,0.0601,18.5487,0.0000,2.7294,0.1196,0.3084,0.0895,0.1004,0.1377,0.0000,0.4069,0.2384,0.0481,0.0000,8.3922,6.6706,2.6637,0.2619,0.0497,1.3557,0.1267,14.5970,0.7691,1.2037,0.1290,0.9566,0.6078,0.0634,0.5372,0.1854,3.5661,0.3829,0.0000,0.8592,19.3471,0.0644,0.0294,0.0599,0.0732,0.0000,0.3941,0.0090,0.6960,0.1133,7.5774,22.9962
B_285_SPerch_3192019_5.qgd,0.0332,0.0037,0.0073,0.0000,0.0080,1.4782,0.0100,0.0105,0.1007,0.0247,0.3321,0.0555,19.0471,0.0000,2.3811,0.1590,0.2735,0.0726,0.0834,0.1241,0.0000,0.4160,0.2170,0.0443,0.0000,8.9810,6.0699,2.3824,0.3671,0.0483,1.3862,0.0924,15.6485,0.8214,1.4558,0.1450,0.9191,0.4628,0.0626,0.4601,0.1510,3.6882,0.2906,0.0000,1.0039,18.0750,0.0702,0.1010,0.0816,0.0706,0.0000,0.4252,0.0102,0.4630,0.1264,7.0353,29.9872
B_262_Stag_3182019_9.qgd,0.0094,0.0000,0.0015,0.0000,0.0015,0.4983,0.0000,0.0003,0.0366,0.0065,0.2578,0.0432,17.3011,0.0000,1.0007,0.0680,0.2140,0.0211,0.0801,0.0563,0.0000,0.3929,0.2197,0.0293,0.0000,7.2543,4.6287,1.9132,0.0698,0.0000,0.9366,0.0593,18.7482,0.3563,0.1542,0.0805,0.3846,0.3968,0.0171,0.1525,0.1144,4.0758,0.0643,0.0000,0.3441,21.3634,0.0144,0.0000,0.0257,0.0252,0.0000,0.1694,0.0025,0.3210,0.0509,9.0488,24.8496
B_265_Stag_3182019_10.qgd,0.0148,0.0000,0.0026,0.0000,0.0029,0.8677,0.0000,0.0035,0.0461,0.0093,0.2995,0.0657,18.3810,0.0000,1.3080,0.0635,0.2732,0.0301,0.1058,0.0862,0.0000,0.4876,0.3247,0.0404,0.0000,7.3089,5.9094,1.9503,0.1303,0.0000,0.7975,0.0350,19.0250,0.3627,0.3863,0.0595,0.6935,0.5488,0.0142,0.1293,0.0702,2.9757,0.0549,0.0000,0.5364,20.0570,0.0117,0.0000,0.0378,0.0289,0.0000,0.2932,0.0033,0.2406,0.0595,6.8834,27.6460
B_276_Stag_3182019_20.qgd,0.0066,0.0000,0.0015,0.0000,0.0011,0.3936,0.0000,0.0002,0.0223,0.0030,0.2158,0.0664,14.9443,0.0000,0.8291,0.0356,0.4547,0.0156,0.1697,0.0173,0.0000,0.3322,0.0851,0.0345,0.0000,6.0852,3.9630,1.4533,0.0446,0.0000,0.5563,0.0161,16.8480,0.2330,0.0866,0.0278,0.2863,0.5526,0.0182,0.1346,0.0524,2.4622,0.0467,0.0000,0.1554,15.4638,0.0097,0.0000,0.0136,0.0176,0.0000,0.0925,0.0014,0.3277,0.0234,4.5752,17.4209
B_277_Stag_3182019_21.qgd,0.0031,0.0000,0.0010,0.0000,0.0006,0.2192,0.0000,0.0000,0.0127,0.0015,0.0762,0.0139,13.0032,0.0000,0.3507,0.0252,0.0803,0.0044,0.0271,0.0083,0.0000,0.1620,0.0314,0.0104,0.0000,4.4237,3.0648,1.1251,0.0326,0.0000,0.2369,0.0090,13.5746,0.1462,0.1001,0.0168,0.1265,0.0940,0.0069,0.0496,0.0255,1.1016,0.0233,0.0000,0.1029,7.3393,0.0041,0.0000,0.0056,0.0050,0.0000,0.0289,0.0006,0.0635,0.0093,1.7091,8.6878
B_288_Stag_3192019_6.qgd,0.0103,0.0000,0.0039,0.0000,0.0026,0.9233,0.0000,0.0023,0.0553,0.0103,0.2275,0.0701,14.2975,0.0000,1.0542,0.1038,0.2898,0.0324,0.1207,0.0803,0.0000,0.3753,0.1548,0.0326,0.0000,7.1868,5.5344,1.6527,0.2173,0.0000,1.3260,0.0583,14.5493,0.8772,0.6771,0.0623,0.5344,0.3554,0.0461,0.3252,0.1780,3.2683,0.1737,0.0000,1.2634,15.2989,0.0132,0.0000,0.0355,0.0257,0.0000,0.3088,0.0014,0.4099,0.1060,7.9021,22.1973
B_273_SPBack_3182019_18.qgd,0.0214,0.0000,0.0088,0.0000,0.0082,0.7735,0.0000,0.0047,0.0648,0.0198,0.5921,0.1285,13.8880,0.0000,1.5211,0.1075,0.4905,0.0254,0.2161,0.0820,0.0000,0.5713,0.3479,0.0461,0.0000,4.7212,2.6918,1.8645,0.0699,0.0000,0.4985,0.0430,15.4000,0.1917,0.1485,0.0358,0.8302,1.6195,0.0370,0.1129,0.0512,3.1586,0.0279,0.0000,0.1400,16.7289,0.0204,0.0000,0.0474,0.0683,0.0000,0.1558,0.0019,0.2139,0.0499,2.6504,15.4405
B_274_SPBack_3182019_19.qgd,0.0217,0.0021,0.0066,0.0000,0.0134,1.2696,0.0000,0.0025,0.1251,0.0341,0.4120,0.0608,20.8372,0.0000,2.1584,0.1399,0.2535,0.0453,0.0832,0.1767,0.0000,0.4970,0.1444,0.0239,0.0000,6.2305,3.6173,2.0371,0.1085,0.0000,1.0423,0.0870,18.1920,0.4545,0.8560,0.0450,0.2916,0.2923,0.0137,0.1156,0.0476,2.3728,0.0367,0.0000,0.2512,19.6638,0.0347,0.0000,0.0384,0.0225,0.0000,0.1178,0.0054,0.0516,0.0594,1.1471,29.5180
Blank_ProdMar13_3182019_12.qgd,0.0036,0.0000,0.0000,0.0000,0.0000,0.0055,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0984,0.0000,0.0000,0.0000,0.0000,0.0024,0.0000,0.0016,0.0000,0.0000,0.0000,0.0000,0.0000,0.0561,0.1283,0.0000,0.0000,0.0000,0.0390,0.0000,17.1603,0.0000,0.0000,0.0058,0.0000,0.0000,0.0011,0.0000,0.0000,0.0000,0.0000,0.0000,0.0008,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0007,0.0000,0.0000,0.0000,0.0000,0.0000
