Sample,C12:0,C13:0,C14:0,C14:1w5,i-C15:0,C15:0,i-C16:0,C16:0,C16:1w9,C16:1w7,C16:1w5,i-C17:0,C16:2w6,a-C17:0,C16:3w3,C16:2w,C17:0,C17:1w9,C16:4w3,i-C18:0,C17:3w3,a-C18:0,C17:2w3,C18:0,C18:1w,C18:1w9,C18:1w7,C18:2w,C18:2w6,C18:3w6,C19:0,C19:1w11,C18:3w3,C18:4w3,C20:0,C20:1w9,C20:1w,C20:1w7,C20:2w,C20:2w6,C20:3w6,C21:0,C20:4w6,C20:3w3,C20:4w3,C20:5w3,C22:0,C22:1w9,C22:2w6,C22:4w3,C22:2w,C22:4w6,C22:3w3,C22:5w3,C24:0,C22:6w3
B_036_Ulva_322019_26.qgd,0.05810,0.00880,1.64190,0.00720,0.03880,0.13750,0.02310,42.63420,0.00000,3.06040,0.11920,0.00000,6.29620,0.00000,9.17160,0.00000,0.03870,0.59230,10.32420,0.00000,0.00000,0.00000,0.42610,1.19400,0.00000,5.81080,24.95590,0.00000,47.33970,2.96900,33.64090,0.00000,25.90680,11.34150,0.13130,0.39620,0.00000,0.97180,0.00000,0.10690,0.45590,0.06180,1.16900,0.05710,0.42010,1.11360,2.55010,0.15330,0.02090,0.00000,0.00000,0.53500,0.00000,4.27850,0.04730,0.00000
B_039_Ulva_322019_27.qgd,0.09210,0.01400,2.47440,0.00710,0.06430,0.24360,0.02600,54.34650,0.00000,4.78320,0.14550,0.00000,3.30070,0.00000,8.63040,0.00000,0.04830,0.70890,12.89690,0.00000,0.00000,0.00000,0.72720,1.40500,0.00000,9.42840,21.33810,0.00000,52.03480,3.22140,31.48880,0.00000,32.00120,15.46640,0.19580,0.68790,0.00000,0.76920,0.00000,0.14750,0.68690,0.05890,1.77620,0.07790,0.89900,1.93250,3.87520,0.25440,0.05120,0.00030,0.00000,1.04390,0.00340,7.64180,0.08830,0.00010
B_033_SKelp_322019_15.qgd,0.10160,0.00580,0.43880,0.00370,0.00490,0.10060,0.02820,31.15990,0.00000,0.46130,-0.00030,0.00000,1.10750,0.00000,16.24870,0.00000,0.22680,0.00090,0.00900,0.00000,0.00000,0.00000,0.00580,4.35370,0.00000,2.59180,0.81760,0.00000,24.70580,0.00010,30.52860,0.00020,74.75000,0.05720,3.15570,0.17230,0.00000,0.00000,0.00000,0.17790,0.00030,0.58420,0.02150,0.25480,0.00010,0.06040,16.48250,-0.00030,0.00000,0.00000,0.00010,0.00000,0.00000,0.00000,2.24160,0.00010
B_034_SKelp_322019_24.qgd,0.01560,0.01050,1.64960,0.00890,0.07770,2.26520,0.01060,22.03860,0.00000,6.63490,0.25450,2.99010,0.00660,1.05620,0.16770,0.00000,2.39720,1.99410,0.00000,0.06740,0.00000,0.10400,0.00000,14.99130,0.18340,10.78640,0.64440,0.03650,0.95490,0.27680,25.04420,0.00000,0.16330,0.76930,0.19560,13.17920,0.00000,4.87390,0.36640,0.13010,0.26760,0.03870,7.75470,0.03650,0.41480,9.42890,0.19080,0.40430,0.00000,0.93410,0.00000,2.11710,0.41870,9.16250,0.00000,16.52280
B_060_SKelp_322019_16.qgd,0.05610,0.04870,12.82290,0.09770,0.02130,0.63130,0.03040,21.02710,0.00000,1.83790,0.19040,0.00000,0.47810,0.00000,0.06130,0.00000,0.15560,0.10950,0.15650,0.00000,0.00000,0.00000,0.05090,1.50010,0.00000,15.14050,0.54700,0.00000,21.01580,5.10730,23.91440,0.00030,3.67040,6.84680,0.59390,0.10970,0.00000,0.06670,0.00000,0.06230,0.91070,0.03960,12.45880,0.03290,0.90480,7.74480,0.07300,-0.00140,0.00000,0.00000,0.00010,0.00010,0.00010,0.09490,0.04760,0.00000
B_061_SKelp_322019_18.qgd,0.04170,0.03110,12.31360,0.08020,0.00880,0.40360,0.02040,20.87160,0.00000,1.13980,0.21260,0.00010,0.31350,0.00000,0.01500,0.00000,0.13260,0.09590,0.01370,0.00000,0.00000,0.00000,0.04070,1.31690,0.00000,14.65550,0.16190,0.00000,17.83370,3.81920,24.29310,0.00020,2.99880,5.74450,0.45220,0.04550,0.00000,0.01120,0.00000,0.03630,0.72730,0.03950,11.17400,0.04130,0.48180,6.42090,0.06000,-0.00070,0.00000,0.00010,0.00040,0.00000,0.00000,0.02310,0.03720,0.00000
B_104_EG_322019_8.qgd,0.06090,0.00440,0.33290,0.00180,0.00800,0.03880,0.03680,18.58270,0.00000,0.39720,0.00020,0.00010,0.28210,0.00000,4.69210,0.00000,0.10850,0.68070,0.00000,0.00000,0.00000,0.00000,0.00000,2.56260,0.00000,1.81500,0.41480,0.00000,12.86740,0.00000,25.29670,-0.00010,34.96300,0.04480,2.05110,0.18590,0.00000,0.00000,0.00000,0.10800,0.00010,0.26050,0.02460,0.12200,0.00000,0.19160,11.44510,-0.00030,0.00000,0.00020,0.00000,0.00000,0.00000,0.00010,1.53930,0.00050
B_287_Stag_322019_9.qgd,0.01320,0.00580,1.68220,0.01090,0.11260,0.42550,0.16910,35.41000,0.00000,3.63860,0.45790,0.51940,0.01650,0.21440,0.03860,0.00000,0.66600,0.30830,0.01880,0.08060,0.00000,0.00000,0.00000,13.82400,1.28540,25.88790,6.76550,0.05380,3.64020,0.09970,23.43010,0.00010,1.03040,1.75820,0.13150,1.18460,0.00000,0.37950,0.09920,0.41490,0.19720,0.02970,3.36800,0.20690,3.24420,16.26620,0.09160,0.27790,0.00910,0.39900,0.00000,0.58220,0.27160,13.96940,0.00000,58.09870
Blank_2-23__322019_10.qgd,0.00580,0.00130,0.01470,-0.00020,0.00000,0.00380,0.00000,0.25110,0.00000,0.00000,0.00000,0.00000,0.00030,0.00000,0.00090,0.00000,0.00770,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.23730,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,22.31330,0.00180,0.02470,0.00000,0.01500,0.00020,0.00000,0.00000,0.00000,0.00000,0.00000,0.02490,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00150,0.00020,0.00000,0.00030,0.00000,0.00000,0.02240
Blank_2-27__322019_19.qgd,0.01010,0.00230,0.02990,0.00100,0.00000,0.00960,0.00000,0.27890,0.00000,0.00000,0.00000,0.00060,0.00000,0.00240,0.00000,0.00000,0.00770,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.18090,0.00000,0.45710,0.40890,0.00000,0.00000,0.00000,23.30110,0.00060,0.02180,0.00000,0.01900,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.03250,0.00000,0.00080,0.00000,0.00000,0.00000,0.00000,0.00130,0.00210,0.00370,0.00000,0.00020,0.00160,0.00000,0.00000
