site,trans_loc,trans_bin,n_pits,sed1,sed2
Hauti Island,Outside,5,4,3,4
Kaguk Cove,Edge,1,1,1,2
Kaguk Cove,Edge,2,3,1,2
Kaguk Cove,Edge,3,3,1,2
Kaguk Cove,Edge,4,0,1,2
Kaguk Cove,Edge,5,3,2,2
Kaguk Cove,Inside,1,2,1,3
Kaguk Cove,Inside,2,0,1,1
Kaguk Cove,Inside,3,0,1,1
Kaguk Cove,Inside,4,0,1,1
Kaguk Cove,Inside,5,0,1,2
Kaguk Cove,Outside,1,3,3,2
Kaguk Cove,Outside,2,4,3,2
Kaguk Cove,Outside,3,1,2,3
Kaguk Cove,Outside,4,3,2,3
Kaguk Cove,Outside,5,4,3,2
Kinani,Edge,1,2,4,3
Kinani,Edge,2,8,4,3
Kinani,Edge,3,24,4,7
Kinani,Edge,4,3,4,7-Aug
Kinani,Edge,5,3,4,7-Aug
Kinani,Inside,1,0,2,3
Kinani,Inside,2,0,2,2
Kinani,Inside,3,0,2,2
Kinani,Inside,4,0,2,2
Kinani,Inside,5,0,2,3
Kinani,Outside,1,0,3,3
Kinani,Outside,2,0,4,3
Kinani,Outside,3,6,4,7
Kinani,Outside,4,12,4,7
Kinani,Outside,5,9,4,7-Aug
Mushroom Island,Edge,1,2,4,7
Mushroom Island,Edge,2,3,4,7
Mushroom Island,Edge,3,0,4,3
Mushroom Island,Edge,4,0,3,7
Mushroom Island,Edge,5,1,3,7
Mushroom Island,Inside,1,2,2,3
Mushroom Island,Inside,2,2,2,3
Mushroom Island,Inside,3,1,2,3
Mushroom Island,Inside,4,2,2,3
Mushroom Island,Inside,5,2,2,3
Mushroom Island,Outside,1,1,4,7
Mushroom Island,Outside,2,6,4,7
Mushroom Island,Outside,3,0,3,7
Mushroom Island,Outside,4,6,7,3
Mushroom Island,Outside,5,6,7,3
N Fish Egg Island,Edge,1,1,4,3
N Fish Egg Island,Edge,2,3,4,3
N Fish Egg Island,Edge,3,0,4,3
N Fish Egg Island,Edge,4,0,3,3
N Fish Egg Island,Edge,5,0,3,3
N Fish Egg Island,Inside,1,4,3,3
N Fish Egg Island,Inside,2,0,3,4
N Fish Egg Island,Inside,3,1,3,4
N Fish Egg Island,Inside,4,1,3,4
N Fish Egg Island,Inside,5,0,3,4
N Fish Egg Island,Outside,1,1,4,3
N Fish Egg Island,Outside,2,0,4,3
N Fish Egg Island,Outside,3,1,3,4
N Fish Egg Island,Outside,4,0,3,4
N Fish Egg Island,Outside,5,0,4,3
Natzuhini Bay 1,Edge,1,3,3,2
Natzuhini Bay 1,Edge,2,2,3,2
Natzuhini Bay 1,Edge,3,0,3,2
Natzuhini Bay 1,Edge,4,3,3,2
Natzuhini Bay 1,Edge,5,3,3,2
Natzuhini Bay 1,Inside,1,2,2,3
Natzuhini Bay 1,Inside,2,3,2,3
Natzuhini Bay 1,Inside,3,5,2,3
Natzuhini Bay 1,Inside,4,3,2,3
Natzuhini Bay 1,Inside,5,5,3,1
Natzuhini Bay 1,Outside,1,0,3,6
Natzuhini Bay 1,Outside,2,3,3,6
Natzuhini Bay 1,Outside,3,4,4,4
Natzuhini Bay 1,Outside,4,5,4,3
Natzuhini Bay 1,Outside,5,5,4,3
Natzuhini Bay 2,Edge,1,1,4,7
Natzuhini Bay 2,Edge,2,4,4,7
Natzuhini Bay 2,Edge,3,1,4,7
Natzuhini Bay 2,Edge,4,3,4,7
Natzuhini Bay 2,Edge,5,0,4,8
Natzuhini Bay 2,Inside,1,2,3,7
Natzuhini Bay 2,Inside,2,4,4,8
Natzuhini Bay 2,Inside,3,3,4,7
Natzuhini Bay 2,Inside,4,3,4,7
Natzuhini Bay 2,Inside,5,4,4,8
Natzuhini Bay 2,Outside,1,1,5,7
Natzuhini Bay 2,Outside,2,3,5,8
Natzuhini Bay 2,Outside,3,8,4,7
Natzuhini Bay 2,Outside,4,8,4,7
Natzuhini Bay 2,Outside,5,5,5,7
North Pass,Edge,1,2,4,8
North Pass,Edge,2,0,4,7
North Pass,Edge,3,2,4,7
North Pass,Edge,4,0,4,3
North Pass,Edge,5,1,4,3
North Pass,Inside,1,6,2,4
North Pass,Inside,2,3,2,3
North Pass,Inside,3,5,2,3
North Pass,Inside,4,5,2,3
North Pass,Inside,5,4,2,3
North Pass,Outside,1,4,5,6
North Pass,Outside,2,1,5,7
North Pass,Outside,3,5,5,7
North Pass,Outside,4,2,5,7
North Pass,Outside,5,1,5,8
Nossuk Bay 1,Edge,1,5,3,4
Nossuk Bay 1,Edge,2,2,2,4
Nossuk Bay 1,Edge,3,4,3,4
Nossuk Bay 1,Edge,4,1,2,8
Nossuk Bay 1,Edge,5,4,3,8
Nossuk Bay 1,Inside,1,0,2,1
Nossuk Bay 1,Inside,2,1,2,1
Nossuk Bay 1,Inside,3,0,2,2
Nossuk Bay 1,Inside,4,0,2,2
Nossuk Bay 1,Inside,5,0,2,2
Nossuk Bay 1,Outside,1,12,4,8
Nossuk Bay 1,Outside,2,17,4,8
Nossuk Bay 1,Outside,3,20,4,7
Nossuk Bay 1,Outside,4,12,3,6
Nossuk Bay 1,Outside,5,20,3,6
Nossuk Bay 2,Edge,1,2,3,2
Nossuk Bay 2,Edge,2,2,3,2
Nossuk Bay 2,Edge,3,2,3,2
Nossuk Bay 2,Edge,4,1,3,2
Nossuk Bay 2,Edge,5,3,3,2
Nossuk Bay 2,Inside,1,0,1,1
Nossuk Bay 2,Inside,2,1,1,1
Nossuk Bay 2,Inside,3,0,1,1
Nossuk Bay 2,Inside,4,0,1,1
Nossuk Bay 2,Inside,5,1,1,1
Nossuk Bay 2,Outside,1,5,3,7
Nossuk Bay 2,Outside,2,14,3,7
Nossuk Bay 2,Outside,3,12,3,7
Nossuk Bay 2,Outside,4,14,3,7
Nossuk Bay 2,Outside,5,23,3,7
Port Caldera,Edge,1,0,4,7
Port Caldera,Edge,2,0,4,8
Port Caldera,Edge,3,0,4,3
Port Caldera,Edge,4,0,4,3
Port Caldera,Edge,5,0,3,4
Port Caldera,Inside,1,0,5,8
Port Caldera,Inside,2,0,5,5
Port Caldera,Inside,3,2,5,5
Port Caldera,Inside,4,1,5,5
Port Caldera,Inside,5,0,5,5
Port Caldera,Outside,1,0,5,7
Port Caldera,Outside,2,0,5,7
Port Caldera,Outside,3,0,5,7
Port Caldera,Outside,4,0,5,5
Port Caldera,Outside,5,1,5,5
Port Refugio,Edge,1,0,3,3
Port Refugio,Edge,2,2,3,4
Port Refugio,Edge,3,0,3,4
Port Refugio,Edge,4,1,3,4
Port Refugio,Edge,5,0,3,3
Port Refugio,Inside,1,0,3,3
Port Refugio,Inside,2,0,3,3
Port Refugio,Inside,3,0,3,3
Port Refugio,Inside,4,0,3,3
Port Refugio,Inside,5,0,3,3
Port Refugio,Outside,1,0,4,4
Port Refugio,Outside,2,0,4,4
Port Refugio,Outside,3,1,4,3
Port Refugio,Outside,4,0,4,3
Port Refugio,Outside,5,0,3,4
S Fish Egg Island,Edge,1,8,4,7
S Fish Egg Island,Edge,2,24,4,7
S Fish Egg Island,Edge,3,7,4,4
S Fish Egg Island,Edge,4,0,4,4
S Fish Egg Island,Edge,5,0,4,4
S Fish Egg Island,Inside,1,4,4,4
S Fish Egg Island,Inside,2,3,4,4
S Fish Egg Island,Inside,3,9,4,4
S Fish Egg Island,Inside,4,5,4,4
S Fish Egg Island,Inside,5,6,4,4
S Fish Egg Island,Outside,1,0,4,7
S Fish Egg Island,Outside,2,5,4,7
S Fish Egg Island,Outside,3,12,4,7
S Fish Egg Island,Outside,4,12,4,4
S Fish Egg Island,Outside,5,0,4,4
S Wadleigh Island,Edge,1,4,1,2
S Wadleigh Island,Edge,2,4,1,2
S Wadleigh Island,Edge,3,5,1,2
S Wadleigh Island,Edge,4,4,1,1
S Wadleigh Island,Edge,5,4,1,1
S Wadleigh Island,Inside,1,0,1,1
S Wadleigh Island,Inside,2,1,1,1
S Wadleigh Island,Inside,3,3,1,1
S Wadleigh Island,Inside,4,2,1,1
S Wadleigh Island,Inside,5,1,1,1
S Wadleigh Island,Outside,1,0,2,3
S Wadleigh Island,Outside,2,0,2,3
S Wadleigh Island,Outside,3,0,2,2
S Wadleigh Island,Outside,4,0,2,2
S Wadleigh Island,Outside,5,0,2,2
Salt Lake Bay,Edge,1,3,2,8
Salt Lake Bay,Edge,2,5,2,2
Salt Lake Bay,Edge,3,2,2,2
Salt Lake Bay,Edge,4,6,2,6
Salt Lake Bay,Edge,5,2,2,5
Salt Lake Bay,Inside,1,1,1,1
Salt Lake Bay,Inside,2,2,1,1
Salt Lake Bay,Inside,3,4,1,1
Salt Lake Bay,Inside,4,3,1,1
Salt Lake Bay,Inside,5,6,1,1
Salt Lake Bay,Outside,1,12,5,6
Salt Lake Bay,Outside,2,11,5,7
Salt Lake Bay,Outside,3,12,6,8
Salt Lake Bay,Outside,4,13,5,8
Salt Lake Bay,Outside,5,8,5,8
Shinaku Inlet,Edge,1,2,2,3
Shinaku Inlet,Edge,2,2,2,3
Shinaku Inlet,Edge,3,5,3,2
Shinaku Inlet,Edge,4,4,2,3
Shinaku Inlet,Edge,5,3,3,2
Shinaku Inlet,Inside,1,0,1,1
Shinaku Inlet,Inside,2,1,1,1
Shinaku Inlet,Inside,3,0,1,1
Shinaku Inlet,Inside,4,1,1,1
Shinaku Inlet,Inside,5,0,1,1
Shinaku Inlet,Outside,1,3,3,2
Shinaku Inlet,Outside,2,2,3,2
Shinaku Inlet,Outside,3,5,3,3
Shinaku Inlet,Outside,4,4,3,4
Shinaku Inlet,Outside,5,3,3,4
Soda Bay,Edge,1,5,4,4
Soda Bay,Edge,2,3,4,4
Soda Bay,Edge,3,3,4,4
Soda Bay,Edge,4,3,4,4
Soda Bay,Edge,5,3,4,4
Soda Bay,Inside,1,1,4,4
Soda Bay,Inside,2,0,4,4
Soda Bay,Inside,3,1,4,3
Soda Bay,Inside,4,0,4,4
Soda Bay,Inside,5,2,4,4
Soda Bay,Outside,1,2,4,7
Soda Bay,Outside,2,1,4,7
Soda Bay,Outside,3,0,4,7
Soda Bay,Outside,4,0,4,7
Soda Bay,Outside,5,0,4,7
Sukkwan Narrows,Edge,1,8,3,2
Sukkwan Narrows,Edge,2,5,3,2
Sukkwan Narrows,Edge,3,6,2,3
Sukkwan Narrows,Edge,4,4,3,2
Sukkwan Narrows,Edge,5,5,3,2
Sukkwan Narrows,Inside,1,3,2,1
Sukkwan Narrows,Inside,2,2,3,1
Sukkwan Narrows,Inside,3,4,2,1
Sukkwan Narrows,Inside,4,3,2,1
Sukkwan Narrows,Inside,5,1,3,1
Sukkwan Narrows,Outside,1,14,3,4
Sukkwan Narrows,Outside,2,5,3,5
Sukkwan Narrows,Outside,3,3,3,5
Sukkwan Narrows,Outside,4,2,3,5
Sukkwan Narrows,Outside,5,4,3,6
