site,transect_location,species_common,death_estimate,width_mm
Big Tree Bay,Outside,Cockle,Whole,28
Big Tree Bay,Outside,Cockle,Whole,34
Big Tree Bay,Outside,Cockle,Whole,32
Big Tree Bay,Outside,Cockle,Whole,33
Big Tree Bay,Outside,Cockle,Whole,35
Big Tree Bay,Outside,Cockle,Whole,29
Big Tree Bay,Outside,Cockle,Whole,37
Big Tree Bay,Outside,Cockle,Whole,30
Big Tree Bay,Outside,Cockle,Whole,36
Big Tree Bay,Outside,Cockle,Whole,46
Big Tree Bay,Outside,Cockle,Whole,33
Big Tree Bay,Outside,Cockle,Whole,27
Big Tree Bay,Outside,Pointed macoma,Sea Otter,28
Big Tree Bay,Outside,Pointed macoma,Whole,36
Big Tree Bay,Outside,Pointed macoma,Whole,30
Big Tree Bay,Outside,Pointed macoma,Whole,19
Big Tree Bay,Outside,Steamer clam,Whole,31
Big Tree Bay,Outside,Steamer clam,Whole,44
Big Tree Bay,Outside,Steamer clam,Whole,27
Big Tree Bay,Outside,Steamer clam,Whole,26
Blanquizal Bay,Edge,Butter clam,Whole,130
Blanquizal Bay,Edge,Butter clam,Whole,41
Blanquizal Bay,Edge,Butter clam,Whole,71
Blanquizal Bay,Edge,Butter clam,Whole,135
Blanquizal Bay,Edge,Butter clam,Whole,44
Blanquizal Bay,Edge,Butter clam,Whole,40
Blanquizal Bay,Edge,Butter clam,Whole,24
Blanquizal Bay,Edge,Cockle,Sea Otter,54
Blanquizal Bay,Edge,Cockle,Sea Otter,35
Blanquizal Bay,Edge,Cockle,Whole,107
Blanquizal Bay,Edge,Cockle,Whole,19
Blanquizal Bay,Edge,Pointed macoma,Sea Otter,87
Blanquizal Bay,Edge,Pointed macoma,Sea Otter,35
Blanquizal Bay,Edge,Pointed macoma,Sea Otter,130
Blanquizal Bay,Edge,Pointed macoma,Sea Otter,47
Blanquizal Bay,Edge,Pointed macoma,Sea Otter,126
Blanquizal Bay,Edge,Pointed macoma,Sea Otter,49
Blanquizal Bay,Edge,Pointed macoma,Sea Otter,123
Blanquizal Bay,Edge,Pointed macoma,Sea Otter,42
Blanquizal Bay,Edge,Pointed macoma,Sea Otter,108
Blanquizal Bay,Edge,Pointed macoma,Whole,41
Blanquizal Bay,Edge,Pointed macoma,Whole,32
Blanquizal Bay,Edge,Pointed macoma,Whole,36
Blanquizal Bay,Edge,Pointed macoma,Whole,43
Blanquizal Bay,Edge,Pointed macoma,Whole,34
Blanquizal Bay,Edge,Steamer clam,Sea Otter,32
Blanquizal Bay,Edge,Steamer clam,Sea Otter,42
Blanquizal Bay,Edge,Steamer clam,Sea Otter,53
Blanquizal Bay,Edge,Steamer clam,Sea Otter,34
Blanquizal Bay,Edge,Steamer clam,Sea Otter,100
