"site_code","site_name","latitude_N","longitude_E","year","date_MMDDYY","date_YYYYMMDD","trans_loc","bin_no","bin_area_m2","pit_count_bin","pit_density_m2","sed1_type","sed2_type","sed1_no","sed2_no","sed_avg_no","field_collector","notes"
"H_02_a","Nossuk Bay a",55.7073,-133.342,2017,"8/21/2013",20170822,"Edge",1,20,0,0,"Mud","Mud",1,1,1,"Ashley Bolwerk, Nicole LaRoche",NA
"H_02_a","Nossuk Bay a",55.7073,-133.342,2017,"8/21/2013",20170822,"Edge",2,20,1,0.05,"Mud","Mud",1,1,1,"Ashley Bolwerk, Nicole LaRoche",NA
"H_02_a","Nossuk Bay a",55.7073,-133.342,2017,"8/21/2013",20170822,"Edge",3,20,1,0.05,"Mud","Mud",1,1,1,"Ashley Bolwerk, Nicole LaRoche",NA
"H_02_a","Nossuk Bay a",55.7073,-133.342,2017,"8/21/2013",20170822,"Edge",4,20,3,0.15,"Sandy Mud","Coarse Sand",2,5,3.5,"Ashley Bolwerk, Nicole LaRoche",NA
"H_02_a","Nossuk Bay a",55.7073,-133.342,2017,"8/21/2013",20170822,"Edge",5,20,4,0.2,"Sandy Mud","Coarse Sand",2,5,3.5,"Ashley Bolwerk, Nicole LaRoche",NA
"H_02_a","Nossuk Bay a",55.7073,-133.342,2017,"8/21/2013",20170822,"Edge",6,20,2,0.1,"Sandy Mud","Mud",2,1,1.5,"Ashley Bolwerk, Nicole LaRoche",NA
"H_02_a","Nossuk Bay a",55.7073,-133.342,2017,"8/21/2013",20170822,"Edge",7,20,3,0.15,"Sandy Mud","Mud",2,1,1.5,"Ashley Bolwerk, Nicole LaRoche",NA
"H_02_a","Nossuk Bay a",55.7073,-133.342,2017,"8/21/2013",20170822,"Edge",8,20,2,0.1,"Mud","Mud",1,1,1,"Ashley Bolwerk, Nicole LaRoche",NA
"H_02_a","Nossuk Bay a",55.7073,-133.342,2017,"8/21/2013",20170822,"Edge",9,20,0,0,"Mud","Mud",1,1,1,"Ashley Bolwerk, Nicole LaRoche",NA
"H_02_a","Nossuk Bay a",55.7073,-133.342,2017,"8/21/2013",20170822,"Edge",10,20,0,0,"Mud","Mud",1,1,1,"Ashley Bolwerk, Nicole LaRoche",NA
"H_02_a","Nossuk Bay a",55.7073,-133.342,2017,"8/21/2013",20170822,"Inside",1,20,0,0,"Mud","Mud",1,1,1,"Ashley Bolwerk, Nicole LaRoche",NA
"H_02_a","Nossuk Bay a",55.7073,-133.342,2017,"8/21/2013",20170822,"Inside",2,20,0,0,"Mud","Mud",1,1,1,"Ashley Bolwerk, Nicole LaRoche",NA
"H_02_a","Nossuk Bay a",55.7073,-133.342,2017,"8/21/2013",20170822,"Inside",3,20,0,0,"Mud","Mud",1,1,1,"Ashley Bolwerk, Nicole LaRoche",NA
"H_02_a","Nossuk Bay a",55.7073,-133.342,2017,"8/21/2013",20170822,"Inside",4,20,1,0.05,"Sandy Mud","Mud",2,1,1.5,"Ashley Bolwerk, Nicole LaRoche",NA
"H_02_a","Nossuk Bay a",55.7073,-133.342,2017,"8/21/2013",20170822,"Inside",5,20,2,0.1,"Sandy Mud","Gravel",2,7,4.5,"Ashley Bolwerk, Nicole LaRoche",NA
"H_02_a","Nossuk Bay a",55.7073,-133.342,2017,"8/21/2013",20170822,"Inside",6,20,1,0.05,"Sandy Mud","Mud",2,1,1.5,"Ashley Bolwerk, Nicole LaRoche",NA
"H_02_a","Nossuk Bay a",55.7073,-133.342,2017,"8/21/2013",20170822,"Inside",7,20,0,0,"Mud","Mud",1,1,1,"Ashley Bolwerk, Nicole LaRoche",NA
"H_02_a","Nossuk Bay a",55.7073,-133.342,2017,"8/21/2013",20170822,"Inside",8,20,0,0,"Mud","Mud",1,1,1,"Ashley Bolwerk, Nicole LaRoche",NA
"H_02_a","Nossuk Bay a",55.7073,-133.342,2017,"8/21/2013",20170822,"Inside",9,20,0,0,"Mud","Mud",1,1,1,"Ashley Bolwerk, Nicole LaRoche",NA
"H_02_a","Nossuk Bay a",55.7073,-133.342,2017,"8/21/2013",20170822,"Inside",10,20,0,0,"Mud","Mud",1,1,1,"Ashley Bolwerk, Nicole LaRoche",NA
"H_02_a","Nossuk Bay a",55.7073,-133.342,2017,"8/21/2013",20170822,"Outside",1,20,0,0,"Mud","Mud",1,1,1,"Ashley Bolwerk, Nicole LaRoche",NA
"H_02_a","Nossuk Bay a",55.7073,-133.342,2017,"8/21/2013",20170822,"Outside",2,20,0,0,"Mud","Mud",1,1,1,"Ashley Bolwerk, Nicole LaRoche",NA
"H_02_a","Nossuk Bay a",55.7073,-133.342,2017,"8/21/2013",20170822,"Outside",3,20,0,0,"Mud","Sandy mud",1,2,1.5,"Ashley Bolwerk, Nicole LaRoche",NA
"H_02_a","Nossuk Bay a",55.7073,-133.342,2017,"8/21/2013",20170822,"Outside",4,20,0,0,"Mud","Sandy mud",1,2,1.5,"Ashley Bolwerk, Nicole LaRoche",NA
"H_02_a","Nossuk Bay a",55.7073,-133.342,2017,"8/21/2013",20170822,"Outside",5,20,0,0,"Mud","Sandy mud",1,2,1.5,"Ashley Bolwerk, Nicole LaRoche",NA
"H_02_a","Nossuk Bay a",55.7073,-133.342,2017,"8/21/2013",20170822,"Outside",6,20,1,0.05,"Muddy Sand","Coarse Sand",3,5,4,"Ashley Bolwerk, Nicole LaRoche",NA
"H_02_a","Nossuk Bay a",55.7073,-133.342,2017,"8/21/2013",20170822,"Outside",7,20,1,0.05,"Muddy Sand","Sand",3,4,3.5,"Ashley Bolwerk, Nicole LaRoche",NA
"H_02_a","Nossuk Bay a",55.7073,-133.342,2017,"8/21/2013",20170822,"Outside",8,20,0,0,"Coarse Sand","Sand",5,4,4.5,"Ashley Bolwerk, Nicole LaRoche",NA
"H_02_a","Nossuk Bay a",55.7073,-133.342,2017,"8/21/2013",20170822,"Outside",9,20,0,0,"Muddy Sand","Coarse Sand",3,5,4,"Ashley Bolwerk, Nicole LaRoche",NA
"H_02_a","Nossuk Bay a",55.7073,-133.342,2017,"8/21/2013",20170822,"Outside",10,20,1,0.05,"Muddy Sand","Coarse Sand",3,5,4,"Ashley Bolwerk, Nicole LaRoche",NA
"H_03_a","Chusini Cove a",55.80692,-133.171,2017,"8/20/2013",20170821,"Edge",1,20,1,0.05,"Mud","Mud",1,1,1,"Ashley Bolwerk, Nicole LaRoche",NA
"H_03_a","Chusini Cove a",55.80692,-133.171,2017,"8/20/2013",20170821,"Edge",2,20,0,0,"Mud","Mud",1,1,1,"Ashley Bolwerk, Nicole LaRoche",NA
"H_03_a","Chusini Cove a",55.80692,-133.171,2017,"8/20/2013",20170821,"Edge",3,20,1,0.05,"Mud","Mud",1,1,1,"Ashley Bolwerk, Nicole LaRoche",NA
"H_03_a","Chusini Cove a",55.80692,-133.171,2017,"8/20/2013",20170821,"Edge",4,20,1,0.05,"Mud","Mud",1,1,1,"Ashley Bolwerk, Nicole LaRoche",NA
"H_03_a","Chusini Cove a",55.80692,-133.171,2017,"8/20/2013",20170821,"Edge",5,20,0,0,"Mud","Mud",1,1,1,"Ashley Bolwerk, Nicole LaRoche",NA
"H_03_a","Chusini Cove a",55.80692,-133.171,2017,"8/20/2013",20170821,"Edge",6,20,0,0,"Mud","Mud",1,1,1,"Ashley Bolwerk, Nicole LaRoche",NA
"H_03_a","Chusini Cove a",55.80692,-133.171,2017,"8/20/2013",20170821,"Edge",7,20,0,0,"Mud","Mud",1,1,1,"Ashley Bolwerk, Nicole LaRoche",NA
"H_03_a","Chusini Cove a",55.80692,-133.171,2017,"8/20/2013",20170821,"Edge",8,20,0,0,"Mud","Mud",1,1,1,"Ashley Bolwerk, Nicole LaRoche",NA
"H_03_a","Chusini Cove a",55.80692,-133.171,2017,"8/20/2013",20170821,"Edge",9,20,0,0,"Mud","Mud",1,1,1,"Ashley Bolwerk, Nicole LaRoche",NA
"H_03_a","Chusini Cove a",55.80692,-133.171,2017,"8/20/2013",20170821,"Edge",10,20,0,0,"Mud","Mud",1,1,1,"Ashley Bolwerk, Nicole LaRoche",NA
"H_03_a","Chusini Cove a",55.80692,-133.171,2017,"8/20/2013",20170821,"Inside",1,20,0,0,"Mud","Mud",1,1,1,"Ashley Bolwerk, Nicole LaRoche",NA
"H_03_a","Chusini Cove a",55.80692,-133.171,2017,"8/20/2013",20170821,"Inside",2,20,0,0,"Mud","Mud",1,1,1,"Ashley Bolwerk, Nicole LaRoche",NA
"H_03_a","Chusini Cove a",55.80692,-133.171,2017,"8/20/2013",20170821,"Inside",3,20,0,0,"Mud","Mud",1,1,1,"Ashley Bolwerk, Nicole LaRoche",NA
"H_03_a","Chusini Cove a",55.80692,-133.171,2017,"8/20/2013",20170821,"Inside",4,20,0,0,"Mud","Mud",1,1,1,"Ashley Bolwerk, Nicole LaRoche",NA
"H_03_a","Chusini Cove a",55.80692,-133.171,2017,"8/20/2013",20170821,"Inside",5,20,0,0,"Mud","Mud",1,1,1,"Ashley Bolwerk, Nicole LaRoche",NA
"H_03_a","Chusini Cove a",55.80692,-133.171,2017,"8/20/2013",20170821,"Inside",6,20,0,0,"Mud","Mud",1,1,1,"Ashley Bolwerk, Nicole LaRoche",NA
"H_03_a","Chusini Cove a",55.80692,-133.171,2017,"8/20/2013",20170821,"Inside",7,20,0,0,"Mud","Mud",1,1,1,"Ashley Bolwerk, Nicole LaRoche",NA
"H_03_a","Chusini Cove a",55.80692,-133.171,2017,"8/20/2013",20170821,"Inside",8,20,0,0,"Mud","Mud",1,1,1,"Ashley Bolwerk, Nicole LaRoche",NA
"H_03_a","Chusini Cove a",55.80692,-133.171,2017,"8/20/2013",20170821,"Inside",9,20,0,0,"Mud","Mud",1,1,1,"Ashley Bolwerk, Nicole LaRoche",NA
"H_03_a","Chusini Cove a",55.80692,-133.171,2017,"8/20/2013",20170821,"Inside",10,20,0,0,"Mud","Mud",1,1,1,"Ashley Bolwerk, Nicole LaRoche",NA
"H_03_a","Chusini Cove a",55.80692,-133.171,2017,"8/20/2013",20170821,"Outside",1,20,0,0,"Gravel","Mud",7,1,4,"Ashley Bolwerk, Nicole LaRoche",NA
"H_03_a","Chusini Cove a",55.80692,-133.171,2017,"8/20/2013",20170821,"Outside",2,20,0,0,"Gravel","Mud",7,1,4,"Ashley Bolwerk, Nicole LaRoche",NA
"H_03_a","Chusini Cove a",55.80692,-133.171,2017,"8/20/2013",20170821,"Outside",3,20,0,0,"Gravel","Mud",7,1,4,"Ashley Bolwerk, Nicole LaRoche",NA
"H_03_a","Chusini Cove a",55.80692,-133.171,2017,"8/20/2013",20170821,"Outside",4,20,0,0,"Gravel","Mud",7,1,4,"Ashley Bolwerk, Nicole LaRoche",NA
"H_03_a","Chusini Cove a",55.80692,-133.171,2017,"8/20/2013",20170821,"Outside",5,20,0,0,"Gravel","Mud",7,1,4,"Ashley Bolwerk, Nicole LaRoche",NA
"H_03_a","Chusini Cove a",55.80692,-133.171,2017,"8/20/2013",20170821,"Outside",6,20,0,0,"Gravel","Mud",7,1,4,"Ashley Bolwerk, Nicole LaRoche",NA
"H_03_a","Chusini Cove a",55.80692,-133.171,2017,"8/20/2013",20170821,"Outside",7,20,0,0,"Gravel","Mud",7,1,4,"Ashley Bolwerk, Nicole LaRoche",NA
"H_03_a","Chusini Cove a",55.80692,-133.171,2017,"8/20/2013",20170821,"Outside",8,20,0,0,"Mud","Mud",1,1,1,"Ashley Bolwerk, Nicole LaRoche",NA
"H_03_a","Chusini Cove a",55.80692,-133.171,2017,"8/20/2013",20170821,"Outside",9,20,0,0,"Gravel","Mud",7,1,4,"Ashley Bolwerk, Nicole LaRoche",NA
"H_03_a","Chusini Cove a",55.80692,-133.171,2017,"8/20/2013",20170821,"Outside",10,20,0,0,"Gravel","Mud",7,1,4,"Ashley Bolwerk, Nicole LaRoche",NA
